t,drawdown
0,-0.03057134114055171
1,-0.038362112443540486
2,-0.010820268963009805
3,-0.030933839263243668
4,-0.034719102389760836
5,-0.01669489167089888
6,-0.015187066564972485
7,-0.035555256746815034
8,-0.024171759306887863
9,-0.02114948750764234
10,-0.02268629435600078
11,-0.0231321477578339
12,-0.015206892243181058
13,-0.041080717393883415
14,-0.06224466183467703
15,-0.046856255556366855
16,-0.04556518621076566
17,-0.044753501361899706
18,-0.022477308068950652
19,-0.014546155594483468
20,-0.03212478608789482
21,-0.03365483333427288
22,-0.03356237871801615
23,-0.03985039017821557
24,-0.026360940403521216
25,-0.010228668622990544
26,-0.035860917176926854
27,-0.06340752639022107
28,-0.07026074653179426
29,-0.056116600470233924
30,-0.051505825615162926
31,-0.04378066784968049
32,-0.04577795765772796
33,-0.033133587066228376
34,-0.04024567721141148
35,-0.018116675493901613
36,-0.015435643198407067
37,-0.012064067774492981
38,0.0
39,0.0
40,-0.02087523029131988
41,-0.01618435030932086
42,0.0
43,0.0
44,-0.015973566128735017
45,-0.005074707220492636
46,-0.03545376945474099
47,-0.021322697865889695
48,-0.0197764064227125
49,-0.01937061790769068
50,-0.02706910002389873
51,-0.02196798876928263
52,-0.03438651128315007
53,-0.016586312415444948
54,-0.013895594056488547
55,-0.03787979003243358
56,-0.04077328044771211
57,-0.030048171183861494
58,-0.040871610355473376
59,-0.03822449847609599
60,-0.012050037035020944
61,-0.008484856306964494
62,-0.013490788796039599
63,0.0
64,0.0
65,-0.013494653452025052
66,-0.01154820695714942
67,-0.02025500077714737
68,-0.03351483036732361
69,-0.03633537926370156
70,-0.04526474330181807
71,-0.036091685017917374
72,-0.027133445850932247
73,-0.006130211035639155
74,0.0
75,0.0
76,-0.01701067371096776
77,-0.0075038629534327494
78,-0.000649383299090589
79,0.0
80,-0.005640465406558937
81,-0.018192315182414487
82,-0.031529821211678355
83,-0.044325945195700545
84,-0.0661694023290611
85,-0.05778381762775331
86,-0.0648713951793678
87,-0.07094887350328594
88,-0.07135065930579276
89,-0.06657698691224945
90,-0.0661538252660484
91,-0.01843484855924693
92,-0.005964201011528392
93,-0.02410456070420197
94,-0.01346812551008858
95,-0.01730436094329557
96,0.0
97,0.0
98,0.0
99,0.0
100,-0.009863155927578249
101,-0.006824857958830699
102,-0.009896681257361317
103,-0.014051531085160662
104,-0.01916300577746055
105,-0.022762268911272976
106,-0.03433480420017854
107,-0.04197116125899514
108,-0.04803169118605355
109,-0.029665349693242193
110,-0.029139324209290773
111,-0.004616988091054819
112,0.0
113,0.0
114,-0.0016269672710732541
115,0.0
116,0.0
117,-0.017033370263186742
118,-0.006585815509669524
119,-0.009752466934808246
120,0.0
121,0.0
122,-0.018062357533662032
123,-0.024236560022101616
124,-0.010392127712773314
125,-0.011049718058442903
126,-0.021626534996208924
127,-0.008336350871833598
128,0.0
129,0.0
130,0.0
131,-0.011610789374260744
132,-0.01994646676079448
133,-0.04485755708463135
