t,drawdown
0,0.0
1,0.0
2,-0.015047307349292272
3,-0.010358166168626393
4,0.0
5,-0.014350017178993535
6,-0.018505032615856676
7,-0.01595014583598564
8,-0.03287569017241676
9,-0.04248004549930251
10,-0.08132149273394462
11,-0.0730769143293023
12,-0.06602512512304559
13,-0.05937892352958429
14,-0.06237021440101298
15,-0.051078426300407265
16,-0.04960759820779803
17,-0.03826395843007857
18,-0.04028035593086465
19,-0.06130826312897486
20,-0.044203674672327664
21,-0.04430594587204095
22,-0.07612109806394596
23,-0.09722552857465705
24,-0.11262365498679539
25,-0.12743862161884323
26,-0.1024874436284946
27,-0.09600775424267627
28,-0.09461805177857496
29,-0.11435295389089417
30,-0.11769822195682267
31,-0.08440222503083283
32,-0.10133834797166841
33,-0.11328984806984022
34,-0.10469410847869343
35,-0.1195723181270908
36,-0.13127187753130853
37,-0.13412767126374392
38,-0.13909955637655957
39,-0.16715999248000368
40,-0.16177655715656858
41,-0.1526562757846811
42,-0.1542707526915007
43,-0.1647213906628031
44,-0.1650026627756933
45,-0.1575157673234182
46,-0.16679294577747372
47,-0.17218791690736868
48,-0.15715461823700283
49,-0.1555657713414964
50,-0.18066225748530063
51,-0.2087830845120452
52,-0.22311651252700027
53,-0.2210037579629771
54,-0.20834136490505295
55,-0.2073057151938611
56,-0.2187779998873387
57,-0.21527568670585928
58,-0.2059971477722513
59,-0.20625782019403205
60,-0.21305742014485052
61,-0.20565292142579916
62,-0.2117701426700922
63,-0.20855757736699865
64,-0.2221546528887235
65,-0.21478413018036469
66,-0.21919047065031239
67,-0.22869846404189476
68,-0.2285811638343156
69,-0.22979738214319423
70,-0.23257196399671787
71,-0.24713484522922158
72,-0.251805975905548
73,-0.2332039302477581
74,-0.23018694796665884
75,-0.20335372218540437
76,-0.18825698145649872
77,-0.19206808512181883
78,-0.2055374893217432
79,-0.18702727828957322
80,-0.20483151219893747
81,-0.2014270571470146
82,-0.18987175308496396
83,-0.2067782079027516
84,-0.20078917072659763
85,-0.2092883463234051
86,-0.2308611178593496
87,-0.2405732894682675
88,-0.22854866962072695
89,-0.24585721739199018
90,-0.2419072766852649
91,-0.256638030682834
92,-0.24455705995056365
93,-0.23044273981971286
94,-0.22778041622185186
95,-0.2067334564685429
96,-0.20539088383981707
97,-0.20514374759150888
98,-0.2120268139597875
99,-0.20370771533514898
100,-0.2092959561233343
101,-0.2125353484870396
102,-0.20681141588847585
103,-0.19141635864197304
104,-0.19079395248973408
105,-0.17124910247490843
106,-0.18044815714564177
107,-0.18018998382747275
108,-0.17090006196596375
109,-0.15913704743561696
110,-0.16966452355010953
111,-0.14340832515059732
112,-0.12649690349023424
113,-0.10602931172662233
114,-0.10619078186024078
115,-0.08664076652188246
116,-0.07306441561884625
117,-0.08002968936785926
118,-0.06797717505226308
119,-0.05581759345795978
120,-0.0601077440022032
121,-0.05841747827578292
122,-0.05166906586641773
123,-0.0658893914195604
124,-0.06106107563600949
125,-0.06255524386621891
126,-0.05808367151003846
127,-0.04507157985235333
128,-0.02462345476631833
129,-0.009108624662579778
130,-0.007036932980626243
131,-0.026169918942874126
132,-0.02983849734035815
133,-0.03911585902488535
134,-0.018385138954254088
135,-0.04454838423748375
136,-0.036773255607079225
137,-0.019373768572300887
138,-0.02740630973929692
139,-0.017782410910702318
140,-0.02937599974753402
141,-0.029649055077284103
142,-0.027297509580570867
143,-0.025647578964364093
144,-0.030941983334515588
145,-0.036341166451088536
146,-0.03414504427883647
147,-0.07887539031985336
148,-0.06963463414271664
149,-0.05711704510296556
150,-0.06855235848603747
151,-0.07803632794981119
152,-0.04686929966256759
153,-0.03417727163705486
154,-0.06103242654498897
155,-0.060240433485574396
156,-0.03969242821966312
157,-0.022129302815619978
158,-0.02496512925995198
159,-0.0329272782855462
160,-0.02654567093734872
161,-0.0038132983464874703
162,-0.015261659782915382
163,-0.00053893294402374
164,0.0
165,-0.010572829036193276
166,-0.004864685751556186
167,-0.026276159038060576
168,-0.004690952274392424
169,-0.02192111816905562
170,-0.02893337996923373
171,0.0
172,0.0
173,0.0
174,0.0
175,-0.016328647148102893
176,-0.02546916393202414
177,-0.002769182340317311
178,0.0
179,0.0
180,0.0
181,-0.008942159119788906
182,0.0
183,-0.005766515501300695
184,-0.008535513329842592
185,-0.002285110057804185
186,0.0
187,0.0
188,0.0
189,-0.01625867223433619
190,0.0
191,-0.003770794800079802
192,0.0
193,0.0
194,-0.0172926656320479
195,0.0
196,-0.0012350748472632622
197,-0.0030347396067803567
198,0.0
199,0.0
200,-0.0003523840508371512
201,-0.00248109844743849
202,0.0
203,-0.013692900836965838
204,-0.008431797290320509
205,-0.002423996151750152
206,-0.010515346241378953
207,-0.024172425081947613
208,-0.04000686052390989
209,-0.03635004900063521
210,-0.00877317457950133
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,-0.010708112915440937
220,-0.028444294275103532
221,-0.049931977040012954
222,-0.03584730607728848
223,-0.04560817896074254
224,-0.05967382836629653
225,-0.04766798216684798
226,-0.06305689535128589
227,-0.05920377216116457
228,-0.04697415538600502
229,-0.055655873193701355
230,-0.057926732826617866
231,-0.05619158225475818
232,-0.054664143508073804
233,-0.06534320199418997
234,-0.06207786277185723
235,-0.05306558386342486
236,-0.06829459374381996
237,-0.06649592420477413
238,-0.0630051147003936
239,-0.03170390258069278
240,-0.027524950538312498
241,-0.06103906732170017
242,-0.05466228148073182
243,-0.05976022437943351
244,-0.05103947499616435
245,-0.04733389246434683
246,-0.061996614559487795
247,-0.03457386179768318
248,-0.02461496145402564
249,-0.048821795348664265
250,-0.04788080903692005
251,-0.024047115844523903
252,-0.019942450530993527
253,-0.018474433005737034
254,-0.02850819080936695
255,-0.04550465324221842
256,-0.04093324957560851
257,-0.015358136416670054
258,0.0
259,0.0
260,-0.010949688284570769
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,-0.010178884972717794
272,0.0
273,0.0
274,-0.02200774680748041
275,-0.006931896508659552
276,-0.0076967562415796165
277,-0.009456180017481719
278,-0.010667692692658326
279,-0.005996463925972861
280,-0.01222591111850746
281,-0.026729836850732602
282,-0.04998281640768498
283,-0.036360115141328864
284,-0.0638387882483632
285,-0.04999640775378855
286,-0.0554890136370747
287,-0.04516608390732657
288,-0.04743180598118846
289,-0.05677001119362868
290,-0.07444329537055161
291,-0.06414335721793496
292,-0.07295441947281756
293,-0.06555713304862743
294,-0.10120184755279937
295,-0.08407997882090712
296,-0.08871114319830886
297,-0.0827241026796719
298,-0.08803137352578694
299,-0.07600836419893298
300,-0.07650923960652856
301,-0.09233924747591693
302,-0.10220260600185849
303,-0.0973261682004597
304,-0.08041267436131194
305,-0.08155481480120885
306,-0.07326671594133993
