t,drawdown
0,0.0
1,-0.005326191176426742
2,0.0
3,-0.009631842012730707
4,-0.008360043510698079
5,-0.0008357762917152733
6,0.0
7,-0.008995554541577966
8,-0.008705338143481511
9,-0.012417801265774742
10,-0.02367486702972532
11,-0.03342727963998349
12,-0.03038746297335282
13,-0.029595163934825974
14,-0.016043484824235565
15,-0.02900918996260582
16,-0.033807045797003665
17,-0.009391466149995087
18,0.0
19,0.0
20,0.0
21,-0.026755889354881823
22,-0.016134742438806637
23,0.0
24,-0.014436201763902923
25,-0.017724216788546188
26,-0.009023246859505951
27,-0.00435565633877355
28,0.0
29,0.0
30,0.0
31,-0.013013377693227524
32,-0.010826150602570639
33,-0.011700829553574876
34,-0.005548591451772
35,-0.024563149076161972
36,-0.009465731160025581
37,-0.03283097756416142
38,-0.03436994275143701
39,-0.055194229493128355
40,-0.02745714145953493
41,-0.02403125507135817
42,-0.021840523140629786
43,-0.028269134721432554
44,-0.0067631017273789285
45,-0.001992188791785199
46,-0.01669706242864366
47,-0.025827931106428226
48,-0.007953610751263662
49,0.0
50,-0.015590875134033455
51,-0.026074155544965505
52,-0.03132587918154861
53,-0.026872022682162933
54,-0.02218844202043624
55,-0.029061002695577764
56,-0.02336832290652746
57,-0.02354626197761922
58,-0.01936678607026243
59,-0.02547191050881359
60,-0.005079629111755524
61,0.0
62,-0.013530865624079902
63,-0.0070792120893388155
64,-0.015931449908310524
65,-0.02180697667866438
66,-0.00396660434494811
67,-0.017728434959057515
68,0.0
69,-0.0027624633740308546
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,-0.0007198808903539078
76,-0.024569529908105237
77,0.0
78,0.0
79,0.0
80,-0.01874247735640877
81,-0.038964894648133463
82,-0.03737163091715401
83,-0.04572496958703931
84,-0.031492539978898115
85,-0.044035300583507575
86,-0.0582989364673242
87,-0.06055006742512836
88,-0.04989877946911425
89,-0.02280724854857652
90,-0.054850929151273764
91,-0.034758266954505346
92,-0.025452598262436954
93,-0.017208205627946893
94,-0.027589631231962675
95,-0.009531168040035731
96,-0.014486737922496995
97,0.0
98,0.0
99,0.0
100,-0.0024146768169904798
101,0.0
102,0.0
103,-0.0003826983441006515
104,-0.015995563427782966
105,-0.0037222122317720485
106,0.0
107,-0.006764892033547909
108,-0.014521456268566602
109,-0.04017404654944334
110,-0.0321921705289866
111,-0.03194764364228764
112,-0.00955397363913102
113,-0.012879247118536385
114,-0.05018626567384421
115,-0.03399118596109352
116,-0.04223796515433442
117,-0.031524532792012505
118,-0.0268209069208305
119,-0.03820135580848205
120,-0.06444466623017042
121,-0.0705693297291089
122,-0.043185021592212935
123,-0.048595490409823694
124,-0.05464591254273243
125,-0.053334292958744256
126,-0.04079770909734792
127,-0.05865007574354397
128,-0.048404863589325386
129,-0.06623302871237036
130,-0.07077812876532164
131,-0.08384771511797717
132,-0.08795613209846798
133,-0.09970957787433565
134,-0.10306039425122748
135,-0.09538097224343567
136,-0.08826471806716862
137,-0.08566282227435551
138,-0.09160668512088699
139,-0.09508011082733936
140,-0.08965970068866247
141,-0.09831338560969793
142,-0.12730535522190478
143,-0.11141955934468628
144,-0.11422316343402339
145,-0.10261346462269483
146,-0.09972323895436219
147,-0.08920343129071207
148,-0.10610450119220505
149,-0.10417142391186951
150,-0.10287417465658077
151,-0.10850634982611207
152,-0.0934442920856069
153,-0.08493636658776837
154,-0.06524693774504797
155,-0.0647003499889025
156,-0.0636310043036381
157,-0.06642365230725222
158,-0.061371432676376125
159,-0.06315691203922813
160,-0.049231448645954856
161,-0.05225262946210896
162,-0.03300728517519935
163,-0.03844407067666622
164,-0.0376596137244517
