t,drawdown
0,-0.009056960812404258
1,0.0
2,0.0
3,-0.009444516539193537
4,0.0
5,-0.0018781936255652942
6,-0.00099751853543395
7,0.0
8,0.0
9,0.0
10,-0.009953260591441637
11,-0.012987562312187118
12,-0.010780937006222513
13,-0.012351476221855062
14,-0.01661801324981438
15,-0.016253356773696104
16,-0.01009128654983138
17,-0.011631179135215164
18,-0.012846196523765285
19,-0.01016649162764327
20,-0.010120237756033212
21,-0.005281699920552274
22,0.0
23,-0.010732098369094167
24,-0.02778776880439726
25,-0.03070132632275835
26,-0.024349663369290564
27,-0.010224271679297736
28,0.0
29,-0.010772135994413401
30,-0.016104167467783093
31,-0.023927561630198046
32,-0.0289234221256216
33,-0.023978175817608416
34,-0.01960659245274965
35,-0.007343776667296686
36,0.0
37,-0.0047055809415070815
38,0.0
39,0.0
40,-0.011015525359558409
41,-0.026347371627731264
42,-0.010374583706839191
43,-0.026140228835157875
44,-0.02355415543240391
45,-0.023688224716747586
46,-0.02860074278795388
47,-0.043761195911345974
48,-0.05086781939896823
49,-0.05572889919564772
50,-0.047387349190085915
51,-0.06127945558904824
52,-0.06824721941931933
53,-0.03992675026125814
54,-0.03799603399506413
55,-0.03375913309680123
56,-0.03546209752836471
57,-0.0399351798367531
58,-0.03786312567502148
59,-0.020470958886911972
60,-0.05366788113823395
61,-0.028212615133865193
62,-0.0033720343716650003
63,0.0
64,-0.013157578229615718
65,-0.031129134830251592
66,-0.0403237732526428
67,-0.04888400821390093
68,-0.05352342440752089
69,-0.03271312090135847
70,-0.01587331027301697
71,-0.0023563986405410464
72,-0.005425590022742899
73,-0.027058441787979226
74,-0.04065281665957021
75,-0.03629658127414925
76,-0.06295930972182451
77,-0.04417350366715089
78,-0.03695862896525759
79,-0.030820532522229716
80,-0.019715369722550835
81,0.0
82,0.0
83,-0.03079176174082987
84,-0.03682604219738794
85,-0.026175213201967917
86,-0.03447487219541734
87,-0.024259845749717512
88,-0.02692501888095744
89,0.0
90,0.0
91,0.0
92,-0.02714105546615664
93,-0.0039333766058311515
94,0.0
95,0.0
96,-0.014699450553947502
97,-0.023889097635990675
98,-0.03313579946643774
99,-0.0209159914240159
100,-0.01041805152945996
101,-0.007475810469179001
102,0.0
103,0.0
104,0.0
105,-0.009486186051305245
106,-0.018945985731972148
107,-0.012080055355420116
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,-0.016509527358710696
114,-0.024793267679191766
115,-0.023477388430183543
116,-0.010034252193408366
117,0.0
118,0.0
119,-0.018484821049115308
120,-0.03560674341265391
121,-0.020497238328333167
122,-0.006670793180021284
123,-0.004666226533328488
124,-0.013508563621148051
125,-0.017771365576851217
126,-0.021305367086310478
127,-0.011542387551739863
128,0.0
129,-0.015423734954633339
130,-0.03612632154825035
131,-0.05703903395530241
132,-0.07683320289930673
133,-0.06709189948742988
134,-0.0773900202511636
135,-0.07949280044745377
136,-0.0972277510977142
137,-0.059859796781081775
138,-0.0536002108443403
139,-0.06359091720377741
140,-0.06339774031690071
141,-0.08602424315966328
142,-0.06983586002909092
143,-0.08398056966346468
144,-0.11656504441343374
145,-0.11928558482748708
146,-0.13665894767455744
147,-0.11050914613353968
148,-0.11710522101502108
149,-0.12573344050213053
150,-0.11212614486366257
151,-0.10494729071481645
152,-0.12171931628883226
153,-0.1128110466060277
154,-0.09203731329548404
155,-0.0821516700072702
156,-0.0915221730449488
157,-0.07509905338189349
158,-0.07676256095174916
159,-0.08906056554125297
160,-0.08771592610739498
161,-0.11069638754221534
162,-0.09837568049474943
163,-0.07812772221515363
164,-0.07538118828974993
165,-0.07312311936451199
166,-0.07240004352393048
167,-0.05718517534250922
168,-0.056399821281636675
169,-0.04313469551807836
170,-0.06021045534902347
171,-0.05131670408415845
172,-0.04236599267517838
173,-0.054307245636951995
174,-0.03154225539636324
175,-0.04183605678610036
176,-0.06358953330194106
177,-0.05440129906400326
178,-0.04644775504292031
179,-0.04057288010126925
180,-0.047382929807116336
181,-0.014969506425178691
182,-0.04280292004184716
183,-0.03574001245492153
184,-0.036786429433054324
185,-0.03080593833859402
186,-0.025622219285767023
187,-0.019148546178203718
188,-0.0010034297511195556
189,0.0
190,0.0
191,0.0
192,0.0
193,-0.005502153754446404
194,-0.008523265269796743
195,-0.020494675062664558
196,-0.04560676744850378
197,-0.045754989446637806
198,-0.04617898564412948
199,-0.04187558398839197
200,-0.05006805670956982
201,-0.052171026163151946
202,-0.05906681702399985
203,-0.06224173112590248
204,-0.05055693402216932
205,-0.0739960290335292
206,-0.08997868425863742
207,-0.1002899481175874
208,-0.10907369457219784
209,-0.09805190805972974
210,-0.08517452332812359
211,-0.08721363031485274
212,-0.08306833659903445
213,-0.077128145236398
214,-0.0910627073755712
215,-0.08997709604852111
216,-0.09664330737994264
217,-0.12778634753260976
218,-0.13217296594828287
219,-0.15879403149344118
220,-0.1611222081856818
221,-0.1780722381311851
222,-0.18664865862282765
223,-0.16692583057308508
224,-0.16911708294747207
225,-0.15732628306251772
226,-0.1614624377741355
227,-0.1710130680520464
228,-0.17591518348152124
229,-0.161336958021136
230,-0.14770826434026552
231,-0.1800855527171188
232,-0.18305390902668583
233,-0.18325295330324054
234,-0.1713612904301648
235,-0.16425476176381149
236,-0.17663702013285343
237,-0.18761288448961044
238,-0.1943692767625267
239,-0.19682832717643473
240,-0.17903087046182065
241,-0.1776882053461707
242,-0.17409393746079915
243,-0.17384490628402394
244,-0.15756041955126887
245,-0.15170625461906773
246,-0.15227122348216737
247,-0.1371043838818241
248,-0.130049316010441
249,-0.12395322660289643
250,-0.12868510733239036
251,-0.13718509318597005
252,-0.1581802788558061
253,-0.15893216044441816
254,-0.1516264991300511
255,-0.13889870585468966
256,-0.14272617773527174
257,-0.15614240002358326
258,-0.13368089520492699
259,-0.13915153305957628
260,-0.12654112746906998
261,-0.11364858043120873
262,-0.14598300161882516
263,-0.147781555000985
264,-0.13849506389530908
265,-0.14288884167607574
266,-0.13080084365418143
267,-0.1404588922926291
268,-0.15097043584322856
269,-0.1440700955398757
270,-0.14672170529822537
271,-0.13770527081738038
272,-0.13603704710468167
273,-0.13129623456843065
274,-0.10920030626317423
275,-0.11383979492434637
276,-0.10860403057116763
277,-0.10647453064419377
278,-0.1308911292116689
279,-0.1056879987146736
280,-0.10411596039204496
281,-0.10711747744039524
282,-0.08994553074422074
283,-0.08966277414839863
284,-0.09076367525823648
285,-0.10826506412081316
286,-0.09494111953143758
287,-0.11757138312234738
288,-0.1332826870277738
289,-0.12945438617743765
290,-0.11339900228694144
291,-0.12829838592942122
292,-0.1332249638328452
293,-0.12235690594359416
294,-0.12839361785674652
295,-0.13047386059811272
296,-0.12380983762108999
297,-0.09460751496828057
298,-0.07410412981685843
299,-0.05680403270715295
300,-0.059756704763677115
301,-0.05706376782001987
302,-0.03945042978952984
303,-0.054413851874485775
304,-0.05606585057664948
305,-0.04894636162423216
306,-0.04431162933578425
307,-0.05175968962607336
308,-0.061424547501881754
309,-0.04930117008676915
310,-0.02791721320462548
311,-0.02029455530800095
312,0.0
313,-0.017794592420085742
314,0.0
315,-0.012084745602081504
316,-0.01867794043881088
317,-0.02838681402919685
318,-0.01687119419472305
319,-0.04504110048507737
320,-0.041418942718688956
321,-0.0251512560896614
322,-0.03141242916250497
323,-0.02772695563969363
324,-0.03657396092316545
325,-0.06591893283334105
326,-0.061209990709420015
327,-0.05466378146345785
328,-0.0700405772054924
329,-0.051592148025221496
330,-0.06079264629317582
331,-0.05042934256699194
332,-0.04371160260003759
333,-0.029172859296678566
334,-0.03804243234680693
335,-0.036423965552786264
336,-0.05586148630942622
337,-0.05556014991406799
338,-0.05111408549808538
339,-0.049030099043843256
340,-0.05541483239758016
341,-0.060775548655727096
342,-0.058749142311742664
343,-0.054390319055986014
344,-0.07065164528423473
345,-0.04829110797543934
346,-0.05987746799532423
347,-0.05961831311192778
348,-0.0474192614825828
349,-0.06037840049371135
350,-0.07975559523298648
351,-0.08548114694184616
352,-0.0767481564014747
353,-0.0760663325926163
354,-0.07586945329983408
355,-0.08948623412102696
356,-0.10361084219302497
357,-0.09547715270238866
358,-0.10459369171543331
359,-0.10816916879220861
360,-0.09658038698173643
361,-0.10853660421250455
362,-0.10800296735911508
363,-0.10573378567451308
364,-0.11725338853221301
365,-0.13898738065563365
366,-0.1576794962950201
367,-0.19081122610075218
368,-0.21086799573004467
369,-0.21437850229315658
370,-0.19486289083034436
371,-0.21671245916960946
372,-0.22234230332574934
373,-0.21485387899837383
374,-0.21084551881199498
375,-0.2282812109397322
376,-0.20700978732572073
377,-0.19277980812628526
378,-0.19779633991333367
379,-0.19264437925353006
380,-0.18969219179498786
