t,drawdown
0,-0.03288460290452966
1,-0.03335520801633218
2,-0.03508144916678746
3,-0.037772633625261065
4,-0.05146263992750533
5,-0.04579076982216579
6,-0.05836820720241043
7,-0.040533527486174004
8,-0.02059778883961172
9,-0.020051505144975668
10,-0.02638680512109237
11,-0.009184163351964036
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,-0.015999003731335337
20,-0.007095401599638729
21,-0.022102034387962433
22,-0.0060052936182827255
23,0.0
24,-0.010783056888092335
25,0.0
26,0.0
27,-0.012778594143891486
28,-0.0067333500354643805
29,-0.03323674851608582
30,-0.0234884517596321
31,-0.02980444291297546
32,-0.037203309976794885
33,-0.015055609117559321
34,-0.019762812125255325
35,0.0
36,-0.015319747781997628
37,-0.01127235366636481
38,-0.006423557224872867
39,-0.006241537154890953
40,0.0
41,-0.0026519294867214382
42,-0.005658114030702599
43,0.0
44,0.0
45,-0.00959415649934281
46,-0.004009731046580756
47,-0.0055961748727637595
48,0.0
49,-0.0029931500947844025
50,-0.02429851907286995
51,-0.04263742888718647
52,-0.048496415447266794
53,-0.04240325430115088
54,-0.028259646573455366
55,0.0
56,-0.013938886399139871
57,0.0
58,-0.024767537524235994
59,-0.026520025682729487
60,-0.04949052072005811
61,-0.057490049568220125
62,-0.058627318210374146
63,-0.05265611610154841
64,-0.05433804297766587
65,-0.051218081491872236
66,-0.04980758264746932
67,-0.04845957722934091
68,-0.07492932529746399
69,-0.07058393850539746
70,-0.04609760190685752
71,-0.0396608154226894
72,-0.024822393990345804
73,-0.016224526804724304
74,-0.01694264622653141
75,-0.003390046889269027
76,-0.014483485042747324
77,-0.008370304367807613
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,-0.004388391510846357
84,-0.016598468428914326
85,-0.03922287853383266
86,-0.06008057080582896
87,-0.06565381867918707
88,-0.06558289926782557
89,-0.0727245449949071
90,-0.040600358941907055
91,-0.02257679226592002
92,-0.00509521409780489
93,-0.030145908421015832
94,-0.03726856063628026
95,-0.011373681537219626
96,-0.03155326030308059
97,-0.03681353605768212
98,-0.04647626587362719
99,-0.053413396287553816
100,-0.05072165002634732
101,-0.04413401615766621
102,-0.06663967308723484
103,-0.05104090535940864
104,-0.03570370995352912
105,-0.04215838361086233
106,-0.026896563597244683
107,-0.014290312314767517
108,-0.015057185391994299
109,-0.017464020516884005
110,-0.01656220023386301
111,-0.014555939111725036
112,-0.004174660618958326
113,-0.006500353397176806
114,-0.021563598964588038
115,-0.022995255782091384
116,-0.025016242126036703
117,-0.02962679021346526
118,-0.051785893672037564
119,-0.04534688209205229
120,-0.04200990592985143
121,-0.04302867468831817
122,-0.027124165274966305
123,-0.027826717576266646
124,0.0
125,-0.0012741289726638794
126,-0.008991272281573814
127,-0.019644849744797632
128,-0.018893123068891238
129,-0.02299999914130446
130,0.0
131,-0.013045666849639148
132,-0.0037864725965409685
133,-0.004123521682533382
134,0.0
135,0.0
136,-0.00023261556465037359
137,0.0
138,-0.0006062079348910787
139,0.0
140,0.0
141,0.0
142,0.0
143,-0.013652403546936642
144,-0.004712500136906161
145,-0.001693214936395182
