t,drawdown
0,-0.010637371238224946
1,0.0
2,-0.0017278408668075507
3,0.0
4,-0.0038157723920606568
5,0.0
6,0.0
7,-0.012158032220532577
8,0.0
9,0.0
10,-0.002255006974999141
11,-0.02488251450235035
12,0.0
13,0.0
14,-0.006101913655580993
15,-0.024603082671411203
16,-0.03834227719962746
17,-0.025883190681039503
18,-0.031098583967667848
19,-0.05016385934307299
20,-0.03429550457028019
21,-0.027636465088845652
22,-0.027487097687176276
23,-0.02546349764929612
24,0.0
25,-0.006812881292525108
26,-0.01605952472078842
27,-0.008081026160177363
28,0.0
29,-0.010392194511643305
30,-0.01798079952613263
31,-0.03183499812166635
32,-0.05478651979943383
33,-0.05822684822051949
34,-0.04962749688534851
35,-0.044790952348253366
36,-0.06423618953603372
37,-0.051880938638914076
38,-0.026308308139660452
39,-0.00981208044683346
40,-0.01690435708903104
41,-0.01769901143914543
42,-0.007319480408109036
43,-0.009295608966827018
44,-0.025368852654059637
45,-0.0317896346699752
46,-0.0491265780978819
47,-0.05957625423746993
48,-0.06998151574698963
49,-0.08843007772882205
50,-0.10498849159894186
51,-0.09969061741204222
52,-0.10367742171289718
53,-0.10342103184904672
54,-0.08398808826538617
55,-0.09663330038138496
56,-0.10216161873899565
57,-0.09257954522774203
58,-0.09136440617533392
59,-0.10288070805337357
60,-0.10063426184348712
61,-0.10789484341806455
62,-0.12309994616892994
63,-0.11788509613483789
64,-0.11983953238068001
65,-0.12637816630850707
66,-0.1105391282652245
67,-0.12691320177063814
68,-0.1511035046535938
69,-0.14264821770497838
70,-0.14417916243974127
71,-0.14564519021053168
72,-0.11570287398460222
73,-0.11679873572091337
74,-0.12395271528011031
75,-0.12126711140142932
76,-0.11738315351846618
77,-0.12659081326640176
78,-0.10991321146841992
79,-0.09330489271897946
80,-0.11062799697816594
81,-0.07618159949516168
82,-0.09800901945058993
83,-0.07763128167266597
84,-0.05420637106556658
85,-0.03117120838501586
86,-0.040132437135389165
87,-0.0409957283001563
88,-0.06196459029230306
89,-0.05357127852167043
90,-0.05520257676274498
91,-0.05915318433538608
92,-0.052252534917071936
93,-0.04829690479203619
94,-0.032957788806603605
95,-0.044347558541153576
96,-0.0411666923601427
97,-0.02161307531313572
98,-0.007970406637732408
99,-0.0021604524549343473
100,-0.02756435860618367
101,-0.008186431464033306
102,-0.0059317315253355485
103,-0.02913569339397304
104,-0.014678961163163695
105,-0.01532623008265721
106,-0.01887224633049145
107,-9.966398617999861e-05
108,0.0
109,-0.009507565148295205
110,-0.0228446866977825
111,-0.01761561193611605
112,-0.028759509720839405
113,-0.02756406935321587
114,-0.02880790679005729
115,-0.0708467560893824
116,-0.0796293323052325
117,-0.08560123387345009
118,-0.09804694472668396
119,-0.08518765351327817
120,-0.08514481847725686
121,-0.08790335178678932
122,-0.06608346590523151
123,-0.06243892049073407
124,-0.05418590285676217
125,-0.06273899199271171
126,-0.08143133469519848
127,-0.09491373663310954
128,-0.10868395824659771
129,-0.0917577570424225
130,-0.07408350407937869
131,-0.05511835031268719
132,-0.05881316890338695
133,-0.048934594411538246
134,-0.04159960393363915
135,-0.06918743453568621
136,-0.0779680174071593
137,-0.07036945293639685
138,-0.05591028194824699
139,-0.055988548986257713
140,-0.04273837023747462
141,-0.049059199910420515
142,-0.06332014981174872
143,-0.06631243696378253
144,-0.062084457670580684
145,-0.0749172384935195
146,-0.0711679534849764
147,-0.0806280285091655
148,-0.05392863791113156
149,-0.043470317967391314
150,-0.03449894395082653
151,-0.02007627188157779
152,0.0
153,0.0
154,0.0
155,0.0
156,-0.021363902793660294
157,-0.01657831270444121
158,-0.023982271586081128
159,-0.028993088728118788
160,-0.040342618629300775
161,-0.033671702845023965
162,-0.025646545376892704
163,0.0
