t,drawdown
0,0.0
1,-0.04306582794565461
2,-0.0740899426338969
3,-0.07117327797524109
4,-0.07838729976116754
5,-0.09460149102166893
6,-0.10634402175450319
7,-0.08676712763517813
8,-0.0883580567483736
9,-0.09523964893217918
10,-0.08763845698651829
11,-0.08474367753117185
12,-0.09499097857965888
13,-0.10281312198383818
14,-0.10726600800083086
15,-0.09202985370092187
16,-0.08046012343524911
17,-0.06329943894792955
18,-0.06451630168184608
19,-0.05761827535901776
20,-0.062283740699196954
21,-0.06610891643419303
22,-0.046888678381045046
23,-0.06503818863369981
24,-0.07295886547320163
25,-0.08771007663044506
26,-0.08475028660290196
27,-0.06649376235379145
28,-0.08491551053598534
29,-0.07912916499480438
30,-0.06795622274568658
31,-0.08279043719746693
32,-0.09909091759659716
33,-0.09440180096505901
34,-0.10171895356319038
35,-0.07507449243939124
36,-0.08599574567327628
37,-0.07491602688310228
38,-0.0606425655581293
39,-0.08758129137801751
40,-0.08645992647890144
41,-0.08766191395086564
42,-0.0886566555050683
43,-0.0904538972293546
44,-0.10596394294328004
45,-0.11293466352682457
46,-0.12360686858674397
47,-0.12176594547469044
48,-0.11271795793279138
49,-0.12714525112942343
50,-0.13662580688277137
51,-0.13414983815013437
52,-0.14510951304452335
53,-0.15753656440396702
54,-0.15010261136562675
55,-0.1406846833559967
56,-0.12175564723704557
57,-0.10579630739949308
58,-0.11106290559854826
59,-0.10821929782639583
60,-0.12186062439974032
61,-0.10097962228512569
62,-0.08075080450559635
63,-0.09501918439314327
64,-0.09334702599029487
65,-0.08020667345179155
66,-0.0787461629928421
67,-0.07998891784637019
68,-0.0456183836293369
69,-0.0471159564352005
70,-0.04500968320957466
71,-0.045037927686779056
72,-0.03137422641930443
73,-0.05610447464742019
74,-0.0313012325589036
75,-0.017423871571472294
76,-0.009648567822992171
77,0.0
78,-4.6662901259320044e-05
79,0.0
80,-0.008825326642994513
81,0.0
82,-0.006444665667366123
83,0.0
84,0.0
85,-0.013106193821944445
86,0.0
87,-0.014118551206428132
88,-0.007088016892192739
89,0.0
90,0.0
91,-0.001782094742989515
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,-0.0026778367273162518
98,0.0
99,0.0
100,-0.007142061081389595
101,-0.0194714530583453
102,-0.006058792991897044
103,-0.006496018752820465
104,-0.005874794842497977
105,0.0
106,0.0
107,-0.012344124840699688
108,-0.0008495212279421294
109,-0.0035825252851771072
110,0.0
111,0.0
112,-0.0026402927107790353
113,-0.010379250705195409
114,-0.015392787357893178
115,-0.05688947028945779
116,-0.04613147640577364
117,-0.03404540267970613
118,-0.011027453831405465
119,-0.0185692432954907
120,-0.004699162313479666
