t,drawdown
0,0.0
1,-0.011228513662044803
2,-0.01905591001873408
3,-0.007370448146597708
4,0.0
5,0.0
6,0.0
7,0.0
8,-0.004000011931995284
9,0.0
10,-0.005885620997333585
11,-0.011204609883686545
12,-0.0062149358822061185
13,-0.011693113001716937
14,-0.026398017489220216
15,-0.036521412003541975
16,-0.03447567022497666
17,-0.03585908908576885
18,-0.03685872535888779
19,-0.03703440173396966
20,-0.034128438002922534
21,-0.026094335487295228
22,-0.0076241021048150115
23,-0.004407753003126902
24,-0.0021097734126155343
25,-0.011614143409949818
26,-0.01487375746797992
27,-0.011217061032608666
28,0.0
29,-0.007270318236801909
30,0.0
31,0.0
32,0.0
33,-0.008201666855717216
34,-0.018294786489860493
35,-0.008331462445533067
36,-0.013506528004306406
37,-0.0006041440527689845
38,0.0
39,0.0
40,-0.01608247602049062
41,-0.0206052505816281
42,0.0
43,-0.007963380218080962
44,-0.015231748167654269
45,-0.0010076650069537063
46,-0.015630339922019232
47,-0.022658608364544808
48,-0.04949992452840013
49,-0.06068118476552253
50,-0.06015076816640896
51,-0.06660705627032892
52,-0.060700453343344174
53,-0.055044958898137764
54,-0.027843330550513357
55,-0.03725266746069955
56,-0.01859476212155209
57,-0.014186221560263945
58,-0.031894102576479844
59,-0.007321795656938468
60,-0.0014737517632237296
61,0.0
62,-0.013945443082132858
63,0.0
64,-0.011807039570588485
65,-0.009585838368318722
66,-0.00441198733375181
67,-0.018533433705923863
68,0.0
69,-0.004615772364877091
70,-0.007834665275461616
71,-0.007790140821183011
72,-0.006741577356403017
73,0.0
74,0.0
75,-0.016342572907716013
76,-0.022987466565920767
77,-0.016095447450163003
78,-0.01705935964653227
79,-0.032272606624330624
80,-0.025057214681976414
81,0.0
82,-0.010781805787228316
83,-0.02695330030182963
84,-0.021478800686393962
85,-0.03394195625431495
86,-0.041100596881243234
87,-0.03259012524473548
88,-0.0525759931023585
89,-0.03765767404265985
90,-0.04289284711957275
91,-0.0463500798085944
92,-0.04157755909255534
93,-0.014496113395946364
94,-0.003294067285057989
95,0.0
96,0.0
97,-0.008131631658117477
98,-0.010441674579324989
99,0.0
100,-0.010953877549481628
101,-0.021017396850421477
102,-0.014486459955158626
103,-0.0203841336118169
104,-0.005149182249186701
105,-0.001303985339825453
106,-0.002961404540718915
107,0.0
108,0.0
109,-0.008315804170344832
110,-0.032339497985959254
111,-0.02230297042582774
112,-0.01627094263095663
113,-0.011101112966630522
114,-0.010430074568919423
115,-0.03840407505876975
116,-0.03505540276871999
117,-0.04923591262687388
118,-0.04504033839220978
119,-0.04759380010159209
120,-0.05612311178056628
121,-0.06409966332299155
122,-0.07030156175598168
123,-0.04549816316367894
124,-0.0377211255913934
125,-0.037265806559695136
126,-0.010067657336192526
127,0.0
128,-0.026582154541877512
129,-0.019021106133409016
130,-0.04076972039265292
131,-0.04149158092234362
132,-0.0486092710951479
133,-0.06256987147949333
134,-0.04701201742457373
135,-0.04830129664179361
136,-0.07077832729163946
137,-0.05634924994634993
138,-0.05270812769607347
139,-0.038714327707314755
140,-0.05373467337599713
141,-0.04100287698750138
142,-0.03274760208844485
143,-0.037302521843478265
144,-0.04835666718059195
145,-0.033239508962554454
146,-0.02522983035355697
