t,drawdown
0,0.0
1,-0.0035136882931664504
2,-0.00525666722360596
3,-0.017777206294525616
4,-0.028583828477539708
5,-0.045458114048152254
6,-0.030335579286737135
7,-0.03232045333500411
8,-0.047943345492394096
9,-0.033929086211363035
10,-0.026506775494347323
11,-0.02331727427187158
12,-0.023875710711278586
13,-0.031334002784758064
14,-0.028733372436324234
15,-0.024121682613443385
16,-0.004624654983787724
17,-0.009568796763332443
18,-0.028278548740770848
19,-0.02687988307584943
20,-0.025285467699995068
21,-0.011057117210884537
22,-0.0196111182184443
23,-0.03018934537929463
24,-0.029093583006357226
25,-0.044978076614140994
26,-0.05092093008362952
27,-0.057435237749814405
28,-0.03508149167340846
29,-0.01595407523531056
30,-0.007914360382219265
31,0.0
32,0.0
33,0.0
34,0.0
35,-0.015297573840356682
36,-0.008261836710636294
37,-0.01871048436188305
38,-0.03840446533255104
39,-0.025729338968543902
40,-0.03287174894078404
41,-0.02759322159269484
42,-0.034380204194006336
43,-0.04527449270192596
44,-0.040788462904751466
45,-0.04371063000134623
46,-0.035401405385394935
47,-0.020162786688417977
48,-0.018901492343633253
49,-0.019721793392685094
50,-0.012301960441693738
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,-0.03028978298550211
60,-0.05026459040891473
61,-0.07043976594202461
62,-0.08909122971026573
63,-0.09623504317761111
64,-0.07538006812476283
65,-0.08677190349257768
66,-0.1079821231003869
67,-0.11220719355207065
68,-0.11960810411035849
69,-0.10585900057527797
70,-0.10518875402354777
71,-0.12672874369916876
72,-0.11951591135567152
73,-0.10857701357811844
74,-0.11681051546704369
75,-0.11975463916258167
76,-0.13114750306357492
77,-0.13940051199476822
78,-0.13186059064067734
79,-0.12376016028353454
80,-0.1291342708770964
81,-0.1247644344793335
82,-0.12462473572697408
83,-0.1714800109710558
84,-0.1923118165299177
85,-0.19100569657803224
86,-0.19958090363716896
87,-0.18734425061021653
88,-0.17934853327077527
89,-0.1826060813095206
90,-0.17182923190689114
91,-0.15190638000440593
92,-0.14301160031633386
93,-0.14182930701420016
94,-0.1365245620301797
95,-0.14001292830632472
96,-0.13084240421570936
97,-0.13009847609792413
98,-0.12456101598259028
99,-0.12774453933500185
100,-0.14362355928521486
101,-0.16182637124833754
102,-0.17065872654571335
103,-0.18960256410043141
104,-0.16737664288742682
105,-0.16937212931920254
106,-0.18610974743571618
107,-0.19937345519889416
108,-0.19669836811500097
109,-0.2090906629799637
110,-0.22226088561564306
111,-0.2137625937641564
112,-0.22474832173047687
113,-0.2341313860240144
114,-0.23360947015730682
115,-0.22851738664265275
116,-0.23049403587418105
117,-0.22933375769815478
118,-0.22578416267047074
119,-0.21534554776734505
120,-0.21411466966093118
121,-0.1960797319491583
122,-0.20054515791567962
123,-0.2171585999199468
124,-0.20389535933853864
125,-0.2206312832234073
126,-0.2183733716255175
127,-0.2297268614086566
128,-0.2277285171371346
129,-0.238964066300274
130,-0.2411218524621126
131,-0.22395211356971667
132,-0.22706141125157198
133,-0.22732449207575078
134,-0.22503440139917208
135,-0.23934910943999232
136,-0.24798560760398314
137,-0.24684493826017995
138,-0.25048266444472955
139,-0.24857463506663668
140,-0.24277067782803885
141,-0.2644001606247003
142,-0.25505472429972686
143,-0.24809173351616853
144,-0.24915902192450268
145,-0.22685614831279843
146,-0.21263015224003234
147,-0.2280242092478043
148,-0.2459007927390835
149,-0.23575570946715085
150,-0.23328089817303344
151,-0.23239996263798912
152,-0.22690436176323348
153,-0.22538986901825075
154,-0.2004869547498329
155,-0.1834951377243118
156,-0.18254272871235144
157,-0.1765281896864479
158,-0.19597628589898863
159,-0.20440136014027
160,-0.193007802421849
161,-0.20108410661499598
162,-0.19868153827967894
163,-0.21256525760905542
164,-0.20895493277416366
165,-0.20123002103041943
166,-0.19258695747999566
167,-0.1845775511974712
168,-0.17096858274150106
169,-0.17234873092354708
170,-0.1503344008013241
171,-0.13910935535462987
172,-0.13040465320365324
173,-0.15612711179365946
174,-0.1589003829434068
175,-0.16761940387613194
176,-0.17030145675160524
177,-0.16464006142619825
178,-0.19035723496594292
179,-0.19992648808233127
180,-0.20901953101109516
181,-0.19783092936737368
182,-0.19986245751329468
183,-0.22135982691626177
184,-0.2103350993278974
185,-0.2063082924113696
186,-0.1890271276650617
187,-0.18481817615856233
188,-0.16779883684540353
189,-0.15354690337970578
190,-0.1623481597324884
191,-0.16966637265477524
192,-0.17759890506333387
193,-0.18963935634601115
194,-0.20646060784239617
195,-0.23305132411777907
196,-0.22775850111481433
197,-0.24393855558019772
198,-0.27270310626306427
199,-0.2840394168524383
200,-0.2878933959027806
201,-0.27659219883781727
202,-0.28007614220488974
203,-0.27959358706493553
204,-0.2894746195126312
205,-0.2985381085333133
206,-0.28701741354705845
207,-0.285246433831133
208,-0.28309991265129286
209,-0.29944843749316297
210,-0.29925614189797645
211,-0.30757362445825553
212,-0.304371220819718
213,-0.30120217576673236
214,-0.3020754825053722
215,-0.30300360425574036
216,-0.31141611742531405
217,-0.32187169199957755
218,-0.3223961048382218
219,-0.3121542485280112
220,-0.32047093531300097
221,-0.31835982102084504
222,-0.31178162610089466
223,-0.3101582596368071
224,-0.3158283850121175
225,-0.32484634285445013
226,-0.3174290425538441
227,-0.31935036278394824
228,-0.32259250368332704
229,-0.3172208737759743
230,-0.31830796104914805
231,-0.31304345086271135
232,-0.2983083814205134
233,-0.2960648832278179
234,-0.3015585756837371
235,-0.2843370494481058
236,-0.2806269591270729
237,-0.2772212786566578
238,-0.2873976661035631
239,-0.2763628346093794
240,-0.29666618893345087
241,-0.3072696232351966
242,-0.31852105095760397
243,-0.3202994115993921
244,-0.31562169537640716
245,-0.33150105935413343
246,-0.33787293181904354
247,-0.3356910145982761
248,-0.3452472185226998
249,-0.34869964318059066
250,-0.3560725737437793
251,-0.363711878319119
252,-0.3716422915021059
253,-0.36223689066006715
254,-0.35064505330672757
255,-0.35683359316940955
256,-0.36016393826777326
257,-0.3650732663497138
258,-0.34986072196660467
259,-0.3374685396118664
260,-0.3538027122712988
261,-0.3562817072423823
262,-0.36131645992524597
263,-0.36045028060642736
264,-0.3592454223365923
265,-0.36173204670652914
266,-0.3590233798710166
267,-0.36251813353631324
268,-0.36422506315206427
269,-0.366632793682521
270,-0.3882410130519973
271,-0.38035270843682156
272,-0.37552314774191564
273,-0.3619064991599803
274,-0.35025092741004105
275,-0.3390616549368297
276,-0.35773069298094495
277,-0.38868174591092974
278,-0.38801101193896315
279,-0.39816731577223363
280,-0.40349393993979776
281,-0.4144294006588609
282,-0.43803137539810144
283,-0.42997421184982854
284,-0.4250090720457933
285,-0.42101379212030066
286,-0.43594642392761984
287,-0.442634567228961
288,-0.44520324702691394
289,-0.4554894295261913
290,-0.4482731658976121
291,-0.44173098424081225
292,-0.4628150369748627
293,-0.46485203655420704
294,-0.4495506154924934
295,-0.42745202072950206
296,-0.4379383076487149
297,-0.41778811878553246
298,-0.4166676746221514
299,-0.42452724462342717
300,-0.4262691034667213
301,-0.4178701107999454
302,-0.4090733523693423
303,-0.3946863673587174
304,-0.40299672257099084
305,-0.39195893566635
306,-0.40393363126498794
307,-0.39751212474590025
308,-0.40061337762538407
309,-0.40058421450395276
310,-0.3942261776702577
311,-0.39445537127284647
312,-0.39310657117515935
313,-0.39242975068539454
314,-0.3896262882892745
315,-0.3885027622125793
316,-0.3865130238926424
317,-0.36590386499531546
318,-0.367232698610239
319,-0.3839745000263646
320,-0.3828064246825893
321,-0.40038863209966247
322,-0.3989117109812227
323,-0.40286139874983684
324,-0.4004621307271363
325,-0.4086496580982042
326,-0.4139058057330357
327,-0.42778685820559637
328,-0.4357399514728961
329,-0.4318628154185167
330,-0.4433279516268057
331,-0.43626853836890045
332,-0.4289762621400598
333,-0.4119356867598454
334,-0.4193340432227325
335,-0.4247553324546799
336,-0.40964831553881553
337,-0.4095307029308909
338,-0.40710956374563934
339,-0.4091408356234979
340,-0.41265323521019337
341,-0.4074143541809099
342,-0.3894903896902676
343,-0.38637866079952665
344,-0.384618564028259
345,-0.3836616244782829
346,-0.36962153271925324
347,-0.35007930328858705
348,-0.34069546115897875
349,-0.35407872497099635
350,-0.34572703237030145
351,-0.35163647449132573
352,-0.35850939867933107
353,-0.352184730110615
354,-0.3391028757241866
355,-0.3545348723010058
356,-0.3608443893242129
357,-0.35326928132233504
358,-0.3757490562215644
359,-0.3645619260054722
360,-0.36877614517652335
361,-0.37660317969551305
