t,drawdown
0,0.0
1,0.0
2,0.0
3,0.0
4,-0.0133101595843087
5,-0.0019385555583599778
6,-0.009331562056089315
7,-0.027263641661158133
8,-0.0360487634654314
9,-0.04539449319317346
10,-0.021434158627301914
11,-0.021606332537290607
12,-0.006043646564395266
13,-0.02626307584127696
14,-0.0077952941847663215
15,-0.026741637660545936
16,-0.040417614851325
17,-0.02383480670615734
18,0.0
19,-0.010727489919524658
20,-0.025925874174188568
21,-0.03452183061149927
22,-0.0435463615471785
23,-0.04683354307914456
24,-0.05433000004007271
25,-0.03961188248533154
26,-0.04573888302452944
27,-0.058278114367473766
28,-0.05694728029646745
29,-0.04059837226606278
30,-0.04598555774859958
31,-0.05431349070203084
32,-0.06283460438929322
33,-0.0510521204404536
34,-0.03674853144999679
35,-0.04896146134646806
36,-0.06609901807807517
37,-0.04146312704788924
38,-0.04479015384167151
39,-0.023261326806237492
40,-0.035982918831586996
41,-0.03571506296045446
42,-0.04741005746259819
43,-0.03050748533291814
44,-0.0210773306783667
45,0.0
46,0.0
47,-0.011039417242753036
48,0.0
49,0.0
50,0.0
51,-0.0038215382767663453
52,0.0
53,0.0
54,0.0
55,-0.011834633017907548
56,-0.006752447121478156
57,0.0
58,0.0
59,0.0
60,-0.0011746185037091461
61,-0.011796320676165761
62,-0.04017540766830252
63,-0.05899664326568921
64,-0.06139273877605689
65,-0.06727707067614663
66,-0.04139807077379931
67,-0.020750541185567628
68,-0.01642307507750651
69,-0.005291325926272683
70,-0.024648708858161172
71,-0.03688455464117468
72,-0.0814151338434973
73,-0.06400162184120772
74,-0.06021677187074548
75,-0.07041274002569442
76,-0.08551091436363789
77,-0.09049356598129699
78,-0.08680985433910826
79,-0.0930817693749546
80,-0.07861669227797408
81,-0.07888424385568982
82,-0.09388818309494795
83,-0.10290251940447126
84,-0.11061564827249393
85,-0.11305835257526542
86,-0.12371873070603567
87,-0.10075903123876018
88,-0.07997633634016921
89,-0.07624974686961938
90,-0.10758224497599611
91,-0.13061498811226135
92,-0.12164731777196058
93,-0.11418662056049333
94,-0.12003825364635223
95,-0.10361838301086623
96,-0.12534365460360386
97,-0.13330613225919608
98,-0.15491855246886177
99,-0.1688886206005673
100,-0.18042444468157648
101,-0.1695380999980297
102,-0.1483365906739349
103,-0.13740528375479644
104,-0.11982804330020269
105,-0.10241425623885969
106,-0.09043413368271025
107,-0.08366498977307701
108,-0.07001732360174939
109,-0.06457012086922698
110,-0.06969257513082394
111,-0.07190940931237344
112,-0.06231746043956088
113,-0.07704402869480842
114,-0.08474044583725127
115,-0.07794001196559308
116,-0.05180628804880638
117,-0.05879503078485904
118,-0.0397876552932499
119,-0.03733824697693289
120,-0.045235545888935746
121,-0.03405400817546089
122,-0.054552381391425264
123,-0.06431241937316001
124,-0.06798267645194866
125,-0.07167998136730513
126,-0.06394391170577585
127,-0.05928800541829693
128,-0.0719187619332835
129,-0.08275837711373235
130,-0.09629800274630573
131,-0.11398909330536122
132,-0.1227526510423409
133,-0.125249525851165
134,-0.12711104285161567
135,-0.12896692537830368
136,-0.11445393390323233
137,-0.11648710114435523
138,-0.12009648380232296
139,-0.10555008903709706
140,-0.11158439687099742
141,-0.12229252025229487
142,-0.11328105845840897
143,-0.11456270541731828
144,-0.10305971885641385
145,-0.07765321170826678
146,-0.10305897623000693
147,-0.0768722852025363
148,-0.0734687949671744
149,-0.08500216823338502
150,-0.11698140633716181
151,-0.11879556015089832
152,-0.1109727574336975
153,-0.11120506514877915
154,-0.10481786568455476
155,-0.1007075107248232
156,-0.09761912758062852
157,-0.08997259472261632
158,-0.11182975631326597
159,-0.10887998016870093
160,-0.12248166782532666
161,-0.12597680282128798
162,-0.12955628829263466
163,-0.13684422986019595
164,-0.11860137525301029
165,-0.12504736075223788
166,-0.12430735974316276
167,-0.11347628829670808
168,-0.1182907579910264
169,-0.09702980808757056
170,-0.09370616651941
171,-0.08361940195223849
172,-0.08813296141188465
173,-0.08917791385381113
174,-0.08641412378932622
175,-0.10347972819326645
176,-0.09524032101002289
177,-0.11697404351215046
178,-0.11993941629105109
179,-0.11157574667726322
180,-0.09944086054952594
181,-0.08395236296893216
182,-0.08894880331222632
183,-0.11967666135862165
184,-0.11873395163103295
185,-0.12972272896537218
186,-0.11433191858977276
187,-0.12292649317518078
188,-0.12696090807009064
189,-0.14654161412085132
190,-0.1267083046765649
191,-0.09582062351977261
192,-0.08028594731289751
193,-0.07187388352747592
194,-0.06941392487006393
195,-0.06683844455908805
196,-0.07519983510480932
197,-0.08694386495159889
198,-0.06656328452721927
199,-0.0710136597335842
200,-0.06944266951324485
201,-0.09249154827511519
202,-0.08599015285903522
203,-0.08243926633515675
204,-0.07404144014816216
205,-0.08140096663745577
206,-0.07943050641371241
207,-0.07713903112608422
208,-0.07615183437083584
209,-0.08035983478751396
210,-0.10422459446365939
211,-0.12354741091571753
212,-0.1106069216950073
213,-0.13767232719787004
214,-0.13534091904593015
215,-0.13989682963830397
216,-0.13631733401289547
217,-0.13511148051032817
218,-0.11643151670230245
219,-0.12599569761128848
220,-0.11455663609167976
221,-0.10103733763762013
222,-0.10142337665505607
223,-0.08945528434527383
224,-0.09004636923409226
225,-0.09477915790786173
226,-0.08028572256305622
227,-0.05311252367257413
228,-0.02868894568544733
229,-0.04598114736506764
230,-0.03353794121243925
231,-0.01983710443843356
232,-0.016783302559463587
233,-0.020932590786916117
234,-0.018617394546175392
235,-0.014932443009711305
236,-0.015935130475155268
237,-0.00030336951278964186
238,-0.0075917428536330656
239,0.0
240,-0.000867908292542241
241,-0.013127499076688087
242,-0.01394116578567628
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,-0.00258787234445379
250,0.0
251,0.0
252,-0.04919915945005915
253,-0.04843949961416294
254,-0.03652468813697174
255,-0.023936181125507994
256,-0.009129910351245996
257,-0.008138976352630278
258,0.0
259,0.0
260,-0.011925098058663597
261,-0.026739768828941912
262,-0.015009626647225272
263,-0.03783074785296625
264,-0.023685199485167563
265,-0.031312451680701625
266,-0.012624924786590053
267,-0.010572405657583994
268,0.0
269,0.0
270,0.0
271,-0.012684211525337274
272,-0.0065977484163081135
273,-0.01114623927921321
274,-0.006807560528113932
275,-0.008431490623711846
276,-0.013229286591724954
277,0.0
278,-0.0043072540823659855
279,0.0
280,0.0
281,-0.028597287995688725
282,-0.06116043772211621
283,-0.05024629596761887
284,-0.04953913405885124
285,-0.05386710404319106
286,-0.05341192185179611
287,-0.04543260159469398
288,-0.029299630577523272
289,-0.06904318287861044
290,-0.05623390307553966
291,-0.052356279117209525
292,-0.07108238559296798
293,-0.06863801464796027
294,-0.07142848902818932
295,-0.07283003857057013
296,-0.06695630856104784
297,-0.06493265676883586
298,-0.04028872976084341
299,-0.0340045564212309
300,-0.03767956595990152
301,-0.035928182895170746
