t,drawdown
0,-0.0014605171068656775
1,-0.019793354660488927
2,-0.021506249810123945
3,-0.006464506213726184
4,-0.013350618772617895
5,-0.0199004183192103
6,-0.04183893284218232
7,-0.020855953661878424
8,-0.024904792382669405
9,-0.014791492119966998
10,-0.02582546024679666
11,-0.03426861434884998
12,-0.019038893961551784
13,-0.013019938629890815
14,-0.01580803006472986
15,-0.028588296434731264
16,-0.022520764894430445
17,-0.029781008698794742
18,-0.04918540037598307
19,-0.04821767990325154
20,-0.0518509859960391
21,-0.032992630774037135
22,-0.028858863648550392
23,-0.009165572407227263
24,0.0
25,-0.011338416556310849
26,-0.022907802287088108
27,-0.009758753493792849
28,-0.006677550512045438
29,-0.004519998742283482
30,-0.011735009290803289
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,-0.00695776720642749
39,0.0
40,0.0
41,-0.02152637368772714
42,-0.02149338036729742
43,-0.019609024260878738
44,-0.03452653422799157
45,-0.028135741292497962
46,-0.03548798879377579
47,-0.04202627675413573
48,-0.03345000318923341
49,-0.03836600984916405
50,-0.015100769317580087
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,-0.019919624396046
57,-0.02619259261518969
58,-0.013544424663082033
59,-0.019545500285428674
60,-0.005849501636406185
61,-0.00858618553639201
62,-0.0015642054618363321
63,-0.011613338603701395
64,-0.014547025214210252
65,0.0
66,0.0
67,-0.005596821313796241
68,-0.008240212522984014
69,0.0
70,0.0
71,-0.009036115996053029
72,-0.01336954036844118
73,0.0
74,-0.01229048632053209
75,-0.0017406064239842145
76,-0.0042809166575977775
77,-0.0032549554206341424
78,-0.0007254425928444608
79,-0.010451098991000829
80,-0.023920646960455594
81,-0.026785724814402445
82,-0.029169086111939357
83,-0.04244226494685299
84,-0.04611941405935038
85,-0.051830492889373136
86,-0.06532750790610709
87,-0.0785866597395194
88,-0.08642393230804235
89,-0.09115674647668481
90,-0.08884085804714192
91,-0.0902106426176168
92,-0.09380178125152516
93,-0.09345733262872769
94,-0.10517238216919633
95,-0.09892550986181736
96,-0.09585429848405203
97,-0.09779705270384254
98,-0.09956014472003882
99,-0.10330850468055053
100,-0.09705141160316166
101,-0.08992503248290562
102,-0.09881206643204288
103,-0.09951703105275345
104,-0.0966032418553926
105,-0.0884679213887355
106,-0.09229508475475245
107,-0.0881705070796609
108,-0.08445861993312054
109,-0.08312039478347977
110,-0.08396417614794804
111,-0.09314080372215283
112,-0.10456424850498958
113,-0.09963200415875095
114,-0.09972386321685345
115,-0.10324988637810217
116,-0.121049325327242
117,-0.1330324731895537
118,-0.1781251890607386
119,-0.1784896772125687
120,-0.17958330179463833
121,-0.18570016481414586
122,-0.19286580759248573
123,-0.1974800755233711
124,-0.17616095686251065
125,-0.17988142836866272
126,-0.19963548187770352
127,-0.20606745586373032
128,-0.20527904505420214
129,-0.20447879013030024
130,-0.2162329787842049
131,-0.21462865521701135
132,-0.21583223242907323
133,-0.22819483112102168
134,-0.23548321747881495
135,-0.24064856843259463
136,-0.24227939042582203
137,-0.24132168004488874
138,-0.2309680540725687
139,-0.23113816934135123
140,-0.21525733156790705
141,-0.22585647537926212
142,-0.22124838064523533
143,-0.22070755570923284
144,-0.21407994541660047
145,-0.20670377446219035
146,-0.2058161275583924
147,-0.19528487256967764
148,-0.1948190139463576
149,-0.19258929167881655
150,-0.19829804170896637
151,-0.20830681188326516
152,-0.19771314519692718
153,-0.1902639188538655
154,-0.18514422193914049
155,-0.17510416991283506
156,-0.16045853412459543
157,-0.1719537919087738
158,-0.16644704097250274
159,-0.1626618679840598
160,-0.16353855891123703
161,-0.13210428297451304
162,-0.1213574865972199
163,-0.12734800322542372
164,-0.1503895764364973
165,-0.15526911412725042
166,-0.13405606057407338
167,-0.12890032469385493
168,-0.14146047570079845
169,-0.1411358222288377
170,-0.12959528555268196
171,-0.14976666098061076
172,-0.16607783024841472
173,-0.15937681612133503
174,-0.156103812823702
175,-0.16321778230104322
176,-0.16698426873771433
177,-0.17587775737030176
178,-0.1597337214226221
179,-0.16919347928214812
180,-0.16976057814061873
181,-0.16860808455620413
182,-0.1872781255991881
183,-0.16504569394575686
184,-0.16123807233639464
185,-0.16706408802933026
186,-0.1796903184778279
187,-0.1704947053608461
188,-0.19318026037033909
189,-0.19432987831051485
190,-0.2013822433088952
191,-0.21291067848306844
192,-0.21645668259332917
193,-0.2154727678230538
194,-0.21771585023978002
195,-0.22033079147379997
196,-0.23807879617738936
197,-0.23443019739266402
198,-0.2437068494653578
199,-0.24358235444530618
200,-0.24728078488477467
201,-0.2633253094329834
202,-0.2793656293639716
203,-0.2940841620464135
204,-0.29296851407730873
205,-0.3027011200185711
206,-0.31722363642891527
207,-0.33662448133666756
208,-0.32701031915262935
209,-0.31878150970180374
210,-0.33072377460450275
211,-0.33443616787678765
212,-0.33669075754861144
213,-0.32905447859822523
214,-0.32427403476832073
215,-0.327619917734442
216,-0.32858097687134036
217,-0.32411826004627653
218,-0.3157409680520331
219,-0.3287282713019831
220,-0.34264543428388616
221,-0.35327192436346333
222,-0.3510752085414869
223,-0.3506563752494971
224,-0.36450480075333014
225,-0.3632949138248517
226,-0.35749807818644064
227,-0.3563327580676472
228,-0.3705414167214536
229,-0.3674834008843165
230,-0.37553472632907703
231,-0.37327357217898505
232,-0.373795695710189
233,-0.3735357677901836
234,-0.35712370432616136
235,-0.35619722141361443
236,-0.34504670091227085
237,-0.34971014544767265
238,-0.3542478128415325
239,-0.3599475194730315
240,-0.366827953349777
241,-0.368862629958164
242,-0.36495928883399475
243,-0.3473679142923478
244,-0.35638320382396227
245,-0.35048324473516523
246,-0.33403542177847023
247,-0.34829611350587464
248,-0.3568804843231864
249,-0.36056813489938644
250,-0.35535819869239516
251,-0.361405359990281
252,-0.3612371913357586
253,-0.35674038721351164
