t,drawdown
0,0.0
1,-0.0011166925746383116
2,0.0
3,0.0
4,0.0
5,-0.003376470133645393
6,-0.005944509693230793
7,-0.006816178064097067
8,-0.006401893040463458
9,-0.00639009301270721
10,-0.00699014029602929
11,-0.00756456507553771
12,-0.009285173397857838
13,-0.006995766193310993
14,-0.0023234345546246926
15,0.0
16,-0.0018315717237318285
17,-0.0013781837496629201
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,-9.815635266385847e-05
29,-0.000910905802028239
30,0.0
31,0.0
32,0.0
33,-7.023011646845045e-05
34,-0.0012985031835268668
35,-0.0012463413106597043
36,0.0
37,-0.007344904294228072
38,-0.009297327493766216
39,-0.014305494670962648
40,-0.01311387983008383
41,-0.012703515334833382
42,-0.013265257571755229
43,-0.017238650317175974
44,-0.018499301915294808
45,-0.017200615656876916
46,-0.018813174451748238
47,-0.016397362567073914
48,-0.018201570442948234
49,-0.020838388074509107
50,-0.020776441722964556
51,-0.02398826823738953
52,-0.025478035702153012
53,-0.025152147688136783
54,-0.025325528509163697
55,-0.02556004684183122
56,-0.02108011432265955
57,-0.019744096406142053
58,-0.019976623112647696
59,-0.01771727861858019
60,-0.020706292922272995
61,-0.01911711424367757
62,-0.01947734838845916
63,-0.017709720104964854
64,-0.018539655562116786
65,-0.01908893855680327
66,-0.021159814624934326
67,-0.02474305139605326
68,-0.022750461538641353
69,-0.026017093897742427
70,-0.028192679977157464
71,-0.026597466110737655
72,-0.026265341204609882
73,-0.026351855427092286
74,-0.02389819803383897
75,-0.026196912073809364
76,-0.021160248309335494
77,-0.021838675174460254
78,-0.022697392203550715
79,-0.021590322487768487
80,-0.021186028145496416
81,-0.024933388829836645
82,-0.026949638034132972
83,-0.029264900247801928
84,-0.03032544819346128
85,-0.032315299366553196
86,-0.03395262213997596
87,-0.035840083403364864
88,-0.03224544215689418
89,-0.03306687982117018
90,-0.03177337797360946
91,-0.030621592846227896
92,-0.030542666178472455
93,-0.027451544147394258
94,-0.02459148228976582
95,-0.027245854638931033
96,-0.023689425860730084
97,-0.021188163149252204
98,-0.01888051969265747
99,-0.01569968854117232
100,-0.0193550442156607
101,-0.020647462194254618
102,-0.02729800095693813
103,-0.02388675252109329
104,-0.0249324020784073
105,-0.025604239472115542
106,-0.02743123235792566
107,-0.027558906134578343
108,-0.02714017099375965
109,-0.026583037620878325
110,-0.027779410543883887
111,-0.02740450782453241
112,-0.026769813158513123
113,-0.023399239088250146
114,-0.020756235665814304
115,-0.016433413142476483
116,-0.016026911118621423
117,-0.01564997359565512
118,-0.016298071559411986
119,-0.016130126692692426
120,-0.015019308664004805
121,-0.015214118836634039
122,-0.016892874608294473
123,-0.017358907941549595
124,-0.01589460990257674
125,-0.01283117967794023
126,-0.011609426063761474
127,-0.00688298497010309
128,-0.0019004977378529464
129,0.0
130,-0.0014098993148001782
131,0.0
132,-0.0035728675714791214
