t,drawdown
0,0.0
1,-0.003028556171687624
2,-0.0027429428778539267
3,-0.005181843370850259
4,-0.004761638934860812
5,-0.004849030974053314
6,-0.004217298564722527
7,-0.0028819262519883537
8,-0.0025276303798759114
9,-0.0017828666600919751
10,-0.0009570711983302171
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,-0.0017467984949025572
19,-0.0009340125363553886
20,-5.031842150060584e-06
21,-0.00016078094568416912
22,-0.0011018089845643564
23,-0.0020106465541588348
24,-0.0024876805935118984
25,-0.0037226447364968607
26,-0.003370350344865658
27,-0.005881709804522073
28,-0.005767563154691735
29,-0.005401082293396753
30,-0.005142465298515253
31,-0.0036758300197585747
32,-0.004208740969953273
33,-0.003650126709695334
34,-0.0032794015734415316
35,-0.0007461946719842238
36,-0.00075289382266297
37,-0.002474888141395848
38,-0.001587042258352267
39,-0.0012717869107381485
40,-0.0024584814440544722
41,-0.0013847542825331516
42,-0.00042413602213908774
43,-0.002618088776975447
44,-0.0028672391219342064
45,-0.0012652983325275313
46,-0.0033877318839614645
47,-0.005115653393074737
48,-0.005013887271783091
49,-0.002844174007812006
50,-0.0025699840843806943
51,-0.0010170300114041853
52,-0.001062477716086252
53,0.0
54,0.0
55,-0.002269248279720193
56,-0.002655600665233626
57,-0.002486710670634329
58,-0.004794984437551664
59,-0.003976752369505787
60,-0.0024435866493610625
61,-0.004148371407368678
62,-0.006539325886045
63,-0.0052441482058736
64,-0.0042724798032461875
65,-0.004004738186502932
66,-0.003674754640608291
67,-0.003780359752233231
68,-0.004409998237423274
69,-0.006889966614616383
70,-0.007305424539235439
71,-0.006955991209118384
72,-0.005752353875249527
73,-0.007084042850411643
74,-0.005749341303012856
75,-0.006323947335388991
76,-0.009736460717782114
77,-0.01112530159321179
78,-0.010771878046300976
79,-0.01111237482773031
80,-0.010500791599869497
81,-0.008001080221540557
82,-0.009544781693964666
83,-0.008578961055017098
84,-0.009068123788201321
85,-0.01125559587407321
86,-0.011200670428187953
87,-0.01080743763155545
88,-0.014326416484057747
89,-0.012578545494612237
90,-0.010866657905515442
91,-0.009749913866562876
92,-0.012350075621772039
93,-0.01243551192033332
94,-0.011258028499973483
95,-0.010350560474209125
96,-0.009896590435560793
97,-0.009835971287519896
98,-0.008679381600543712
99,-0.008053106284595324
100,-0.008349176823120308
101,-0.008247200387862863
102,-0.0070691308768275896
103,-0.006023834026712804
104,-0.00456291634431083
105,-0.006745471799818992
106,-0.007958744929737027
107,-0.004619034940059663
108,-0.005471153255304895
109,-0.0049454654508138685
110,-0.0069409063004366445
111,-0.006403695361022366
112,-0.008140926750181632
113,-0.0074848025651154115
114,-0.009243269253370823
115,-0.008879822906607271
116,-0.008613595210454239
117,-0.010646655849867015
118,-0.012440084689428255
119,-0.011103315956106363
120,-0.01314814794333885
121,-0.013193686625042389
122,-0.015177682647854462
123,-0.015470189497952203
124,-0.01573300208024242
125,-0.015623523695885377
126,-0.01824917908496937
127,-0.019012048034274143
128,-0.018302816790127574
129,-0.0180291481356325
130,-0.015827791590900753
131,-0.016527058653964533
132,-0.017176176584497105
133,-0.01592623149324135
134,-0.01686931919853385
135,-0.01955922054032755
136,-0.019626635675020765
137,-0.021101346554618927
138,-0.02171682919557638
139,-0.02219538474264715
140,-0.022123934960620817
141,-0.024774050199156128
142,-0.025484552811294137
143,-0.02407871399782724
144,-0.02300571196873724
145,-0.0220675583597032
146,-0.021248214074401917
147,-0.020349721492445183
148,-0.02102642313544434
149,-0.01948673813717383
150,-0.0220847342353907
151,-0.022139780517690277
152,-0.02052140777523026
153,-0.02347730864169928
154,-0.024649888329072
155,-0.02370704658839229
156,-0.02454151385136938
157,-0.024346911694290596
158,-0.02529682437275682
159,-0.02431905452853589
160,-0.024711112664270063
161,-0.023094281323942534
162,-0.023811669417895476
163,-0.023438335982566394
164,-0.0211003739970137
165,-0.018950437337014847
166,-0.018221971323250097
167,-0.017539699020029276
168,-0.01583590874619012
169,-0.017265575257893073
170,-0.016923803270731397
171,-0.013762638376964342
172,-0.01577532713180929
173,-0.016696117235551422
174,-0.01703959134893529
175,-0.01713454830215455
176,-0.016062567301957653
177,-0.017740392162444496
178,-0.018389532226786076
179,-0.025229429905786582
180,-0.028272836874288165
181,-0.03102643001180161
182,-0.030503506401158065
183,-0.030876662978098324
184,-0.031305626716224055
185,-0.033304357386555905
186,-0.034525236294387196
187,-0.032467177164521965
188,-0.03391635158914941
189,-0.033881374673858544
190,-0.03736036949075294
191,-0.03689459640653436
192,-0.0364048833594387
193,-0.036993905411339845
194,-0.03702544730154167
195,-0.036436894183811463
196,-0.03564370187675925
197,-0.03526741047659632
198,-0.03566946505277313
199,-0.03426651064040054
200,-0.035626392250048045
201,-0.03629040479736434
202,-0.036281036608923456
203,-0.0370211997311255
204,-0.03712265586769525
205,-0.03625060445052175
206,-0.03527802208972397
207,-0.03650303953951084
208,-0.033858077734680636
209,-0.03658792194783833
210,-0.03369051555640945
211,-0.031517266985152115
212,-0.03205829514333147
213,-0.03169247531612196
214,-0.03178672960302431
215,-0.031184092780892625
216,-0.030324821074816266
217,-0.031291312177749386
218,-0.03163732135822561
219,-0.02973837574896454
220,-0.03244479121663024
221,-0.03100053967444527
222,-0.030658376154325317
223,-0.0374057437751254
224,-0.037348943095315446
225,-0.0368353259705021
226,-0.03792369908192239
227,-0.03838898526329437
228,-0.037817390599346634
229,-0.03650980112315061
230,-0.03508332389543367
231,-0.03728395979827315
232,-0.03943297846168636
233,-0.04123478050440965
234,-0.039781891024450844
235,-0.03738702910180147
236,-0.03693051928776048
237,-0.039672669597070054
238,-0.03963491487907056
239,-0.043928862210041886
240,-0.04325584983782793
241,-0.045405103752096276
242,-0.0448675052239742
243,-0.04388197096371271
244,-0.04412540694696121
245,-0.0439885387821376
246,-0.04475108007911177
247,-0.046261620343585164
248,-0.04741436545216959
249,-0.046986666418150524
250,-0.047080513242734434
251,-0.04514571421258573
252,-0.046168204959243675
253,-0.045482865421676566
254,-0.045709862425081904
255,-0.047180336450761584
256,-0.047559182553162604
257,-0.04648310418822532
258,-0.04823669504422057
259,-0.04816192010934639
260,-0.04820052812069264
261,-0.047504293810475384
262,-0.047059391593494815
263,-0.04471846600387208
264,-0.042606078422875227
265,-0.042993549427768674
266,-0.042504379441209106
267,-0.04324998957993753
268,-0.042336495139396746
269,-0.042477525981569286
270,-0.04297580557164782
271,-0.043737497156984495
272,-0.04181552216454165
273,-0.04272447690581649
274,-0.043848703570439906
275,-0.045229487910256605
276,-0.04600005885970759
277,-0.046109627571213285
278,-0.04669625619949114
279,-0.04736764676596039
280,-0.04922369266119364
281,-0.049297870506037955
282,-0.05043967529295845
283,-0.049555133825934794
284,-0.05190229633264176
285,-0.05189030542044959
286,-0.05434596048121776
287,-0.055016545219642055
288,-0.054504874698885986
289,-0.05444019962626401
290,-0.055449372825683296
291,-0.05647839638709251
292,-0.05729619508481776
293,-0.05671342881622887
294,-0.05755238429191212
295,-0.05784681951141302
296,-0.05964942744746582
297,-0.06030762835854231
298,-0.06154434391827879
299,-0.060391467821871325
300,-0.06226731885305248
301,-0.06268845478608842
302,-0.06376126850281094
303,-0.06373043882178542
304,-0.06450858187924002
305,-0.06458627142723827
306,-0.06456969096171694
307,-0.06291991075389936
308,-0.06603368886181782
309,-0.0662762444950018
310,-0.06564183002171187
311,-0.06577150494811934
312,-0.06589044672719202
313,-0.06856885381586175
314,-0.06900904779955208
315,-0.06922614960500562
316,-0.07065467769068223
317,-0.0702406037918415
318,-0.07165447893712962
319,-0.0716550202520212
320,-0.07333266745383449
321,-0.0726075152115474
322,-0.07359765581485733
323,-0.0732239459272429
324,-0.0712315207431945
325,-0.07225967885424611
326,-0.0714184882492348
327,-0.07321114528655515
328,-0.0719502166568402
329,-0.07295350048665872
330,-0.07063974305672038
331,-0.07015245384794222
332,-0.07358398774331842
333,-0.0743403421038773
334,-0.07566498988623716
335,-0.07697976834798015
336,-0.07752500146504926
337,-0.07909997405778246
338,-0.07729596407468131
339,-0.07851498657800438
340,-0.07697500511958555
341,-0.0756814925784145
342,-0.0766097541623586
343,-0.07854463966763048
344,-0.08046860446548332
345,-0.08088218024455707
346,-0.08088327475020318
347,-0.08023915091206091
348,-0.08259790444510096
349,-0.08291749489396705
350,-0.08359354086198667
351,-0.08465862260201074
352,-0.08634766653050241
353,-0.087486485590071
354,-0.08776855750851575
355,-0.08966485628814802
356,-0.0887040687841919
357,-0.08878155172426239
358,-0.09274804388116431
359,-0.09322246849877058
360,-0.09248343163131023
361,-0.09376631165616123
362,-0.09518840198915035
363,-0.09566927760552169
364,-0.09559964798893561
365,-0.09766702971281371
366,-0.09868065494850264
367,-0.0976041410244749
368,-0.09906258380082744
369,-0.0981585509001397
370,-0.09735809403473361
371,-0.09791830116421207
372,-0.0992005409550405
373,-0.09778730379991474
374,-0.09873041913767355
375,-0.09768828326900314
376,-0.09576818696623046
377,-0.09606011647159673
378,-0.09637564881823757
379,-0.09887526444277939
380,-0.0972541181819534
381,-0.0965227403063329
382,-0.09672828581095383
383,-0.09490281108891296
384,-0.09638712067338562
385,-0.09617168352392991
386,-0.09797008495766002
387,-0.09561715958410022
388,-0.09541947417692476
389,-0.09741358687681012
390,-0.09551757982497688
391,-0.09581903261008151
392,-0.09738815140483659
393,-0.09813596067443509
394,-0.09919044609686667
395,-0.1004203248783666
396,-0.10262409159559394
397,-0.10302122597667518
398,-0.104163300021059
399,-0.10625423300179992
400,-0.1048357266020774
401,-0.10528468192803342
402,-0.1069352143819684
403,-0.10568542441713102
404,-0.10636869536314086
405,-0.10598082418067345
406,-0.10527040388039022
407,-0.10522255114570778
408,-0.10477398872096078
409,-0.1063388545367322
410,-0.10734739810540839
411,-0.10687304874066295
412,-0.10834549724471809
413,-0.10632852619468014
414,-0.1064855858003636
415,-0.10538198179928215
416,-0.106123937296005
417,-0.10669222192568861
418,-0.10704931216233415
419,-0.10953353218717365
420,-0.10941490956542232
421,-0.10965328492634052
422,-0.1107486831105986
423,-0.11068398774399357
424,-0.11143468484512142
425,-0.11273088919655183
426,-0.11191096584257165
427,-0.11023051468965672
428,-0.11060082726791542
429,-0.11226655717622913
430,-0.11347584860640103
431,-0.11617098065463582
432,-0.11633837705627526
433,-0.11696831639774397
434,-0.11724027214973687
435,-0.1175615978687462
436,-0.11887317965508792
437,-0.11954848746942093
438,-0.11895794820701155
439,-0.12066151299530348
440,-0.12089837364891454
441,-0.12094827673990771
442,-0.12048749726744834
443,-0.12186046318306576
444,-0.12100388169870158
445,-0.12103493631704243
446,-0.12128500599663328
447,-0.1205861394449731
448,-0.12254651514615011
449,-0.12194361176388391
450,-0.12305745010030722
451,-0.12328815093123169
452,-0.12436635991600753
453,-0.12494848243295087
454,-0.12522853767322772
455,-0.1254588413589539
456,-0.12483939920599674
457,-0.12452485544684821
458,-0.12225574024571761
459,-0.12221278872736885
460,-0.12126036624335779
461,-0.12287487519628515
462,-0.12016574998283369
463,-0.11987637102683635
464,-0.11832869861785289
465,-0.12194324267964352
466,-0.12269741514462706
467,-0.12688424752267569
468,-0.13054508548993526
469,-0.13324646035020327
470,-0.13509409633190594
471,-0.13584918835116655
472,-0.13723596500210122
473,-0.13615820161951853
474,-0.136303748707454
475,-0.13651998184383773
476,-0.1387801226560974
477,-0.13749643241025145
478,-0.13854183532247588
479,-0.14007331171169046
480,-0.1422622582702796
481,-0.14204604145095034
482,-0.14247717765427792
483,-0.14317541503638298
484,-0.1425914308458045
485,-0.14257478063574747
486,-0.14239282030075795
487,-0.14162447944810896
488,-0.1441234320962751
489,-0.14474798711077896
490,-0.1442680131643379
491,-0.14579864297195066
492,-0.14726489660164999
493,-0.14730272506405195
494,-0.14565179328224465
495,-0.1445326956628319
496,-0.14812893587051112
497,-0.14888028469917947
498,-0.14728731852354193
499,-0.14687056861683168
500,-0.1466556506815635
501,-0.14733921671282646
502,-0.1490774806895364
503,-0.14885980412415434
504,-0.14927826157784785
505,-0.15012590296315176
506,-0.1515275418164418
507,-0.15098369949628565
508,-0.15008464315931702
509,-0.15146513628246638
510,-0.1502772982476437
511,-0.15018975665566425
512,-0.14838553944519994
513,-0.14825620767068481
514,-0.14785062556229533
515,-0.14749826614535366
516,-0.1467848885264681
517,-0.1460333836124963
518,-0.14519557949631012
519,-0.14743259523194652
520,-0.14465533285881393
521,-0.14393625605065674
522,-0.14417428553014666
523,-0.14423581264657936
524,-0.14176564486973453
525,-0.14196707029789557
526,-0.14026927127192212
527,-0.14145769090266191
528,-0.14284688570017956
529,-0.1421958590904887
530,-0.14145907665555169
531,-0.1406203109190053
532,-0.13981171243435897
533,-0.1399957289964624
534,-0.13887857247710045
535,-0.1386150771153034
536,-0.1377045878045774
537,-0.13658681930893057
538,-0.13753353733461837
539,-0.13623988049098001
540,-0.13572541943973848
541,-0.13574330021813408
542,-0.1355925454203265
543,-0.1342573432468117
544,-0.1342596164345593
545,-0.1353626319267902
546,-0.13324915798042103
547,-0.1323135059909175
548,-0.13380284053849523
549,-0.13315292699218484
550,-0.13237541002763042
551,-0.13147460579129233
552,-0.1302711505103057
553,-0.1293974811309878
554,-0.1278950571409514
555,-0.12680387504331048
556,-0.12753367951866368
557,-0.12869941406256558
558,-0.12799316840268604
559,-0.12876802875726245
560,-0.13059699358274712
561,-0.13036778671132487
562,-0.12935082229053296
563,-0.1304248821304631
564,-0.12984765031447143
565,-0.12895097694403146
566,-0.1284631344970355
567,-0.12898426676484187
568,-0.12940832930312107
569,-0.13036469677146123
570,-0.13082941563796346
571,-0.13086731694842502
572,-0.13166197390643197
573,-0.13126235865931857
574,-0.12799442288315155
575,-0.12897649737044736
576,-0.1272161774988877
577,-0.12775310525864803
578,-0.1261186949446833
579,-0.12670149159675947
580,-0.12675399526772757
581,-0.1257966411730057
582,-0.12550106873336608
583,-0.12658853909416956
584,-0.12717314459171758
585,-0.12688062040284265
586,-0.12839255627143353
587,-0.12962115323382228
588,-0.12886060248854725
589,-0.13047744235950243
590,-0.12948180667860687
591,-0.12640663286338338
592,-0.12894343420876853
593,-0.13183056933618342
594,-0.13296680274001782
595,-0.1330859127041334
596,-0.13387420614317624
597,-0.13473354262777493
598,-0.1350805536281644
599,-0.1338609389809654
600,-0.13393952967587697
601,-0.1337222269646552
602,-0.13568056750983903
603,-0.1352506516894989
604,-0.13382114266358058
605,-0.13393065214251942
606,-0.13327163728604619
607,-0.1345515406090978
608,-0.13415957505309273
609,-0.13314245696958404
610,-0.1323967551358155
611,-0.13159455701870593
612,-0.13376410739067657
613,-0.13452806939857598
614,-0.13597125624953876
615,-0.13511351084165557
616,-0.1342418500410023
617,-0.13583659944132942
618,-0.13854340159230638
619,-0.1376772028331752
620,-0.13819660931569822
621,-0.1395960661633927
622,-0.1374734930915842
623,-0.13768311241814157
624,-0.13938078364007866
625,-0.14198068889445448
626,-0.14332934250201523
627,-0.14375446618948884
628,-0.14361625262943278
629,-0.14440240814387406
630,-0.14390029932240767
631,-0.14437485491525526
632,-0.14417500884242662
633,-0.14419906155085271
634,-0.14223002275593566
635,-0.1398234014958527
636,-0.1397994624775386
637,-0.13983925130584252
638,-0.13991104404136478
639,-0.13808449508991405
640,-0.13831365705202348
641,-0.13937694835218806
642,-0.1403409081755007
643,-0.1417864775346288
644,-0.1424291516267595
645,-0.14432122595889962
646,-0.14169170203591075
647,-0.1403951415959993
648,-0.13910318043685022
649,-0.1393449320159249
650,-0.14140664756355714
651,-0.14002989982766323
652,-0.13944874027791954
653,-0.14055192907178804
654,-0.13772644905109066
655,-0.13766093983180328
656,-0.13937122573526717
657,-0.14166003054637233
658,-0.14036873361848234
659,-0.13785938287679844
660,-0.13980459065088935
661,-0.139245376005234
662,-0.13829453219719223
663,-0.1387280105512111
664,-0.13920098998920682
665,-0.1392239607453004
666,-0.13957249429468332
667,-0.13647646294060445
668,-0.13589214059563703
669,-0.136416315043132
670,-0.13745745019468836
671,-0.13711158970657145
672,-0.13858923093767084
673,-0.13844331954020583
674,-0.1385280445005318
675,-0.13853619435722353
676,-0.14015275733557264
677,-0.1411915420369455
678,-0.14358489673679597
679,-0.14293508112233955
680,-0.14128603207121437
681,-0.1416400462699684
682,-0.14112287121252887
683,-0.14146158797318575
684,-0.1409053775007023
685,-0.14048692841130483
686,-0.14090035704429704
687,-0.14062222744741193
688,-0.14068872312468395
689,-0.141664206463879
690,-0.14194808285260518
691,-0.14164593331850517
692,-0.1417392221735373
693,-0.1412304966890019
694,-0.13996811385887342
695,-0.1392368773726853
696,-0.13856431693683546
697,-0.13875274823454598
698,-0.13760903655166812
699,-0.1362795613607085
700,-0.13392262943308753
701,-0.1326682800250517
702,-0.13233910232909762
703,-0.13273510564290059
704,-0.13430020032976664
705,-0.134737576944853
706,-0.13369374367489362
707,-0.13292748838015156
708,-0.13380729971815275
709,-0.13292977290234398
710,-0.13078135848596162
711,-0.1304670472807602
712,-0.13185667570719817
713,-0.13184885923851342
