t,drawdown
0,-0.0018440277689332207
1,0.0
2,0.0
3,-0.0006047559413971948
4,-0.004100778278493977
5,-0.011729386893367
6,-0.005352029714328577
7,-0.03268685125688087
8,-0.038150782468959976
9,-0.05826208262881272
10,-0.05964671796430965
11,-0.05995104245186378
12,-0.055892038284125145
13,-0.045424964888926
14,-0.05046866897588953
15,-0.04932740823608717
16,-0.053329166727053234
17,-0.02844977841203644
18,-0.01570390309587799
19,0.0
20,-0.01945925704350171
21,-0.0224868394222838
22,-0.033264892345524766
23,-0.024025351114294602
24,-0.030066464673575655
25,-0.024637992034415968
26,-0.026560538391047883
27,-0.03422894976033242
28,-0.04738708904742994
29,-0.044871869239902606
30,-0.03538305175321399
31,-0.04332815050031935
32,-0.034457627078427366
33,-0.02932061879618053
34,-0.05171128294692107
35,-0.05667526412084356
36,-0.048344861158006514
37,-0.04351284811697309
38,-0.036821839033151615
39,-0.02527825772668091
40,0.0
41,0.0
42,-0.016576716588661222
43,0.0
44,-0.011816110697723592
45,0.0
46,0.0
47,-0.01285769861098196
48,-0.028262386391588623
49,-0.02536132216527176
50,-0.0290353415665342
51,-0.040161430998928216
52,-0.03464443551928309
53,-0.02054287115437048
54,-0.0332486504813535
55,-0.03480824130975557
56,-0.03853280313661578
57,-0.03914409000069419
58,-0.026148468786458823
59,-0.037919937291459704
60,-0.01893624443098052
61,-0.03739980039439583
62,-0.049064738473293956
63,-0.050836437661993195
64,-0.05769686795375761
65,-0.05425261617097399
66,-0.0599688396685355
67,-0.055446509379192155
68,-0.06298261625368262
69,-0.07132629172335347
70,-0.08569153908397775
71,-0.07123298905235542
72,-0.10025280661783675
73,-0.09959218506239143
74,-0.12513889695366065
75,-0.1449540222145066
76,-0.1408546985796938
77,-0.13169142227233444
78,-0.13508227545070206
79,-0.143191975143394
80,-0.14738560208375573
81,-0.15403250474895214
82,-0.13840453019348553
83,-0.12806772669250688
84,-0.1405668754547017
85,-0.16920032897496695
86,-0.14551099043422
87,-0.13428797064788478
88,-0.12338366784593524
89,-0.1298182466339296
90,-0.11376353699695418
91,-0.1182220091068078
92,-0.11433957526968264
93,-0.09965120917879766
94,-0.10417249952739449
95,-0.10937165985211206
96,-0.1057865295785918
97,-0.0953890638769086
98,-0.08786487736694581
99,-0.08238786657334074
100,-0.082827136021696
101,-0.06913927997879576
102,-0.04645744196594337
103,-0.0248995723068397
104,-0.01584278102929959
105,-0.029592809768529293
106,-0.02533552610882761
107,0.0
108,-0.008502592358795025
109,-0.003085572762512534
110,-0.0277203106396694
111,-0.0556319498701745
112,-0.0713602361918988
113,-0.05225891557197604
114,-0.032220499546920967
115,-0.02344976411938937
116,-0.027134355354431317
117,-0.013278995771317414
118,-0.01109662078727991
119,-0.02301830065109378
120,-0.03076822119849043
121,-0.01860504601318913
122,-0.024446283657798662
123,0.0
124,0.0
125,-0.013289782528575378
126,-0.002445162304337223
127,0.0
128,-0.007491547054661707
129,-0.01795842694400085
130,-0.02098173956386118
131,-0.02123180174505601
132,-0.03870447111263697
133,-0.04132594435812997
134,-0.04873744584414219
135,-0.05016641233346919
136,-0.03153664223231156
137,-0.05565506276089183
138,-0.062118514146691006
139,-0.044865310163221594
140,-0.03746882649263095
141,-0.03233911050218807
142,-0.04411566219421381
143,-0.0456908620362565
144,-0.03790665599339027
145,-0.03757677488215849
146,-0.016567381982797613
147,-0.03162013377896156
148,-0.025954381323787135
149,-0.023073805221773935
150,-0.025162799692382665
151,-0.020671715409443348
152,-0.010798946600172998
153,-0.010410309729725897
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,-0.013540120264969202
161,-0.011910188520761755
162,-0.03664643203929929
163,-0.03238208344183091
164,-0.025050355122192114
165,-0.03892226592567727
166,-0.044371393703210305
167,-0.04760581497211136
168,-0.057908919469350395
169,-0.057480395424861386
170,-0.08280985613665959
171,-0.10884875665256832
172,-0.09226337808061069
173,-0.0870951334417156
174,-0.10272314043571384
175,-0.0863601462783905
176,-0.09389006617417361
177,-0.0564938128239596
178,-0.04482176395334292
179,-0.03722018450817943
180,-0.04741183723785014
181,-0.0721479521774866
182,-0.08717510545535101
183,-0.09025874743418338
184,-0.09915033795618422
185,-0.10976589474926868
186,-0.10030068018026406
187,-0.11607364653943764
188,-0.08818532336876062
189,-0.08742900071286208
190,-0.08749437330940002
191,-0.08572652207109921
192,-0.08743839207510506
193,-0.10224458750908327
194,-0.08670984701956508
195,-0.06895391506937243
196,-0.08005949849105098
197,-0.09042171551202627
198,-0.11249635614340969
199,-0.13297049497465374
200,-0.15740962557938687
201,-0.14484930150758957
202,-0.1401965413867211
203,-0.1469722204261812
204,-0.1742080045788249
205,-0.17435417291399802
206,-0.18389837046615698
207,-0.17473281520510298
208,-0.13479598484559263
209,-0.1418594843469071
210,-0.15259144379757972
211,-0.15717330232558657
212,-0.14963358691380468
213,-0.13623545832932016
214,-0.13658218656466925
215,-0.14616312571470225
216,-0.10578948361516072
217,-0.08694108394484967
218,-0.07517740017092789
219,-0.07328444479731921
220,-0.07432947169625825
221,-0.09409247441165469
222,-0.08346978064015231
223,-0.05125590756579479
224,-0.04245790622309609
225,-0.022783907488739374
226,-0.014838031618776615
227,-0.02198534542561248
228,0.0
229,-0.017755201149500466
230,-0.04001653687467943
231,-0.04050618174227427
232,-0.0629435580362846
233,-0.037247187025954975
234,-0.0447904716540134
235,-0.050046208959390936
236,-0.03327706674364783
237,-0.02415110961900413
238,-0.046507131437412474
239,-0.06892778758318485
240,-0.07624821212809718
241,-0.08555100029360918
242,-0.07870673583704091
243,-0.09471804997625899
244,-0.058345862918645186
245,-0.05675833394301644
246,-0.044479221017867054
247,-0.045291885500488904
248,-0.03141831680617002
249,-0.04054118206256596
250,-0.05496620577376432
251,-0.043346710145347855
252,-0.04622748559907708
253,-0.04382288110396637
254,-0.02287963961582329
255,-0.03508283766149267
256,-0.017891596150268252
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,-0.01719897332901832
266,-0.01300606477669064
267,-0.008351844459097757
268,-0.007892401461457199
269,0.0
270,-0.0028173042743154797
271,-0.014507937992774389
272,-0.01598720251054897
273,-0.006140306035374299
274,-0.03602087425446898
275,-0.0342049334173099
276,-0.05068273742983387
277,-0.07662732164649111
278,-0.0736601848943621
279,-0.060578975072986374
280,-0.045205296383646454
281,-0.047625996899371525
282,-0.04238312310081982
283,-0.047452936950083346
284,-0.021074446466102126
285,0.0
286,-0.004294906200949633
287,-0.031236527462835117
288,-0.03633139505864991
289,-0.029591272336056407
290,-0.029722226134472507
291,-0.035829055628329054
292,-0.032986642878539585
293,-0.05363678963122209
294,-0.023510736486984762
295,-0.021467855080330667
296,-0.03318069146912428
297,-0.0335655992416356
298,-0.021543482606354303
299,0.0
300,0.0
301,-0.006409398797992405
302,-0.015853727391551886
303,-0.0033580463192863785
304,-0.015373651440544034
305,-0.015222331603208628
306,-0.009114358987605264
307,0.0
308,-0.027303982113891956
309,-0.03243810602007369
310,-0.021198127822067092
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,-0.0022106560145568332
319,0.0
320,-0.01707681598900701
321,-0.01867169869098073
322,-0.026419885984105274
323,-0.03797868631269097
324,-0.04383250859387544
325,-0.017541614711785614
326,0.0
327,-0.007872961181186966
328,0.0
329,-0.004444126436866536
330,0.0
331,-0.005491554051174186
332,-0.011121246727622602
333,-0.005715011340869047
334,0.0
335,0.0
336,0.0
337,-0.01001291566614293
338,-0.020595371851968358
339,0.0
340,0.0
341,-0.02452276394740438
342,-0.022023615255836404
343,-0.02241030922316134
344,-0.027305476548419305
345,-0.03217353189969696
346,-0.04171033996940088
347,-0.044410913760877135
348,-0.030118337393545858
349,-0.03309819726199703
350,-0.024515145234736302
351,-0.01829388375798291
352,0.0
353,-0.0023264034552346047
354,-0.017364832111881445
355,-0.01816638396183845
356,-0.022640327703119745
357,-0.013618368828855032
358,-0.010089590707290097
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,-0.00017445933621884624
365,-0.021258310622651932
366,-0.008611150256283673
367,-0.01734626796999683
368,-0.019327217096015148
369,-0.03802335444704563
370,-0.03943211752904818
371,-0.05437424137670166
372,-0.06304588723930482
373,-0.06083207461517237
374,-0.04526091857035164
375,-0.05132701909486537
376,-0.02460476699232861
377,-0.05643225592079548
378,-0.05493573212464864
379,-0.05619224566645442
380,-0.03827296073994846
381,-0.0450967527855739
382,-0.04632031760351307
383,-0.02410490387155606
384,-0.02627444648556765
385,-0.004366850937821964
386,0.0
387,-0.0035137494817875092
388,-0.009764798916255257
389,-0.04959327188242746
390,-0.05824362839342101
391,-0.10582718911395839
392,-0.08283178848443462
393,-0.07349833328404654
394,-0.063787430393341
395,-0.05241530731305555
