t,drawdown
0,0.0
1,0.0
2,0.0
3,0.0
4,-0.024171170008404852
5,-0.05335362179076719
6,-0.056663836391192546
7,-0.07839945069236598
8,-0.09313707174830743
9,-0.11157263314985177
10,-0.11711589883207163
11,-0.1062837588120028
12,-0.10572358063408138
13,-0.10076718323800637
14,-0.11502529811401785
15,-0.13539986448045582
16,-0.1485562480045941
17,-0.13630562880617092
18,-0.15686406643046558
19,-0.1414510348258381
20,-0.13106102812113574
21,-0.11722907389849124
22,-0.07525507821355115
23,-0.06505477996001174
24,-0.060035735203620266
25,-0.06722793183708853
26,-0.06592768423995865
27,-0.06435396990507247
28,-0.048638573201053914
29,-0.03508269504171713
30,-0.0322460649986851
31,0.0
32,0.0
33,-0.020015659720124757
34,-0.023799994248236978
35,-0.0022927307371294336
36,0.0
37,0.0
38,0.0
39,0.0
40,-0.008709725699600046
41,0.0
42,0.0
43,0.0
44,-0.018397211883936282
45,-0.02863837517182699
46,-0.04346147213392715
47,-0.057933602106339244
48,-0.07059808063451034
49,-0.07732038178737799
50,-0.08469905501172337
51,-0.08442078751258719
52,-0.07934147025932203
53,-0.1002916805600863
54,-0.1138422473545807
55,-0.12065668526534679
56,-0.13892241142344985
57,-0.13254377476567525
58,-0.162289417107637
59,-0.1595396698617556
60,-0.17082710002207124
61,-0.16954696749016074
62,-0.16860942568100834
63,-0.18405524293887776
64,-0.18983148766884417
65,-0.19780037988973564
66,-0.2132979870763151
67,-0.20995425351421315
68,-0.19515002725115127
69,-0.2069331229473509
70,-0.2224296240766167
71,-0.21249784456819232
72,-0.23103337196419016
73,-0.21837307852439003
74,-0.22832477032837706
75,-0.21524089784797207
76,-0.20895412102928546
77,-0.1911191160112995
78,-0.18890286281373014
79,-0.18382777131367467
80,-0.18771655599780857
81,-0.17883151692724575
82,-0.18969728441408396
83,-0.20429960386622736
84,-0.20572674671788294
85,-0.21725402062673382
86,-0.20097850844495857
87,-0.19679437656453713
88,-0.22049872347210764
89,-0.22958835246593123
90,-0.206619253826963
91,-0.2002001290884764
92,-0.21434350616097475
93,-0.22782597977071428
94,-0.23839392227961764
95,-0.23458504228145383
96,-0.22132366322406327
97,-0.22114247971153822
98,-0.20951198892597112
99,-0.21195137232716532
100,-0.22303602263916245
101,-0.22993230153831612
102,-0.23666962787595014
103,-0.24066855104735074
104,-0.25093546547935597
105,-0.22651467330618213
106,-0.2189163318595584
107,-0.2348803193861535
108,-0.2432260417404084
109,-0.2518665894139992
110,-0.2253804376229016
111,-0.21855498837352116
112,-0.2104129081710181
113,-0.2087055070275965
114,-0.23515335334463794
115,-0.24634411919107757
116,-0.260593662237658
117,-0.2583482681819177
118,-0.2622265524010765
119,-0.24523555381796092
120,-0.26427209214280467
121,-0.25153632551223515
122,-0.2545367207799426
123,-0.26809443618581097
124,-0.2675103536213125
125,-0.25393411239607744
126,-0.23869429746659176
127,-0.24084533860350754
128,-0.22049119025040997
129,-0.20860795671922105
130,-0.18188185509373966
131,-0.17339607228399423
132,-0.18597575032483138
133,-0.18850175729272467
134,-0.18454450546765255
135,-0.2091114317031202
136,-0.19783859779537372
137,-0.18762780399156676
138,-0.16363237220714733
139,-0.19696136310101675
140,-0.2150067223803026
141,-0.20888665453876032
142,-0.20870609628698256
143,-0.19404104280186418
144,-0.17672913564262893
145,-0.18125590699786642
146,-0.1643421301932767
147,-0.15978235735790458
148,-0.17086478812170935
149,-0.18410155556732188
150,-0.17525652169496475
151,-0.16272757827292494
152,-0.17281997636967195
153,-0.14059641736874973
154,-0.12774586255195508
155,-0.1029708004874117
156,-0.1031331330841796
157,-0.0946738073243627
158,-0.11806454603667105
159,-0.12354622674493698
160,-0.10115243405909291
161,-0.10735844390532545
162,-0.106042991185063
163,-0.10222264848408413
164,-0.10947293329689534
165,-0.09183796898641916
166,-0.09280019781280158
167,-0.1103423635854468
168,-0.11003342393968274
169,-0.10584397959510716
170,-0.12107573450415776
171,-0.12822129247426206
172,-0.13263364743603734
173,-0.13975801806387256
174,-0.15429225592362705
175,-0.16999258466687883
176,-0.15729485360144357
177,-0.14348830873671714
178,-0.13007276967149395
179,-0.1621114222318002
180,-0.14899765654518438
181,-0.1468495200134633
182,-0.14908668201743702
183,-0.16134804371284472
184,-0.17844083342598793
185,-0.1930577318146407
186,-0.1888655128993033
187,-0.1844627442644554
188,-0.18280779952356696
189,-0.1799653593269066
190,-0.18758307732298662
191,-0.20182276828426204
192,-0.19849189625085406
193,-0.19885743391872213
194,-0.21218955205475765
195,-0.20206660105123775
196,-0.20026682761562642
197,-0.20399742193074133
198,-0.23295748994374343
199,-0.24554310855993045
200,-0.24429161674168265
201,-0.25408254616049686
202,-0.2388293594435701
203,-0.23042226282109257
204,-0.23403235760756547
205,-0.25007146373337397
206,-0.23839041263508776
207,-0.2452209394514091
208,-0.2532708761077388
209,-0.2230830948097008
210,-0.2240674190199371
211,-0.23573646448525032
212,-0.2218093343600568
213,-0.2299659001515847
214,-0.22126215474113953
215,-0.2051736108339034
216,-0.20663428283997176
217,-0.21280416616660824
218,-0.21987202333914557
219,-0.20731160551326566
220,-0.2116594788995113
221,-0.20909680555507149
222,-0.2030819896807684
223,-0.1720770094071471
224,-0.15546376529387895
225,-0.16201711163140198
226,-0.13426490072830688
227,-0.11814307579409589
228,-0.09831813042019288
229,-0.11671886660415243
230,-0.11512352590251496
231,-0.10877129864619772
232,-0.09226252665697843
233,-0.09819965016064269
234,-0.08467730671801332
235,-0.0779906248737815
236,-0.09984412694403988
237,-0.0648053029263782
238,-0.06554152179814177
239,-0.058109207174092736
240,-0.07748279217987886
241,-0.07305982577454395
242,-0.0640928375326898
243,-0.06429561776804005
244,-0.05232052463795256
245,-0.055473278224023925
246,-0.06304539253657448
247,-0.07406405850121067
248,-0.0975419925417792
249,-0.09409248078937338
250,-0.10180138991706034
251,-0.10566310529063383
252,-0.10155679854783661
253,-0.11550691631732635
254,-0.10883244973790396
255,-0.10328916732861759
256,-0.11914847614491131
257,-0.11623758417482355
258,-0.1511521644619609
259,-0.13757692683203882
260,-0.1390548083692752
261,-0.13377912007564652
262,-0.13654381354254153
263,-0.15656304111522268
264,-0.15416630274434417
265,-0.16018756024770697
266,-0.12881039784256654
267,-0.14196349485709836
268,-0.125889071638569
269,-0.12685762213516694
270,-0.12991860327390492
271,-0.12692217971942366
272,-0.13196337463034025
273,-0.15034069116695203
274,-0.146156410657729
275,-0.12833300313305185
276,-0.13931272463269673
277,-0.13616245921315273
278,-0.1393189969082258
279,-0.12041710350158219
280,-0.1278282742024609
281,-0.12037121552490859
282,-0.10923031339613043
283,-0.12217062627712783
284,-0.13390810214170956
285,-0.13442354380967536
286,-0.1468263672713176
287,-0.13196946609993288
288,-0.11344849839546933
289,-0.11276007847449476
290,-0.12169757761142197
291,-0.12446400434194949
292,-0.11011891175936916
