t,drawdown
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-0.005706276192069204
7,0.0
8,0.0
9,-0.0028959433147622837
10,0.0
11,-0.021909659047364638
12,-0.03404389942956354
13,-0.007081352675287755
14,0.0
15,0.0
16,-0.0033854748061320494
17,0.0
18,0.0
19,0.0
20,0.0
21,-0.016554216632458152
22,-0.02421759819065794
23,-0.028178350240931405
24,-0.035063088602801384
25,-0.04567563219188531
26,-0.06489980496416992
27,-0.0706549424293007
28,-0.07204597976969018
29,-0.07292550043361012
30,-0.046434550942935804
31,-0.0465067187710847
32,-0.06435105210329806
33,-0.03750690342448304
34,-0.023022305185763425
35,-0.019537557867599586
36,0.0
37,0.0
38,0.0
39,-0.006862078035063002
40,-0.004040275190504983
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,-0.002537507673415762
48,-0.013627021447808585
49,0.0
50,0.0
51,0.0
52,-0.0009072191531880325
53,0.0
54,0.0
55,-0.011800740990457914
56,-0.02532957323377738
57,-0.02029703715464959
58,-0.011392078182604792
59,-0.02634726866211068
60,-0.0349319334981939
61,-0.04669123169782052
62,-0.04909451349537819
63,-0.050994394081020245
64,-0.04185322987646223
65,-0.04123896763246315
66,-0.04989338390637854
67,-0.04711986310567351
68,-0.05320084088194932
69,-0.037385891805191585
70,-0.05993731105364608
71,-0.06129974692729767
72,-0.05649903163773873
73,-0.062444259764812604
74,-0.06286541455941896
75,-0.05621372643779943
76,-0.0714544177260874
77,-0.0723786881999724
78,-0.0408682364490226
79,-0.04773226292032018
80,-0.051990833390723634
81,-0.05054412372848527
82,-0.05960500178516526
83,-0.04644097416952042
84,-0.03093072580892886
85,-0.026650526318584333
86,-0.031598537279042604
87,-0.0348543583093025
88,-0.03547151533272275
89,-0.042056399999987004
90,-0.02409887758032936
91,-0.026692685085683232
92,-0.017199712824147895
93,-0.021343771554375168
94,-0.01791497254423502
95,-0.012588382730864933
96,-0.020936792173572583
97,0.0
98,-0.007812229118114411
99,-0.0083484104393734
100,0.0
101,0.0
102,-0.006439745651891204
103,-0.01044346907636129
104,0.0
105,-0.009831172041569136
106,-0.037388583494684546
107,-0.030323311794237306
108,-0.022585009115392074
109,-0.04143712913721942
110,-0.04399151225035136
111,-0.07014949903370327
112,-0.06800315247845601
113,-0.05775398686129796
114,-0.05791684348764625
115,-0.06914188931708676
116,-0.06369852717725377
117,-0.045657077984222694
118,-0.05367814399829174
119,-0.044134856974928915
120,-0.030276252586257546
121,-0.028203890579522994
122,-0.05036639288665756
123,-0.0528105399021066
124,-0.05058409570645972
125,-0.0562032038777136
126,-0.04206613856599495
127,-0.05525314005577964
128,-0.055706070692084886
129,-0.05085298899140356
130,-0.042281709385415644
131,-0.0599223957338445
132,-0.05589361559614259
133,-0.06844828973263895
134,-0.0683237402448088
135,-0.06999762401301635
136,-0.05893193696675292
137,-0.0260131556128127
138,-0.03437198554005916
139,-0.05311869382154866
140,-0.049854536846523856
141,-0.06990558622847831
142,-0.08259552133029924
143,-0.08961282743457955
144,-0.09055514432777989
145,-0.10717369713234781
146,-0.09660462218997179
147,-0.09706507674662701
148,-0.08952614278052295
149,-0.1013488508428354
150,-0.10376561941005946
151,-0.09655777063815674
152,-0.10579249111625022
153,-0.11673322584792212
154,-0.13264881182190724
155,-0.12869490152888818
156,-0.13122959090497954
157,-0.11874507523855127
158,-0.12456923136489417
159,-0.12136951484357328
160,-0.12488675351615353
161,-0.11005752739129682
162,-0.12068990285498404
163,-0.12195240913167471
164,-0.140727470319439
165,-0.15137406266562992
166,-0.13834176580353763
167,-0.14566775627437079
168,-0.14534186805677884
169,-0.15244193569232667
170,-0.14626824379385606
171,-0.15190010528120157
172,-0.1414123519839584
173,-0.13968787345610822
174,-0.13739500672340899
175,-0.14499418575084289
176,-0.157277954704097
177,-0.16788499598195705
178,-0.1530735939998744
179,-0.15560120037188863
180,-0.15558514578256122
181,-0.14512696972142813
182,-0.15409630476779201
183,-0.1330317555626105
184,-0.133910182845283
185,-0.14352479747762326
186,-0.15545428811902318
187,-0.15546662341583473
188,-0.15380600486692875
189,-0.1437773633735614
190,-0.13798984829387817
191,-0.1437065381993955
192,-0.1511471081995498
193,-0.16470806484654565
194,-0.15892723975654377
195,-0.14522755527936482
196,-0.13015147919108072
197,-0.12820363116997824
198,-0.12457912003368576
199,-0.12761681978966444
200,-0.10491592419535123
201,-0.09537869288870293
202,-0.10364536326090712
203,-0.092525750613069
204,-0.11066205986430411
205,-0.11384637420573318
206,-0.09074863242721132
207,-0.09865620990788726
208,-0.09066717306770966
209,-0.10333324013185097
210,-0.12210299861838103
211,-0.11947458201901162
212,-0.10950543200205887
213,-0.0942621559219553
214,-0.09929306522472248
215,-0.10360487319875622
216,-0.09899540314372912
217,-0.10883787051017624
218,-0.09267710014613506
219,-0.11192045864089184
220,-0.11367097504673707
221,-0.11110334186137005
222,-0.104859042500271
223,-0.11508668693707336
224,-0.1084807304804759
225,-0.1142005035109388
226,-0.123821662927591
227,-0.14870695460422012
228,-0.150177437901042
229,-0.1545352278822355
230,-0.1427829236419228
231,-0.15172440301930823
232,-0.14675461455576222
233,-0.16455712905390718
234,-0.16034908084024435
235,-0.15341516603288674
236,-0.1555119126876916
237,-0.1669473956147024
238,-0.17670916587165464
239,-0.17393347231638334
240,-0.1706420408089444
241,-0.17513815917166675
242,-0.17373763475584691
243,-0.17890484361168824
244,-0.1714335134463908
245,-0.18090709621215406
246,-0.1903121889052668
247,-0.16596653454897214
248,-0.17194015994003486
249,-0.1730729445692496
250,-0.1987326378133003
251,-0.21039103391807445
252,-0.20243982458694232
253,-0.18597136054640828
254,-0.1765453881288045
255,-0.16793849094197577
256,-0.1670952817329323
257,-0.14186382241320306
258,-0.13894294919440786
259,-0.14283679723859444
260,-0.14913779379913383
261,-0.14651862220137557
262,-0.16329776239828042
263,-0.17836095204000169
264,-0.17364483424283061
265,-0.1710864252075801
266,-0.17324010589987915
267,-0.1409119524628838
268,-0.15058422694102191
269,-0.15022303672914172
270,-0.14304517606415812
271,-0.13923166861408498
272,-0.12727151118349844
273,-0.1217902661414465
274,-0.11773497952284251
275,-0.13245115180390687
276,-0.13471426265426378
277,-0.1300641443958791
278,-0.1325401531238426
279,-0.12552207034551777
280,-0.15679544162559544
281,-0.15790871191513278
282,-0.18052021239195737
283,-0.18148924825490065
284,-0.18132911487610004
285,-0.17914297815189884
286,-0.18820469915825166
287,-0.18687995499914367
288,-0.16887048906560265
289,-0.16888236006922608
290,-0.1707761563315522
291,-0.17599647151554854
292,-0.17241748887260777
293,-0.15885956370679266
294,-0.14089586888803296
295,-0.1315821459229145
296,-0.1416625958015323
297,-0.149329932687976
298,-0.1603723285091867
299,-0.14710229336378589
300,-0.13615285678949174
301,-0.12534611429251852
302,-0.14560707804520534
