t,drawdown
0,0.0
1,-0.001004743143059983
2,-0.0008602546793101684
3,-0.0011635914580676587
4,-0.0008822722817369844
5,0.0
6,-0.0017803199853301255
7,-0.001470097684326599
8,-0.002280053875987287
9,-0.0030566367811043493
10,-0.002905134432593992
11,-0.0021752629489397712
12,-0.0010772272317497444
13,-0.0019611924766558264
14,-0.0009926152154865475
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,-0.0004496142322401031
21,-0.0016340601277737843
22,-0.0015074025217193254
23,-0.002931610682006758
24,-0.004437092076055804
25,-0.0028824264877628236
26,-0.0030133415280155784
27,-0.005446300113912339
28,-0.004606726726574584
29,-0.004455925913993575
30,-0.003057899200035741
31,-0.0020631619949339486
32,-0.0004599691909112913
33,0.0
34,-0.001047092747656908
35,0.0
36,0.0
37,-0.001174974960259756
38,-0.0025911296028441333
39,-0.0018394986708190064
40,-0.0018240010007329888
41,0.0
42,0.0
43,0.0
44,-0.0008099698315868764
45,0.0
46,0.0
47,0.0
48,0.0
49,-3.5169916655863886e-05
50,-0.00028780607800271696
51,0.0
52,-3.186394741017118e-05
53,-0.00195073638632548
54,-0.0019440775293616541
55,-0.001616442569233767
56,-0.003029836396124308
57,-0.0031854355511481414
58,-0.004611881773014637
59,-0.004907337352405561
60,-0.006526304980054909
61,-0.006182621589769455
62,-0.005976270788288551
63,-0.004535047636208822
64,-0.005353625304492127
65,-0.005957103181127854
66,-0.006778328632478292
67,-0.005644130309799378
68,-0.009044178865749375
69,-0.01041414507250793
70,-0.01031229952325452
71,-0.010026661235954082
72,-0.010205888845989053
73,-0.011193708152072657
74,-0.0116549996358003
75,-0.01188675967605557
76,-0.012388300690889364
77,-0.013505996519248664
78,-0.015200511706007336
79,-0.014283407216179489
80,-0.014863858203532199
81,-0.012865657540066522
82,-0.012821299527716379
83,-0.012657062093947347
84,-0.010783972787275387
85,-0.013142173126646894
86,-0.01384101673162752
87,-0.014321354910915463
88,-0.013624889806844731
89,-0.015037900199063259
90,-0.015859000094488707
91,-0.014420936761136982
92,-0.015954533299042728
93,-0.014678684792593821
94,-0.013386926911177044
95,-0.012293022360752692
96,-0.010159149494851749
97,-0.010253120492494383
98,-0.008769469528253082
99,-0.009483195691692314
100,-0.010372556297257085
101,-0.012134476762406199
102,-0.011854458508632426
103,-0.011128637394595131
104,-0.0101182728394128
105,-0.011034758156931002
106,-0.011089044562864081
107,-0.011668558897095838
108,-0.009198201786182136
109,-0.00976015215927628
110,-0.008255517524513478
111,-0.008996803052542246
112,-0.008492846878971338
113,-0.007264704573771041
114,-0.006328234052943249
115,-0.005320451714601271
116,-0.004325270321502428
117,-0.002145899463131151
118,-0.0030406825215885114
119,-0.003815430413156462
120,-0.004949715776305208
121,-0.006517095133980022
122,-0.0065278124959030626
123,-0.0067070379397332625
124,-0.006979800348466569
125,-0.005984735281368669
126,-0.005113680240777629
127,-0.006547901006289325
128,-0.007786213185501767
129,-0.007450508729101024
130,-0.00740677888301744
131,-0.005562862377479161
132,-0.004718175715618056
133,-0.006680130838891074
134,-0.00650244568780034
135,-0.007347099022201653
136,-0.007500989194577201
137,-0.009194964252546622
138,-0.00854985708063316
139,-0.007850120145950101
140,-0.008787657451175379
141,-0.00823582560846392
