t,drawdown
0,0.0
1,-0.0022519170543331413
2,-0.017380792437691195
3,-0.023425971981732574
4,-0.028210335434008305
5,-0.03815379248011974
6,-0.018711465473591593
7,-0.019127417086821863
8,-0.012248454202147818
9,0.0
10,0.0
11,0.0
12,-0.010053569287172603
13,0.0
14,-0.00020323377379705132
15,-0.005268160805513289
16,-0.012053508726577511
17,-0.005867871949448489
18,-0.029631152168029584
19,-0.03449088872170736
20,-0.01950573830142699
21,-0.012135951779279619
22,-0.015492273766885778
23,-0.0014300056447913434
24,0.0
25,-0.003254204349593226
26,-0.031482849531609625
27,-0.03881558908010596
28,-0.059331063699798015
29,-0.05126970478731685
30,-0.04203135736473229
31,-0.03928471410165102
32,-0.04733113032811309
33,-0.05013097385850218
34,-0.05327678491928001
35,-0.03814667585345788
36,-0.03694090596713584
37,-0.05127182299485289
38,-0.056579189762602344
39,-0.05310274710194762
40,-0.06791576487834494
41,-0.0733815827975366
42,-0.06679101714869684
43,-0.0581610757618467
44,-0.06182504053926985
45,-0.07343292390140277
46,-0.07979175416335471
47,-0.0652563991696582
48,-0.059385749260772225
49,-0.045694924612139864
50,-0.026867002191373945
51,-0.03446159398476267
52,-0.05621693859809118
53,-0.06621318064914361
54,-0.06564392386365914
55,-0.06909165963928676
56,-0.07241482684179668
57,-0.05503402569032867
58,-0.07749943685749117
59,-0.07693111282154219
60,-0.07022096897859698
61,-0.06770543178970334
62,-0.05606245743829441
63,-0.06286517328501351
64,-0.06053754586516058
65,-0.0652952112400611
66,-0.07619192257226315
67,-0.05928936363811743
68,-0.07426463576149178
69,-0.04444009208203392
70,-0.03835080047707551
71,-0.01357434658401635
72,0.0
73,-0.018309259973125047
74,-0.0007508901180656169
75,0.0
76,-4.5135168562193684e-05
77,0.0
78,-0.0034525658615270904
79,-0.017919784031512398
80,-0.028152465903596657
81,-0.044363040676765664
82,-0.032510842805553275
83,-0.03346067842500766
84,-0.02047924984088234
85,-0.009927259694178181
86,0.0
87,-0.0037009628961494068
88,-0.017655793898253336
89,-0.005739017538583302
90,0.0
91,-0.024732387285532287
92,-0.019528236612511685
93,-0.026783708739283818
94,-0.025611605435239104
95,-0.01920491978852379
96,-0.02225724745404556
97,-0.005590072861128448
98,0.0
99,-0.02096850027213415
100,-0.008655219142944537
101,-0.021824739121377612
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,-0.012613947339662257
108,0.0
109,0.0
110,-0.008576747240073401
111,-0.001327096439243336
112,-0.005000482241215631
113,0.0
114,-0.023372784591140783
115,-0.04878758355911983
116,-0.024128630788087357
117,0.0
118,0.0
119,-0.002420155032456739
120,0.0
121,-0.00798890923031792
122,0.0
123,-0.0097756593901146
124,-0.00599828820554249
125,-0.03191936945323359
126,-0.023891670314993507
127,-0.037144346534556894
128,-0.02039718459275086
129,0.0
130,-0.02319470547044833
131,-0.0186417662065681
132,-0.02222517176811356
133,0.0
134,0.0
135,-0.008808851982347266
136,-0.004339845629933725
137,-0.0004311115199131521
138,0.0
139,0.0
140,0.0
141,-0.0021121409758056986
142,0.0
143,-0.008053524572819937
144,0.0
145,-0.006336408605209565
146,-0.012976724748910096
147,-0.035153505469785906
148,-0.017421874069202148
149,-0.025423473046342737
150,-0.048334606535642255
151,-0.03356671132400524
152,-0.019908513857108012
153,-0.014400196926225406
154,0.0
155,0.0
156,0.0
157,0.0
158,-0.012453693478926997
159,0.0
160,0.0
161,-0.0021048436966624173
162,-0.008600447576943782
163,-0.00017428367018068602
164,-0.03146706002812072
165,-0.041498162999564436
166,-0.0673307578392931
167,-0.07268036122763166
168,-0.08066880389001585
169,-0.05688375743989371
170,-0.06221785404611635
171,-0.07882924392598933
172,-0.08312324124141146
173,-0.06987325921191223
174,-0.08234346779937507
175,-0.06732630717344212
176,-0.08621521044459068
177,-0.10700123108113024
178,-0.1106405163162969
179,-0.09984001450892899
180,-0.11767697849948788
181,-0.1116127842207636
182,-0.12196027112939034
183,-0.12541395753032947
184,-0.13303378186619408
185,-0.13736372279586329
186,-0.15840746942067652
187,-0.17344221659153503
188,-0.17894138678113491
189,-0.16644451481516165
190,-0.17083177182115683
191,-0.16608967611137693
192,-0.15613840472690388
193,-0.14986731065186054
194,-0.14943852240884048
195,-0.1497246960933224
196,-0.1539530925260887
197,-0.13631812060272552
198,-0.10999096502593397
199,-0.11467586979642042
200,-0.12150025501241823
201,-0.12412992912715715
202,-0.14008196541251494
203,-0.11006005920049344
204,-0.12709840179218124
205,-0.12758360270202784
206,-0.12293318694819899
207,-0.1567951995653516
208,-0.15663251730466798
209,-0.1697453640949047
210,-0.1530006430365939
211,-0.17486687726612615
212,-0.18661604778225083
213,-0.1789090444179139
214,-0.1906923870901961
215,-0.18705177118418703
216,-0.18369603475220808
217,-0.18920167697309065
218,-0.16999391422179821
219,-0.16845489356922105
220,-0.15530159138053812
221,-0.17575834526327028
222,-0.15604742166305496
223,-0.16959210554651105
224,-0.18445630194867857
225,-0.21145275412056452
226,-0.22364544365769923
227,-0.2236253742677713
228,-0.21916778741317278
229,-0.2224774122890505
230,-0.2273194264338253
231,-0.22200576472848632
232,-0.19753333488324754
233,-0.18955857008917376
234,-0.19261643063768297
235,-0.19668796330983995
236,-0.1871007347915915
237,-0.18101128082008855
238,-0.1553669438559251
239,-0.15618820165913272
240,-0.1883446788372355
241,-0.19276243185440523
242,-0.17424361110145814
243,-0.17795232376633963
244,-0.17548196434198327
245,-0.16008482831908555
246,-0.15724077796670222
247,-0.15302247207511233
248,-0.16341282165849957
249,-0.1579232948502436
250,-0.15755480015196022
251,-0.1619119936225386
252,-0.14992591112183085
253,-0.1646554671368996
254,-0.16373975266794938
255,-0.17492456496493503
256,-0.1704247495711546
257,-0.15103107708161412
258,-0.1706765203415228
259,-0.16809894822412497
260,-0.14886151215267274
261,-0.16240294405509792
262,-0.16905028358813634
263,-0.1550705036244696
264,-0.15567031140403553
265,-0.12503648763787512
266,-0.12590750200205192
267,-0.15050289063460798
268,-0.15063265836470108
269,-0.15382093423677812
270,-0.1429434292919417
271,-0.14828908159322574
272,-0.1400202905579494
273,-0.13468702530337517
274,-0.15814968972425025
275,-0.15085465555165745
276,-0.13507865318824397
277,-0.12037536124646153
278,-0.09664639419748566
279,-0.0886569028417804
280,-0.08080198820749485
281,-0.07642138866395654
282,-0.08206129327945832
283,-0.08684329047690431
284,-0.0765070033214853
285,-0.08899329563193537
286,-0.10499919515633949
287,-0.1219359402215453
288,-0.1129908530044007
289,-0.11360472048161041
290,-0.09865266047698762
291,-0.09428784790602962
292,-0.08735851429316444
293,-0.09797100146383575
294,-0.07583915884531178
295,-0.0512855045616164
296,-0.08028578097567218
297,-0.07622144884613868
298,-0.06636362320000733
299,-0.04887990399138764
300,-0.049653666271246566
301,-0.06834667549209661
302,-0.05362586779425704
303,-0.06471499504838563
304,-0.0394564434775353
305,-0.05340558804740858
306,-0.043765667701398114
307,-0.040787348211428154
308,-0.03745247362641768
309,-0.06447602772003203
310,-0.054616782344278025
311,-0.04988147073332205
312,-0.04471241756709754
313,-0.05214128931090889
314,-0.029439639458717415
315,-0.013527924469149522
316,-0.010154861581682217
317,-0.019414590166123347
318,-0.021582428184588665
319,-0.008912143639101311
320,-0.019933472095490345
321,-0.02014271013868585
322,-0.026213137999166802
323,-0.049133578640801145
324,-0.08253849964383753
325,-0.09580046805322873
326,-0.11090130214923644
327,-0.14189216677978111
328,-0.15793135445748696
329,-0.15717075374888245
330,-0.15301024317841538
331,-0.17693284103020246
332,-0.17862332090158628
333,-0.17720891455498056
334,-0.18851496079178343
335,-0.17223326442759435
336,-0.18833912730764413
337,-0.19793076621990635
338,-0.2028363251210028
339,-0.19199410198655953
340,-0.1962584260585445
341,-0.18876947622437013
342,-0.20038617621049393
343,-0.18064009371487189
344,-0.16809992384494066
345,-0.16689705481662465
346,-0.17984254775466502
347,-0.16718729421907574
348,-0.1577845420788362
349,-0.15895121388010225
350,-0.16305623053542873
351,-0.17273802071398203
352,-0.17830303907013578
353,-0.16013714385646316
354,-0.15363926523019378
355,-0.14360215646374774
356,-0.1595777954035783
357,-0.16232543736691174
358,-0.15677213095720965
359,-0.12993390993839904
360,-0.1434620539861018
361,-0.15273864912354718
362,-0.16926084236224848
363,-0.15937280247148455
364,-0.16465772110776322
365,-0.15456983492046106
366,-0.16017387786819126
367,-0.15926057463703702
368,-0.15340417590571875
369,-0.14503037839065314
370,-0.13512491923106196
371,-0.11422251010704088
372,-0.11664137274155972
373,-0.1332181805265774
374,-0.11777115294721763
375,-0.0963752255559106
376,-0.10111643729967246
377,-0.11005073131315002
378,-0.12231471266801652
379,-0.10372622128087061
380,-0.11321066225087428
381,-0.09875130126510678
382,-0.09693633191614293
383,-0.09439634241153361
384,-0.08717295080714549
385,-0.09380629507874749
386,-0.08272180295470866
387,-0.07574608634205704
388,-0.08806773350938502
389,-0.08075701894355458
390,-0.09685943376120254
391,-0.12890862538944636
392,-0.10429570288636769
393,-0.10251194098810679
394,-0.07086501921323896
395,-0.055856275349071116
396,-0.03801204587155771
397,-0.04945944973463923
398,-0.05239155969394049
399,-0.06429286704674231
