t,drawdown
0,0.0
1,-0.0005409128849289679
2,0.0
3,0.0
4,-0.0037526795743263452
5,-0.0008781544534617325
6,-0.0006061744227463528
7,0.0
8,0.0
9,-0.008410100815111954
10,-0.011947490137997452
11,-0.01005718911348119
12,-0.010344081028998642
13,-0.01336603314967899
14,-0.01348534392030698
15,-0.012752044110205585
16,-0.01691691563818687
17,-0.013391905774662538
18,-0.013722994814806766
19,-0.011800709907568985
20,-0.016628323735537687
21,-0.015806222291581684
22,-0.014609716136757656
23,-0.016209820620147086
24,-0.01198044960587652
25,-0.012757606180379355
26,-0.019784141894038876
27,-0.022075838540864035
28,-0.02577633688497971
29,-0.021935804515733737
30,-0.019781111315118838
31,-0.018129350766343477
32,-0.019586920499204963
33,-0.020770905379336457
34,-0.019562984913726877
35,-0.02097611464717919
36,-0.025755107027995217
37,-0.027393542857988784
38,-0.030749526127486826
39,-0.03330788952835673
40,-0.030345889824617278
41,-0.030461399757022334
42,-0.024791863026080718
43,-0.023981590465140035
44,-0.025535908748021363
45,-0.02488541692351187
46,-0.022436186696985327
47,-0.02075406527013246
48,-0.01589608551127364
49,-0.020884520835284026
50,-0.017519332864488146
51,-0.01736465948012489
52,-0.02227232475332641
53,-0.02559877177893688
54,-0.02678294150488081
55,-0.027676066059661997
56,-0.028245873936798227
57,-0.02875196819572623
58,-0.027735763021016213
59,-0.026911649221867173
60,-0.030566726799015176
61,-0.03084744606512324
62,-0.03371707541692093
63,-0.03090680313956673
64,-0.027768287548598836
65,-0.02649282419023269
66,-0.02709104655960426
67,-0.024327183132792696
68,-0.026023611752489795
69,-0.020382037621023752
70,-0.019103826960351955
71,-0.018343656174005685
72,-0.021264288541309684
73,-0.02378115971407302
74,-0.027380995760238003
75,-0.02735964093263976
76,-0.028263427752796333
77,-0.027528136040553264
78,-0.031058087140469093
79,-0.030739363655545526
80,-0.030578975724812385
81,-0.03068110445757355
82,-0.03066101446788383
83,-0.028276894790484453
84,-0.027009790887228546
85,-0.030639090703260763
86,-0.02650464894787674
87,-0.028579841542885842
88,-0.026601880044271886
89,-0.025502480021563412
90,-0.021262491239167236
91,-0.01836792391325137
92,-0.02073010034310463
93,-0.018967236416508437
94,-0.02178077174711579
95,-0.017803826478115403
96,-0.017061749697652395
97,-0.008787399768428128
98,-0.005964376279440908
99,-0.0066407219538267
100,-0.00499990507487047
101,-0.002146319605388136
102,-0.008169818959913533
103,-0.008599680371929597
104,-0.008271718858577026
105,-0.009052655393803621
106,-0.013662919496254533
107,-0.019413055623797026
108,-0.01856840094285328
109,-0.018561239296947196
110,-0.02173476745039693
111,-0.018390679584375014
112,-0.023005326123298198
113,-0.0289523939633618
114,-0.03192762160079887
115,-0.029069197293411175
116,-0.024855713378473032
117,-0.02671185660063824
118,-0.028122971797956198
119,-0.02641799336218198
120,-0.02562846590344736
121,-0.031868812349943765
122,-0.026245280331091858
123,-0.023371880224103303
124,-0.024644476666845216
125,-0.023967177125849837
126,-0.022166745173418545
127,-0.017700793248086932
128,-0.015898899217231532
129,-0.013703889337768782
130,-0.01016899944475802
131,-0.01277382192761567
132,-0.011850072127081779
133,-0.017557356968573745
134,-0.015483810379383955
135,-0.017733307136788667
136,-0.01579646681383806
137,-0.01610508934993249
138,-0.014659069262334068
139,-0.014013855821836452
140,-0.01745124167615797
141,-0.01719004802944213
142,-0.0163463168553597
143,-0.01898251479372759
144,-0.020873939499559957
145,-0.022684746966488922
146,-0.026021143441182226
147,-0.020936755600023393
148,-0.022593478344828943
149,-0.019994617958612793
150,-0.01928434018630254
151,-0.019942068600659724
152,-0.020908312389730233
153,-0.021200658631398528
154,-0.019980703676806266
155,-0.016713734880609343
156,-0.010811084537385884
157,-0.01200028076490145
158,-0.013142674516674502
159,-0.009474898741408833
160,-0.008673538686513105
161,-0.009509692866726649
162,-0.0021137622161669922
163,0.0
164,0.0
165,0.0
166,-0.00312906133497326
167,-0.007036695930780379
168,-0.006176484872094212
169,-0.006485476750125785
170,-0.0016608103491448922
171,0.0
172,-0.0004203402565068348
173,0.0
174,-0.0018634121122562686
175,0.0
176,0.0
177,0.0
178,-0.0004945175754985653
179,0.0
180,0.0
181,-0.006716540305855778
182,-0.003519785260484243
183,0.0
184,0.0
185,0.0
186,-0.003285758114041526
187,-0.00046579641040189745
188,0.0
189,-0.0011367375855826367
190,-0.0030440615160569617
191,-0.00420125840994634
192,-0.004480843766814457
193,-0.005732709327092689
194,-0.0038893187601215518
195,-0.006379931901279279
196,-0.008720497088429813
197,-0.011002351189800641
198,-0.00306141623182421
199,-0.0022332759134540137
200,-0.008536076024299843
201,-0.004101420551128276
202,-0.004324374379201634
203,-0.0031950678211819517
204,-0.005200650430702725
205,-0.00711932504260071
206,-0.0029369183913540153
207,-0.011265186980496611
208,-0.012338830263695977
209,-0.01970496017179657
210,-0.023473045374436508
211,-0.023118672045207123
212,-0.028638739998148588
213,-0.03541835144951
214,-0.034869967360532717
215,-0.04159210013401882
216,-0.042406674680293466
217,-0.042530631018587006
218,-0.043506163035221035
219,-0.04519866120339666
220,-0.044280219642822805
221,-0.04768768467251394
222,-0.04476081841912394
223,-0.04184295428428264
224,-0.038550094011799096
225,-0.04273057638484212
226,-0.03461647787783739
227,-0.027213386574734932
228,-0.031554033788752545
229,-0.03729534994414152
230,-0.04222143412936097
231,-0.04243366276736993
232,-0.04246723050007839
233,-0.043678875246004445
234,-0.04110766074268002
235,-0.04261129430625288
236,-0.04581880320194931
237,-0.04425998912034235
238,-0.048515570385926354
239,-0.048815300890618585
240,-0.04813167132401397
241,-0.048515884780526375
242,-0.04501853100035069
243,-0.04612107713715352
244,-0.04419579481445812
245,-0.041446403850962765
246,-0.0391953907416599
247,-0.03514191872744854
248,-0.036270089222210755
249,-0.03859100933129067
250,-0.03482034481537433
251,-0.02972323937705401
252,-0.023653158843638056
253,-0.025546882630657297
254,-0.019999955657301616
255,-0.019482450923669403
256,-0.01774948803712606
257,-0.021541908215021777
258,-0.01611066431175978
259,-0.01869122057427297
260,-0.017956875584847376
261,-0.021663709997496894
262,-0.023601838007988873
263,-0.024607890105753927
264,-0.026701113961524414
265,-0.024617454687187013
266,-0.02059685850264703
267,-0.01635312656514276
268,-0.01535699131012691
269,-0.013744596636590667
270,-0.020696652587687714
271,-0.0201124707209257
272,-0.024127668595291252
273,-0.017356019433129477
274,-0.013682436046924207
275,-0.013756234080199325
276,-0.010701979572350417
277,-0.007105874326372441
278,-0.010110667538541507
279,-0.009379948288173345
280,-0.008825125625360197
281,-0.0077662201245586315
282,-0.010360499422348068
283,-0.010754137647215334
284,-0.006588641792816485
285,-0.0056739378961407905
286,-0.004279121513027229
287,-0.0015094655135806656
288,-0.0035274824500374224
289,-0.0050467570517497284
290,-0.0063959355650961
291,-0.007002561565698007
292,-0.004107926909436954
293,-0.005156757633303255
294,-0.008658564142354108
295,-0.00882402148583783
296,-0.008969404568383688
297,-0.009946603315365343
298,-0.01147573169897087
299,-0.005562426751588689
300,0.0
301,0.0
302,0.0
303,-0.00035139476501899747
304,-0.00048313544024469746
305,-0.0004527258147277724
306,0.0
307,-0.001915899658286313
308,-0.0018199717626066203
309,-0.0014131890937912894
310,-0.00066176462794032
311,0.0
312,-0.0013876081319761369
313,-0.0004959985439942916
314,-0.0025995717664694107
315,-0.006894185055945634
316,-0.011086229896475008
317,-0.010118690512234019
318,-0.009290321420485914
319,-0.014589969002173575
320,-0.017701594806743826
321,-0.013190944125820003
322,-0.017670318994426837
323,-0.017900575367241767
324,-0.01221239402390506
325,-0.012354156536271477
326,-0.013452775775510184
327,-0.010695752877603382
328,-0.010748031242259759
329,-0.008947204070500203
330,-0.010393391958645526
331,-0.010993835057895418
332,-0.00842909878677467
333,-0.005469886365867982
334,-0.006372749791936472
335,-0.00681532827154252
336,-0.0028208628322502483
337,-0.00087593447612766
338,-0.0022762941838820883
339,0.0
340,0.0
341,0.0
342,-0.0007837973921817065
343,-0.005000876248256403
344,-0.004793096292815213
345,-0.0031926055843302104
346,-0.00775645591978491
347,-0.006421265040456592
348,-0.011865855602734676
349,-0.00789342655685632
350,-0.0033395569571817996
351,-0.0023564966700270196
352,-0.0032718568366372214
353,-0.006953174255640682
354,-0.010403038188168012
355,-0.008663320051143786
356,-0.016153489085510064
357,-0.01794378637561611
358,-0.022573557779148268
359,-0.0209607730737843
360,-0.02072361025284941
361,-0.02142408131637663
362,-0.01950714561248723
363,-0.01894163499018564
364,-0.020770768688589625
365,-0.023742355811005034
366,-0.028686750249671933
367,-0.024415228834770653
368,-0.022704592489671716
369,-0.01868199295431694
370,-0.022779374955433584
371,-0.025676002183429913
372,-0.031027511974374256
373,-0.024381483021378658
374,-0.028242368535638218
375,-0.02782598347081633
376,-0.027360253350704133
377,-0.027997067909291018
378,-0.030012172993783337
379,-0.027478644179478873
380,-0.023432933567309022
381,-0.015504464845090826
382,-0.018689730291280293
383,-0.02644826208572748
384,-0.026326405063554326
385,-0.02790485151974098
386,-0.028596751466873682
387,-0.029083393225658782
388,-0.03252557482753282
389,-0.03638450182168218
390,-0.036579848793136804
391,-0.03934954925731371
392,-0.041920426068136174
393,-0.040542022392288324
394,-0.03789004915779448
395,-0.031211363334677333
396,-0.03480543622017507
397,-0.03439862071542388
398,-0.03553466106613368
399,-0.036081241895963845
400,-0.03875555677496645
401,-0.04202755113739287
402,-0.042400277288409005
403,-0.043800798944024
404,-0.04863514417707382
405,-0.0433369532956519
406,-0.04734505327875571
407,-0.04307663319745536
408,-0.040602044384166036
409,-0.03998560672409912
410,-0.042530873837785976
411,-0.0498565047267282
412,-0.05158908913799165
413,-0.055478310947774
414,-0.07484430107410533
415,-0.08325561983408447
416,-0.09007057458495815
417,-0.0954037107227329
418,-0.10170635649484294
419,-0.10654385706374814
420,-0.10601886300106766
421,-0.10700013942370312
422,-0.1104532942880605
423,-0.10859528291891452
424,-0.11092323203363308
425,-0.11554971992870477
426,-0.11721638682347946
427,-0.11787961514727174
428,-0.1201280687493047
429,-0.12042872193297494
430,-0.12390224658653526
431,-0.1262553068995732
432,-0.12759793881042814
433,-0.12644187075062152
434,-0.1254082675454219
435,-0.1317804317642075
436,-0.13418278490481317
437,-0.1354556527316314
438,-0.13549061002588814
439,-0.13967259274943788
440,-0.14011663572915845
441,-0.14234615480269797
442,-0.14331901842088013
443,-0.13729569705783984
444,-0.14238139157444163
445,-0.1415880770521496
446,-0.14263616214678232
447,-0.1451739326447654
448,-0.1425935127349991
449,-0.1398087115875325
450,-0.14416675368104626
451,-0.1350549678631282
452,-0.13938526400987417
453,-0.14041414040056188
454,-0.13710339392528959
455,-0.13625746424728225
456,-0.13747094706260343
457,-0.13802697514315942
458,-0.1406868800393949
459,-0.14213882508915765
460,-0.13963919834900818
461,-0.14201975285737212
462,-0.1389115291302273
463,-0.140012912338774
464,-0.1424925035206872
465,-0.14346746383320053
466,-0.14064900552362858
467,-0.139974837007513
468,-0.1389655333315194
469,-0.1383318286600358
470,-0.13761486978604764
471,-0.13717093712041517
472,-0.14104894292584447
473,-0.13895342235640096
474,-0.14074321698519854
475,-0.1404785126543694
476,-0.13817155122729485
477,-0.13540016045567105
478,-0.13066084162689884
479,-0.1255983080244002
480,-0.12653633627580896
481,-0.12739937217464958
482,-0.12789264986206506
483,-0.1273775685791062
484,-0.12496674465076807
485,-0.12031939679386194
486,-0.12046884110406586
487,-0.11649871583010551
488,-0.1223421422803801
489,-0.12022006147420561
490,-0.12431651267965704
491,-0.11597423848131849
492,-0.11843766357370666
493,-0.11339391798148879
494,-0.11839749370976427
495,-0.11866587175140364
496,-0.12082280287663727
497,-0.1215706252252301
498,-0.1235256450398563
499,-0.12096530128397043
500,-0.11975359423043241
501,-0.11651453132248313
502,-0.1167257266334637
503,-0.11542943712804743
504,-0.1140398848016615
505,-0.11467732579797474
506,-0.12032700740692026
507,-0.11924973440663666
508,-0.11464764763226998
509,-0.10661137275036736
510,-0.10541487077205136
511,-0.10925531913809394
512,-0.11209741177999422
513,-0.1119586238805449
514,-0.11052448415686056
515,-0.10684401403093025
516,-0.11123002677717175
517,-0.10874481208128128
518,-0.11149545123995241
519,-0.11378243308820202
520,-0.11306344181026062
521,-0.11060480411833451
522,-0.10541402129079236
523,-0.10597577865352037
524,-0.10589223321125696
525,-0.10618501768013633
526,-0.10098766212420462
527,-0.09905717026963001
528,-0.09760359798931484
529,-0.0993672549189113
530,-0.09785682565427856
531,-0.10089609435639213
532,-0.10173452875888478
533,-0.11069674401492224
534,-0.11090399527675776
535,-0.11333956599641615
536,-0.11904912787591693
537,-0.11466593336003128
538,-0.1224363774382825
539,-0.12226927010841104
540,-0.11719342908065555
541,-0.12130674818643061
542,-0.12030987787272807
543,-0.11564871728871429
544,-0.11375086389112787
545,-0.11054204610850393
546,-0.10932882955038037
547,-0.11819763657303106
548,-0.12363596169705426
549,-0.12857654712866085
550,-0.12638884453844113
551,-0.12558898227487325
552,-0.12542382145435405
553,-0.12461689146045152
554,-0.12750729985965392
555,-0.12801700473682642
556,-0.122895920734864
557,-0.1185862392989615
558,-0.12313650817951782
559,-0.12457590121631368
560,-0.1257736458660853
561,-0.13165862526887417
562,-0.13537189617284828
563,-0.14010544481878728
564,-0.13877157608713808
565,-0.1352664270521161
566,-0.13325805088699605
567,-0.13325913623560437
568,-0.12999141472638642
569,-0.12648889477299163
570,-0.12409199003961668
571,-0.12104487116737406
572,-0.11833191821212863
573,-0.11350801023593926
574,-0.11063669503983575
575,-0.10872817660584089
576,-0.10926327287130522
577,-0.10666970864106673
578,-0.09972669275987278
579,-0.09972586409083983
580,-0.09674019014002166
581,-0.0930095347672083
582,-0.09481327842930976
583,-0.10329870742946234
584,-0.10323414960600907
585,-0.1011873077255726
586,-0.10409609358562288
587,-0.11039819562296527
588,-0.10936350712897003
589,-0.11727689425849597
590,-0.11345209030777204
591,-0.11865331482049857
592,-0.11758089727236898
593,-0.1117119536623421
594,-0.11254490997140199
595,-0.11162494627705155
596,-0.11208534384452251
597,-0.1110323938628418
598,-0.11039448346734215
599,-0.11093202804561342
600,-0.1066181704138417
601,-0.10968926168658644
602,-0.11312167543520335
603,-0.11670801664358665
604,-0.11612005525353364
605,-0.11371962802547542
606,-0.1123316156943237
607,-0.11456411571465397
608,-0.11261006319930866
609,-0.11014683582090057
610,-0.11753420508694734
611,-0.11403859127877003
612,-0.11761683338524453
613,-0.12122021101179947
614,-0.12226256068442731
615,-0.12276986372814369
616,-0.12254528578158519
617,-0.12017651177074185
618,-0.11984319300395485
619,-0.11603675774566313
620,-0.12212163757941807
621,-0.11888047395526768
622,-0.11417184689337057
623,-0.11670477702107596
624,-0.11376501717513854
625,-0.11023447632664085
626,-0.1098189208402377
627,-0.1087011587526373
628,-0.10938199069748322
629,-0.1081527636611852
630,-0.11054988291683565
631,-0.1141939706346945
632,-0.11694794956202459
633,-0.12107306077586
634,-0.12190621449034023
635,-0.12267487216835815
636,-0.12050376693349474
637,-0.12530008285690963
638,-0.12612269221028005
639,-0.11890633098661174
640,-0.11955229729699723
641,-0.11786356985539526
642,-0.11842334133645516
643,-0.11989594504506906
644,-0.12109037778816545
645,-0.11967416502004102
646,-0.12311746515020194
647,-0.11835982952753177
648,-0.12211766718420902
649,-0.12019216344018013
650,-0.12218457632308133
651,-0.12527491954974146
652,-0.1253909313609639
653,-0.12822321600142284
654,-0.12816979462262534
655,-0.1266808386655769
656,-0.12701545434997064
657,-0.12827138254985382
658,-0.1311491392266616
659,-0.12842450186253718
660,-0.12936328091943528
661,-0.13021574689544013
662,-0.1351077557935838
663,-0.13391486113793494
664,-0.13316791517014304
665,-0.13381156273023453
666,-0.13665781414941058
667,-0.1378184151525652
668,-0.14130625984846246
669,-0.142248490144103
670,-0.14603715983305698
671,-0.14307426688640923
672,-0.1437791674908806
673,-0.14548814422696588
674,-0.14385762519857803
675,-0.1485661793708073
676,-0.14659319342279997
677,-0.15259477007023659
678,-0.14969227645965422
679,-0.14938954631441137
680,-0.14658025013582665
681,-0.14713973336205954
