t,drawdown
0,0.0
1,0.0
2,0.0
3,0.0
4,-0.00479203025742736
5,-0.002463582735333758
6,-0.008084936191703584
7,-0.007118550405762258
8,-0.0101850015833449
9,-0.010774672430870047
10,-0.00756706005113994
11,-0.0043092971097422605
12,-0.004337465495790949
13,0.0
14,0.0
15,0.0
16,-0.002676429709576822
17,-0.0017432463859272662
18,0.0
19,0.0
20,0.0
21,0.0
22,-0.00114924919677728
23,-0.0038510749156142055
24,-0.00046738442981819617
25,0.0
26,-0.0033199358490569875
27,-0.004327320964526038
28,-0.0034782145120928476
29,-0.005469678747597406
30,-0.003189330689610914
31,0.0
32,0.0
33,-0.004196748136398365
34,-0.00045749633431035885
35,-0.0010077732864952615
36,-0.003259181378993281
37,-0.006786268884734437
38,-0.0015524092121353972
39,0.0
40,0.0
41,-0.003222446410285018
42,0.0
43,0.0
44,-0.0029114070275538806
45,-0.010274461427004389
46,-0.012753820679306638
47,-0.011037374294023738
48,-0.013821676436180264
49,-0.0123456923115276
50,-0.011979188544586461
51,-0.012041577129733083
52,-0.009257338023504591
53,-0.011675130855238192
54,-0.009258106371651031
55,-0.012318008801198488
56,-0.012840133099761175
57,-0.021193659046426783
58,-0.025045768846443717
59,-0.030727141894923204
60,-0.03312218785143084
61,-0.02832899852645021
62,-0.02835057414073583
63,-0.028143882500700212
64,-0.028621729704243593
65,-0.027728504524428765
66,-0.02491337532341209
67,-0.023448636752138596
68,-0.021822289326121402
69,-0.019195041198043716
70,-0.020498263736674183
71,-0.028277610116419827
72,-0.030916325432263858
73,-0.03164596828258681
74,-0.03545711370479043
75,-0.03744180675017905
76,-0.037697420570161566
77,-0.04277189528556502
78,-0.043554652960261064
79,-0.04430665487864405
80,-0.04351201190312004
81,-0.040718994273820974
82,-0.03526677337179707
83,-0.03579126404038102
84,-0.03390401668217968
85,-0.029323751616747606
86,-0.027973211904102846
87,-0.023326369741738406
88,-0.016098176489043547
89,-0.012651389346744701
90,-0.01243713502095023
91,-0.012659559034677192
92,-0.014332475153084556
93,-0.016904732405733758
94,-0.021206198352668237
95,-0.022681630036983425
96,-0.02204877789828763
97,-0.023994690466558444
98,-0.025590613039964794
99,-0.02570077580247654
100,-0.03053921353195066
101,-0.03145109278833935
102,-0.02935833064687765
103,-0.027327690296242158
104,-0.029830226158675255
105,-0.025937379711196806
106,-0.028717112052391136
107,-0.02885248619420855
108,-0.032761269991364084
109,-0.031522570701762787
110,-0.02505769712634054
111,-0.02918562222390042
112,-0.034152272460758026
113,-0.03712113757086166
114,-0.03913855832885982
115,-0.03916056600180173
116,-0.04176187305622936
117,-0.046731038637050526
118,-0.05442170166022664
119,-0.048387063755451876
120,-0.05074918269332007
121,-0.04988149586644475
122,-0.05045261373043697
123,-0.05071906331395226
124,-0.04945900575620643
125,-0.0468866574269311
126,-0.046506028907799535
127,-0.04939342512011835
128,-0.05271805222940851
129,-0.05429701412412946
130,-0.05131268824037172
131,-0.052750975777504316
132,-0.053187520071164784
133,-0.05241544293653955
134,-0.05933301375583622
135,-0.060280406655986774
136,-0.060952687959406227
137,-0.05795485101286657
138,-0.05784265757164708
139,-0.058522583094956726
140,-0.05947755336348304
141,-0.06303551844574329
142,-0.06456786015173599
143,-0.06621663939911104
144,-0.06402003490516839
145,-0.05830521221543461
146,-0.06280567742513543
147,-0.06460431679319756
148,-0.06888623624872325
149,-0.06902830091174572
150,-0.07010546449985533
151,-0.07029690876084216
152,-0.07060862181352245
153,-0.07086232427394057
154,-0.06895805922429865
155,-0.06778024944599459
156,-0.07081157253799342
157,-0.07462005629149282
158,-0.07288128579678432
159,-0.07698218961542735
160,-0.07637833869636357
161,-0.07602867047424444
162,-0.07573770339176378
163,-0.07311020853192429
164,-0.06792311826298503
165,-0.08050861781974894
166,-0.08432905662645451
167,-0.08506467454575173
168,-0.08486407416979891
169,-0.08291552103617073
170,-0.08085769224402028
171,-0.0864125494867567
172,-0.0810663370746012
173,-0.08147280426903691
174,-0.08108126432059615
175,-0.0838087661678546
176,-0.08286524315574262
177,-0.0843047477799731
178,-0.08344683195402747
179,-0.0811194162341371
180,-0.0792952880011778
181,-0.08027503541896075
182,-0.07823066624494379
183,-0.07672863157229226
184,-0.07774209249652808
185,-0.07945454471280389
186,-0.07860177565325976
187,-0.08109695001886585
188,-0.08147269621596775
189,-0.07996606785349658
190,-0.0793792575045087
191,-0.0757715602331892
192,-0.07451294715445556
193,-0.07427015398913872
194,-0.07326212452168468
195,-0.07709069778375366
196,-0.07863949008540316
197,-0.07692219560056968
198,-0.07534068118419068
199,-0.0729986455261632
200,-0.06650485121340544
201,-0.06698140086045612
202,-0.06705968945673413
203,-0.06687545747399126
204,-0.07156627667281146
205,-0.07356801487312259
206,-0.0687060071255231
207,-0.06697615227383591
208,-0.07337922869942404
209,-0.07772260701010258
210,-0.0801403983706942
211,-0.08064418372838966
212,-0.08176137108411496
213,-0.08207954904457593
214,-0.08686594322152164
215,-0.09060569637472138
216,-0.0895410822159125
217,-0.0910449516153844
218,-0.09310737107560374
219,-0.09063669798860108
220,-0.09434907509781854
221,-0.09697492313230138
222,-0.10012943008913
223,-0.10113652239914828
224,-0.10191237824880528
225,-0.09938516052007973
226,-0.10223918072596916
227,-0.10017063394768855
228,-0.09978784341686653
229,-0.09882386115068043
230,-0.10482111605084143
231,-0.10266774899080977
232,-0.10408660889908883
233,-0.09953734968764927
234,-0.09964388573859373
235,-0.09905116169455963
236,-0.09919945935523344
237,-0.09706289607184015
238,-0.09725953273745014
239,-0.09845455472795273
240,-0.10303084571486254
241,-0.10338769008152116
242,-0.1014347007021893
243,-0.10040345998882838
244,-0.10049331941991291
245,-0.10189395667191092
246,-0.09965259302150509
247,-0.09742266514335407
248,-0.0975942390374539
249,-0.09486636896585876
250,-0.09146271249076643
251,-0.09323132403531198
252,-0.09512104219328821
253,-0.09644534457440179
254,-0.09782020050532547
255,-0.09646411537142852
256,-0.0930079534008077
257,-0.0920582739749709
258,-0.08613487750217697
259,-0.08644789539176179
260,-0.0844321208239005
261,-0.08253852341609091
262,-0.08883111022624723
263,-0.08696790548325828
264,-0.09126463027152265
265,-0.09281432519847965
266,-0.09460039364856943
267,-0.0953413172586508
268,-0.09811315187779712
269,-0.09790685753965789
270,-0.0898623659580382
271,-0.09437284553445124
272,-0.09348774064871268
273,-0.09856160788912982
274,-0.09868347350683337
275,-0.10140029604118683
276,-0.10007600499540759
277,-0.101449027268673
278,-0.10622541627895687
279,-0.10984211858844894
280,-0.1098469012053076
281,-0.10800066854184986
282,-0.10536594798806032
283,-0.09843973578796039
284,-0.09856570795557507
285,-0.10354861470557031
286,-0.09876842675172115
287,-0.09954689657687144
288,-0.09622402311378508
289,-0.10014149313268406
290,-0.09911588008376404
291,-0.09744490323950883
292,-0.09210101763513079
293,-0.09462293484692752
