t,drawdown
0,0.0
1,-0.0019543138461344256
2,-0.0014599368998717832
3,0.0
4,0.0
5,0.0
6,0.0
7,-0.0013470559418664596
8,0.0
9,-0.001325062202075622
10,0.0
11,-0.001701017508017988
12,0.0
13,-0.0012089578437015636
14,-0.0012809988606583556
15,0.0
16,0.0
17,0.0
18,-0.0017785270301153844
19,-0.0012977845989976533
20,-0.003634058932375006
21,0.0
22,-0.0010584855811474059
23,0.0
24,-0.0009106532166840431
25,0.0
26,0.0
27,0.0
28,0.0
29,-0.0029191201062307437
30,-0.007794153278872451
31,-0.016533044463919344
32,-0.013264171949269099
33,-0.013342800910693065
34,-0.010636683043965145
35,-0.013409744700796256
36,-0.017063042001760342
37,-0.021727423523087874
38,-0.019425090310019932
39,-0.019830378073239063
40,-0.015277021466928442
41,-0.01660146827005793
42,-0.021487482166720806
43,-0.01529518016650755
44,-0.010095304686682516
45,-0.00702638893999652
46,-0.003887861666244774
47,-0.006041530834017816
48,0.0
49,0.0
50,0.0
51,-0.0041098008598611235
52,-0.003163258875352848
53,-0.0075028803997700955
54,-0.011861090098765126
55,-0.015938603852922117
56,-0.013306950752137836
57,-0.03210056182636234
58,-0.037335884036163614
59,-0.04474443947851248
60,-0.056108655435541555
61,-0.06871694447065357
62,-0.07166880505161055
63,-0.06725821597847126
64,-0.06866321388411345
65,-0.06664778510111302
66,-0.06295148432106479
67,-0.06481935502824598
68,-0.0646790632706018
69,-0.06668659413483002
70,-0.08120723672827679
71,-0.07829213785384259
72,-0.07885054829075766
73,-0.08041447408167501
74,-0.08480907965618123
75,-0.08471185570401374
76,-0.08295682749497124
77,-0.08339597799172493
78,-0.08872484828975913
79,-0.08726844017365121
80,-0.08655756952011073
81,-0.09328447439778809
82,-0.09328397502592223
83,-0.0887714865607021
84,-0.08629905730150078
85,-0.08776465150832413
86,-0.08604187654321893
87,-0.08224939006911569
88,-0.08506805202863932
89,-0.08852748683491352
90,-0.08793126085450254
91,-0.08344572357909641
92,-0.07949656141594819
93,-0.0766273273993221
94,-0.0786153088581536
95,-0.08312080800180299
96,-0.08219544840188453
97,-0.08666227728007325
98,-0.08670209558966457
99,-0.09079208653648763
100,-0.0891948573874336
101,-0.09293812456238926
102,-0.09391249996761453
103,-0.09426220679873643
104,-0.09089488740606622
105,-0.08681200553206159
106,-0.07801026995161064
107,-0.08084811717585205
108,-0.07918936118860376
109,-0.0814240958555631
110,-0.08015182388493025
111,-0.07900598546861437
112,-0.07636625476821501
113,-0.07628663721554896
114,-0.07818063756158689
115,-0.0760438708707164
116,-0.08170949572430453
117,-0.07711474093642423
118,-0.07747584488316572
119,-0.08010009628489068
120,-0.07210275590858817
121,-0.07506148683344249
122,-0.07097566219890561
123,-0.07556309286626384
124,-0.06905075728092436
125,-0.06541202800546342
126,-0.06646498193297468
127,-0.06864534030908442
128,-0.06768839377760827
129,-0.0677378308554012
130,-0.06593957688560714
131,-0.07076044558567596
132,-0.06688890719052165
133,-0.0662977315546096
134,-0.06750162453266828
135,-0.07031478993012641
