t,drawdown
0,0.0
1,0.0
2,-0.019935132217120066
3,-0.003980343767100436
4,-0.011561151211539555
5,-0.01925157711346548
6,-0.0020619989885810597
7,-0.042760535986068215
8,-0.04864530914250509
9,-0.05556568469379819
10,-0.047133161131748924
11,-0.044795092001211456
12,-0.03840635641544643
13,-0.018982750347678157
14,-0.03047126011222767
15,-0.0679525761107529
16,-0.08072741736092404
17,-0.084439599954657
18,-0.07360184230331746
19,-0.08375906465561234
20,-0.07909999502445253
21,-0.06047294035129047
22,-0.061488640878619605
23,-0.0432191130410865
24,-0.055419427933161125
25,-0.056760535403336476
26,-0.0628438144429393
27,-0.05712463716552474
28,-0.028120840000186775
29,-0.0335011032971998
30,-0.005003778341952536
31,0.0
32,0.0
33,0.0
34,0.0
35,-0.0033773103700507345
36,-0.014657054649778845
37,0.0
38,0.0
39,-0.0010357646821778088
40,-0.012322889543917248
41,-0.014601389075690197
42,-0.01772225287443452
43,-0.02436231400028943
44,-0.04414507715038862
45,-0.060532989675093796
46,-0.053163887475023874
47,-0.06580544561979684
48,-0.06307321188201087
49,-0.0868175987483607
50,-0.09193856878641093
51,-0.10800721188248663
52,-0.09502504659298172
53,-0.08974406556211467
54,-0.08770340961926648
55,-0.06955171228773671
56,-0.07926526532395328
57,-0.11754660783065041
58,-0.11564144359333817
59,-0.1186883771070566
60,-0.14101960303087835
61,-0.1354060322891686
62,-0.12067801197174333
63,-0.12437161663096286
64,-0.11449645680643306
65,-0.12012870102794171
66,-0.11808382330287825
67,-0.11737743600712414
68,-0.10430911415441235
69,-0.10179238654221912
70,-0.10003387889894022
71,-0.08359215113324403
72,-0.10972731164253102
73,-0.13332039518619598
74,-0.12141496448849987
75,-0.12553388062345938
76,-0.12480159562849769
77,-0.10362869354378734
78,-0.11123079189557084
79,-0.11874453886740888
80,-0.09779081275820656
81,-0.09752877353589151
82,-0.10775055074850504
83,-0.10710144347137196
84,-0.09270264235965031
85,-0.1075987669967563
86,-0.12184354539910491
87,-0.1085982511034449
88,-0.09493326078020181
89,-0.09105240840164941
90,-0.08108921169545735
91,-0.10163171088231948
92,-0.11051874283155039
93,-0.11839465804465454
94,-0.11186969844066186
95,-0.09691458408553966
96,-0.08537419788497835
97,-0.07883942554512402
98,-0.06951100356953421
99,-0.0656620043885987
100,-0.0817057671807373
101,-0.09367695971756562
102,-0.09641728021761364
103,-0.09744880258134925
104,-0.1061497181405282
105,-0.10020459456178044
106,-0.11388983275293896
107,-0.10633680424398906
108,-0.1164147331265949
109,-0.09836890940589382
110,-0.09673531752677123
111,-0.08675646373037527
112,-0.07738380947083978
113,-0.07024908684460285
114,-0.059561431354705485
115,-0.056708163720808
116,-0.07551454947260472
117,-0.08255029485898657
118,-0.06360847389429758
119,-0.055290798690150966
120,-0.040708824722300974
121,-0.061657637251179676
122,-0.03234120154819031
123,-0.05214761761588971
124,-0.057963312670432865
125,-0.06199272527718025
126,-0.07094909495074564
127,-0.05821099982160405
128,-0.04470188115358176
129,-0.061463204403604754
130,-0.06732324857371963
131,-0.051907052692977684
132,-0.058345237923579485
133,-0.040058173837093536
134,-0.05702351661684446
135,-0.0677368280695092
136,-0.06362618697301725
137,-0.052521527591388284
138,-0.06271737764182583
139,-0.06481807796741157
140,-0.06687350145736626
141,-0.08095952491562741
142,-0.08166634696306041
143,-0.10159449370075402
144,-0.09561424297915
145,-0.0845916853028319
146,-0.07169201207292941
147,-0.06278787310519929
148,-0.07230497688675752
149,-0.06062623251187027
150,-0.06216239854756833
151,-0.06273790481208485
152,-0.0779444453898126
153,-0.09064348147363943
154,-0.09038210232484711
155,-0.09733889034731669
156,-0.0741621358919925
157,-0.07721996164609934
158,-0.07567192849000581
159,-0.07206953329812449
160,-0.07560853802822876
161,-0.08128884009484516
162,-0.07174539033833105
163,-0.06977811551611313
164,-0.04983251973144087
165,-0.05083467148112142
166,-0.05307644014195634
167,-0.038253055964767135
168,-0.06519069066150873
169,-0.10063611330686606
170,-0.11659092040984509
171,-0.12492617087402658
172,-0.13177000136074268
173,-0.1483837942536791
174,-0.14598597218122755
175,-0.13596779875742449
176,-0.13105988668935875
177,-0.12165867449083179
178,-0.12274775389185777
179,-0.10363965859181035
180,-0.09119919053266612
181,-0.08237672555174336
182,-0.07825682562148695
183,-0.09840940946944532
184,-0.11448096475124636
185,-0.12265284202788806
186,-0.10578955532224565
187,-0.09863154800084217
188,-0.11642105122777535
189,-0.1116250191830217
190,-0.12466937883027773
191,-0.1309556412765539
192,-0.15857637267641667
193,-0.159075941880222
194,-0.16174150781870467
195,-0.16081231382806083
196,-0.15677034990136107
197,-0.14026541361316902
198,-0.12431701395371664
199,-0.13914582061281822
200,-0.15090754539219464
201,-0.12833161471681764
202,-0.12191608258857434
203,-0.12263663874466635
204,-0.12571259889939856
205,-0.11604342947472257
206,-0.12472085629606688
207,-0.1146183140286885
208,-0.11228309603942
209,-0.09951841560764652
210,-0.1099022593571306
211,-0.1360567491703747
212,-0.13900388032262279
213,-0.14477109349892847
214,-0.158908790754288
215,-0.14878828360421215
216,-0.14287859583147344
217,-0.14331527352783802
218,-0.1490864678537822
219,-0.16837928823702053
220,-0.16097288742162064
221,-0.17325938954796738
222,-0.16673353977204053
223,-0.14150457176776954
224,-0.1346137376601766
225,-0.1448861578016184
226,-0.1701744897846078
227,-0.1686395124811496
228,-0.17785497696969
229,-0.19721509433001483
230,-0.20030567140302813
231,-0.19972631892554604
232,-0.199224478286813
233,-0.19072143640034012
234,-0.19614255018183446
235,-0.18519129742703466
236,-0.1798462959829269
237,-0.18044644326455272
238,-0.1865833675933164
239,-0.19190708186078687
240,-0.1593365139418803
241,-0.1495757366344701
242,-0.13965444144991257
243,-0.1488258878715839
244,-0.1422465461987913
245,-0.12167377434914173
246,-0.12922765216053878
247,-0.11242514732831121
248,-0.13755154804216596
249,-0.1482318722933661
250,-0.14658364090010023
251,-0.13898262412669415
252,-0.14665620113094657
253,-0.13612909009075003
254,-0.11844219244250698
255,-0.12457842057482493
256,-0.12134462860286332
257,-0.13930265100760542
258,-0.12935941775929904
259,-0.11138690390906503
260,-0.11033666180611923
261,-0.10420707996871015
262,-0.08235584247339145
263,-0.05461381540399257
264,-0.06173703149006027
265,-0.050282713209834906
266,-0.050909316570803664
267,-0.058199551983861175
268,-0.07332753649027957
269,-0.061893960246972135
270,-0.050288171027586204
271,-0.05398100724566968
272,-0.046042225582663576
273,-0.028294324464782528
274,-0.038090818593694786
275,-0.032496002648873534
276,-0.028974460101227617
277,-0.02956547921020325
278,-0.043467190839716396
279,-0.044675132861884626
280,-0.04222056760776827
281,-0.03188281438242058
282,-0.053586062503009346
283,-0.03867839361915426
284,-0.052211129589675886
285,-0.04624591560816971
286,-0.04889200648386649
287,-0.04119825804783839
288,-0.04047711930475828
289,-0.04029754234048366
