t,drawdown
0,0.0
1,0.0
2,-0.01707126390345426
3,-0.014298276897432571
4,-0.020399638982760537
5,-0.01799321600984627
6,-0.014785458222448478
7,-0.019691992089688526
8,-0.006488680511158251
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,-0.012138512476065566
15,-0.02161572173710513
16,-0.008243059591119706
17,-0.023198615808233902
18,-0.005061045174318601
19,-0.004387400305115419
20,0.0
21,0.0
22,-0.008263736277386302
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,-0.010137041762636523
29,-0.007056913856222646
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,-0.012995838157658146
36,-0.0200112392517946
37,-0.0035554535641491025
38,0.0
39,0.0
40,-0.0099021406698806
41,0.0
42,-0.009240368338844118
43,-0.019714622917014313
44,-0.01977644113074395
45,-0.024349465893665156
46,-0.028641255781062136
47,-0.041297480930147734
48,-0.039774594334543
49,-0.044322096276047884
50,-0.021778428864295707
51,-0.02913761604959708
52,0.0
53,0.0
54,0.0
55,-0.009931261195955554
56,-0.009665914325140634
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,-0.0026277546895357995
64,0.0
65,0.0
66,-0.013279270975731339
67,-0.022728067798267748
68,-0.01728400963457455
69,-0.02097068460273832
70,-0.024301860149373966
71,-0.0052488674976813865
72,-0.007694173175493368
73,-0.014743895439852772
74,-0.003739760280149107
75,-0.012815157827266721
76,0.0
77,-0.01081605703344668
78,0.0
79,0.0
80,-0.005246936439625038
81,-0.0041523902664926116
82,-0.012583323809895797
83,-0.011186659034115976
84,0.0
85,0.0
86,-0.012930904174418556
87,-0.022007994673871156
88,-0.012440918991915795
89,-0.003437087776636094
90,-0.0009204774616303757
91,0.0
92,-0.009388173474396244
93,-0.019248177287986556
94,-0.04062549868451826
95,-0.05063867950656065
96,-0.05189609119263894
97,-0.03296600534300442
98,-0.012315122969195347
99,-0.014018382849771638
100,-0.014239925250937313
101,0.0
102,0.0
103,-0.013540355197437237
104,-0.008863424388389496
105,-0.02479858741337282
106,-0.04573349133728766
107,-0.05622936230622222
108,-0.06368079720959607
109,-0.06156683219969983
110,-0.046573050558058604
111,-0.033571654398330875
112,-0.02043692021068766
113,0.0
114,0.0
115,-0.014282107767073393
116,-0.04047135531152424
117,-0.03608866361968821
118,-0.02786775646261641
119,-0.021293209486613063
120,-0.03418724368376713
121,-0.04272123781149295
122,-0.034626453352690656
123,-0.05437222268575659
124,-0.036580523421296474
125,-0.044589095015985625
126,-0.019714166271638356
127,-0.004106627844368438
128,0.0
129,-0.006197938186761065
130,-0.0010674041356942832
131,0.0
132,-0.005782059415682328
133,-0.027735974635664795
134,-0.04009048839527096
135,-0.03525779615165936
136,-0.0036078518191043907
137,-0.012118036796650578
138,-0.0010712959304162162
139,-0.008085459318208477
140,-0.015145450529155946
141,-0.016711127688554095
142,-0.030652860140296667
143,-0.026733427660333153
144,-0.016742817398319843
145,-0.014937601066115969
146,0.0
147,0.0
148,0.0
149,-0.0028894244865783625
150,0.0
151,0.0
152,-0.006363053067060309
153,-0.001996624971366656
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,-0.0013374098344710594
160,0.0
161,0.0
162,0.0
163,-0.008921739505048376
164,-0.010217994466067859
165,-0.02111833207533731
166,-0.019615103160163794
167,-0.0038616982218036
168,-0.008193442734225731
169,-0.0025128465520320997
170,0.0
171,0.0
172,-0.006964838019838049
173,-0.016490255094660178
174,-0.007856540775325604
175,0.0
176,0.0
177,-0.020778014892812835
178,-0.022247408057589735
179,-0.029418199246346588
180,-0.0066927223885884235
181,0.0
182,-0.007741588290863799
183,0.0
184,-0.03290908160141104
185,-0.05039444845279939
186,-0.05574156864387558
187,-0.07174679939161777
188,-0.06218578918982154
189,-0.02873749166642059
190,-0.03486781916590642
191,-0.039053370890491323
192,-0.029648492193222964
193,-0.03835146309206239
194,-0.04080049430586441
195,-0.06645699484508105
196,-0.0544337449763036
197,-0.08018280033954817
198,-0.08909117343098394
199,-0.09761606095178721
200,-0.07991168312282859
201,-0.0795458504128238
202,-0.08323468520433097
203,-0.09077049905102008
204,-0.06522813950765405
205,-0.036814681619655065
206,-0.025708596210904378
207,-0.0372676699156399
208,-0.035504986618855816
209,-0.03676063488197168
210,-0.025604790274479483
211,-0.02259469414582138
212,-0.010292339722219213
213,-0.021895591760042965
214,-0.015913785611668674
215,-0.01293712105466227
216,-0.013770645733778064
217,-0.0301783057877959
218,-0.006427467226297501
219,-0.009308149571947588
220,-0.02593029940113356
221,-0.004572231094131296
222,-0.0011610472554968165
223,0.0
224,0.0
225,-0.009496597246800187
226,-0.004569503808634523
227,0.0
228,-0.007927363504737772
229,0.0
230,-0.0008898993222173912
231,-0.014550125379110046
232,-0.022237068203418753
233,-0.019330940823384712
234,-0.020767042355549714
235,0.0
236,0.0
237,-0.023209131103928526
238,-0.03726279562720036
239,-0.050518209264311054
240,-0.04499844397959729
241,-0.029628749038390523
242,-0.032725159047415686
243,-0.04146098773362583
244,-0.050811596105607704
245,-0.05723449970138372
246,-0.061279682730648655
247,-0.050242830781572545
248,-0.05912015555878192
249,-0.03433782407515218
250,-0.03430772373768898
251,-0.03928080985811533
252,-0.03195328135176778
253,-0.025907427009004502
254,-0.02958533292183696
255,-0.02273723071766587
256,-0.023475264112493233
257,-0.018694363381957957
258,-0.020686594400521674
259,-0.017676013375194866
260,-0.0047628152299935556
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,-0.0011728959531941419
268,-0.011369155243320495
269,-0.016483861931402832
270,-0.0016372257593579853
271,0.0
272,-0.0006921073784822429
273,-0.03544865667597186
274,-0.046610284062087004
275,-0.040221145887887944
276,-0.04753351321275434
277,-0.03282172441787423
278,-0.05747826889263652
279,-0.06012930474383549
280,-0.05564901744852657
281,-0.07182130544285326
282,-0.05683135276995499
283,-0.046871149124608324
284,-0.053338705965831346
285,-0.06244716537848505
286,-0.06387783747921316
287,-0.081621857499377
288,-0.09990296424627965
289,-0.09056415434306675
290,-0.09697605301867585
291,-0.08774840002393525
292,-0.09096824059060205
293,-0.0657423293031767
294,-0.07497979851416203
295,-0.06628895073138286
296,-0.05647787666968196
297,-0.04035947509514359
298,-0.036338537681879
299,-0.040970614435957065
300,-0.052650121909341596
301,-0.06208439429881618
302,-0.05445887526300097
303,-0.048600793682621934
304,-0.046583577236792406
305,-0.04644123109070519
306,-0.04580587100882727
307,-0.04045065115830282
308,-0.04266205989188243
309,-0.04226641008021115
310,-0.04578058135250529
311,-0.05719745864430659
312,-0.06962808314666613
313,-0.06449224918542218
314,-0.03644287455438888
315,-0.04685253960777713
316,-0.06128812754148627
317,-0.028685463212709705
318,-0.017687465755853893
319,-0.006386781973233613
320,0.0
321,-0.005799338522215702
322,-0.025145536874061847
