t,drawdown
0,-0.010904438433784192
1,-0.015338494933032631
2,-0.04069989553489939
3,-0.026890148724710627
4,-0.024424282589864732
5,-0.020535559867596254
6,-0.0020813621610827893
7,-0.003459749169034576
8,-0.00023779383500421858
9,0.0
10,0.0
11,0.0
12,0.0
13,-0.006433114564490805
14,-1.1379027704094824e-05
15,-0.01676264043230602
16,-0.022623847902352168
17,0.0
18,-0.009090002109435669
19,-0.014034168046989981
20,-0.044984288443054354
21,-0.048890098972663054
22,-0.04210054139288788
23,-0.047063216021165144
24,-0.04983735136049339
25,-0.02854153029914097
26,-0.020843915196295026
27,-0.024805813873625904
28,-0.011503488836968723
29,-0.01799478367362417
30,-0.028329564041893796
31,-0.016884628692696357
32,-0.01906425848217963
33,-0.03977203241031646
34,-0.07258696720768965
35,-0.09139687273553887
36,-0.09319511621908749
37,-0.07940904585107367
38,-0.07180144746389694
39,-0.06765304052854593
40,-0.07693780497698044
41,-0.07025197352644152
42,-0.07533570058861228
43,-0.06012516338435803
44,-0.045676977409597974
45,-0.06066557506174142
46,-0.061083443948562466
47,-0.05520128437349647
48,-0.07537240584630389
49,-0.08174314389157822
50,-0.07403337716818192
51,-0.07556559888771164
52,-0.0884443991289704
53,-0.09516247519568122
54,-0.0848784984460168
55,-0.08824925782019943
56,-0.07711715994377666
57,-0.07531933724756479
58,-0.06565476748239496
59,-0.07390538230475285
60,-0.06125830819303135
61,-0.06442139969623217
62,-0.06702124562000722
63,-0.05400291306339422
64,-0.0451003085887578
65,-0.04498789361519229
66,-0.041420269683422495
67,-0.0483591763563016
68,-0.05124872289477023
69,-0.0844332197693839
70,-0.08869092848795623
71,-0.08530228132795159
72,-0.08629469044157057
73,-0.06442391700551242
74,-0.07514709759154492
75,-0.062723375328954
76,-0.06679003673823647
77,-0.08568875615316784
78,-0.07464245657520041
79,-0.0841304760864029
80,-0.0871615901039029
81,-0.09874972849620067
82,-0.08508785994906587
83,-0.09510179271875507
84,-0.10316166297879537
85,-0.10897978236442318
86,-0.11427054397600522
87,-0.1295797688058643
88,-0.15419013639472912
89,-0.1455805986896921
90,-0.15277988715236968
91,-0.16139259194417632
92,-0.15398097854772452
93,-0.16994223275254228
94,-0.19278807529016928
95,-0.19534356630424587
96,-0.19178982290653923
97,-0.1998921844103423
98,-0.20760533281326443
99,-0.20810294709862276
100,-0.2047129105414347
101,-0.21413166694663532
102,-0.21427002105367887
103,-0.2129252996643376
104,-0.21626714422566828
105,-0.2025376879494567
106,-0.20866661252256524
107,-0.1981676449345886
108,-0.19119782611966218
109,-0.18250734061129925
110,-0.16883689922314715
111,-0.17002939413132812
112,-0.17516189731851284
113,-0.19223437401853272
114,-0.17340552291661393
115,-0.17074729072475003
116,-0.1544262725457688
117,-0.14730906449044823
118,-0.13663641467355803
119,-0.1357814810229021
120,-0.15104232233298687
121,-0.18031100517514698
122,-0.1885300930852991
123,-0.20533385485178768
124,-0.20640968281957117
125,-0.2031867562536951
126,-0.20465479125430475
127,-0.1908497910705742
128,-0.16835639870748753
129,-0.1733071207305874
130,-0.1668667445101203
131,-0.14079809734280835
132,-0.1457823221102006
133,-0.14106159969966225
134,-0.1424251644559228
135,-0.15343786961150707
136,-0.1626239722863878
137,-0.16355219010367905
138,-0.15303051671003465
139,-0.12795561211195694
140,-0.11387293610086602
141,-0.11168250754473463
142,-0.15323448300586906
143,-0.13173120174903763
144,-0.14820477966803514
145,-0.16551783288248367
146,-0.16555718116484364
147,-0.1645433330313657
148,-0.18304138274408543
149,-0.17533528961090483
150,-0.1527072545956557
151,-0.15329965045146265
152,-0.13534024972180791
153,-0.12789536195710882
154,-0.12114289814732837
155,-0.1208707606034799
156,-0.12983028995163792
157,-0.1484652792588289
158,-0.1486361501302973
159,-0.15350290843662295
160,-0.15238507096711262
161,-0.13203374012653346
162,-0.14226947909788035
163,-0.13807035434806014
164,-0.15009787932617547
165,-0.15711395913986215
166,-0.17007391648420533
167,-0.16300268475161428
168,-0.18407905096764243
169,-0.18907950420192077
170,-0.1882697118025699
171,-0.16326197798895425
172,-0.14798348202910994
173,-0.13828714266283038
174,-0.14694288487758844
175,-0.14707291902737363
176,-0.14499134742100073
177,-0.15676200512548955
178,-0.16061605746222152
179,-0.164295684815699
180,-0.15646999014705998
181,-0.15090004385331213
182,-0.1492557044056375
183,-0.14393933236248868
184,-0.16794082989984216
185,-0.17190573358622718
186,-0.17403289378582165
187,-0.14220735284890562
188,-0.1509493227388815
189,-0.1587562638164216
190,-0.1575168492522856
191,-0.14683469409423522
192,-0.14407876774687134
193,-0.15724934845009897
194,-0.15510042079061792
195,-0.15261186640067304
196,-0.16446717767825858
197,-0.17617884512183746
198,-0.18217836590808067
199,-0.17557123733536595
200,-0.18095327839618336
201,-0.19235294325720376
202,-0.16241306931183486
203,-0.16400032256465602
204,-0.14897391417818262
205,-0.14138160023214064
206,-0.1384212122955819
207,-0.12789181374169845
208,-0.10629488491282835
209,-0.10123297846375123
210,-0.08867441717444124
211,-0.0900070385740519
212,-0.07846211007199688
213,-0.08968418444587434
214,-0.07478572363253666
215,-0.07970317460862564
216,-0.08960372582260634
217,-0.09513196199460272
218,-0.10972540780285367
219,-0.08969901657640045
220,-0.08765509782832015
221,-0.09233662211080651
222,-0.09463520983945206
223,-0.08577282519138907
224,-0.08209062339597128
225,-0.08932607341778687
226,-0.07900933421948875
227,-0.0804534815234288
228,-0.08729280433990627
229,-0.08742420860463662
230,-0.0803920375546544
231,-0.09640924746544677
232,-0.06265828425297804
233,-0.05362309775067642
234,-0.049975085073023395
235,-0.054371184692988184
236,-0.03604320822033369
237,-0.059392604565356
238,-0.05942079036559944
239,-0.06880334567881607
240,-0.054251530712557505
241,-0.06799465862534781
242,-0.07577399398811835
243,-0.07166927130819067
244,-0.0736582129940847
245,-0.07547142896252657
246,-0.07277302112420081
247,-0.08072009517741752
248,-0.07836617890636022
249,-0.08924392251448388
250,-0.06536105163637118
251,-0.05528970797405375
252,-0.030671110952851133
253,-0.0312765512943457
254,-0.014848559063255884
255,-0.006763545655149139
256,-0.017496935102982225
257,-0.0043939843179916505
258,-0.01090890611282136
259,0.0
260,0.0
261,-0.013138440952215835
262,0.0
263,-0.013772434375646903
264,0.0
265,0.0
266,-0.004686570116628985
267,-0.0070452749532292636
268,-0.004107325688415986
269,-0.0006741740009784669
270,-0.012504585722048711
271,0.0
272,0.0
273,-0.013562081928922609
274,-0.023801391177049824
275,-0.01946173039663135
276,-0.018970319678762948
277,-0.02576681235797673
278,-0.04184077263161412
279,-0.03321611808814917
280,-0.03794113466395865
281,-0.01968112492627494
282,-0.005894867426735728
283,-0.0011084661320276412
284,0.0
285,-0.01560901060203257
286,-0.04459504339346987
287,-0.04669295662553841
288,-0.05947738784765855
289,-0.05934503000093727
290,-0.04037389386623558
291,-0.03844929000542341
292,-0.04432823799213159
293,-0.06320538737600778
294,-0.07688682250120182
295,-0.0832372103933694
296,-0.08999418818584193
297,-0.1124715691641629
298,-0.09595196703741016
299,-0.08163365712607884
300,-0.08167891517081693
301,-0.08229656703529153
302,-0.095072539709526
303,-0.08529880958268299
304,-0.07159195680244401
305,-0.08688478722651338
306,-0.07739404297193653
307,-0.06740218124857711
308,-0.09611187607788152
309,-0.12643220745104422
310,-0.11294437228413878
311,-0.10897604473075251
312,-0.11278893479927221
313,-0.12533863119109345
314,-0.1264017940768497
315,-0.13772129610114026
316,-0.1030505940259433
317,-0.11147827640983055
318,-0.10937276218771708
319,-0.1138022925894221
320,-0.10954377078339017
321,-0.11811670000982044
322,-0.10846113625938081
323,-0.10684738712237263
324,-0.10531853381457679
325,-0.09663964181806228
326,-0.10723301896168402
327,-0.08922102021785361
328,-0.11042622970568372
329,-0.12292889589353373
330,-0.10344670222048458
331,-0.11356994394314623
332,-0.12221004408744973
333,-0.12150998742923702
334,-0.12303702089585988
335,-0.1119801573414767
336,-0.10328763232746907
337,-0.09479111732949885
338,-0.09463006950968278
339,-0.11469980506499444
340,-0.12672608752746117
341,-0.11938256567044347
342,-0.10644000060421832
343,-0.10466189933967263
344,-0.09915635478727136
345,-0.12228545740325458
346,-0.13509903296028536
347,-0.1082217645486574
348,-0.10749428439957787
349,-0.10558794455139076
350,-0.09345597773401992
351,-0.09398645354998247
352,-0.09128990019343541
353,-0.11397376354010835
354,-0.12028146608512136
355,-0.09841357172402854
356,-0.10947690153553091
357,-0.12369188082219873
358,-0.10598391233366067
359,-0.12191182330576311
360,-0.14357912080004565
361,-0.13946522751960433
362,-0.1462431840052032
363,-0.14284682934188553
364,-0.12278675207112855
365,-0.11958791663312696
366,-0.12424184907032843
367,-0.1222406012087548
368,-0.1106641414983095
369,-0.1121735216119345
370,-0.09818298892852473
371,-0.10013087499301987
372,-0.10943591278351728
373,-0.12073523091966276
374,-0.11699683817831241
375,-0.14364878249774093
376,-0.13818976466490274
377,-0.13796842131738496
378,-0.14437041825809127
379,-0.15398763154335648
380,-0.16741688995320847
381,-0.17476160210686587
382,-0.16594004488670722
383,-0.1722260543731564
384,-0.16474831500844933
385,-0.1819698139794621
386,-0.17186674733841767
387,-0.1584110990584059
388,-0.1794277901572625
389,-0.17588314828461404
390,-0.1729446552925903
391,-0.16342440964405436
392,-0.16760683532637943
393,-0.15578455792331158
394,-0.18306201308300274
395,-0.20176153501271366
396,-0.19996767068080634
397,-0.1827476039841549
398,-0.17297714985591883
399,-0.17884751349728123
400,-0.19466996518076163
401,-0.20362742641859943
402,-0.2080362029211913
403,-0.19786937129152915
404,-0.20079663754878052
405,-0.21210146354768233
406,-0.23343226462043143
407,-0.24148213614557568
408,-0.25312559845122484
409,-0.2480413324405515
410,-0.24524039575131773
411,-0.24790097022642466
412,-0.2532801410318467
413,-0.2273666858419241
414,-0.23342803885882124
415,-0.22773863141584239
416,-0.22991416070509285
417,-0.24359953977956306
418,-0.23846910276019606
419,-0.23151404573299306
420,-0.2563798466682753
421,-0.2603475478106274
422,-0.2579417525780613
423,-0.25862522385930176
424,-0.25486824092748295
425,-0.2551078990165071
426,-0.2626423758509282
427,-0.2517032178310469
428,-0.2485596036362172
429,-0.25010550924213304
430,-0.2540137476192955
431,-0.2483828728658678
432,-0.23950525140778434
433,-0.2369309013606712
434,-0.22920527778856115
435,-0.23812078868868292
436,-0.2511709078633241
437,-0.2589782622747032
438,-0.24303747616061067
439,-0.23971199133597376
440,-0.23326186797856352
441,-0.2167358773213025
442,-0.22275898926640014
443,-0.25062650004323106
444,-0.26186740645840445
445,-0.25401334310611134
446,-0.22960213522319006
447,-0.23748021877353742
448,-0.2231699162660068
449,-0.221591697175761
450,-0.22865207979527913
451,-0.22894559599618491
452,-0.2257482479424242
453,-0.2291638592622388
454,-0.22143834425788333
455,-0.2115287248555855
456,-0.22612055709455003
