t,drawdown
0,-0.0010760873783421943
1,0.0
2,-0.009540691687091263
3,0.0
4,-0.00388296860963655
5,0.0
6,0.0
7,-0.009962404819018666
8,-0.019416229515575867
9,-0.03248027295423983
10,-0.007993070899047106
11,0.0
12,0.0
13,0.0
14,-0.011131164032534224
15,-0.01945275110727407
16,0.0
17,0.0
18,-0.007758547727805043
19,-0.013623236320478238
20,0.0
21,-0.00019443741544400428
22,-0.015628426786904237
23,-0.03563962772741014
24,-0.0635883335998666
25,-0.045986783897207784
26,-0.06500386170753003
27,-0.08105255404658085
28,-0.0682228994764934
29,-0.04360281891668272
30,-0.041418936190991906
31,-0.026457073145878085
32,0.0
33,0.0
34,0.0
35,-0.00020454310225015426
36,0.0
37,-0.004878454965119627
38,0.0
39,-0.009161404358386749
40,-0.010075402400280264
41,-0.0016168564076600722
42,-0.011009598643691776
43,-0.013175700565938975
44,0.0
45,0.0
46,-0.02992928046361376
47,-0.024626356815922623
48,-0.018194297245905933
49,-0.018002631441424555
50,-0.0006341770177626938
51,-0.021520382322744558
52,-0.008271293229401344
53,0.0
54,-0.003486688738967181
55,0.0
56,0.0
57,0.0
58,0.0
59,-0.015820113000681202
60,-0.014276834386598325
61,-0.019487194558664545
62,-0.014897644359201045
63,-0.001665395117270485
64,0.0
65,-0.0072538950758296306
66,-0.006723980995482215
67,0.0
68,-0.007325384765998755
69,-0.002046499096627463
70,-0.012663938687068832
71,-0.011458067789137605
72,-0.017323324386200767
73,-0.022036116365733882
74,-0.042936630120833486
75,-0.045298636936508485
76,-0.03955816369663556
77,-0.03798833510675392
78,-0.05019864716786682
79,-0.05095676878597366
80,-0.03348593305524039
81,-0.020243559049662463
82,-0.020866189089750575
83,-0.026229910580023996
84,-0.03920485836269827
85,-0.025427951955691697
86,-0.054343117135093766
87,-0.06567208115508438
88,-0.06296027793885628
89,-0.06922345131940444
90,-0.06708221563657812
91,-0.07416884519181088
92,-0.07761393546593442
93,-0.08374391876381304
94,-0.07319713667756933
95,-0.09788735120173808
96,-0.06241109598011818
97,-0.059859159702431164
98,-0.05054104544358551
99,-0.04710693121190057
100,-0.07072827345427879
101,-0.051540444297600296
102,-0.04544542031002574
103,-0.01816097017325069
104,-0.013470045573737877
105,-0.02374649995576683
106,-0.017069799373636063
107,-0.004857892252990825
108,0.0
109,-0.011444005101182153
110,-0.0031798691496219833
111,-0.009907951073280574
112,0.0
113,0.0
114,0.0
115,-0.0067422405149720754
116,-0.027804233205135143
117,-0.030949858381325024
118,-0.037989969168400806
119,-0.03517117819428661
120,-0.038834091374852386
121,-0.032227259228486904
122,-0.038342625748581605
123,-0.037916271786293976
124,-0.04957980503067283
125,-0.05085301208019666
126,-0.03417816116383088
127,-0.02858936613346874
128,-0.049575591375523254
129,-0.022971218700722273
130,-0.013946991869389969
131,-0.02485551950024878
132,-0.03064760656877097
133,-0.010025003009775046
134,-0.008086649268379098
135,-0.01502193258579032
136,-0.00048176187988036023
137,0.0
138,-0.002421816870642246
139,0.0
140,0.0
141,0.0
142,-0.020083567622325105
143,-0.016358401912245135
144,-0.00901058331682425
145,-0.011985094011763398
146,-0.0015654891524679027
147,0.0
148,-0.011454074094765176
149,-0.007380579533619702
150,-0.02863720465307995
151,-0.03227808754834649
152,-0.036929530331670124
153,0.0
154,0.0
155,0.0
156,0.0
157,-0.006431135639770491
158,-0.005610390179062619
159,-0.001165259230989646
160,0.0
161,-0.01966181884011542
162,-0.04320716527075774
163,-0.06577773835207856
164,-0.0650985707967272
165,-0.06315597292793163
166,-0.07372025858056463
167,-0.08441394587516393
168,-0.11051933893548438
169,-0.1221449534131368
170,-0.1332556355186768
171,-0.11835323369177986
172,-0.12580741912431093
173,-0.12250167299467885
174,-0.12218410504512811
175,-0.11827554805650242
176,-0.10657381138385924
177,-0.10835740321366183
178,-0.11175866209772134
179,-0.08914538391789761
180,-0.1029694255439183
181,-0.09497088436393808
182,-0.1193134640666551
183,-0.09928454269776255
184,-0.10750936298742753
185,-0.09565988891405286
186,-0.10218729130655269
187,-0.0930893789931384
188,-0.08608140553269361
189,-0.0936689621786504
190,-0.09889521843047322
191,-0.11281084298686517
192,-0.10246237511645961
193,-0.11042028428474948
194,-0.1038453208321205
195,-0.1104834054849616
196,-0.08368785894366948
197,-0.09893850538994853
198,-0.09803759288349523
199,-0.11449510689723219
200,-0.13034958589814383
201,-0.11808042809569919
202,-0.13125815521688922
203,-0.12473592151112678
204,-0.11637087187959272
205,-0.12037896863412323
206,-0.09877948736744668
207,-0.10403103782434553
208,-0.08327500408333932
209,-0.09606162840903465
210,-0.10515763539770029
211,-0.10150629165661063
212,-0.11654480483600138
213,-0.12209387509970737
214,-0.12186043572434413
215,-0.14569905430938845
216,-0.1295042138419903
217,-0.12473797712758339
218,-0.10914638451116265
219,-0.11430597914649188
220,-0.10603245972776254
221,-0.09401801467300164
222,-0.09517801591064112
223,-0.09503958664450896
224,-0.0982368025097381
225,-0.10551478215368826
226,-0.08597965421985376
227,-0.07884385725430065
228,-0.07982860633589206
229,-0.07504811696199676
230,-0.06675632287879918
231,-0.05187369345659254
232,-0.03562910001957986
233,-0.03484337024479378
234,-0.030025949236387572
235,-0.02350026789197568
236,-0.032031496511147894
237,-0.028065666247852894
238,-0.011953324056588444
239,-0.043580594915096804
240,-0.06169116979095923
241,-0.05881823001644393
242,-0.026529913316100218
243,-0.0010080598919496309
244,-0.0020827683487887327
245,0.0
246,0.0
247,0.0
248,0.0
249,-0.03534730885549775
250,-0.03750427248650601
251,-0.04381742520586129
252,-0.04909174528780291
253,-0.04959260555297906
254,-0.0466725444475381
255,-0.06189956551038556
256,-0.0495023212707596
257,-0.04974079655337982
258,-0.051524194122965716
259,-0.035352691162376715
260,-0.03186133615155251
261,-0.021849242641555855
262,-0.025632335750665813
263,-0.03348231898314091
264,-0.050435853512053375
265,-0.0660574083946891
266,-0.0730308276404793
267,-0.0696666551641758
268,-0.08182750000781736
269,-0.09585820046621607
270,-0.10494642899456907
271,-0.1334289353691569
272,-0.13068339924068084
273,-0.11083694798848587
274,-0.10624140832349638
275,-0.11353768498290351
276,-0.13929749470811748
277,-0.14092459017545933
278,-0.15958022366880553
279,-0.16794169809576598
280,-0.15787437012646366
281,-0.15019041371314568
282,-0.14916129595438032
283,-0.15577513272676635
284,-0.14305863526520834
285,-0.16119083761408837
286,-0.15007642988614667
287,-0.14055581379785742
288,-0.14532395310077195
289,-0.14383466415245305
290,-0.14612541862909167
291,-0.1538963263544436
292,-0.16593431830719896
293,-0.16280967401743884
294,-0.16729048716131611
295,-0.15829291119559918
296,-0.1612464518859965
297,-0.1727635388546802
298,-0.20243462875787532
299,-0.19169144602512034
300,-0.19395799212895992
301,-0.1917933598036412
302,-0.19358960814778636
303,-0.22428105478552618
304,-0.20978331928196292
305,-0.22874524303967547
306,-0.2169605854432276
307,-0.21327598289587668
308,-0.2156314160164513
309,-0.19119230479784755
310,-0.1937833292818406
311,-0.20326664308905407
312,-0.21651974280441022
313,-0.21345487185252354
314,-0.21161650640333163
315,-0.20834322443537368
316,-0.19464052866171366
317,-0.20638395995911152
318,-0.19932783221564399
319,-0.18599227383839112
320,-0.18814792752255693
321,-0.18400909844760893
322,-0.19617234626547542
323,-0.2070154851543098
324,-0.19911471853099727
325,-0.19347266846802924
326,-0.21456879677954133
327,-0.2224950801612171
328,-0.2372879978859096
329,-0.2163796415464323
330,-0.22673507495672396
331,-0.2201161815454188
332,-0.22009053787643873
333,-0.21874554434145532
334,-0.2010180341535689
335,-0.20202034711003103
336,-0.19603134891787088
337,-0.19838316796475552
338,-0.19128314262594215
339,-0.180390736355176
340,-0.16708270448986673
341,-0.1734210532402537
342,-0.17436725065714198
343,-0.1640161851445915
344,-0.1733054082752824
345,-0.15919421244399345
346,-0.13642208624757102
347,-0.1267465827429255
348,-0.12670655029491296
349,-0.1113685589251302
350,-0.11822341816002013
351,-0.13761401059768397
352,-0.1334092336620839
353,-0.15870191389012633
354,-0.16775269490164757
355,-0.17137692107960056
356,-0.16743841007931648
357,-0.16506443158742035
358,-0.16076427894470002
359,-0.16808532240240193
360,-0.171710014004395
361,-0.15894141430399777
362,-0.15639674633293787
363,-0.172868299204052
364,-0.17456058499587068
365,-0.16665801160169535
366,-0.16452221399217637
367,-0.1918059592144823
368,-0.20919021847300645
369,-0.2184331815273881
370,-0.20806402472347973
371,-0.19154684491754437
372,-0.19162969105050343
373,-0.20521982550376283
374,-0.2115373116841549
375,-0.20943679807973192
376,-0.2245126715028002
377,-0.22510937108305507
378,-0.21125855894041956
379,-0.2165970455998647
380,-0.2087824175481493
381,-0.2172934729415371
382,-0.21983955744534567
383,-0.23409547343925574
384,-0.23065522601177524
385,-0.2337201151569036
386,-0.2138087928380321
387,-0.19764880085196235
388,-0.18497281730045922
389,-0.18166016038613408
390,-0.1696779716509661
391,-0.1774293714966938
392,-0.17113128804663402
393,-0.15228182961246073
394,-0.15639913402061334
395,-0.15748796333087722
396,-0.15919631852112004
397,-0.15142684968415698
398,-0.11080858865783971
399,-0.09043354182052998
400,-0.10709806630232954
401,-0.0998761650440686
402,-0.11363434949571083
403,-0.1290679950608149
404,-0.13601082168005896
405,-0.15806839861590705
406,-0.15233824710886334
