t,drawdown
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,-0.001915158590900412
6,0.0
7,-0.011641390450796263
8,-0.013659112696895126
9,-0.023523272839130804
10,-0.0029935180419421448
11,-0.0011012409958772729
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,-0.011998787777952713
18,-0.0077338927115494505
19,0.0
20,-0.0014685698416787574
21,0.0
22,-0.005164216346197459
23,-0.005770816257438471
24,0.0
25,-0.02445176770998625
26,-0.036809528812227765
27,-0.038590343234645275
28,-0.029365781071125308
29,-0.04405138477175019
30,-0.03973409916844428
31,-0.0444169220679177
32,-0.05218181482431794
33,-0.03231505017038694
34,-0.04428476489256772
35,-0.04614453273975028
36,-0.03918551256854996
37,-0.021969811641665893
38,0.0
39,-0.0037965937709063535
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,-0.006336140179385774
46,-0.014530484510640762
47,-0.012935480792754861
48,0.0
49,-0.02062357647614932
50,-0.03670962713207293
51,-0.04700134233327402
52,-0.02137575690280613
53,-0.005623834528626026
54,-0.019708648036077303
55,-0.015770335236972355
56,-0.01648505893660923
57,-0.011415909796406942
58,-0.0029296932343484405
59,0.0
60,0.0
61,-0.026301739560946946
62,-0.023551254141359945
63,-0.02887900743977434
64,-0.03407137679709771
65,-0.03649817791458676
66,-0.032768435234579285
67,-0.007981990676802497
68,0.0
69,0.0
70,0.0
71,-0.009392487599519384
72,-0.019464776270766926
73,-0.012229973100319702
74,-0.006801099106069075
75,0.0
76,-0.006773690609506833
77,0.0
78,-0.01780344197003847
79,0.0
80,0.0
81,-0.008877596759856998
82,-0.00039314612837682006
83,-0.009189822472161269
84,-0.013318250573960744
85,-0.0017526200135206116
86,0.0
87,-0.007193306101088148
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,-0.002325383771914824
96,-0.017358381945803414
97,-0.017821630261369625
98,-0.019845271433203804
99,-0.03313276321643055
100,-0.03354763369260627
101,-0.03287676316140431
102,-0.01794007595397118
103,0.0
104,-0.008218530217558473
105,0.0
106,0.0
107,-0.018736232496202154
108,0.0
109,0.0
110,-0.0032551423550163383
111,-0.002310535883967235
112,0.0
113,0.0
114,-0.014086677070951237
115,-0.01350690644257957
116,-0.03268876342581584
117,-0.051420199130495
118,-0.06539811543065666
119,-0.06998242350385875
120,-0.07118533493647194
121,-0.07604507112831638
122,-0.07839431323401069
123,-0.07503722399778145
124,-0.07538085562596109
125,-0.09119760188280879
126,-0.08900651402281745
127,-0.11300516531659255
128,-0.10818196140464154
129,-0.11305250197876038
130,-0.09911081440610037
131,-0.09969680507947876
132,-0.10330097113427827
133,-0.09271170893094438
134,-0.06411938397370498
135,-0.06013663952404025
136,-0.07820671429371462
137,-0.07596565968217062
138,-0.06638581752823769
139,-0.07338092480164993
140,-0.0568092535049205
141,-0.0630427749394441
142,-0.062002776208788135
143,-0.07295230595581637
144,-0.06488257370212913
145,-0.07614947647365755
146,-0.0841568641261421
147,-0.09955384955517221
148,-0.11000461389586447
149,-0.10617145531843453
150,-0.11582046239470334
151,-0.12050492699197224
152,-0.11609610920970037
153,-0.11407149825645746
154,-0.11321164748849866
155,-0.11206138854346137
156,-0.1006966689190556
157,-0.10551102353856467
158,-0.10033013420542458
159,-0.1048652628377007
160,-0.1226525338561022
161,-0.13181706461162168
162,-0.11604867607052649
163,-0.10776882418157652
164,-0.12116988237847048
165,-0.12312300271178911
166,-0.14740816242570742
167,-0.15775475533765693
168,-0.1691730065588003
169,-0.16089643790107844
170,-0.14261996391747644
171,-0.15629133165440023
172,-0.1644832365196348
173,-0.1771367279904722
174,-0.18114982615443997
175,-0.19139733679409066
176,-0.20091229371467745
177,-0.200745894293911
178,-0.20550291761985917
179,-0.208487075286939
180,-0.20507327067549963
181,-0.22227239923707443
182,-0.21072823970407606
183,-0.1976232316286578
184,-0.2056014303064554
185,-0.2052185663015127
186,-0.18766603560859474
187,-0.1872795105527919
188,-0.2051126131316694
189,-0.22385331315034407
190,-0.23441511189352793
191,-0.214100881305046
192,-0.2073818025898595
193,-0.20487976380648043
194,-0.19854357181923188
195,-0.19988402010895967
196,-0.19667554003753263
197,-0.22301903943800883
198,-0.21034660130975302
199,-0.2105779885100787
200,-0.21799947175478995
201,-0.22761097813790332
202,-0.2227218430638458
203,-0.2141346064973827
204,-0.2173592733725861
205,-0.20107976085108636
206,-0.1900441574938998
207,-0.18192967655522807
208,-0.18807107838978965
209,-0.18495226123690378
210,-0.15664124334821616
211,-0.1458295702003587
212,-0.14563759825779
213,-0.1354693338115821
214,-0.1363635087553361
215,-0.14075809788654603
216,-0.11893303761695262
217,-0.10290216850099843
218,-0.11013890247050862
219,-0.11060488216934239
220,-0.1048133425210791
221,-0.10763459812344556
222,-0.09191100338518277
223,-0.09909272335898045
224,-0.09360888490893515
225,-0.0918508037055592
226,-0.1064788207955153
227,-0.11034250985084015
228,-0.10381504374213602
229,-0.10755376199376887
230,-0.10004666094052328
231,-0.10367869414453934
232,-0.11988162699016314
233,-0.10845117273850768
234,-0.12684494676532854
235,-0.1249877741906057
236,-0.11636421236068983
237,-0.11610139702284217
238,-0.10558377000030217
239,-0.10189565067186968
240,-0.10079676664455861
241,-0.09688677192938266
242,-0.12508540623231001
243,-0.11839681486052533
244,-0.14201083765737765
245,-0.13255957991155531
246,-0.13593545903523685
247,-0.15416967673565773
248,-0.1424567103656602
249,-0.15701500256803003
250,-0.1681578978342525
251,-0.1631894157580398
252,-0.1669233860190935
253,-0.15948594101065183
254,-0.13338190835263197
255,-0.1142103553813677
256,-0.13429384799901278
257,-0.13102976239177844
258,-0.13665233816105915
259,-0.1205738830500801
260,-0.11778798046789474
261,-0.1379889497398653
262,-0.14386587917330262
263,-0.14775436564471633
264,-0.15982337704856653
265,-0.1634643198700888
266,-0.16108661858361095
267,-0.165593720985168
268,-0.17387899379396032
269,-0.16967582632189893
270,-0.1586220918832184
271,-0.15081775535179542
272,-0.13998427765528643
273,-0.15574951675080406
274,-0.13200662305231792
275,-0.12345151744189531
276,-0.130425343908238
277,-0.12242269585638632
278,-0.1313438215101339
279,-0.12545838547582633
280,-0.11422202733180709
281,-0.10638267002584012
282,-0.11649171044147544
283,-0.09681491648701424
284,-0.10123117586977215
285,-0.11490138353735879
286,-0.10587734354932044
287,-0.13171027963841708
288,-0.1373255042393855
289,-0.15451370594040326
290,-0.17173632393935034
291,-0.17069268014436534
292,-0.18786509164867327
293,-0.2059007904924931
294,-0.20091540488348336
295,-0.21516443693546672
296,-0.20412993354614495
297,-0.18119494020948013
298,-0.18962304476777847
299,-0.18919152587208854
300,-0.19346687674794139
301,-0.21199881153199618
302,-0.2007736727498045
303,-0.1921009729079476
304,-0.17739207047447958
305,-0.21144771571108634
306,-0.19851473197386327
307,-0.215882406622528
