t,drawdown
0,0.0
1,-0.0005489574634132133
2,0.0
3,0.0
4,0.0
5,0.0
6,-0.0009551323187173555
7,0.0
8,0.0
9,-0.003594463806637971
10,-0.004522812055257952
11,-0.005255039301992115
12,-0.006326479237222626
13,-0.002586124284375102
14,0.0
15,0.0
16,-0.002647462864288852
17,-0.0030818913582262297
18,-0.002529804840524119
19,0.0
20,-0.0005914955433360403
21,-0.009845360511027468
22,-0.012308333090515933
23,-0.017802878656833943
24,-0.009001922636244886
25,-0.008088559636138304
26,-0.00430565945775685
27,-0.0021901579462917375
28,-0.0009369938952192847
29,0.0
30,0.0
31,0.0
32,-0.002619782359573719
33,-0.009217720737687451
34,-0.007844349527791783
35,-0.014484529431425197
36,-0.011081143751072497
37,-0.008720895579112264
38,-0.006921100613217268
39,-0.008037414342165428
40,-0.007815693764624543
41,-0.003662534011462437
42,-0.006079115304976845
43,0.0
44,-0.0019845143495410555
45,-0.001957526018756872
46,-0.008494084981000238
47,-0.012206110972153517
48,-0.017995161692236583
49,-0.014117708736974377
50,-0.014864949904539682
51,-0.016201533317488304
52,-0.01789825050688687
53,-0.018088310441155997
54,-0.01498321617981302
55,-0.016497420333533408
56,-0.0195341509613991
57,-0.017113316386235145
58,-0.023494842386471926
59,-0.023998138588945728
60,-0.026297628103577497
61,-0.026228109110276066
62,-0.0267415790167711
63,-0.02801889460732987
64,-0.0235863769050616
65,-0.025494193166650803
66,-0.02127944217678046
67,-0.021905702985015263
68,-0.023529364872876934
69,-0.021638400720234485
70,-0.03008728761814483
71,-0.038723474946955605
72,-0.043655703795305034
73,-0.042022299616712666
74,-0.042102937310120714
75,-0.0388482173096375
76,-0.044589601525544253
77,-0.047182673842687595
78,-0.04956057119880697
79,-0.050293428777781646
80,-0.044178355943992775
81,-0.042383723197218615
82,-0.04448415693155894
83,-0.04977951039149686
84,-0.04545656938944975
85,-0.04813749059567263
86,-0.0427090152535764
87,-0.040032629753040117
88,-0.03904880138174083
89,-0.033581299271204235
90,-0.03036973229299067
91,-0.03472065550166703
92,-0.02973831084021128
93,-0.02670677770880836
94,-0.027504973158323676
95,-0.02881319759671197
96,-0.02909839711117601
97,-0.02950143772808833
98,-0.034655662724139225
99,-0.03394157755789717
100,-0.029139338292748507
101,-0.027377813434457554
102,-0.02955622157548843
103,-0.027508305063103755
104,-0.02337149655826154
105,-0.027082358206554136
106,-0.02122791634232568
107,-0.013438660982986628
108,-0.01181751986453472
109,-0.008500836558711256
110,-0.006075992787833884
111,-0.011144834736207643
112,-0.01214177969371022
113,-0.008308113347829549
114,0.0
115,0.0
116,-0.0008209073791840549
117,-0.0037297885605488412
118,0.0
119,0.0
120,-0.0057498521291439175
121,-0.004768942076167293
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,-0.0029145509821673077
138,-4.8338181794393975e-05
139,0.0
140,-0.0040689212153213195
141,-0.0016657879469328396
142,0.0
143,0.0
144,0.0
145,-0.0007688859029111317
146,-0.002421879692869111
147,-0.0014948054176705527
148,-0.0068710357352484985
149,-0.005400116597111149
150,-0.007638312800820057
151,-0.013572672157055377
152,-0.020056190333603063
153,-0.015607189030389712
154,-0.009680193924536118
155,-0.009654304291744409
156,-0.009664709080362877
157,-0.009771723324365822
158,-0.014471614919757014
159,-0.017026206417186773
160,-0.011934636339686167
161,-0.020170058014216896
162,-0.020949742251084702
163,-0.018814286057591945
164,-0.02356857569095927
165,-0.02125462198764605
166,-0.025020631457381093
167,-0.025516450199681073
168,-0.0204245077843076
169,-0.011797218233540296
170,-0.012424879683852974
171,-0.014140609950282212
172,-0.011554357940038673
173,-0.009065211857248956
174,-0.010550430184836923
175,-0.00767557734428892
176,-0.008474573574561828
177,-0.008010514936837243
178,-0.00657952454570776
179,-0.0028482911899988528
180,-0.004276643821806814
181,0.0
182,-0.0011670983899503273
183,-0.0013925612360827788
184,-0.0007161384091513012
185,-0.0011293288693844383
186,-0.0051611657490235885
187,-0.001757685178654378
188,-0.004517880250392126
189,-0.003288545380753072
190,0.0
191,0.0
192,0.0
193,-0.00031760464241803454
194,-0.0015606419247939929
195,0.0
196,0.0
197,-0.0009362236901866439
198,0.0
199,-0.0019432616871195574
200,-0.00314502761293034
201,-0.00289725409681596
202,-0.0015540450793928295
203,-0.0033463683890238016
204,-0.00045775382507817763
205,-0.0018175285681161224
206,-0.005124588357412141
207,-0.0033384196520684917
208,-0.0008122625653051996
209,0.0
210,0.0
211,0.0
212,0.0
213,-0.0036967164646714012
214,-0.005685404005322026
215,-0.010947051475619474
216,-0.011570513186169196
217,-0.011699614603991715
218,-0.012053269858594784
219,-0.013937149607760713
220,-0.013118107737688733
221,-0.010112565792066652
222,-0.01121723627638782
223,-0.013594988309980516
224,-0.0119342139258799
225,-0.009207596970402632
226,-0.012569049861949289
227,-0.014871943773474894
228,-0.01606473633537009
229,-0.010146453207125705
230,-0.009064635075982097
231,-0.010406839588127825
232,-0.0115795244300394
233,-0.009703474381055899
