t,drawdown
0,0.0
1,0.0
2,0.0
3,-0.0027354555333128916
4,-0.0028153192597361043
5,-0.0006515560923432417
6,-0.004042533593794251
7,-0.0037779063872095398
8,-0.00404790082318307
9,-0.0066599855099896965
10,-0.004741937855991862
11,-0.006480252976039491
12,-0.007735804794622214
13,-0.006104801527020087
14,-0.007866318206091627
15,-0.00903167313854314
16,-0.0062449521421337195
17,-0.006495290796767583
18,-0.0027217578152414212
19,-0.004049672815134908
20,-0.0052921625194715105
21,-0.0024443232548750915
22,-0.0007346763433176973
23,-0.0016490747141617579
24,-0.0028345518639950606
25,-0.007354859206632924
26,-0.0076466700059985016
27,-0.007034288315619475
28,-0.008602225001372421
29,-0.006278286288114776
30,-0.008117314354013971
31,-0.011196084076554258
32,-0.010318812572701175
33,-0.008013096548615484
34,-0.009721194176996573
35,-0.007334028616722499
36,-0.012205612718576342
37,-0.010776892878158195
38,-0.011422709663857389
39,-0.013279960372779454
40,-0.012386123594774423
41,-0.013557055440459598
42,-0.01711142632455842
43,-0.020177731813260436
44,-0.02516186426209588
45,-0.025462918436096382
46,-0.021979495041337893
47,-0.022005703066908522
48,-0.02179051898834028
49,-0.02167058978817127
50,-0.024135945008274984
51,-0.026560264770800868
52,-0.029565460948675404
53,-0.03114126639557835
54,-0.03388021316315182
55,-0.03158020444465093
56,-0.032906850062630055
57,-0.03360969454008178
58,-0.03252484777027431
59,-0.0336612223707351
60,-0.036687258984337334
61,-0.038604012105895036
62,-0.04129227594921936
63,-0.04077258654445537
64,-0.03809386338419385
65,-0.036735488833786745
66,-0.03972172946357033
67,-0.03844384874327822
68,-0.04123925703134357
69,-0.044632109791067576
70,-0.045513185701494985
71,-0.04257221833646829
72,-0.04260289692835584
73,-0.04343009324953784
74,-0.03769117410344647
75,-0.03684036208733543
76,-0.03887088488634982
77,-0.0374938053694962
78,-0.03448856621477503
79,-0.03159849059343134
80,-0.02556814253364159
81,-0.027183537526593637
82,-0.02413038226938835
83,-0.021361411803743402
84,-0.019790286435881432
85,-0.018971355956406644
86,-0.016589159200044223
87,-0.019303424185743934
88,-0.017594934917771865
89,-0.018214188904717488
90,-0.013388505852119259
91,-0.015481259117820723
92,-0.019899135545178304
93,-0.018980562065986306
94,-0.019646252425417288
95,-0.014230961468769454
96,-0.015394089789914966
97,-0.012605110058495184
98,-0.01571961842838243
99,-0.01519716155018036
100,-0.021003185384185108
101,-0.020725191033477253
102,-0.019336043602730446
103,-0.019857407043559983
104,-0.019209225061156854
105,-0.023872568189646004
106,-0.024305998542095697
107,-0.019421065153678807
108,-0.0188659407043833
109,-0.018716262822417784
110,-0.02000485992593526
111,-0.020175019320449072
112,-0.0198865606112123
113,-0.022461103382024228
114,-0.02109014073366111
115,-0.01826829437274713
116,-0.013840595681265055
117,-0.013119783774352856
118,-0.013632231824617369
119,-0.017664869608624567
120,-0.015028180149647685
121,-0.01804611899362163
122,-0.0262676323425155
123,-0.030232376530267335
124,-0.03433124562712708
125,-0.03359397692728594
126,-0.036660779250283326
127,-0.03908641873069174
128,-0.038271531983347096
129,-0.04096629264208651
130,-0.0440981700973222
131,-0.0430234280846965
132,-0.04514305558890708
133,-0.04601081178040045
134,-0.04782466844876554
135,-0.05207090245455992
136,-0.05773979136290841
137,-0.06056390456476013
138,-0.059310578556245996
139,-0.058039893641367635
140,-0.0560875326276119
141,-0.05873274488709712
142,-0.061254030174144214
143,-0.062093166084536744
144,-0.06725548732643594
145,-0.06675705587019798
146,-0.0669533815241743
147,-0.06845406547739596
148,-0.0640564740210875
149,-0.06931739664774184
150,-0.06548452784855596
151,-0.07116796183907048
152,-0.07525008335811201
153,-0.0739090737632534
154,-0.0731785262837249
155,-0.07242565458504946
156,-0.0742770387224092
157,-0.07681431437992936
158,-0.07484883342767579
159,-0.0762658995425991
160,-0.07667780890211373
161,-0.07886494628988816
162,-0.07437574258911783
163,-0.07663771869869718
164,-0.07428661230168165
165,-0.07125646765500182
166,-0.07051194796441529
167,-0.06798718284541827
168,-0.07031212512252683
169,-0.0703859768107159
170,-0.06818153844345543
171,-0.0645371483989019
172,-0.062434961591700144
173,-0.05869502397368764
174,-0.0551132284117799
175,-0.05354743455887845
176,-0.04723801733293731
177,-0.043292882668877986
178,-0.040979790423936624
179,-0.038831584304259925
180,-0.04693393810765267
181,-0.05049645862889374
182,-0.054087418594986
183,-0.05597908143649688
184,-0.0558755443755482
185,-0.05361530060701947
186,-0.05490876446658133
187,-0.05396978176508527
188,-0.05259055434496862
189,-0.04926667961857156
190,-0.047032703028451306
191,-0.046942271604123786
192,-0.05514879088104141
193,-0.05073075297891527
194,-0.052245327247638196
195,-0.053816022097130656
196,-0.05378839246653322
197,-0.05124693652039647
198,-0.05282283518729636
199,-0.05545767218420672
200,-0.05219552074123757
201,-0.050086228830315216
202,-0.05365299501266163
203,-0.051529580028217836
204,-0.05138573259542767
205,-0.04984268145154325
206,-0.04540347268395717
207,-0.04720829353154754
208,-0.0459439559821162
209,-0.04429292816960473
210,-0.046656218165997854
211,-0.057595053350960046
212,-0.060570325881562526
213,-0.0618162278261295
214,-0.06295672482997039
215,-0.06569587326122217
216,-0.0658923519558039
217,-0.06616039179805433
218,-0.06709575744451646
219,-0.06587083354870493
220,-0.06350621305560877
221,-0.06444765603336777
222,-0.06352601001794456
223,-0.06479290370757285
224,-0.0625781180721593
225,-0.06623474601370127
226,-0.06488726850980386
227,-0.06911318851814319
228,-0.07189640106575945
229,-0.06947669804682943
230,-0.07210078118879659
231,-0.07124392048329387
232,-0.07183138421704449
233,-0.07168236604926537
234,-0.07066753479950616
235,-0.06738390257236138
236,-0.06682904597786743
237,-0.06693517944510463
238,-0.0671656662503134
239,-0.06810034399687748
240,-0.06461534985600825
241,-0.06515254718210328
242,-0.0655237984836825
243,-0.06813690512529247
244,-0.06868822198909252
245,-0.06763488411300067
246,-0.06506783172065167
247,-0.06467273104225635
248,-0.06095080569242828
249,-0.05727784034136352
250,-0.05418051844065519
251,-0.05293273718704572
252,-0.05269303828426175
253,-0.051358235661105534
254,-0.051026019566495995
255,-0.05062047086069699
256,-0.04903882965178297
257,-0.04698474417790166
258,-0.04849545390902665
259,-0.048079983073852195
260,-0.049467798992064216
261,-0.049733385707168676
262,-0.05054295271908704
263,-0.050278716377292976
264,-0.04824459198325948
265,-0.050706742254325254
266,-0.04835614263874921
267,-0.05097653836356064
268,-0.05046550329212862
269,-0.04837820734301157
270,-0.04548697176573657
271,-0.04448121646900971
272,-0.04755400768204732
273,-0.047848459008056676
274,-0.0475885842661512
275,-0.04943681084976714
276,-0.049544631226260516
277,-0.04623912642014638
278,-0.0532178270241197
279,-0.055495215503035045
280,-0.05895810389778333
281,-0.06281044471532715
282,-0.06471805388796925
283,-0.0663312050484055
284,-0.06817638004209636
285,-0.07259420694123497
