t,drawdown
0,0.0
1,-0.010718149025527146
2,0.0
3,-0.0050007793542329315
4,-0.020107451166446744
5,-0.030369332996815657
6,-0.049068719012219875
7,-0.04985603900309965
8,-0.05584569972003972
9,-0.05361739230993123
10,-0.056373102972748335
11,-0.051239538940713425
12,-0.04113759697344266
13,-0.05163139996721988
14,-0.07915948217818936
15,-0.06887488171838707
16,-0.052429438844746046
17,-0.06708576309041647
18,-0.06673610153066312
19,-0.06220239528623328
20,-0.06119760574805644
21,-0.08002796390806954
22,-0.08967264143117326
23,-0.09131859928654129
24,-0.08418052661010722
25,-0.08090828452657428
26,-0.10010549380948641
27,-0.09954829061004677
28,-0.08727646244533138
29,-0.08144334633173522
30,-0.08718455790067481
31,-0.07934807140362976
32,-0.0620372841686494
33,-0.06717479458033193
34,-0.047146331169612754
35,-0.02334126256531399
36,-0.020567508386547306
37,-0.03169945308951183
38,-0.017911886771550867
39,-0.02870564559268074
40,-0.053073576790535815
41,-0.06408343112302362
42,-0.07550657031131136
43,-0.0894514815617018
44,-0.0905978327596566
45,-0.10117349603656944
46,-0.0850608599280549
47,-0.06433976925752083
48,-0.07544881943861426
49,-0.08240871563291641
50,-0.07841717187437358
51,-0.08236101163372156
52,-0.08696374264821904
53,-0.10072286479605452
54,-0.11682125410838295
55,-0.09777338831951743
56,-0.12517472107395422
57,-0.10848637998126553
58,-0.07997039899664737
59,-0.1011277127653154
60,-0.10125560186447202
61,-0.1052558289914225
62,-0.10993159136203434
63,-0.10553147182110023
64,-0.11549908992166158
65,-0.10917236954395493
66,-0.11303781540106617
67,-0.11525855138631325
68,-0.13309043455934688
69,-0.14117257646953496
70,-0.1429080505646967
71,-0.1447171101086311
72,-0.16118304305739894
73,-0.1426349662077575
74,-0.1599384789377697
75,-0.16783229651735188
76,-0.15845349153562538
77,-0.13290382375666254
78,-0.13772671866070063
79,-0.12147009415754284
80,-0.13476663851988235
81,-0.11312994934349418
82,-0.1258486464994074
83,-0.1296695248316685
84,-0.13651587072367644
85,-0.1294910383843756
86,-0.12006792898463281
87,-0.10949878255565881
88,-0.10085767370885712
89,-0.09466656484522817
90,-0.07662116087694393
91,-0.06536063994796126
92,-0.05928615463586073
93,-0.033729563563622444
94,-0.0021991049302895194
95,-0.0036259198777368606
96,0.0
97,0.0
98,0.0
99,-0.007079530918974064
100,-0.006021599290201074
101,-0.01970781688981782
102,-0.0410010279705304
103,-0.029619174191439668
104,-0.009148002651857778
105,-0.018772476413771888
106,-0.02024348886030214
107,-0.025137474560373185
108,-0.02585631267233679
109,-0.022392934983344714
110,-0.027971964513105796
111,-0.03371349854316308
112,-0.0518716418641485
113,-0.06587116002029236
114,-0.06585011064209356
115,-0.05201910185852765
116,-0.06310784688020565
117,-0.0524464229121554
118,-0.05066835832798744
119,-0.07472999631816768
120,-0.07857665422213822
121,-0.08049881940098857
122,-0.08064407720931843
123,-0.07945682043259428
124,-0.06966064219250434
125,-0.07815411762601154
126,-0.0697035131388346
127,-0.08403240286368441
128,-0.07676091219664871
129,-0.06148631413416783
130,-0.06265444735386982
131,-0.05960733028739318
132,-0.06007853971723409
133,-0.0645993855028647
134,-0.04797113841523204
135,-0.05162825020615491
136,-0.04873308088752948
137,-0.047354036223365426
138,-0.05335083688275333
139,-0.056650576775364336
140,-0.048755943284438774
141,-0.03648176080557364
142,-0.04394413763161875
143,-0.04156960622499384
144,-0.057737753362142374
145,-0.06690396064832693
146,-0.0617740295419289
147,-0.04192515347839976
148,-0.04271012579337263
149,-0.053152906619691964
150,-0.0488974532154115
151,-0.062422571349729505
152,-0.06354711887361286
153,-0.057606520714902465
154,-0.06752122286747886
155,-0.07495091587122005
156,-0.07809305267768496
157,-0.0626731730353941
158,-0.05694052298769803
159,-0.05537624068160374
160,-0.0470535705729519
161,-0.06408325629442191
162,-0.06105136792040278
163,-0.05869599367758238
164,-0.051861812016193554
165,-0.05679535233273991
166,-0.04762656714942859
167,-0.05431600712452722
168,-0.04980903330791686
169,-0.033546874947216865
170,-0.05214314580470747
171,-0.05380938024208559
172,-0.03539074561315414
173,-0.025795452022213117
174,-0.010334530046946067
175,-0.0036871822418418354
176,-0.005506910394307285
177,-0.01331980394114407
178,-0.03300392898867144
179,-0.018430471803503767
180,-0.026841467015291443
181,-0.04910616506544996
182,-0.06462392573920972
183,-0.07773173249207488
184,-0.09764391785020277
185,-0.08559994340364208
186,-0.07148017504079995
187,-0.07485219399929977
188,-0.0753942113863173
189,-0.07897364977936783
190,-0.08030759060603965
191,-0.07257150001885182
192,-0.07324086461926127
193,-0.05108074292852183
194,-0.050583501819045695
195,-0.05018691232715966
196,-0.06520306093719075
197,-0.08048768773279213
198,-0.05709136602286624
199,-0.04301661383676281
200,-0.038581234295061106
201,-0.02861880851453824
202,-0.037934839521774344
203,-0.010886394267198618
204,0.0
205,-0.007174486414272874
206,-0.012441275002969543
207,-0.0023983112046713773
208,-0.005376547601701254
209,-0.01934368720870705
210,-0.025873247716233116
211,-0.03272002564405252
212,-0.03933917101592033
213,-0.029916224755415333
214,-0.026817618790547337
215,-0.0572671428098539
216,-0.07006036438254282
217,-0.07364890316739403
218,-0.07840316681249537
219,-0.08531713258930418
220,-0.07237374464477642
221,-0.09448903476641402
222,-0.08792414002798687
223,-0.09832616068029354
224,-0.07172063711766374
225,-0.04902598951704418
226,-0.049431119653388755
227,-0.04480159783247395
228,-0.05323021205013434
229,-0.057221069605177144
230,-0.040945460120909716
231,-0.025685236142871992
232,-0.037775382814129066
233,-0.04120832786816542
234,-0.053381744708566936
235,-0.04710732620138425
236,-0.04168292815749208
237,-0.0318398376762522
238,-0.02747397489816028
239,-0.03497923863730512
240,-0.03455360026159626
241,-0.04292394352487161
242,-0.03457645773754947
243,-0.043206753976945844
244,-0.046244002028615006
245,-0.055289564513748
246,-0.05441687603765
247,-0.03883704654584175
248,-0.04812831046241184
249,-0.053312201328305386
250,-0.057267783946503115
251,-0.041774240004077146
252,-0.03928294522816045
253,-0.05257921748018313
254,-0.05480972796441508
255,-0.07063273281069704
256,-0.06365938587957665
257,-0.06010513845348009
258,-0.05612384564903605
259,-0.053721381236118027
260,-0.04471019503346507
261,-0.016416328260650204
262,-0.0205215225915103
263,-0.025658631286573086
264,-0.03834289476539521
265,-0.029920486823170056
266,-0.01689503105679635
267,-0.030442184477137646
268,-0.01886477137243925
269,-0.02959181234057906
270,-0.027824224336489012
271,-0.010703575574185553
272,-0.01440430984156904
273,-0.02660072944783598
274,-0.023857772658800735
275,-0.03748003721245963
276,-0.02355949487228659
277,-0.040088487831403063
278,-0.03314415249908176
279,-0.05855702701043275
280,-0.05668288342527772
281,-0.06113543347771255
282,-0.07708838698685083
283,-0.03944052822815758
284,-0.041447541140244626
285,-0.0317307188847743
286,-0.047193624445370674
287,-0.04896445690942841
288,-0.0658334758263317
289,-0.08465088866190107
290,-0.07306888946887025
291,-0.06578729783730908
292,-0.04746183191187092
293,-0.0327949652341426
294,0.0
295,0.0
296,-0.036742107169599025
297,-0.06539132391554725
298,-0.06141149521913991
299,-0.04147986078754351
300,-0.03350506110657614
301,-0.06248768660666204
302,-0.07289996882278149
303,-0.06691212553673631
304,-0.05792022553786624
305,-0.06863565856662923
306,-0.04247677878822054
307,-0.046554424607582634
308,-0.0677405531210149
309,-0.06826713472135337
310,-0.048380429694502625
311,-0.053110311716203396
312,-0.0633655591225416
313,-0.07253555857518368
314,-0.07571037406766001
315,-0.06732698183191432
316,-0.07288245294208351
317,-0.06624937135997933
318,-0.05972320508426476
319,-0.07669675688573274
320,-0.06779130299949276
321,-0.05686340083836783
322,-0.06478639335739167
323,-0.065641894698238
324,-0.06587352414696834
325,-0.08942923555927518
326,-0.09579521363374499
327,-0.10972963785177736
328,-0.1143114660132789
329,-0.12555941543988924
330,-0.1293752407301385
331,-0.1290643882879342
332,-0.13166274431101688
333,-0.11500332625525411
334,-0.1181317563060732
335,-0.11539816768413247
336,-0.12610189839572417
337,-0.13967520302027459
338,-0.133177731987839
339,-0.13269239355712625
