t,drawdown
0,-0.004159638063791604
1,-0.010246283839674741
2,-0.006553963605387625
3,-0.011187419280811461
4,-0.013135818558135615
5,-0.009838947474336335
6,0.0
7,0.0
8,-0.0038082579753981882
9,-0.002931171970109725
10,0.0
11,-0.009860752800684325
12,-0.04098043990703837
13,-0.07161456043074899
14,-0.041371680850996295
15,-0.045491272015713013
16,-0.05272748899061819
17,-0.059541540311225494
18,-0.057165039819108254
19,-0.05748500647680144
20,-0.05958996644654735
21,-0.042649789123125115
22,-0.028676265265970224
23,-0.04143982499016463
24,-0.07775993770951828
25,-0.09961158297531958
26,-0.08713268162036147
27,-0.10158500587456032
28,-0.08561234533347284
29,-0.0810985708540356
30,-0.08799608365029332
31,-0.09001119815919356
32,-0.10874220938349954
33,-0.09622506858290869
34,-0.0901841264893325
35,-0.0730887196865555
36,-0.057050877970955205
37,-0.06269778953197547
38,-0.05532044228550703
39,-0.04194685562093592
40,-0.05744013399272607
41,-0.06348837238783156
42,-0.061717267449035274
43,-0.05180089333076565
44,-0.0664921008748075
45,-0.05717106777439096
46,-0.04419712480949689
47,-0.030650149583664188
48,-0.026897547525111754
49,-0.009596237319590806
50,-0.006608787102942659
51,0.0
52,-0.006172039680183761
53,-0.008891043883182292
54,-0.006725329015799808
55,-0.02964500233052758
56,-0.050999257926264585
57,-0.05375130105439829
58,-0.04847456820518947
59,-0.04089874820354045
60,-0.03594273900466782
61,-0.03168310854956513
62,-0.03210262202311975
63,-0.015481393667030607
64,-0.015344759294409038
65,-0.01099117357368462
66,0.0
67,0.0
68,0.0
69,0.0
70,-0.020017870299902096
71,-0.01955045740979644
72,-0.010100465164634254
73,0.0
74,-0.014304808865898022
75,-0.010010063258291346
76,-0.001704998436039551
77,-0.013540140026295444
78,-0.01669779922721981
79,-0.01136232227077938
80,0.0
81,0.0
82,-0.0009450577750056421
83,-0.0016815861505442564
84,-0.0020965805450279262
85,0.0
86,0.0
87,-0.021761620926668446
88,-0.03737417121406317
89,-0.04175344812548831
90,-0.03976503300159939
91,-0.009467225986590666
92,-0.025796908800834406
93,-0.01428110346155076
94,-0.017656255419140843
95,-0.011101417143212666
96,-0.0019911369707147353
97,-0.0005288549673126974
98,0.0
99,0.0
100,-0.006184263420634717
101,-0.013745684329152463
102,-0.011988066002307618
103,-0.0012860807177489386
104,-0.0074183967103859105
105,-0.00023822342359791637
106,0.0
107,0.0
108,-0.02971770058607781
109,-0.014550568073526393
110,-0.014472763645297704
111,-0.0036456587106390437
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,-0.013680403324349388
118,-0.021704898983485377
119,-0.02910329472419737
120,-0.023227358734389636
121,-0.0017142809182495444
122,0.0
123,-0.023445556661508382
124,-0.03987344820644001
125,-0.053738236703432696
