t,drawdown
0,-0.0021635168333374866
1,-0.018943128414873778
2,-0.019972867138025485
3,-0.005413191863317679
4,0.0
5,-0.03805202650908779
6,-0.03453454226525554
7,-0.049877597215872815
8,-0.029165961302200172
9,-0.046612387661700505
10,-0.02686180739008659
11,-0.04050652413629641
12,-0.04906941960970024
13,-0.05368683263027474
14,-0.05077372456965601
15,-0.056054538398029874
16,-0.05818586873412657
17,-0.06566582030036594
18,-0.08906541984193672
19,-0.10426680898578233
20,-0.11430232922475503
21,-0.13125451136686606
22,-0.11295026892314874
23,-0.08734600047808416
24,-0.0825588999745801
25,-0.08110909337086081
26,-0.06344344025861948
27,-0.046026832356665714
28,-0.04840275258208182
29,-0.05189038165624038
30,-0.06870947705126162
31,-0.07464905855269943
32,-0.0578169804598494
33,-0.07218167536481723
34,-0.07489921328570215
35,-0.07142002950815485
36,-0.08098665055444587
37,-0.0651649823782372
38,-0.09317626928922396
39,-0.09181953002875043
40,-0.10229503561498221
41,-0.08363312448389004
42,-0.10453021555256714
43,-0.11102916173546973
44,-0.12430301335145344
45,-0.13385387396330983
46,-0.14348620434926562
47,-0.13822191229336311
48,-0.12365979706532859
49,-0.13841681777357906
50,-0.1314404524429692
51,-0.1384029851658849
52,-0.12365437308797722
53,-0.13719045704638366
54,-0.15906360031337607
55,-0.14882115153476105
56,-0.13644033717765947
57,-0.14795200369412576
58,-0.1560770582000569
59,-0.15609107884381734
60,-0.16025102124970725
61,-0.1479401349519589
62,-0.1324366211276724
63,-0.14085628466951128
64,-0.12816199309332943
65,-0.10183608959564616
66,-0.09081273715370031
67,-0.1187363621329105
68,-0.11713979073142367
69,-0.11291776104633966
70,-0.11664933577298575
71,-0.1129971079355595
72,-0.11321189280860322
73,-0.10641699672684357
74,-0.07767866810001223
75,-0.07875427726670525
76,-0.07355565080570081
77,-0.06680306999943764
78,-0.027210193183116016
79,-0.026168156967141032
80,-0.04466060088124435
81,-0.0211106820100736
82,-0.008502896024849105
83,-0.015137659502918344
84,-0.015042012930907456
85,-0.009247893704247168
86,-0.00557932058020516
87,-0.010573137376173158
88,-0.014574773344628977
89,-0.045478953552322565
90,-0.06594725076286201
91,-0.07192196935635897
92,-0.06949006542991143
93,-0.05958438755280371
94,-0.03196673057192345
95,-0.034340669559945636
96,-0.04544279420195796
97,-0.03998303357127675
98,-0.037725726581157026
99,-0.03175724481295672
100,-0.03371361746234025
101,-0.03546260408948465
102,-0.03780486192426524
103,-0.05323324092625692
104,-0.030397210755275905
105,-0.03852578099814963
106,-0.05765239886757356
107,-0.06223788679253339
108,-0.07344804106165026
109,-0.0484022302992263
110,-0.03997922405449017
111,-0.03877082179945235
112,-0.08116737901240956
113,-0.07490309209013435
114,-0.09925301063757819
115,-0.09957901916591516
116,-0.08799727275445912
117,-0.08916831486709742
