t,drawdown
0,0.0
1,-0.008512542019203484
2,0.0
3,0.0
4,-0.02017525926448316
5,0.0
6,-0.02385270477725765
7,-0.030586190037313887
8,-0.03159611340377666
9,-0.04443995021324354
10,-0.04952175589667451
11,-0.04988424037272354
12,-0.025744148266801048
13,-0.01200444945897805
14,-0.014902267968104788
15,-0.03039213692499454
16,-0.02938089324351345
17,-0.02308499318816426
18,-0.03534854533178167
19,-0.03109211205091411
20,-0.011586107327559936
21,-0.020739061199089526
22,-0.03836208818980125
23,-0.06427513261576223
24,-0.08061785640239538
25,-0.08336128525127495
26,-0.08728030166829859
27,-0.10632233671006919
28,-0.08977914882465354
29,-0.11632915285440604
30,-0.08695730266408253
31,-0.10592797288470968
32,-0.11048630082512745
33,-0.12618039236168643
34,-0.12081895028948353
35,-0.09464062198515377
36,-0.08001854279791165
37,-0.07573004367736524
38,-0.07935889677259633
39,-0.0732853221113634
40,-0.06751135331011582
41,-0.07438891680877346
42,-0.08663308708484774
43,-0.08434863822723782
44,-0.09305213420555059
45,-0.0720043446275973
46,-0.07150667112747511
47,-0.08233470008171762
48,-0.08975083086292068
49,-0.07927141380745972
50,-0.09546013226935812
51,-0.08130433036520368
52,-0.09288059458780273
53,-0.10310116804575942
54,-0.10949101952069107
55,-0.07106665554461111
56,-0.06469155753054612
57,-0.07192211048140962
58,-0.09268822893203932
59,-0.08530913685281272
60,-0.08367946940644733
61,-0.0998486106985439
62,-0.12313595624203355
63,-0.10883619255556598
64,-0.1121530839495335
65,-0.12160135389327131
66,-0.1329309628140487
67,-0.1221396658999453
68,-0.11626769242994617
69,-0.1318889867721964
70,-0.1350655800667706
71,-0.14264407480386598
72,-0.1543571797367045
73,-0.1700273569338292
74,-0.16791714971692107
75,-0.17627261541662553
76,-0.1837464746536508
77,-0.1961123726866677
78,-0.17957018246992063
79,-0.17556593866770087
80,-0.17731193801394307
81,-0.14768127070209136
82,-0.1642514749163858
83,-0.15273606819197416
84,-0.14620271990588396
85,-0.16949538972977363
86,-0.18273212998303057
87,-0.17506886325379023
88,-0.18189394457071306
89,-0.176978505976483
90,-0.17679434046356013
91,-0.18381180662028596
92,-0.18110724417033752
93,-0.17729297253972776
94,-0.18322888053900444
95,-0.17851696217361823
96,-0.17273646486050986
97,-0.17551407193577195
98,-0.18147524196258635
99,-0.1698494915944615
100,-0.1577505587285596
101,-0.14363802617522137
102,-0.15370974707766338
103,-0.1444228651696271
104,-0.14685249822154
105,-0.14942751935232934
106,-0.14153202587967018
107,-0.15768859668285962
108,-0.15476951549788343
109,-0.1582473786460994
110,-0.1677855965523265
111,-0.170338683693819
112,-0.15574856465254616
113,-0.14048012490764095
114,-0.14436615840604416
115,-0.1489615632201512
116,-0.1522370934893571
117,-0.1259780033259159
118,-0.1279336454332476
119,-0.15514617419711918
120,-0.16529330612767268
121,-0.1493530312620961
122,-0.14448756424823406
123,-0.14081281478861762
124,-0.14465184528394515
125,-0.13145765192436698
126,-0.11836622135677033
127,-0.10509048405534183
128,-0.11022165228867098
129,-0.10753918843493249
130,-0.1023912855129735
131,-0.08606953097853254
132,-0.0806333751286683
133,-0.05861416529794272
134,-0.028475793199236876
135,-0.011608588225954675
136,0.0
137,0.0
138,-0.03096271282772134
139,-0.038208365433269886
140,-0.013704122547009479
141,0.0
142,-0.015191937681306888
143,-0.013532183884476634
144,0.0
145,-0.026373713851109426
146,-0.031186881017714052
147,-0.020660625739183924
148,-0.007847116128202436
149,-0.028230225129942332
150,-0.024470240250864084
151,-0.051253068521602496
152,-0.04981659464446064
153,-0.06396927457808221
154,-0.054128694528010834
155,-0.07248460458543304
156,-0.08559074272642897
157,-0.08107693313625808
158,-0.06859836210413406
159,-0.034869562181738645
160,-0.028040417481553503
161,-0.02605312896481482
162,-0.03275000571020914
163,-0.021434986216807506
164,-0.00430128125891116
165,-0.016744374422760777
166,-0.006701302891598315
167,0.0
168,-0.0034532067054412474
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,-0.0024485596518890596
176,-0.011014047200009647
177,0.0
178,0.0
179,-0.004309743761358953
180,0.0
181,0.0
182,0.0
183,-0.005522624477628191
184,-0.015643319308654036
185,-0.039923960195813346
186,-0.04796966646619738
187,-0.05110195109486737
188,-0.05327974867237106
189,-0.029203530387185594
190,-0.033039399888179166
191,-0.03063562767502226
192,-0.04269946577875883
193,-0.06281118893191517
194,-0.07376775365546695
195,-0.07875280415814556
196,-0.063350782588808
197,-0.056182246928229485
198,-0.06370821313849273
199,-0.055534645143889505
200,-0.06303855716375739
201,-0.03027297402841944
202,-0.04905462971613239
203,-0.07681422151136197
204,-0.07256922795798781
205,-0.043141230327738866
