t,equity
0,0.9948931663128177
1,0.9927181778876913
2,1.0314169904326318
3,1.066671955242754
4,1.060308762373467
5,1.0476646526223248
6,1.0622588474881365
7,1.082800206415927
8,1.0891779516329627
9,1.0741798480908331
10,1.0985227423909223
11,1.113796110296393
12,1.0893819929039406
13,1.083563956247496
14,1.0704432291913824
15,1.0655103682654037
16,1.0793428680275179
17,1.0696044795822481
18,1.0966122960576545
19,1.1209191603796378
20,1.1154101008723423
21,1.1039061867817588
22,1.1187010354763915
23,1.1161953509703275
24,1.0974697378571217
25,1.0994502010162897
26,1.0904425756661116
27,1.086091473580637
28,1.0755792580507089
29,1.0651392431121856
30,1.056349973530806
31,1.0355158365792105
32,1.0264569503475398
33,1.0484187641750795
34,1.023658583507965
35,1.0196579214088897
36,1.0004802029726998
37,0.9979290682340248
38,1.006155369722487
39,1.0256066773645918
40,1.0242161528231022
41,1.0568694757838295
42,1.0434978193873816
43,1.0529334591105894
44,1.0419232525625293
45,1.0434045480814043
46,1.0701011638492475
47,1.075873367104268
48,1.0702169790335667
49,1.1188356463311402
50,1.1378942878061948
51,1.1212743779851113
52,1.1277898796128425
53,1.1202227036950703
54,1.1046332763266455
55,1.09313614351837
56,1.0697966888586286
57,1.0622377319595242
58,1.073830106872758
59,1.0769896231636613
60,1.071020788545488
61,1.0653660685513844
62,1.0656507114778953
63,1.0349338045159513
64,1.0460254158380342
65,1.038501260049777
66,1.0425991157984733
67,1.0138136792801689
68,1.0020411331312598
69,1.0284034295881308
70,1.041158281643997
71,1.033717857498245
72,1.048078088116633
73,1.0423456311937451
74,1.020531534985629
75,1.0206260331087054
76,1.0302016868276433
77,1.0251962882497272
78,1.0174431269705084
79,1.0201039788202664
80,1.0293471851353888
81,1.0143135582807545
82,1.0225768731531528
83,1.0388009799562548
84,1.0288500423657578
85,1.0564138228181237
86,1.0724147770407728
87,1.0718921642719723
88,1.0769279370963891
89,1.0970478296899309
90,1.1080565690685844
91,1.1217831593978644
92,1.1258763443312259
93,1.1143021040281667
94,1.1163224695852738
95,1.0835465002980178
96,1.0990403266684383
97,1.093895731597782
98,1.0681341765997454
99,1.0741253431983335
100,1.0665478957359502
101,1.0802501169134582
102,1.0453141800979604
103,1.0402406943759166
104,1.0620215082593516
105,1.0652094120114814
106,1.0883176633876177
107,1.1213764598838136
108,1.1000455379464675
109,1.117578857480803
110,1.1100153099569865
111,1.1161909096642806
112,1.1058822932317536
113,1.1074423148412778
114,1.1009782774763615
115,1.0711868143806116
116,1.0828366418054625
117,1.0932426418921166
118,1.088833057940963
119,1.0871281867160045
120,1.1072757470420687
121,1.1160650636503475
122,1.1277806019619059
123,1.1326009722475114
124,1.1232254832733766
125,1.1068274160795082
126,1.123444354999384
