t,drawdown
0,-0.00018371343238687832
1,0.0
2,0.0
3,-0.0035719344020593846
4,-0.006552858157463981
5,-0.006032808933415401
6,-0.00663457623846242
7,-0.009437314016643605
8,-0.015023054189120977
9,-0.016363096799568377
10,-0.014281673175924103
11,-0.01368221892140975
12,-0.0151289244734093
13,-0.01468635745504221
14,-0.014070432239843389
15,-0.016108291718669898
16,-0.012692817878833917
17,-0.008142419828382153
18,-0.0066080025208702375
19,-0.003962067286434112
20,-0.006261632372635106
21,-0.002639597982378783
22,-0.00900649446559032
23,-0.007627424023543883
24,-0.008074650059225696
25,-0.009782494194596536
26,-0.008849377984712747
27,-0.013750746763530053
28,-0.015489421895923061
29,-0.02121083123316303
30,-0.019104519697441202
31,-0.0230329871493139
32,-0.024146485940946594
33,-0.022115866779448545
34,-0.028103066528613052
35,-0.025136118289052156
36,-0.025971294985275506
37,-0.02615202900319491
38,-0.024098784771118376
39,-0.019938517138840428
40,-0.02099587352297072
41,-0.01733666071415796
42,-0.01718391531399721
43,-0.013894176043549256
44,-0.018243231805684657
45,-0.014279515022363243
46,-0.01763164266936168
47,-0.01805609261916108
48,-0.023999009131921434
49,-0.029528286226985445
50,-0.031042347909475354
51,-0.03156055065562069
52,-0.033803255888519734
53,-0.03713846693317835
54,-0.052247840393967016
55,-0.05846953478594097
56,-0.05506853318250482
57,-0.05391528348140828
58,-0.05354234083681997
59,-0.056777139869315874
60,-0.06060449011102331
61,-0.06378563269580095
62,-0.06319492498917001
63,-0.06161946091499937
64,-0.06416929383923964
65,-0.06222714661176176
66,-0.06748187997569033
67,-0.07022305400677598
68,-0.07103624961396116
69,-0.07061532637576684
70,-0.07271372871770398
71,-0.07365973327037612
72,-0.07560391535380762
73,-0.0722504147790971
74,-0.07243396828619852
75,-0.07320589300704528
76,-0.07682246573674334
77,-0.07286865674274945
78,-0.07627491299778888
79,-0.07918589643395268
80,-0.07394276801895105
81,-0.07306842826059257
82,-0.0718925660356684
83,-0.06948904733578853
84,-0.06893969892772889
85,-0.07152107780371608
86,-0.07294900083953337
87,-0.07328216378379981
88,-0.07137562082793414
89,-0.06704103880588863
90,-0.0653423514779945
91,-0.06300991431549197
92,-0.05877132291703702
93,-0.058606625377106925
94,-0.05777910244414919
95,-0.06095928251479643
96,-0.05882723440437576
97,-0.05750078773828837
98,-0.058621964146523986
99,-0.054043128386739414
100,-0.05672216037923061
101,-0.05831482167295443
102,-0.05616381729054698
103,-0.04910686758705585
104,-0.04918169317750776
105,-0.05286119023064295
106,-0.051690384791323596
107,-0.051764096482508015
108,-0.05414531877829709
109,-0.053699017572387486
110,-0.05392370619422171
111,-0.060931587912505636
112,-0.06654425471967151
113,-0.06682716189850557
114,-0.06111439338502089
115,-0.05504580149787419
116,-0.052138821897541154
117,-0.055168562285701106
118,-0.05207302477642317
119,-0.04909662352367483
120,-0.05340744807947784
121,-0.05525302604965587
122,-0.053790496623533524
123,-0.05313565894666239
124,-0.05314512710839703
125,-0.05237243015342119
126,-0.04979091537628577
127,-0.05013549168586473
128,-0.04965865499048161
129,-0.05059881212762729
130,-0.050408859659391125
131,-0.049161465501724844
132,-0.050641793420578285
133,-0.04999596783725058
134,-0.051774466859771495
135,-0.04877762352693482
136,-0.0471812228848536
137,-0.048742869087976315
138,-0.05519764632138624
139,-0.05286069683657024
140,-0.05709003618840858
141,-0.05572881076904401
142,-0.05158228696081468
143,-0.051784586907843044
144,-0.051622055254384014
145,-0.04962225561824296
146,-0.05390236618522737
147,-0.05876022052573415
148,-0.05934687786291748
149,-0.055229938379478205
150,-0.05383871347430402
151,-0.05549140800397989
152,-0.05185300193978115
153,-0.05634938291740499
154,-0.05805724197919715
155,-0.057933134532390795
156,-0.06123210107160104
157,-0.05931239691875023
158,-0.061620580821243554
159,-0.06463043551801584
160,-0.06860219630239461
161,-0.06955826262335663
162,-0.07045103065406955
163,-0.07216293373047067
164,-0.0678298086034671
165,-0.0672473560342377
166,-0.0670657279322332
167,-0.06976994126147595
168,-0.07263944782415865
169,-0.06997995001102753
170,-0.0670547787884268
171,-0.06651870979554664
172,-0.0662988190450442
173,-0.06987074405908278
174,-0.07033581376447873
175,-0.06955569736656664
176,-0.06757316034096716
177,-0.06761043990618298
178,-0.07112022540772844
179,-0.07248876580313657
180,-0.07429483119732716
181,-0.07451672212483262
182,-0.07356289004528804
183,-0.08794806890478235
184,-0.08879557723588183
185,-0.08885903003523132
186,-0.0948942340020501
187,-0.09171970802595086
188,-0.09605979275478005
189,-0.09692190533997191
190,-0.09412970768893025
191,-0.09682801094422122
192,-0.10126326305522271
193,-0.10455071202547628
194,-0.10826958200123493
195,-0.10431767620229315
196,-0.09949780006870457
197,-0.10115027043551672
198,-0.09776950389577521
199,-0.09777588640977708
200,-0.09748524584090978
201,-0.09777199975978168
202,-0.09899088219613827
203,-0.09950698575907846
204,-0.10312837989479562
205,-0.10553658729767379
206,-0.10445053745899979
207,-0.10451789483372953
208,-0.1076481647464207
209,-0.10633222638689088
210,-0.109822999921662
211,-0.11651834460681332
212,-0.11865858650253147
213,-0.11621667623813647
214,-0.1177986440106904
215,-0.1183627618211115
216,-0.11818173213593597
217,-0.11541912252414999
218,-0.11374484530574014
219,-0.1152388263567522
220,-0.11546839842356416
221,-0.10933329552724969
222,-0.10689532512340671
223,-0.10868041360056213
224,-0.11015751213015734
225,-0.11491903014967209
226,-0.11692179607580999
227,-0.12186002421877085
228,-0.1280068801610189
229,-0.13120628297124404
230,-0.1318101608380864
231,-0.13247066835837096
232,-0.1296567360372165
233,-0.13105830131501384
234,-0.12898866099055528
235,-0.12858654324537444
236,-0.1253926236733286
237,-0.12218368532420354
238,-0.11877864869468624
239,-0.11793566524269561
240,-0.12117784794916198
241,-0.11667689275755799
242,-0.11626027159052488
243,-0.11138537834785855
244,-0.11147714614768023
245,-0.11360085605716141
246,-0.10997457002168853
247,-0.1102724480119942
248,-0.10688414070314323
249,-0.10350376631982339
250,-0.10566025631439935
251,-0.10486430331462104
252,-0.10247441705239058
253,-0.10426096024650211
254,-0.10128584416868414
255,-0.10011603928778179
256,-0.09913233055808957
257,-0.1015022481280573
258,-0.09898766737391107
259,-0.09585537238129238
260,-0.09179761954850152
261,-0.09154656232899161
262,-0.09006525008364852
263,-0.08450234815795643
264,-0.08317924506868646
265,-0.08511473143282566
266,-0.08218754742625489
267,-0.0818093543551216
268,-0.08388068620847344
269,-0.08131043148758565
270,-0.08063964482745856
271,-0.08204093010957081
272,-0.07922425108224196
273,-0.08213880627835346
274,-0.07864504895121593
275,-0.08075434330121234
276,-0.07847040827569929
277,-0.07994109500356805
278,-0.08140414382089667
279,-0.08410258859082798
280,-0.08365573519187397
281,-0.08262356081939304
282,-0.08383400934558549
283,-0.08173259984291925
284,-0.08133972793191857
285,-0.08106203305759352
286,-0.08088051672073582
287,-0.0789119157781406
288,-0.07983531036671032
289,-0.08207837100733195
290,-0.08323604818841157
291,-0.08210429296881161
292,-0.08744720576703224
293,-0.08830995303589673
294,-0.08926721926314629
295,-0.08267004639305509
296,-0.08501028672857502
297,-0.08157530863398355
298,-0.08208243897701006
299,-0.08037392064901028
300,-0.08615414900948593
301,-0.08743581280080781
302,-0.08875411126460231
303,-0.09841038437222505
304,-0.09791881523533819
305,-0.09624574906160677
306,-0.09664668852908531
307,-0.09516591758637893
308,-0.09850852830807955
309,-0.09781647210990863
310,-0.09888524787366504
311,-0.09394674467989972
312,-0.09060293208902948
313,-0.09190141480186187
314,-0.09206094477627025
315,-0.0881168049070169
316,-0.08620979991909428
317,-0.0877749108793473
318,-0.0847937041810839
319,-0.08614460724808448
320,-0.08547344025883064
321,-0.08694183013053469
322,-0.08833301081270128
323,-0.08757284208309635
324,-0.08806844278337411
325,-0.08682643752899077
326,-0.08552296923057912
327,-0.08062060530487958
328,-0.07907601854345592
329,-0.0781076308693941
330,-0.07524202111557454
331,-0.07357550712718919
332,-0.07312992797961382
333,-0.06765955719915628
334,-0.06701330317707832
335,-0.06725931663786033
336,-0.06476129400839903
337,-0.0704095197910668
338,-0.07110873286348895
339,-0.07021600825162155
340,-0.06735298837162995
341,-0.06592517339439419
342,-0.06528670002829573
343,-0.062404938831878365
344,-0.0647208206172456
345,-0.0636568958394731
346,-0.061633439419409575
347,-0.06187377645967618
348,-0.06738786550266118
349,-0.0628893427107673
350,-0.060469386540266234
351,-0.06258180986764983
352,-0.06458314367139806
353,-0.06100895888697522
354,-0.06023812903480952
355,-0.05913948041958195
356,-0.061773835939216704
357,-0.05810830133243006
358,-0.05499081470157707
359,-0.05969847225186942
360,-0.05870153700523373
361,-0.05969988885699984
362,-0.05884897387648147
363,-0.055783363413868914
364,-0.05498496635445638
365,-0.05666045911718309
366,-0.05259678040075755
367,-0.047985122815991654
368,-0.04907255808738986
369,-0.05238664464809528
370,-0.05792604396776346
371,-0.06265490358909065
372,-0.061472150894750555
373,-0.058264562951404475
374,-0.06287497701041977
375,-0.06680886848042478
376,-0.06964230272042116
377,-0.06972440225204701
378,-0.07076955477443181
379,-0.07007925626193157
380,-0.06908008573576185
381,-0.07120593657923158
382,-0.07192716430773693
383,-0.0693273195266183
384,-0.06981811499612811
385,-0.07239566456852153
386,-0.0752391899281355
387,-0.07239134121845048
388,-0.07229990395271169
389,-0.06959111283031505
390,-0.06532630417954777
391,-0.06704403567681971
392,-0.06155843982354259
393,-0.061438947047540715
394,-0.06557859943519828
395,-0.0723813664881634
396,-0.07241766950698636
397,-0.07286690086618175
398,-0.0745103577672871
399,-0.07820059512708188
400,-0.07641851227483498
401,-0.07893841210911501
402,-0.07947635266166153
403,-0.07533216261521747
404,-0.07997367801056943
405,-0.0829142654754339
406,-0.08467259709125863
407,-0.08707461917646708
408,-0.08346869816010172
409,-0.07845663586056106
410,-0.0765652403106375
411,-0.07606316257755208
412,-0.0807686977006783
413,-0.07690367601940573
414,-0.07706067296121166
415,-0.07427098474246574
416,-0.0788327536482476
417,-0.0785637419996974
418,-0.07856392044775018
419,-0.07831153680405878
420,-0.07898742388592717
421,-0.0787352471533801
422,-0.07726009825315572
423,-0.08155530873150885
424,-0.07921233860963361
425,-0.07433328541742945
426,-0.07051609998827568
427,-0.07216412484034163
428,-0.06667991314660171
429,-0.07026667412368903
430,-0.06925588497920088
431,-0.06931605657920814
432,-0.06895067631185081
433,-0.06867604267213978
434,-0.06483995087685834
435,-0.06498639662625683
436,-0.06322400083632973
437,-0.061981134535251114
438,-0.060156599939998556
439,-0.0608015664735595
440,-0.06256236132154247
441,-0.0638108364876867
442,-0.0664417877718193
443,-0.06284973170465613
444,-0.06462457646117226
445,-0.06806401962760944
446,-0.06758518215671394
447,-0.06434030015500325
448,-0.0703177407106036
449,-0.06990152883787681
450,-0.06874514161727219
451,-0.06409240432173158
452,-0.06316778830301295
453,-0.06653511455199601
454,-0.06795751007089545
455,-0.06579273522597917
456,-0.0666946823721225
457,-0.06463174791763582
458,-0.06683014812158561
459,-0.06675350400166213
460,-0.06683125930229727
461,-0.06813183283108193
462,-0.06799647943708265
463,-0.06710584733721703
464,-0.06951963193655086
465,-0.07123786575277591
466,-0.06868312706499136
467,-0.06552847299240405
468,-0.06642040559236939
469,-0.06335763484324075
470,-0.06156895834638165
471,-0.05955705341222961
472,-0.0579277970118427
473,-0.05923164105528389
474,-0.059343186396329406
475,-0.05829913881520987
476,-0.0586253797651507
477,-0.060347598634250654
478,-0.06132426517336609
479,-0.0620365486116492
480,-0.06064982122293738
481,-0.05784471323048512
482,-0.05876719054686086
483,-0.06007754523058073
484,-0.06012224067126226
485,-0.05905254842875918
486,-0.05815145977541636
487,-0.05580965579272179
488,-0.058152271569238745
489,-0.05864609280569966
490,-0.060670509299674436
491,-0.06532806160025473
492,-0.06544323993771295
493,-0.06584131442672647
494,-0.06865268743891662
495,-0.06529552494498203
496,-0.06336128533497365
497,-0.06105867292975253
498,-0.061394065202317605
499,-0.06155122132876523
500,-0.062238811142544814
501,-0.06445992985896665
502,-0.06852359145599263
503,-0.07220905741771722
504,-0.06624530385589233
505,-0.06827077796639569
506,-0.06926143257275219
507,-0.07519439961507457
508,-0.07582285449175419
509,-0.07414485193521236
510,-0.07313940270697883
511,-0.08068873402693999
512,-0.08078251708833795
513,-0.08152286156795585
514,-0.08525011502895397
515,-0.08922842654493879
516,-0.08939431147988008
517,-0.09010825991374061
518,-0.08554137095371173
519,-0.08911956238778984
520,-0.08911121846324255
521,-0.0902209569411826
522,-0.09168195490274178
523,-0.09269346018362823
524,-0.0962158352787712
525,-0.09604411940512336
526,-0.09781881977564433
527,-0.10139711639667481
528,-0.10051144190668437
529,-0.10171157801413
530,-0.09860643078246745
531,-0.10188185626743418
532,-0.10111616810301505
533,-0.10085848812196996
534,-0.10560766029070856
535,-0.10474842251831984
536,-0.10270973793872096
537,-0.103296569460536
538,-0.10482133309207409
539,-0.10468801012096707
540,-0.10167005012303676
541,-0.10072297484565373
542,-0.0968455779899694
543,-0.09292549875655787
544,-0.09248417260357933
545,-0.09165201057007788
546,-0.09135189920776188
547,-0.09007413443432732
548,-0.0949633123719621
549,-0.09965759827649523
550,-0.10364806023938622
551,-0.10636219760136345
552,-0.10871559812603104
553,-0.1129412823064242
554,-0.11542995597791172
555,-0.11630112473024834
556,-0.11176468281674934
557,-0.11356669042411949
558,-0.11655565730482953
559,-0.11451151541136262
560,-0.11418118149779943
561,-0.1141198935721287
562,-0.11494527760961637
563,-0.11621266216367421
564,-0.12194394517943163
565,-0.12601755747646948
566,-0.13101846596421696
567,-0.12786000457233082
568,-0.13044163672659248
569,-0.13215258739727265
570,-0.13522888749353768
571,-0.13264918725544683
572,-0.13324561237795485
573,-0.13331602133342035
574,-0.1326317608912193
575,-0.13370321187020762
576,-0.13324695270563236
577,-0.13505471941680636
578,-0.1356708508310851
579,-0.13203579693019274
580,-0.13253573702921695
581,-0.1319138460015986
582,-0.12811373934904113
583,-0.12310893796500166
584,-0.12612296194547312
585,-0.12863671551699318
586,-0.12996110669792083
587,-0.13126126819702277
588,-0.1298061744229475
589,-0.1329657157132288
590,-0.13377659975946343
591,-0.13176793836079004
592,-0.13039809573239913
593,-0.13041775210740347
594,-0.1303483765685629
595,-0.13220906777188934
596,-0.13344367227602272
597,-0.13273761906211423
598,-0.13276210394482246
599,-0.1317940497741965
600,-0.1283097284593805
601,-0.1277616811179796
602,-0.12600569796407535
603,-0.12448825303954514
604,-0.12313612219769876
605,-0.12259100253449673
606,-0.12452949962869753
607,-0.12202376201919396
608,-0.12154242309948948
609,-0.11939261071281271
610,-0.12432628918650068
611,-0.12624067742773115
612,-0.12440189747085395
613,-0.1250354311621601
614,-0.1252892404254764
615,-0.12668576469279536
616,-0.12792918684100751
617,-0.12610485723809362
618,-0.12420288176962613
619,-0.12200510605615378
620,-0.12354007372551379
621,-0.12143332754021718
622,-0.12096589371056732
623,-0.12217101177359635
624,-0.12215743098205134
625,-0.1207571999228002
626,-0.11989543810496106
627,-0.11322215760235155
628,-0.10897802143003688
629,-0.10765267039609039
630,-0.10639813522628139
631,-0.113857944489824
632,-0.11799472030561897
633,-0.11405230651922982
634,-0.1140163641010159
635,-0.11782860794370698
636,-0.12026965498873488
637,-0.11622471318510741
638,-0.1142254454363526
639,-0.11832748456630748
640,-0.12434214048007919
641,-0.12639546661576773
642,-0.12878358488961106
643,-0.12755403697861378
644,-0.12606244159250368
645,-0.12969130710252863
646,-0.12830217711387681
647,-0.12727600868438804
648,-0.12513378624379012
649,-0.12596541428540442
650,-0.12853820516402314
651,-0.13001571594529204
652,-0.1326274603024733
653,-0.13799436010466015
654,-0.14078208417662652
655,-0.13834936253188623
656,-0.13683534725200275
657,-0.13800916854370904
658,-0.13459350961361238
659,-0.1352735933014363
660,-0.1381830813705608
661,-0.1424824730388401
662,-0.1432367839809604
663,-0.1479959117005527
664,-0.1499378245167673
