t,drawdown
0,-0.0008051151658424738
1,-0.0317391930087948
2,-0.011008790469376972
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,-0.0045611096153410635
14,0.0
15,0.0
16,-0.02291212201560111
17,-0.029607869521689367
18,-0.014190947048572378
19,-0.027327548857543515
20,-0.03472263919615359
21,-0.023264069224056327
22,-0.019628051130569202
23,-0.012686916356326683
24,-0.0159567291361421
25,-0.011856484844559811
26,-0.0011137351740651003
27,-0.001334743217703549
28,0.0
29,0.0
30,0.0
31,-0.031047775555946178
32,-0.05971274296869433
33,-0.05363268967274615
34,-0.04464605753499962
35,-0.03775176974660999
36,-0.03801118800364345
37,-0.05115776757990864
38,-0.05527542797764584
39,-0.059615329591043764
40,-0.04624413445548159
41,-0.04807834025148039
42,-0.05411658574673606
43,-0.058420477691522255
44,-0.05273668652108865
45,-0.03139753004719936
46,-0.038058578315128266
47,-0.01162799271625492
48,-0.004128628699657355
49,0.0
50,0.0
51,-0.00734193701988628
52,-0.0004946718689077256
53,-0.029575397136602177
54,-0.03874588195677253
55,-0.05583560461758719
56,-0.05731905760007072
57,-0.041205078126464345
58,-0.07073557759655058
59,-0.04137880174165942
60,-0.014583759347768233
61,-0.006538549008875738
62,0.0
63,-0.0011950898717754121
64,0.0
65,0.0
66,-0.0033479595155013753
67,-0.04226184021056267
68,-0.051685237646561966
69,-0.04618778420798908
70,-0.05364598470277471
71,-0.04979725283472569
72,-0.0709599897211558
73,-0.0658202180884161
74,-0.06617463970062887
75,-0.06746552292374741
76,-0.060268710370567025
77,-0.05934088231534285
78,-0.044762812854050815
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,-0.010747025599504578
88,-0.009655680176546944
89,-0.011907216424766887
90,-0.016150576281186324
91,-0.048166042380411445
92,-0.061979311897654155
93,-0.07089326118186923
94,-0.09073490920932614
95,-0.08134844445621481
96,-0.07823422197672236
97,-0.09118422432396078
98,-0.08833559285735748
99,-0.09341672749109453
100,-0.07705854920543886
101,-0.11365285094608069
102,-0.10191692820051168
103,-0.09028318605162589
104,-0.08086236014800707
105,-0.05368042609780388
106,-0.06933854967403985
107,-0.06809516724444187
108,-0.06650651683460629
109,-0.044188949103659114
110,-0.05136408909602941
111,-0.060925760522078654
112,-0.059648531144326555
113,-0.03583166048750641
114,-0.024446030722838907
115,-0.03612258583612882
116,-0.02058207819749136
117,-0.014752205332116963
118,-0.0017972089085620535
119,0.0
120,0.0
121,-0.0018606066792485887
122,-0.018871109245311657
123,-0.03458848743449494
124,-0.05382424611805947
125,-0.06384447932336745
126,-0.0885746459638369
127,-0.06358974264762707
128,-0.0468903715441521
129,-0.05309620935348647
130,-0.05089894718240984
131,-0.036067414014108956
132,-0.0323330066298424
133,-0.03411896999290909
134,-0.041450585020169184
135,-0.05715215518593075
136,-0.07441992490653382
137,-0.05432348367308737
138,-0.04780067290479617
139,-0.04047259640230316
140,-0.032879401302168265
141,-0.037109453518792246
142,-0.061319102303177164
143,-0.07425019931161658
144,-0.06419282785774827
145,-0.06963243465626034
146,-0.03638318764281523
147,-0.027113353820887753
148,-0.0477982245546017
149,-0.05188805611783753
150,-0.038444443347768975
151,-0.03750714384340348
152,-0.029934060364798065
153,-0.006835297210467495
154,0.0
155,-0.000798659724186801
156,0.0
157,-0.0346038096603164
158,-0.04044829964549301
159,-0.03897741030319901
160,-0.018837562004185848
161,-0.047644165737048993
162,-0.032514219907837316
163,-0.02346034725457058
164,-0.03963938399680411
165,-0.020624257454048722
166,-0.012756831216160891
167,-0.010132422758792448
168,0.0
169,0.0
170,-0.007520389231759794
171,-0.021000950032604937
172,-0.01799430561145554
173,-0.013264511732215434
174,-0.010539521366378368
175,0.0
176,0.0
177,0.0
178,0.0
179,-0.0044746839433520424
180,-0.009912514027315189
181,-0.007413285243411005
182,-0.01605214108802666
183,-0.037420378138787735
184,-0.03520091791400981
185,-0.0405165403264478
186,-0.03029167794253651
187,-0.02115058940211234
188,-0.015020255721790998
189,-0.0429419608671151
190,-0.03412207623925345
191,-0.030501248107029033
192,-0.03992606208922633
193,-0.031169856805560725
194,-0.037109855315156315
195,-0.033141299452492
196,-0.020201368279580856
197,-0.03049114340505099
198,-0.04330338665822242
199,-0.06285067418995138
200,-0.07692081840229259
201,-0.06997189597648512
202,-0.07361612058081335
203,-0.0491786673186696
204,-0.053925796517334534
205,-0.07921788907055616
206,-0.058597869026948746
207,-0.06199925613686608
208,-0.06307386366899292
209,-0.057339070983140394
210,-0.06669473319564556
211,-0.03917612980394891
212,-0.046661794681702395
213,-0.07239339598873995
214,-0.055404977400398625
215,-0.08759749843407694
216,-0.08077867365627411
217,-0.07604132449194545
218,-0.08108562564709343
219,-0.07594624086246038
220,-0.09551105300558371
221,-0.09728224202339009
222,-0.10528085174541701
223,-0.08681025221771921
224,-0.0853994110236519
225,-0.0899750969818438
226,-0.08130737335991867
227,-0.08980435402041176
228,-0.08186603806593484
229,-0.1231546921132094
230,-0.09026923958603006
231,-0.08780920435169626
232,-0.0784700070834875
233,-0.0590104061291038
234,-0.054756329673760984
235,-0.07901856764115067
236,-0.07761934653427449
237,-0.07106195496079204
238,-0.07429490154566565
239,-0.08892507946287453
240,-0.06488952135393977
241,-0.06194388402493489
242,-0.0539705966449312
243,-0.04390234599493803
244,-0.0617330830666829
245,-0.05371261448365927
246,-0.06843913999905094
247,-0.07791153452001731
248,-0.08047185779593768
249,-0.0747144362477935
250,-0.06219707616189574
251,-0.07200996200821752
252,-0.06408309130808199
253,-0.05780800859958213
254,-0.05136463710644412
255,-0.07557928139599479
256,-0.07438743863598718
257,-0.08044375087725786
258,-0.08026685574341175
259,-0.06607076834188674
260,-0.05993310812782615
261,-0.07232887490470963
262,-0.08191419543660239
263,-0.07911210316187267
264,-0.08505701724129555
265,-0.09204557750611553
266,-0.11997087656901462
267,-0.11257581127624094
268,-0.10896820979349409
269,-0.12015661944500511
270,-0.12356416180876384
271,-0.10008920402206656
272,-0.09932379725141727
273,-0.09878670283504298
274,-0.1301586154062765
275,-0.1229381676607878
276,-0.12555903676198688
277,-0.1300840817702451
278,-0.15003186048632444
279,-0.11817432063212518
280,-0.10670601565164217
281,-0.10060264342820446
282,-0.07335491711596243
283,-0.036868679708193186
284,-0.036810262606723265
285,-0.021534170824091814
