t,drawdown
0,-0.001186087182980855
1,-0.0009027956735075948
2,-0.0008414106772476337
3,-0.0021662331597720463
4,-0.0011179076776064445
5,-0.0003005808093436979
6,-0.0019295971023270964
7,-0.0003876173326067267
8,-0.0003166813191187723
9,0.0
10,-0.0009484262970741453
11,-0.000907464611745179
12,-0.00260745267956497
13,-0.0012576531828261128
14,-0.0033056884712421297
15,-0.004703453814895897
16,-0.00330611120870683
17,-0.004260172759025682
18,-0.003994178315656405
19,-0.004457496133241534
20,-0.004405716210764465
21,-0.005244133534388462
22,-0.003214765154717081
23,-0.002609327443915177
24,-0.0013704280028500326
25,-0.002041706372070462
26,-0.002288363549198702
27,-0.004977230512254516
28,-0.0047924109523485026
29,-0.006616612436404212
30,-0.008696150375404721
31,-0.00847297892031762
32,-0.005256648289187149
33,-0.0036755195331578117
34,-0.0010434954612439373
35,-0.0008094103496736338
36,-0.001612259766012869
37,-0.00312639767617906
38,-0.003249357136548725
39,-0.004105758468076259
40,-0.003750235979903538
41,-0.0038445364355321754
42,-0.0028588768849160395
43,-0.0007938456702154539
44,-0.004673028225308795
45,-0.005791173876067868
46,-0.009978753670584983
47,-0.009614599053941242
48,-0.010788009901529172
49,-0.012205451017295088
50,-0.013807788467771642
51,-0.011976484395310516
52,-0.012563963404637724
53,-0.014898403108923097
54,-0.013719347669714721
55,-0.012328563317448582
56,-0.009735607098579346
57,-0.009879739987233349
58,-0.008564002814075655
59,-0.0063725979281340495
60,-0.007024090182156217
61,-0.004252383502107215
62,-0.005740586336943743
63,-0.004952272903143151
64,-0.003887116774328625
65,-0.005191833855233807
66,-0.0039391270989472815
67,-0.0022745552662962742
68,-0.0033477193848026054
69,-0.003770614985135534
70,-0.004242237813284588
71,-0.003680753242058632
72,-0.0035459418727280534
73,-0.003229355811665946
74,-0.005199126621309058
75,-0.0043929086955843966
76,-0.005689634135445987
77,-0.007015709116257263
78,-0.009563589492506352
79,-0.006107702469931753
80,-0.007924678275650465
81,-0.01187887217449235
82,-0.010451311660462093
83,-0.011528447034670153
84,-0.011962308712783476
85,-0.013088799650917804
86,-0.014497907054551673
87,-0.01514291394670253
88,-0.012877574053463792
89,-0.010261854305942175
90,-0.014154507536671024
91,-0.014713473533305654
92,-0.015108042613517059
93,-0.01624317343614967
94,-0.01780166603269495
95,-0.01812615552831376
96,-0.018047758342056408
97,-0.018797147548597293
98,-0.015472765626842522
99,-0.013494817505812828
100,-0.013468249964146972
101,-0.015078506270414183
102,-0.01764886958574652
103,-0.018009913311424985
104,-0.01932060541704994
105,-0.0202061802613811
106,-0.02020282502177151
107,-0.021698127122147914
108,-0.020948761983862196
109,-0.022017638867176337
110,-0.02097082738005218
111,-0.021453601560193714
112,-0.020009535691930425
113,-0.01940044318619394
114,-0.0201684133677974
115,-0.021177839019131173
116,-0.021998116368526777
117,-0.020115144873083413
118,-0.018386875823530713
119,-0.018353455148926945
120,-0.018536536163291317
121,-0.0167366519858112
122,-0.014456451871183607
123,-0.012223730595210203
124,-0.01369694577281122
125,-0.01276269916530759
