t,drawdown
0,0.0
1,0.0
2,-0.0062280429643727375
3,-0.008185426505512683
4,0.0
5,-0.009737804534829753
6,0.0
7,-0.009304371216917517
8,0.0
9,-0.0029733272869113536
10,0.0
11,0.0
12,-0.017004451336153692
13,-0.002737894478843761
14,0.0
15,-0.006810472527291611
16,0.0
17,-0.0076724540772977745
18,-0.018375725567326806
19,-0.03537956883636262
20,-0.027098773825845468
21,-0.01458979864528076
22,-0.008807013168683708
23,-0.003281809721287887
24,-0.012892033490918164
25,-0.012305171904760437
26,0.0
27,-0.024581234037298394
28,-0.011748290336889844
29,-0.008233703039274398
30,-0.04050478265370716
31,-0.04394394256393108
32,-0.04606203955647592
33,-0.049510400177399605
34,-0.05546855959355079
35,-0.060944736619225726
36,-0.057507954075595835
37,-0.05652840128983572
38,-0.07247995062834867
39,-0.07961843657961853
40,-0.09011310967134689
41,-0.07827534336151631
42,-0.09513240201902429
43,-0.10142666666817346
44,-0.09174784030000116
45,-0.0830579265967244
46,-0.08336689713735335
47,-0.06963359627437427
48,-0.06566045570495416
49,-0.07077715438104282
50,-0.08168449132967515
51,-0.07870162052107132
52,-0.07759842197077127
53,-0.07098730362214645
54,-0.0804191250678129
55,-0.09083631844322126
56,-0.09347010119796506
57,-0.0784090046096736
58,-0.04859094873611569
59,-0.04233697962633265
60,-0.029701178418285012
61,-0.019442330442763667
62,-0.016776783154928587
63,-0.02711623580715994
64,-0.013897120722541345
65,-0.014870236825489935
66,0.0
67,0.0
68,0.0
69,0.0
70,-0.006549835701042284
71,-0.005188778334146882
72,0.0
73,-0.010783289808603769
74,0.0
75,0.0
76,0.0
77,-0.001659445689068284
78,-0.029929374113388363
79,-0.005467860230592647
80,-0.013902366196460236
81,-0.024998012677757364
82,-0.027506323979610836
83,-0.032591614950300496
84,-0.012653289511264543
85,-0.024214804275136448
86,-0.00945687276476015
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,-0.006398340535128333
94,0.0
95,0.0
96,-0.003747268595413522
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,-0.0013980532845464522
104,0.0
105,-0.010234620030471597
106,-0.01337475257765841
107,-0.019512588264077535
108,-0.010511494663334009
109,-0.003243990404517283
110,-0.0016740330657010194
111,-0.004899370553336779
112,-0.004392585569273577
113,0.0
114,0.0
115,-0.011454939381682294
116,-0.011725316949442677
117,-0.037182077916822376
118,-0.05843913073748208
119,-0.058977997547783434
120,-0.07297497169038081
121,-0.0814557505767437
122,-0.07814108023331157
123,-0.06804000117834719
124,-0.05031675253091583
125,-0.039945583551496244
126,-0.036448278422479885
127,-0.010460826759679631
128,-0.0012798956092074931
129,-0.01384830535357251
130,-0.011794078169149347
131,-0.019719455152056642
132,-0.009380328736521282
133,-0.02071983050103976
134,-0.02591004458878632
135,-0.030502847610259787
136,-0.024297927958924714
137,-0.010237197700750933
138,-0.01608200216980482
139,-0.02702850297945314
140,0.0
141,-0.012715328679237081
142,-0.037274459698420914
143,-0.01206508387072669
144,-0.05028777782659377
145,-0.05045853958164459
146,-0.08480546561494351
147,-0.09508518421787515
148,-0.09170652712979788
149,-0.0877128193030896
150,-0.09049932773451375
151,-0.1068594721324041
152,-0.10181034410000156
153,-0.11526582771726135
154,-0.10197966075889975
155,-0.10542791449458822
156,-0.09119295504666047
157,-0.0964632380003837
158,-0.09560621890875765
159,-0.09142950121250182
160,-0.10272217889400603
161,-0.09175306787311299
162,-0.09344066354701464
163,-0.09746179481154593
164,-0.0994213489140715
165,-0.10466403096882682
166,-0.07786386598612627
167,-0.09655439556115541
168,-0.07005995683154032
169,-0.07888928242656001
170,-0.0670063423897087
171,-0.030113126567807402
172,-0.035315019532890624
173,-0.04485215262608677
174,-0.030465863150593187
175,-0.0038664264931835834
176,0.0
177,0.0
178,0.0
179,-0.0076923381194615725
180,-0.0030550135974141135
181,0.0
182,-0.0025575280448671966
183,-0.0008733687035504811
184,-0.004958280193063658
185,-0.003531341924619902
186,0.0
187,-0.009729899107123297
188,0.0
189,-0.005150880229995325
190,-0.01493574991974056
191,-0.022490970304147373
192,-0.022641464397132882
193,-0.0036556371440976676
194,0.0
195,-0.025659956950334517
196,-0.006696199276054582
197,0.0
198,-0.018550911790745306
199,-0.01386372322700491
200,-0.016413928766290886
201,-0.010550399284326772
202,-0.007634865701200977
203,-0.016028061482799227
204,-0.028456330901123317
205,-0.05484275413266426
206,-0.06242311743286777
207,-0.05987083585785313
208,-0.08086064347363764
209,-0.0635251520704655
210,-0.039786723877675345
211,-0.04266644476569148
212,-0.0370153424513906
213,-0.04956573444798473
214,-0.0510484236955262
215,-0.06170425772101784
216,-0.06487420706522562
217,-0.06740934179654534
218,-0.049159627898634706
219,-0.026526824681494365
220,-0.0062261937262295675
221,0.0
222,-0.008638423106151594
223,0.0
224,-0.016001394992638418
225,-0.010445654455778386
226,-0.011211383797396945
227,0.0
228,-0.017027777214364548
229,-0.010578296892494565
230,0.0
231,-0.030419267691152663
232,-0.03405635106899807
233,-0.016735022287129198
234,-0.006355978633991399
235,-0.01249272503130383
236,-0.0015792521860377162
237,-0.0025843356583250543
238,0.0
239,0.0
240,0.0
241,0.0
242,-0.003784153619543207
243,-0.0047409734005514625
244,-0.007664703007202567
245,-0.025289340694764073
246,-0.027159448268074704
247,-0.009138051391020752
248,-0.0034402185099791094
249,-0.014223358659846697
250,-0.0009984500036909205
251,-0.01883989667250896
252,-0.025970690082258385
253,0.0
254,-0.039796267941995755
255,-0.015892320952897387
256,0.0
257,-0.011709323269241678
258,-0.029341546173476285
259,-0.028937548066957697
260,-0.011120821208499776
261,-0.0016342293854159085
262,-0.03268623302810558
263,-0.038143790694199264
264,-0.032369253682494215
265,-0.017103243530537604
266,-0.006034499334159116
267,-0.02606327967038813
268,-0.020451574838689646
269,-0.00761232252815125
270,-0.012412057587676495
271,-0.00046250348093412885
272,-0.0027448938377991894
273,0.0
274,0.0
275,-0.009083430929326064
276,-0.03491143519737594
277,-0.02861339321491363
278,-0.00477820778372029
279,-0.0027048752087966976
280,-0.00020211286134708129
281,0.0
282,-0.014988470498560558
283,-0.0264292375347851
284,-0.039483349279806235
285,-0.046257897495218026
286,-0.038420109790881396
287,-0.04833665128872833
288,-0.05175859076059397
289,-0.036687618490323204
290,-0.02831491708018008
291,-0.04234209599303995
292,-0.05292209114934521
293,-0.08002459998459843
294,-0.06724473693238764
295,-0.04801079295600652
296,-0.018577796781167555
297,0.0
298,0.0
299,0.0
300,0.0
301,-0.015473305578135643
302,-0.026704641161272358
303,-0.012564940143343195
304,-0.02259011239250308
305,-0.02128255235460441
306,0.0
307,-0.012400946014012537
308,-0.012373711990906422
309,-0.007517601053309564
310,-0.01281601835098134
311,-0.015421611086964382
312,-0.010331797002869902
313,-0.03984032822441941
314,-0.06421496179808261
