t,drawdown
0,-0.00496715633064948
1,-0.022263565992882928
2,-0.02710592962832581
3,-0.02475264229139862
4,-0.029608267646939024
5,-0.01137785353009868
6,-0.019333086611559303
7,-0.03102104840635067
8,-0.04182291501925206
9,-0.04726827991910143
10,-0.05141690565394197
11,-0.061584749301895725
12,-0.06172402939848476
13,-0.0672205616817525
14,-0.07966248174197299
15,-0.07874634140595227
16,-0.056398777228052976
17,-0.07206700830831225
18,-0.07350557134271873
19,-0.09031229170000366
20,-0.07837635957670552
21,-0.08627120692292412
22,-0.07556004733179544
23,-0.06446673214127796
24,-0.05425355231049089
25,-0.07300035442403496
26,-0.056478044292755825
27,-0.039013273396713344
28,-0.01925701498462462
29,-0.015835590070495842
30,-0.023744357983363606
31,-0.00862815900312175
32,0.0
33,-0.00021604055920632081
34,-0.0007101670665330406
35,0.0
36,-0.016556472175035974
37,-0.014411263189496815
38,-0.011382096959977828
39,-0.04064234649984155
40,-0.025814336308263464
41,-0.05070313472350829
42,-0.053396975644052436
43,-0.07676656224863654
44,-0.09176646559628265
45,-0.07873833482339154
46,-0.04408338894343977
47,-0.0209451563622417
48,-0.0005737793480458109
49,0.0
50,0.0
51,0.0
52,-0.0050592874703194735
53,0.0
54,-0.0205632112493479
55,-0.004212172643126011
56,0.0
57,-0.004925500606777433
58,0.0
59,0.0
60,-0.006358122273698141
61,-0.017714634488358416
62,-0.021499775632881524
63,-0.03549859555543844
64,-0.061865990731057585
65,-0.08887294978296845
66,-0.09440692773743442
67,-0.08986716215604207
68,-0.10489639914735516
69,-0.10022572854384781
70,-0.1072913754229814
71,-0.08998616694602846
72,-0.05808906810928249
73,-0.0792410521011997
74,-0.07254543482263254
75,-0.05049832216436234
76,-0.05766449985549926
77,-0.08305562842976089
78,-0.06252468022533386
79,-0.05947177324258157
80,-0.06010110196860152
81,-0.05438064918552654
82,-0.0277671121226144
83,-0.014388841447385503
84,0.0
85,0.0
86,0.0
87,0.0
88,-0.008107105821326899
89,-0.02469525055936206
90,-0.029644774069137236
91,-0.0307165228280325
92,-0.020772369657101497
93,-0.03317319058572776
94,-0.02003227352416892
95,-0.009149021711474359
96,-0.01666932853764158
97,-0.004129517530101157
98,0.0
99,-0.029587394336014206
100,-0.03464971164709951
101,-0.027377523958388994
102,-0.0024571971343432253
103,-0.01726230891998326
104,-0.008764405196407421
105,-0.02366536396236052
106,-0.029439598659520727
107,-0.032146007371236185
108,-0.04476327962902682
109,-0.0429858234821614
110,-0.052427310492482504
111,-0.05628380393721166
112,-0.06462279877809152
113,-0.057678581638210935
114,-0.06544086476870292
115,-0.052787806324378184
116,-0.049454869194172746
117,-0.04717831244058657
118,-0.0592606557883798
119,-0.07433284146375507
120,-0.06146958359884025
121,-0.049540717640096044
122,-0.031205733545039527
123,-0.00839181080091611
