t,drawdown
0,-0.0030768480692989764
1,-0.0034058793454304626
2,-0.0036673413804613197
3,-0.006524742787288318
4,-0.012405094986563614
5,-0.022242652967442655
6,-0.01617779298408739
7,-0.013377672651281203
8,-0.02353016483240178
9,-0.01575219948455997
10,-0.005692327918870088
11,-0.013322397099314931
12,-0.0026827961228997887
13,0.0
14,-0.002351382849633765
15,-0.0053812056510216255
16,-0.01306586975934343
17,-0.012759852574985242
18,-0.009545535848780262
19,-0.01587919533990545
20,-0.015772952408212193
21,-0.008223924562334117
22,-0.039559295699431285
23,-0.027913189242212644
24,-0.03753299733005333
25,-0.055626093838512136
26,-0.04703943255228549
27,-0.034829424633066375
28,-0.016829596161812455
29,0.0
30,0.0
31,-0.0018364362280225421
32,0.0
33,-0.014519820572570286
34,-0.01956131583162779
35,-0.029457587568160415
36,-0.030680767992554148
37,-0.03359732863406506
38,-0.03271143588792813
39,-0.05426867889715492
40,-0.047957730008420074
41,-0.02967412839300687
42,-0.04728164278463587
43,-0.05314332152960688
44,-0.039935536203759225
45,-0.048100036279420166
46,-0.04355102536539579
47,-0.032970575439907224
48,-0.04704734948376943
49,-0.03551541456590879
50,-0.013929556936404741
51,-0.019251302541609894
52,-0.05022358852404962
53,-0.061512529682929196
54,-0.037383156109299986
55,-0.04833731095230909
56,-0.04495161596713915
57,-0.04646052632389841
58,-0.04195471776895898
59,-0.049725181745357894
60,-0.04879151020605865
61,-0.03668672129937811
62,-0.0480500708067636
63,-0.04160851476409544
64,-0.04553707991822631
65,-0.04656854504074448
66,-0.05364570197409957
67,-0.0451696044263421
68,-0.038399215898326844
69,-0.03399976441716135
70,0.0
71,-0.015062603481897363
72,-0.009541809669261325
73,0.0
74,0.0
75,-0.014427942098860447
76,-0.005196847823118245
77,-0.010103771050512078
78,-0.007506405475411371
79,-0.006394884070152873
80,0.0
81,-0.009790655993494712
82,-0.01696553281337998
83,-0.003419069046038281
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,-0.006493386764263587
91,-0.02465786362526623
92,-0.04282443830362903
93,-0.04497496945228574
94,-0.044950338357886865
95,-0.027041972150925075
96,-0.03655003828577641
97,-0.05106142646056433
98,-0.0552971823190469
99,-0.04175859042246921
100,-0.025809798003821882
101,-0.026831650949812325
102,-0.008581761586237802
103,-0.01643189393846145
104,-0.00326289170569527
105,0.0
106,0.0
107,-0.015131691874993858
108,-0.02236860679441277
109,-0.013792189780537312
110,0.0
111,0.0
112,-0.020507850271718864
113,-0.021116555945558724
114,-0.012965968398185534
115,-0.02111664249938916
116,-0.007536017639578452
117,-0.011561993685754501
118,-0.030936279552145174
119,-0.04295309171512318
120,-0.0420722215451399
121,-0.029201666181663533
122,-0.014605910526983457
123,-0.010646225458282643
124,-0.0014344970813384705
125,0.0
126,-0.010878832503137814
127,-0.0025092228878826894
128,-0.011791189584179018
129,-0.01608748260986259
130,-0.018852329918565447
131,-0.008896321963959064
132,-0.004046174304439987
133,-0.020513286913040663
134,-0.030476605619681796
135,-0.02270699776720908
136,-0.026262326357608834
137,-0.03898853357223575
138,-0.05967796037637352
139,-0.06740394059114863
140,-0.07745461899363104
141,-0.04562744929299922
142,-0.02835669620961434
143,-0.030382133378358156
144,-0.03573030724928805
145,-0.033915737376784216
146,-0.035432398508305596
147,-0.04346662141279389
148,-0.05674447567349328
149,-0.056326203838330424
150,-0.027148300114562485
151,-0.014039808691206246
152,-0.020449884061984447
153,-0.0013909629223374242
154,0.0
155,0.0
156,0.0
157,0.0
158,-0.0032131184520270972
159,-0.02207920220136017
160,-0.047985927380618576
161,-0.022935056763712547
162,0.0
163,-0.0013558722154966008
164,0.0
165,-0.0015004266797368215
166,0.0
167,0.0
168,-0.013155493893456827
169,0.0
170,-0.01811093728759594
171,-0.022010228253322217
172,-0.007306954803788734
173,-0.0025070216250036026
174,0.0
175,0.0
176,0.0
177,-0.000672011619859969
178,0.0
179,-0.004018723222686815
180,0.0
181,-0.00673483302775435
182,-0.003236418802392449
183,0.0
184,-0.003990930912361024
185,0.0
186,0.0
187,-0.00035160817950619094
188,0.0
189,0.0
190,-0.00616323829940435
191,0.0
192,0.0
193,-0.02200784908091169
194,-0.04179888201090842
195,-0.06198850171798698
196,-0.05567622084852786
197,-0.05103295297563415
198,-0.06102303583820634
199,-0.047308707087712065
200,-0.05604090706169518
201,-0.07390051931509722
202,-0.06144682756466624
203,-0.07728417755464279
204,-0.06829488420792862
205,-0.07587569559262086
206,-0.07837799592426375
207,-0.07712464082019443
208,-0.06717699100581354
209,-0.05854286057167013
210,-0.05027070951439039
211,-0.041526135678023546
212,-0.05166211043971014
213,-0.05743609181583886
214,-0.044292384243645344
215,-0.05646777903390621
216,-0.062109792170566
217,-0.05723517515876719
218,-0.06650475432323355
219,-0.06973842067696678
220,-0.08346820480404327
221,-0.09313547839639125
222,-0.09381383515303632
223,-0.09363870388258744
224,-0.08658781201472199
225,-0.06189728878074774
226,-0.06579501876402516
227,-0.06126227228373993
228,-0.05882437228540294
229,-0.06661211055500171
230,-0.06701204782687087
231,-0.07924316746118865
232,-0.09077137000220104
233,-0.08396998955829427
234,-0.0709229816771666
235,-0.0637446279789613
236,-0.056401041038761535
237,-0.06570816143028335
238,-0.058411254814563884
239,-0.0582275518176717
240,-0.05009696443792633
241,-0.027992586898137772
242,-0.033684601217649934
243,-0.015626772670729316
244,0.0
245,0.0
246,-0.025706995456317494
247,-0.019280740298005417
248,-0.013267709426068586
249,-0.004621164276884748
250,-0.00640200945709668
251,0.0
252,0.0
253,-0.009927633657985435
254,0.0
255,0.0
256,-0.002160248574827328
257,-0.007739411070496471
258,-0.011262447762406924
259,-0.005378384391936608
260,-0.0009850569041748303
261,0.0
262,0.0
263,-0.00451390278062036
264,-0.005954726017714074
265,0.0
266,0.0
267,-0.008600555070298
268,-0.017493365899200697
269,0.0
270,-0.013427464578707249
271,-0.004843045875086882
272,-0.017086477584870585
273,-0.03007478292067245
274,-0.016544596903844355
275,-0.012098762705669674
276,-0.019946903152736284
277,-0.01239307335212736
278,-0.011035602111766685
279,-0.026641934603781503
280,-0.05091899431468194
281,-0.03632029812100168
282,-0.05142309867025907
283,-0.028406294126217535
284,-0.0321127650692945
285,-0.026564424421472443
286,-0.023558847011674655
287,-0.03312146929774784
288,-0.027272147280545167
289,-0.030589811116236154
290,-0.040369284750358725
291,-0.03302217229966564
292,-0.032303226160646625
293,-0.031098594960493164
294,-0.027844639463436294
295,-0.04382698342513025
296,-0.04379769075098572
297,-0.04067253295902462
298,-0.04542089236069857
299,-0.07437165045828364
300,-0.07212884738919156
301,-0.073491440052459
302,-0.07516300013799104
303,-0.0732895591679883
304,-0.08552021687402989
305,-0.09047107312370173
306,-0.08879772791024576
307,-0.07545162875703804
308,-0.07944149629340447
309,-0.07647217075815882
310,-0.07006961326666694
311,-0.061245276566057716
312,-0.058044335726599505
313,-0.07357973528584527
314,-0.07304304566633824
315,-0.07307821684791382
316,-0.04690029273271301
317,-0.059898297498265474
318,-0.04686961250434962
319,-0.054018582418869365
320,-0.03049784391826149
321,-0.04046375833657456
322,-0.014875360766499979
323,-0.025092798616273893
324,-0.006101750183962973
325,0.0
326,0.0
327,0.0
328,-0.0039679948616933025
329,-0.027720741938657478
330,-0.022177474767282268
331,-0.019213865270717556
332,-0.012076800046534886
333,-0.02079440271749111
334,-0.012977056119599206
335,-0.019916623952835333
336,-0.01821707293488628
337,-0.025190242414932063
