t,drawdown
0,0.0
1,-0.0023921079510583754
2,-0.00038061508371634023
3,-8.626697940505856e-05
4,0.0
5,-0.00419470525472454
6,-0.0032845071400813275
7,0.0
8,-0.0015416610226317573
9,0.0
10,0.0
11,-0.0031896854931293683
12,-3.393112600924564e-05
13,-0.006850197786286039
14,-0.0037323176734705976
15,-0.0030708981877178854
16,0.0
17,-0.0036169363051410386
18,-0.0038093104959587842
19,-0.002790218252138099
20,-0.006099278715925083
21,-0.012915937099868602
22,-0.007301917346508424
23,-0.01102350994851542
24,-0.01503996059845314
25,-0.01907732017092767
26,-0.029013720608602078
27,-0.029986907235125315
28,-0.03022566480533906
29,-0.03359886495428044
30,-0.03395233927106267
31,-0.030843202739860742
32,-0.024614447149836183
33,-0.026597809739289935
34,-0.03271991614514713
35,-0.033592445784794256
36,-0.029172057846198585
37,-0.033033554603913995
38,-0.030873246785204644
39,-0.02340975430768888
40,-0.025858036868126266
41,-0.023637943364882674
42,-0.027794832218471344
43,-0.0316392863465389
44,-0.03516452210240195
45,-0.03170209849203176
46,-0.03645337343317967
47,-0.03300496259248431
48,-0.03554885259241769
49,-0.035105340086609926
50,-0.03630202278091699
51,-0.03908575016810367
52,-0.03941130894395706
53,-0.04189364587458633
54,-0.04104322571076535
55,-0.03460680122590498
56,-0.02935552293798349
57,-0.02074116887145827
58,-0.027969248075873643
59,-0.027483651248783936
60,-0.020925290950861264
61,-0.02952077273760989
62,-0.030618676677421464
63,-0.03615620656492702
64,-0.04396495648672083
65,-0.04557046398063991
66,-0.041479324001271634
67,-0.03404136522015544
68,-0.03261208427497775
69,-0.029027695974552015
70,-0.027465345613008063
71,-0.024985457245258136
72,-0.028029486096954215
73,-0.02276145032981569
74,-0.023032581035208666
75,-0.020666922769482343
76,-0.03003026571634726
77,-0.03153104189056477
78,-0.031045901782496443
79,-0.0325240657792113
80,-0.03268426888539211
81,-0.038129278185055515
82,-0.04594825698303329
83,-0.045249581574706155
84,-0.04660851725238857
85,-0.04764064343425767
86,-0.04990547460025452
87,-0.053562933281038116
88,-0.050887552324956564
89,-0.049286048472594546
90,-0.0460138749611666
91,-0.04051199969698693
92,-0.04458783254959964
93,-0.04121321899222852
94,-0.039330682390286587
95,-0.03863094553800861
96,-0.03116346459689956
97,-0.03072489482877161
98,-0.033362564429922026
99,-0.02681558962111219
100,-0.02287233572467917
101,-0.022375393249630893
102,-0.02490407545829665
103,-0.02225387076426022
104,-0.020915561920166525
105,-0.0196926524097063
106,-0.023359182989308946
107,-0.023845792852950076
108,-0.022233770743520065
109,-0.028024361588598334
110,-0.04230444650183429
111,-0.045935512601466444
112,-0.05299250144005552
113,-0.0568124691935612
114,-0.06697381088581311
115,-0.0728543314385629
116,-0.07381244188819203
117,-0.0815255506532242
118,-0.08617258596402977
119,-0.08932194048396935
120,-0.09516013983556659
121,-0.09395534424389373
122,-0.08830517437209218
123,-0.09514156163493592
124,-0.09387543213117344
125,-0.09808979673605522
126,-0.10291650192974933
127,-0.1064860673102278
128,-0.10721278051899985
129,-0.1055286180228947
130,-0.11009327782864631
131,-0.10612053736426441
132,-0.10863973306783303
133,-0.10984839170842864
134,-0.11463930048492488
135,-0.11959701817609458
136,-0.12008791445603051
137,-0.12029797791709884
138,-0.12257451732056068
139,-0.11760458910436322
140,-0.12040709427406604
141,-0.12230068908314295
142,-0.12512542777692304
143,-0.12333089099900219
144,-0.12762349150377494
145,-0.12531072133873022
146,-0.12714871579146947
147,-0.12387057164183302
148,-0.12429597307838258
149,-0.12809235853219836
150,-0.12614445333505708
151,-0.12443426760980925
152,-0.12422257502241218
153,-0.12102793897263198
154,-0.11727886265055032
155,-0.11346389342915797
156,-0.10952933112713736
157,-0.11524726626356951
158,-0.10599712660618132
159,-0.10386318684597307
160,-0.10088018071310023
161,-0.10502676345851503
162,-0.10330984668825327
163,-0.10559240585889074
164,-0.10310985850870436
165,-0.09948522686029326
166,-0.09291951290315614
167,-0.09329927905032565
168,-0.09104078045454989
169,-0.0880436136449253
170,-0.08213451398627769
171,-0.07885910763057269
172,-0.0759913321574045
173,-0.08537858193643644
174,-0.08321842069208985
175,-0.08107030413100114
176,-0.0763314535768308
177,-0.07673590761279181
178,-0.08239516865290986
179,-0.07641083068731991
180,-0.07780629474119127
181,-0.07579053018804127
182,-0.0743941691469644
183,-0.07364326639049523
184,-0.07120090357705633
185,-0.07340467387493677
186,-0.0761307908433122
187,-0.07529323954330025
188,-0.07600638851707775
189,-0.08202147533975812
190,-0.08408399411753664
191,-0.08726521206373805
192,-0.09150210587900343
193,-0.08873778160198054
194,-0.08491642158988011
195,-0.09015066799066151
196,-0.08941627278901332
197,-0.0879810035166586
198,-0.08371093450922118
199,-0.08095569689532134
200,-0.08009043196829702
201,-0.0767190220173426
202,-0.07608040420209738
203,-0.07322213512226727
204,-0.0687629029434037
205,-0.06588825692950961
206,-0.06406833684699775
207,-0.05687414443429395
208,-0.0535797649082661
209,-0.05262746356799519
210,-0.04822552843650152
211,-0.055788026704631566
212,-0.060118992973183905
213,-0.05992993514495337
214,-0.05933664676625461
215,-0.060766536198186616
216,-0.06267164767779465
217,-0.0629965397588883
218,-0.05877282509066206
219,-0.06413020536207648
220,-0.06234093741238422
221,-0.06488038194153511
222,-0.06820117712057538
223,-0.06653173091571973
224,-0.06969426693590208
225,-0.06383802946958339
226,-0.06239933718605084
227,-0.055778370348602335
228,-0.05493000877378895
229,-0.05883945231451437
230,-0.050850521974882934
231,-0.052199593533848065
232,-0.05410949821946742
233,-0.04994598083959345
234,-0.05757942157432072
235,-0.05779448799836129
236,-0.060816447766189885
237,-0.06569714006728089
238,-0.06782165139113383
239,-0.06360261045005622
240,-0.05579940275263462
241,-0.04570326813863912
242,-0.04908626846553665
243,-0.051492831317677124
244,-0.055089385486007725
245,-0.05039150517725888
246,-0.0449701674128713
247,-0.03718603917297514
248,-0.035088685663329455
249,-0.034167294208049315
250,-0.03515431834867855
251,-0.02599774732303972
252,-0.0248618397200685
253,-0.022960818128646032
254,-0.022422384491396996
255,-0.02536881948961267
256,-0.021817459876771306
257,-0.01725699742014608
258,-0.012948693254445032
259,-0.02179702676068651
260,-0.021846004053102774
261,-0.021060478723002762
262,-0.021508319965556466
263,-0.019760120407247284
264,-0.012106131964201183
265,-0.012253632795915625
266,-0.010428996092738507
267,-0.021839903378928494
268,-0.02203758202820416
269,-0.023454556449534203
270,-0.020738410681435115
271,-0.01438790554252567
272,-0.01804581942427863
273,-0.026798034384533653
274,-0.023793579384947527
275,-0.022406156737582617
276,-0.020637428203738373
277,-0.010148540588494459
278,-0.012079767041622724
279,-0.014101590941602682
280,-0.007777070196000713
281,-0.005486526704452488
282,-0.0014486645958243782
283,-0.0033115819100983934
284,-0.006461460228415095
285,0.0
286,-0.007722135554910192
287,-0.003999342887642032
288,-0.015071304010820352
289,-0.014934161118813405
290,-0.01144855539281886
291,-0.0057667637336557
292,-0.00872694485891301
293,-0.008373657642197108
294,-0.00894025238222984
295,-0.006287282097632851
296,-0.010992486388036515
297,-0.007029763999448324
298,-0.01322548898896636
299,-0.013471061977181287
300,-0.012262548302481413
301,-0.012705025196375064
302,-0.017647106350138664
303,-0.01445981803061902
304,-0.016031291296565553
305,-0.012852071606618054
306,-0.02041464070252863
307,-0.022420177393565055
308,-0.024379274585359267
