t,drawdown
0,0.0
1,0.0
2,-0.008886150080561594
3,-0.03479180378328006
4,-0.02907771547681437
5,-0.009302867550357918
6,-0.012000532176630108
7,-0.03505220094411554
8,-0.033070623229353946
9,-0.02518357522934178
10,-0.014848866995387122
11,-0.009380383144928839
12,-0.01182064447356701
13,-0.019886020764504853
14,-0.015731134961838977
15,-0.04369992246760501
16,-0.06540002207949325
17,-0.0675955995596268
18,-0.0619137472891661
19,-0.06598797471062934
20,-0.07702841799239946
21,-0.09818305414409156
22,-0.09557633464898618
23,-0.09291673975936687
24,-0.10572424043824469
25,-0.11776241812632504
26,-0.12799060658401873
27,-0.14140282074966992
28,-0.1550468789938685
29,-0.16050699064295837
30,-0.15925890374839946
31,-0.16130686780758174
32,-0.15496860256939593
33,-0.15817554029925351
34,-0.16776432837317135
35,-0.19357079338923
36,-0.17353970327835044
37,-0.16927841138686506
38,-0.17614231426191074
39,-0.16443015564227126
40,-0.15622878925130312
41,-0.16785711777549173
42,-0.17711778694701263
43,-0.18036234061998446
44,-0.18251780899621362
45,-0.19344467987116087
46,-0.19431309035426703
47,-0.19685255916840327
48,-0.2044991365385519
49,-0.20429354223301543
50,-0.21261872334354093
51,-0.22261968988489989
52,-0.2098139485571039
53,-0.22040764270534074
54,-0.226091004207556
55,-0.22069072234710785
56,-0.22379613513808105
57,-0.2167766973179166
58,-0.21363563052018486
59,-0.21087683524389478
60,-0.23476403111764443
61,-0.2448827886478231
62,-0.23289076231868655
63,-0.23197004734506177
64,-0.23303829993181768
65,-0.2190241640592433
66,-0.2137013444323833
67,-0.22258166795196666
68,-0.21646565397728057
69,-0.20255071002768943
70,-0.20843651961206955
71,-0.21772991768258154
72,-0.20615966111324358
73,-0.2026853299937179
74,-0.20789162952302276
75,-0.22208084134846418
76,-0.2219930791814485
77,-0.22711101320530847
78,-0.22332657073503948
79,-0.21810512463415366
80,-0.21948922628776568
81,-0.23982617302793563
82,-0.2482369031453585
83,-0.2533431581314154
84,-0.24066959787319187
85,-0.2544615023601866
86,-0.25964707347604965
87,-0.2716409128372872
88,-0.2762197740752339
89,-0.2723547733450763
90,-0.27662867899565546
91,-0.26537881370228333
92,-0.25761926369484767
93,-0.26576038724234663
94,-0.2557902405157726
95,-0.2557357364274039
96,-0.26365026415333226
97,-0.2807038935523468
98,-0.2795455836707703
99,-0.290707437833729
100,-0.29937140132879414
101,-0.3038976863645392
102,-0.3044443530907881
103,-0.30062243825223856
104,-0.30001343732218466
105,-0.3206062867510592
106,-0.3277405363062007
107,-0.3276335460118852
108,-0.3091903395423764
109,-0.29059990448983497
110,-0.29785511134253884
111,-0.3035153270954837
112,-0.2893120218027141
113,-0.2857901050257886
114,-0.29177277596144535
115,-0.2918136440271504
116,-0.2870987519545324
117,-0.2700548677788034
118,-0.26023369393855333
119,-0.25320233790344504
120,-0.2641543675753858
121,-0.25400378941642165
122,-0.250242867217765
123,-0.26837396763624766
124,-0.25936908051306795
125,-0.26904763122711794
126,-0.2616473423543315
127,-0.2712626066008502
128,-0.27172857984307675
129,-0.26530822474330185
130,-0.24076317485881282
131,-0.24112734559843418
132,-0.2445307074696328
133,-0.23684174383159906
134,-0.25020422363484585
135,-0.24636495924768176
136,-0.24423254321911636
137,-0.2513134014940991
138,-0.25697937568651374
139,-0.261719589804855
140,-0.26971904897813104
141,-0.2580567341625376
142,-0.2507644989586981
143,-0.24235180871168105
144,-0.25223267107997205
145,-0.24722387677618451
146,-0.2438979269369408
147,-0.24035989402240954
148,-0.24570738487791988
149,-0.24050244824844702
150,-0.24992021173144152
151,-0.25384382964440466
152,-0.2504624167710455
153,-0.24766836462515096
154,-0.2545941993974643
155,-0.269605197328886
156,-0.2784050685860724
157,-0.288624017705692
158,-0.2798981792935967
159,-0.2769769026861013
160,-0.27065307512065806
161,-0.26562309973337306
162,-0.26362742564957475
163,-0.27114443563135704
164,-0.26163522310380527
165,-0.282265844604184
166,-0.2768810884849624
167,-0.26765003953129873
168,-0.2923485287413323
169,-0.3028530181012441
170,-0.31318655890652314
171,-0.31480854494650634
172,-0.3099732510828438
173,-0.31169216694224633
174,-0.30045337851185216
175,-0.3046813263884469
176,-0.3006355976420191
177,-0.2903435858804413
178,-0.2888800586670961
179,-0.29683107535023334
180,-0.3034967098341369
181,-0.3032519115071308
182,-0.32821766628266835
183,-0.3292966420655741
184,-0.322859560648564
185,-0.32270798597261274
186,-0.3171895929043572
187,-0.31099034029835015
188,-0.30662188091230813
189,-0.29408199002703506
190,-0.3070942014002108
191,-0.3066107537980204
192,-0.3117492908672589
193,-0.3194128608178375
194,-0.3188032623993823
195,-0.32546666707280947
196,-0.3091520502309757
197,-0.29240545536398754
198,-0.29844795899739074
199,-0.2993266734907968
200,-0.3094427695369849
201,-0.31711523644659667
202,-0.3311983095719049
203,-0.3370072680293422
204,-0.3246839893994583
205,-0.32812651650085056
206,-0.3234944378776684
207,-0.32637132991686346
208,-0.330424788237335
209,-0.33004979128210177
210,-0.3306352801806276
211,-0.3349057868019809
212,-0.32427940906624764
213,-0.31487062537977295
214,-0.3125802720303694
215,-0.30183476838554324
216,-0.2891589808935999
217,-0.2889978733658165
218,-0.2914797956091949
219,-0.2825823829289136
220,-0.270819302948232
221,-0.26094063550551927
222,-0.26482186375181327
223,-0.2735094076029795
224,-0.2858832914670363
225,-0.30318071128255486
226,-0.291519880322748
227,-0.2953628288989686
228,-0.29711037955364006
229,-0.29420800302473316
230,-0.293390785364141
231,-0.2809068968373214
232,-0.2814944508014806
233,-0.2884695069552341
234,-0.2760006168038833
235,-0.2679958281689441
236,-0.26083381148320406
237,-0.26302970044954344
238,-0.25998499182702484
239,-0.2483555358671682
240,-0.24498026249590898
241,-0.2258165299466791
242,-0.20046241949873533
243,-0.20156175463136117
244,-0.18118880476723065
245,-0.1806573552325178
246,-0.1987418341805709
247,-0.1998860192080515
248,-0.19220989259317356
249,-0.19061397036468408
250,-0.18102268543301803
251,-0.15573292256916826
252,-0.15864680686210075
253,-0.16860526917858187
254,-0.16223057422003206
255,-0.15570462308675304
256,-0.15608361724679232
257,-0.12482443846776003
258,-0.10753733530286191
259,-0.1061485320581701
260,-0.08401408847444525
261,-0.08200088786438708
262,-0.07644696563102804
263,-0.09429192526049757
264,-0.10120716647825967
265,-0.07803988721016519
266,-0.05651658612214627
267,-0.04878940611795357
268,-0.038589546240478834
269,-0.015982887481329144
270,-0.034771936559394256
271,-0.03742126274465518
272,-0.013961902206112264
273,-0.00664084023681788
274,-0.012712240565663557
275,0.0
276,-0.003203572946188671
277,-0.0028781981019200265
278,0.0
279,-0.0189049527109163
280,-0.008175816002873204
281,-0.011087174720610493
282,-0.0071243969162543275
283,-0.006611238146768783
284,-0.010647670835001177
285,-0.003229391568986495
286,-0.01297659819075514
287,-0.005669589199135294
288,0.0
