t,drawdown
0,0.0
1,0.0
2,-0.013171434806958593
3,-0.01141685661115388
4,-0.03392329307959352
5,-0.034269297736149285
6,-0.011383910756612714
7,0.0
8,-0.018149459723742045
9,-0.012440234493617752
10,-0.012845348681743585
11,-0.007602517164052247
12,0.0
13,0.0
14,-0.0092244883339756
15,0.0
16,-0.01225284201992749
17,-0.01574211116637858
18,-0.017085770049270033
19,-0.04265633065777841
20,-0.04251981509417113
21,-0.043808479967407665
22,-0.03356353713893023
23,-0.034432624151588875
24,-0.02652989214857404
25,-0.03150395902063363
26,-0.01878782723313621
27,0.0
28,-0.01109570115696934
29,-0.0036784330629960893
30,0.0
31,-0.002901660757605118
32,-0.0026457752305326654
33,0.0
34,-0.03432593395421213
35,-0.0223529423926494
36,-0.046887749157009884
37,-0.04845577872333873
38,-0.01969625586597412
39,-0.01502462524416115
40,-0.008724932997582813
41,-0.002546432838226753
42,-0.015880272323496092
43,-0.009587170659856481
44,0.0
45,-0.014826849803874054
46,-0.018418996167684276
47,-0.01815507179063991
48,-0.028169034673659943
49,-0.031370413342315606
50,-0.02141223933436487
51,-0.027217487941671115
52,-0.0404496734260168
53,-0.042009650166785595
54,-0.04572934711772414
55,-0.02886159886558115
56,-0.004447991321141598
57,-0.012074974070821365
58,-0.009186556792972866
59,0.0
60,0.0
61,-0.001420896401431393
62,0.0
63,0.0
64,-0.0036465400027158035
65,-0.002494762141796003
66,0.0
67,0.0
68,-0.008752893119280403
69,-0.025359217993776828
70,-0.025035842723835966
71,-0.03597593838222857
72,-0.044630618401341526
73,-0.05838390355603429
74,-0.0655076005762838
75,-0.08980155174980853
76,-0.09557804284773364
77,-0.10106345701210773
78,-0.1063935171056285
79,-0.0974546568280592
80,-0.09173015706676091
81,-0.09344139988450895
82,-0.11155232338200283
83,-0.10219674956355995
84,-0.11719239309411533
85,-0.10107623774151064
86,-0.09005953350033025
87,-0.09836633019141339
88,-0.08584840012187456
89,-0.07953032950982442
90,-0.10387916807038189
91,-0.11762911706679391
92,-0.11147883757243915
93,-0.12900044100062713
94,-0.13990644514799033
95,-0.16101504599902983
96,-0.1552030285717877
97,-0.15375919569414664
98,-0.14109030589875005
99,-0.13305294774549525
100,-0.11824353664398424
101,-0.11612448853001722
102,-0.1258217248321486
103,-0.13067677236370312
104,-0.1295318701403244
105,-0.11530676235495807
106,-0.11349788487328272
107,-0.11275821425104327
108,-0.12266503316444366
109,-0.13194722223076194
110,-0.14002120388018124
111,-0.14463877407639592
112,-0.13600534647649298
113,-0.13433029572560173
114,-0.13460376651461248
115,-0.11950138120181042
116,-0.12918783144026713
117,-0.13290127380752392
118,-0.13600232338331575
119,-0.15352380704957158
120,-0.14405284480570968
121,-0.14237189747059487
122,-0.12142278381426141
123,-0.11695214797588982
124,-0.11137068111791093
125,-0.13409209023388358
126,-0.14785264051767733
127,-0.13904779525236965
128,-0.13026270970255838
129,-0.12251140745342681
130,-0.1320277688712067
131,-0.11743848965033954
132,-0.10626987158519041
133,-0.08733611487972681
134,-0.08765408256481699
135,-0.07662874446709667
136,-0.06108439481058614
137,-0.043406831889788555
138,-0.03436816009537058
139,-0.030169361508148973
140,-0.023205012875659792
141,-0.013789028396252068
142,-0.002869053073152994
143,-0.009313076100333273
144,-0.010817633020705375
145,-0.007985918010123827
146,-0.026060795705022066
147,-0.014927785475012612
148,-0.01783379427683507
149,-0.022856304718836595
150,-0.017222629223382135
151,-0.00926110648504297
152,0.0
153,0.0
154,-0.0005420442962682515
155,-0.017086551407078376
156,-0.018511657485188238
157,-0.030646176849608575
158,-0.01898910810544041
159,-0.03963383166708789
160,-0.03082853051519907
161,-0.040065053408219864
162,-0.02725349108149111
163,-0.02941766704692883
164,-0.042484857981880064
165,-0.026214040225787327
166,-0.026381027992825268
167,-0.03199016202029503
168,-0.03755815273958418
169,-0.03350609496347268
170,-0.03379638075672986
171,-0.028853302176914508
172,-0.02534857300942972
173,-0.013175940898807803
174,-0.03483036496554481
175,-0.023239764658186224
176,-0.04701434949041361
177,-0.06457771306528026
178,-0.05415012861832924
179,-0.08811699144364593
180,-0.06898480513274541
181,-0.05706999086959019
182,-0.057140920280920104
183,-0.0586900791615943
184,-0.05612722938317505
185,-0.047952357570251736
186,-0.03949438639653313
187,-0.027995445652128748
188,-0.0335086194403178
189,-0.04099755340899114
190,-0.0287010243085164
191,-0.029879058548725745
192,-0.010979753387547975
193,-0.016815245531330403
194,-0.020155903042335055
195,-0.03241241562378905
196,-0.024992775653111088
197,-0.041688856112702455
198,-0.04328766582389665
199,-0.016848534482452937
200,-0.003054162745412814
201,-0.009888537583128465
202,0.0
203,-0.0011727168432384971
204,0.0
205,-0.009262829986956822
206,-0.039035457703675114
207,-0.0216984364012055
208,-0.0012264825315042582
209,0.0
210,0.0
211,-0.005633057176847589
212,-0.007488313534174562
213,-0.0157881659503758
214,-0.023278200321187326
215,-0.027037135181448013
216,-0.041305255122388584
217,0.0
218,0.0
219,0.0
220,-0.004968191961760571
221,-0.013794793795317228
222,-0.024002197684125814
223,-0.029146406881809583
224,-0.006156253214124052
225,-0.0305010789520872
226,-0.03561347847171825
227,-0.056415684448689496
228,-0.0738045345939542
229,-0.05593366842855829
230,-0.06717235449922909
231,-0.04817943551346149
232,-0.04202516005520873
233,-0.022186439371340017
234,-0.031510476406478305
235,-0.049158277583304155
236,-0.044452530323318085
237,-0.03842160189543542
238,-0.011470153309745545
239,-0.029284301270480984
240,-0.03881962130935368
241,-0.05460084716663072
242,-0.06972629636871375
243,-0.0699027682070591
244,-0.07494368394180417
245,-0.059029694496189555
246,-0.06010656022061067
247,-0.04218507042214148
248,-0.07193235362615324
249,-0.06811536153501163
250,-0.06389112942486519
251,-0.06899937011224189
252,-0.07318026212987727
253,-0.06076879644147182
254,-0.03834798238635373
255,-0.04372516647092439
256,-0.04007663055017019
257,-0.0327038004168112
258,-0.035905637674925495
259,-0.05388655228259476
260,-0.042516068127685824
261,-0.03341549097958274
262,-0.00403011506944051
263,-0.018828246702316975
264,-0.040144585185303616
265,-0.05321159960939248
266,-0.04157056180167129
267,-0.04191406229707306
268,-0.04915608771869995
269,-0.05647663967377603
270,-0.04918062554041469
271,-0.053007936049381255
272,-0.058250867178056165
273,-0.05062882222817289
274,-0.06202530951514296
275,-0.06276811793903458
276,-0.07342401928500952
277,-0.10288435095143544
278,-0.10385285815738454
279,-0.09427309428156794
280,-0.08418749520883517
281,-0.09517579093813111
282,-0.09529129510300505
283,-0.09631421039078503
284,-0.09452710710628409
285,-0.08462468159422876
286,-0.08069181975956574
287,-0.07234397473701903
288,-0.05045679907110878
289,-0.06821844318391668
290,-0.060901990294074726
291,-0.05878093255416594
292,-0.051868670514426896
293,-0.04209914965866757
294,-0.05725226503155789
295,-0.07184954584596748
296,-0.06865263256981313
297,-0.07515640567898763
