t,drawdown
0,-0.021896650012435792
1,-0.029200643464519782
2,-0.011648935579979924
3,-0.03872532413565011
4,-0.016461932153403858
5,-0.001997556398456557
6,0.0
7,-0.0005685566198159187
8,0.0
9,-0.010965484188493635
10,-0.0045059261455230315
11,0.0
12,-0.0012512890101926688
13,0.0
14,0.0
15,0.0
16,-0.027658178454392446
17,-0.028038647718767185
18,0.0
19,0.0
20,0.0
21,0.0
22,-0.007988799906900934
23,0.0
24,-0.00794789721705691
25,-0.004691581259170019
26,0.0
27,0.0
28,0.0
29,0.0
30,-0.00778711824808509
31,0.0
32,-0.034248262952028985
33,-0.02289247110013104
34,-0.019127467597806813
35,-0.01104824239121982
36,-0.019409396411114943
37,-0.049297664765400095
38,-0.0435592803519832
39,-0.054020019970742905
40,-0.04553945978878815
41,-0.06386434586622047
42,-0.06348595459231432
43,-0.055171598697319246
44,-0.03621727704055777
45,-0.031183079575889616
46,-0.015736980401547918
47,-0.02317505575193146
48,0.0
49,-0.018547169246740602
50,-0.015904492344706145
51,-0.012761441740278268
52,-0.04447230849747974
53,-0.08609577101051646
54,-0.08893345532539498
55,-0.09387233472007428
56,-0.07443481601120339
57,-0.05372779975177877
58,-0.05682458627129261
59,-0.06010459969093718
60,-0.044449726322073446
61,-0.056127728288347445
62,-0.04810936489161011
63,-0.04352291627040927
64,-0.03738718843390998
65,-0.028271455504651932
66,-0.041004170535472895
67,-0.03399708989715999
68,-0.056494064327535676
69,-0.04668261769256954
70,-0.047469678503520574
71,-0.04704250666845966
72,-0.0593542160563747
73,-0.05449667367545841
74,-0.0606565283545597
75,-0.034136181483864325
76,-0.03678867589917201
77,-0.02823159651650564
78,-0.04117667518216794
79,-0.023217731355681726
80,-0.02040056212770358
81,-0.019777246496442524
82,-0.006792424812090525
83,0.0
84,0.0
85,0.0
86,-0.008032077218074085
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,-0.0034578696378321228
95,0.0
96,-0.016751348322511128
97,-0.015046675604747928
98,-0.05465347058853254
99,-0.057150929230973646
100,-0.039766616134955024
101,-0.05062202360923318
102,-0.06979370590177192
103,-0.0843224421733485
104,-0.08658461097362846
105,-0.0701071025976785
106,-0.06711119923935549
107,-0.045185426353825164
108,-0.039068314525144365
109,-0.026825663928247367
110,-0.015384893345003925
111,-0.015264061268079443
112,-0.04294889605819652
113,-0.0413022704755861
114,-0.03927351461182238
115,-0.06442292590436993
116,-0.04558472949410064
117,-0.045576040379726845
118,-0.03468500205905223
119,-0.038937293617470226
120,-0.04081441196881741
121,-0.02555155046792912
122,-0.03021035968314334
123,-0.032187967520281635
124,-0.037979318105407
125,-0.035752184865618486
126,-0.03522854214961302
127,-0.03943263903648353
128,-0.040323837324752754
129,-0.041972282772451575
130,-0.03490502704455378
131,-0.05904170122435681
132,-0.0517003667990793
133,-0.04058025831486889
134,-0.040198788599547286
135,-0.022955984560508402
136,-0.020037240329522255
137,-0.014722977448034635
138,-0.025227927505043768
139,-0.04086907476597601
140,-0.04211860045138194
141,-0.06757275106914162
142,-0.057863078129262724
143,-0.05147762708967363
144,-0.06273608255549523
145,-0.08279387844014141
146,-0.06683879022507033
147,-0.08177450004938136
148,-0.0635965562822467
149,-0.0475984880208743
150,-0.028744799694417567
151,-0.04547065644444159
152,-0.05483158195957305
153,-0.07272355491615001
154,-0.07858117902597106
155,-0.061471689162261756
156,-0.0767440123519888
157,-0.09180680835801991
158,-0.07304283649387633
159,-0.07916320032588653
160,-0.09623846943545289
161,-0.11289004812089687
162,-0.1064649837051641
163,-0.09659043485915597
164,-0.09565495002858748
165,-0.0995155959422116
166,-0.10760445735409185
167,-0.11682116304666379
168,-0.11747968883286064
169,-0.1250758262722006
170,-0.14624794879354808
171,-0.15829989842602676
172,-0.13471452597738576
173,-0.1344104484904013
174,-0.10996595250660635
175,-0.09350055211392616
176,-0.07601082214735566
177,-0.07465260419448205
178,-0.0784655227394484
179,-0.09687926974505245
180,-0.11585865945507023
181,-0.11519291148123179
182,-0.12040140222508966
183,-0.11245863768415076
184,-0.1160362785825595
185,-0.10985743975744644
186,-0.1095728201999494
187,-0.10439976353389346
188,-0.09718522990993761
189,-0.08887633008696882
190,-0.08457158754088123
191,-0.06786943281987312
192,-0.04475812466009765
193,-0.050780175969233676
194,-0.022700355050979004
195,-0.015186212529067822
196,-0.023962539206492273
197,-0.03584884420414458
198,-0.03149522205283628
199,-0.04756236259495117
200,-0.05202463003944835
201,-0.059449585447087006
202,-0.07780461841142883
203,-0.09181784172604845
204,-0.08890779993589604
205,-0.09401336174332275
206,-0.0989571523478664
207,-0.09444132948719453
208,-0.1088084042415024
209,-0.11445315125645428
210,-0.11254630503863872
211,-0.10641205031239354
212,-0.09439519766593951
213,-0.12198149216775533
214,-0.10533553321205325
215,-0.1132789154004461
216,-0.14112904260806536
217,-0.1356933957053137
218,-0.13298041364471114
219,-0.13922004791829934
220,-0.14350552564976093
221,-0.16047835384555542
222,-0.1699979523514722
223,-0.16138755245514103
224,-0.14035414742417673
225,-0.13946081477868466
226,-0.14569316326441883
227,-0.13577881656870516
228,-0.14867464019644538
229,-0.1376076943009471
230,-0.13433443442838322
231,-0.1315043883002056
232,-0.12650452995933537
233,-0.13097687426971238
234,-0.12606812753013208
235,-0.13047893936603072
236,-0.13115282349052226
237,-0.14018965331078026
238,-0.15339197859113707
239,-0.14638854867695528
240,-0.14382513480978587
241,-0.1665095677220344
242,-0.14122815806567524
243,-0.12253667053198991
244,-0.14124471769725433
245,-0.14763932539295377
246,-0.14206954665849425
247,-0.1206943560225443
248,-0.11884906314573995
249,-0.13817786572919433
250,-0.13310420332181516
251,-0.12373357560713372
252,-0.1112585291320215
253,-0.12300559021806545
254,-0.1374702364375997
255,-0.11916293119195343
256,-0.10334656984097179
257,-0.08740559982657004
258,-0.10145765612667101
259,-0.10116863253501474
260,-0.09241543610107827
261,-0.0711954057685773
262,-0.08626716271185697
263,-0.08848937020645298
264,-0.06378983236464375
265,-0.06300532285583837
266,-0.05895410973585402
267,-0.05223012051069065
268,-0.05597313734822784
269,-0.05946132450982933
270,-0.05188068376187027
271,-0.04176455958791048
272,-0.05557823665323558
273,-0.05273089876984027
274,-0.06028373071305748
275,-0.077462036796903
276,-0.0954718080340029
277,-0.11315842990790526
278,-0.09541101579914235
279,-0.10010944980419467
280,-0.11542002253746453
281,-0.13904964648410378
