t,drawdown
0,0.0
1,-0.0069364620458221005
2,0.0
3,-0.006070344364115798
4,-0.005914143667796301
5,-0.02622600014976917
6,-0.025642027046649307
7,-0.032867236485234264
8,-0.016980602462822514
9,-0.01807658311901217
10,-0.03793741979775722
11,-0.006470076615738174
12,0.0
13,0.0
14,-0.005860547226787194
15,-0.01917269096882479
16,-0.03257089047052841
17,-0.03706884857442261
18,-0.021894459902803032
19,-0.02874982690350525
20,-0.035828044052359176
21,0.0
22,0.0
23,0.0
24,-0.011579812237913267
25,-0.023914260096633444
26,-0.021557307132957115
27,-0.008791888551156313
28,-0.013822943318182457
29,0.0
30,0.0
31,0.0
32,-0.005273207120486956
33,0.0
34,0.0
35,0.0
36,-0.014618532114986427
37,-0.03282683500631112
38,-0.05865158628980549
39,-0.06216357965172492
40,-0.07542352076132552
41,-0.0697595809304401
42,-0.08112273594352426
43,-0.09731656219752816
44,-0.11778438935732949
45,-0.1259875958180281
46,-0.10792147773577032
47,-0.11226092872940185
48,-0.1092375814338401
49,-0.10120964588125403
50,-0.09852156458336825
51,-0.08517129488120057
52,-0.08355210014518466
53,-0.09292990731504214
54,-0.10701209634889963
55,-0.10850631887635809
56,-0.11503357160491601
57,-0.1201038404298661
58,-0.1274383722426361
59,-0.13905856848458498
60,-0.15561238376461628
61,-0.1529288945520617
62,-0.15102848928939816
63,-0.16668248816938258
64,-0.15106807404945044
65,-0.15108606096845945
66,-0.15492756198480284
67,-0.16688661134744032
68,-0.17362831797800093
69,-0.17404741956899672
70,-0.18769720047264604
71,-0.17332718035158978
72,-0.1564991386876624
73,-0.15237750592037524
74,-0.1548767603373693
75,-0.1730358931281747
76,-0.18772598540965357
77,-0.18526298545807396
78,-0.17719399939309655
79,-0.16575650467747938
80,-0.15006141885336766
81,-0.14157184471247053
82,-0.1309689288511835
83,-0.11298533902333663
84,-0.10662676717378616
85,-0.08871717087107811
86,-0.09846662691846342
87,-0.08326259380900491
88,-0.08808935303511045
89,-0.07499220417837915
90,-0.08579637243593141
91,-0.08487144603234464
92,-0.07479971358286241
93,-0.07925017991520544
94,-0.08047466285215144
95,-0.06885522208134376
96,-0.06194045505142365
97,-0.07744905525728085
98,-0.09771791135197605
99,-0.12433344939907276
100,-0.11852126367170712
101,-0.12227386471405843
102,-0.12272594287507321
103,-0.13523351066682254
104,-0.13631793489018784
105,-0.12178431344169804
106,-0.10735769525581207
107,-0.1043950101063974
108,-0.09642938020238434
109,-0.09342935221421278
110,-0.10257346901667608
111,-0.11084366311712968
112,-0.12472402249551573
113,-0.13835805942687707
114,-0.14873802802773217
115,-0.14823498086861375
116,-0.1516355479717686
117,-0.16667859323867973
118,-0.13655460319333157
119,-0.11871207984071774
120,-0.13647381427845184
121,-0.1375355704415232
122,-0.12575959316436935
123,-0.10731712494989043
124,-0.08430372544140896
125,-0.06742713633173769
126,-0.05629444355779856
127,-0.06040630950098913
128,-0.06385405124004873
129,-0.0716486920335937
130,-0.07233642632488257
131,-0.05626797817964546
132,-0.0707793057310846
133,-0.06709673727605858
134,-0.06376204259835871
135,-0.05447080879656885
136,-0.042062758417078516
137,-0.04207544754807124
138,-0.03972911094223386
139,-0.031322573335536674
140,-0.050235213458254546
141,-0.04010111210921019
142,-0.026615648265318037
143,-0.0475857508395402
144,-0.06443600470432786
145,-0.04915499232357534
146,-0.047058688040400476
147,-0.05445297986391584
148,-0.044400866145872464
149,-0.052465368279625
150,-0.06756302320831076
151,-0.04903427379085845
152,-0.03055773952350338
153,-0.027817815580521765
154,-0.027357076770950117
155,-0.04133805750817443
156,-0.019557576574829594
157,-0.03574812669345673
158,-0.02445772578419403
159,0.0
160,-0.02862571843805284
161,-0.03487104656796225
162,-0.011052325228964155
163,-0.03334952716204964
164,-0.04608650227919209
165,-0.061614297629293824
166,-0.07573838261230725
167,-0.094338645828409
168,-0.07457455080795927
169,-0.07517108448525178
170,-0.07259333675139945
171,-0.06715941971238737
172,-0.06634181679323936
173,-0.08096597079465373
174,-0.08179658161733683
175,-0.08094280687459954
176,-0.0994024414934519
177,-0.09873682540366802
178,-0.09082644937613937
179,-0.09707898651987379
180,-0.11171020564233647
181,-0.14219936505562114
182,-0.13598966235019938
183,-0.12446428234433038
184,-0.11143002529188784
185,-0.09919150724877979
186,-0.09436550722375503
187,-0.10541015944522236
188,-0.11925194588041454
189,-0.10681413577782317
190,-0.09906687936155234
191,-0.10573643873880711
192,-0.11159922079517737
193,-0.10967261721204968
194,-0.07976243227132929
195,-0.07683775580794361
196,-0.06655736506716903
197,-0.059585091182682626
198,-0.0722199572722434
199,-0.04449492802435673
200,-0.04847198344912429
201,-0.05196189451049138
202,-0.05954216182424554
203,-0.07218294904948297
204,-0.07839587841198548
205,-0.07510732441136303
206,-0.08636273179787812
207,-0.12665316593254194
208,-0.12912617034774354
209,-0.12683105990164423
210,-0.13127651421356412
211,-0.11235978467330443
212,-0.12947698663035323
213,-0.11640399149180569
214,-0.10619494796876405
215,-0.10612907234953384
216,-0.1169474768723272
217,-0.13860958999176576
218,-0.1430608372336336
219,-0.15762141182323564
220,-0.15145647870470724
221,-0.14219588412014605
222,-0.144233640620118
223,-0.13783991285759245
224,-0.14412458639303294
225,-0.14612097988826211
226,-0.14542347914002185
227,-0.1341555871128869
228,-0.1255746410702162
229,-0.13260007605644886
230,-0.12562596122021985
231,-0.13754846590028402
232,-0.11351675967800268
233,-0.1047096495744273
234,-0.10077650772508406
235,-0.10745311608077468
236,-0.1345178049792175
237,-0.1078178978827582
238,-0.10918114359866893
239,-0.11290591521365068
240,-0.11101391682989636
241,-0.10403776340596227
242,-0.09839934966938524
243,-0.1136555603166407
244,-0.114171681623227
245,-0.09363930771391016
246,-0.09265808234362827
247,-0.08666799083488952
248,-0.09553412660657534
249,-0.08973087723120032
250,-0.09265704535808517
251,-0.09184106856743035
252,-0.07916225528056042
253,-0.07637283374685733
254,-0.07568941994349798
255,-0.08189570285210879
256,-0.07820125772323228
257,-0.0930222996587936
258,-0.08945327867714992
259,-0.10426750385872952
260,-0.11375260897378225
261,-0.12263443144098107
262,-0.10470092570396505
263,-0.13716173452047753
264,-0.13508796392154898
265,-0.13122126821753777
266,-0.13773245197926454
267,-0.14862382598265655
268,-0.1464869238844957
269,-0.1632841025491254
270,-0.14564715781700444
271,-0.1503996098923316
272,-0.1672754977231552
273,-0.1530081232499002
274,-0.15105736672872017
275,-0.141621346680602
