t,drawdown
0,-0.022975101049223956
1,-0.042672532542022634
2,-0.015859319379854964
3,-0.009461974375449267
4,-0.012183365131058443
5,-0.022868957256443112
6,-0.027305338650777222
7,-0.02442252859420857
8,-0.02420768121486394
9,-0.009586644698620916
10,0.0
11,-0.0001610955686487392
12,0.0
13,0.0
14,-0.004527060277077721
15,-0.0038988152224668227
16,-0.006509346359018897
17,-0.0058918140943873265
18,0.0
19,0.0
20,0.0
21,-0.005385409661192719
22,-0.006217048229890443
23,-0.012184100426747668
24,0.0
25,-0.00021494791510690003
26,0.0
27,-0.006495620994313556
28,-0.02968775058686457
29,-0.04129900683266441
30,-0.041185083688437096
31,-0.036558112582106395
32,-0.05334906719427701
33,-0.03324398094263614
34,-0.04295342584634665
35,-0.05382103787087511
36,-0.05550554081365966
37,-0.055990911221345585
38,-0.04925316755374354
39,-0.04825022740758811
40,-0.014780144182609645
41,-0.0027831377766294185
42,0.0
43,0.0
44,-0.0022393879638523684
45,-0.003946900048787283
46,-0.023180292573270256
47,-0.013650505606349839
48,-0.03794558601942033
49,-0.034387970428974235
50,-0.0446190832472525
51,-0.026209293130672218
52,-0.02271179533899559
53,-0.028007375909457788
54,-0.03897121686623839
55,-0.042418402319365445
56,-0.010628531105767558
57,-0.014492754243687567
58,-0.010427284693219852
59,-0.01365227240913558
60,-0.010135775688246751
61,-0.0037402593692527075
62,-0.007476856889031103
63,0.0
64,0.0
65,0.0
66,-0.003918862262924261
67,0.0
68,0.0
69,-0.0008828928456755536
70,0.0
71,0.0
72,-0.006272761528118842
73,-0.0021764031225686153
74,-0.003380217381303674
75,-0.008958181623442862
76,0.0
77,-0.006085295644230215
78,-0.011879643967415698
79,-0.023097953784232295
80,-0.05254238659338284
81,-0.055841371985612565
82,-0.058979526225164114
83,-0.06603794718023781
84,-0.07809301553606929
85,-0.11494340894184896
86,-0.10897837635974106
87,-0.11065570859729978
88,-0.10401058969549004
89,-0.11862734669876851
90,-0.11039561136870957
91,-0.13175243080417387
92,-0.12938605505999212
93,-0.12825514089040446
94,-0.1279675527826276
95,-0.14620586411843794
96,-0.12533152466806918
97,-0.1210287751764959
98,-0.1146940766090524
99,-0.10789099422403281
100,-0.10490927265210925
101,-0.11433274493088152
102,-0.1238599529865354
103,-0.11208225648345549
104,-0.10959731834111386
105,-0.09934739478405374
106,-0.09448137750401642
107,-0.10895953732576158
108,-0.09919860471492958
109,-0.10850714454414279
110,-0.12487473319655706
111,-0.1187870497686403
112,-0.13270120424708387
113,-0.11935030601182273
114,-0.08655215699005692
115,-0.09716780615079368
116,-0.08021978629247029
117,-0.08266207134103076
118,-0.0702285225857795
119,-0.0803271996390178
120,-0.09154422899600101
121,-0.07366949158529279
122,-0.07239513126167851
123,-0.060794100089075265
124,-0.06581792135701525
125,-0.05588741431378319
126,-0.06496911619931156
127,-0.07710724142220526
128,-0.08061822276254538
129,-0.059503040700607523
130,-0.06496850497502704
131,-0.061522990134524225
132,-0.060158926253572664
133,-0.04945510958836297
134,-0.04031417455619546
135,0.0
136,0.0
137,-0.0012022564310008033
138,-0.009649715390452562
139,-0.0010714662478634729
140,0.0
141,-0.01687885742385986
142,-0.035585017689128695
143,-0.0436789037819475
144,-0.04059267555799351
145,-0.030743756368170394
146,-0.020596856836171518
147,-0.028778365112057558
148,-0.03982206192533411
149,-0.012404119552674953
150,-0.005622021418092538
151,-0.03244692451860032
152,-0.02051112796899346
153,-0.017865823685502602
154,-0.04297014582332004
155,-0.034470664684854824
156,-0.03137107013132068
157,-0.03924928645501158
158,-0.0328879002810617
159,-0.012183398846334792
160,-0.014359668639680523
161,-0.010583990143588351
162,-0.00992855788399305
163,-0.003854451101609313
164,0.0
165,-0.0078004114761479615
166,0.0
167,-0.012675639091995095
168,-0.007285698134624097
169,-0.019031999188845794
170,-0.027256892877241423
171,-0.019990805091633868
172,-0.01165421462512728
173,-0.00833694171096011
174,-0.05134914162349424
175,-0.053709163562262185
176,-0.04809361780394994
177,-0.023704514924036246
178,-0.0253580815633333
179,-0.013600319921846071
180,-0.030904055556753796
181,-0.03669674634024944
182,-0.025922424828159985
183,-0.037050291608469954
184,-0.033384302556023426
185,-0.0006210373707448147
186,-0.0022209573922082892
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,-0.006339650165232635
193,-0.020722417221605505
194,-0.02132849346425647
195,-0.0069373345180197
196,-0.025483068547537124
197,-0.016066838735449118
198,-0.012974822962022237
199,-0.026067672596150504
200,-0.03738994919661953
201,-0.046130291611109264
202,-0.041801943583919754
203,-0.02350479319555354
204,-0.022509768435351463
205,-0.01011236351659528
206,0.0
207,-0.006279611931900186
208,-0.010606481597266071
209,-0.012291713360165435
210,-0.009367151623080772
211,-0.00047853761429206276
212,0.0
213,-0.01776847533711179
214,-0.019289768875421998
215,-0.03135750320052533
216,-0.05818858611524336
217,-0.047713710685943544
218,-0.07013135353624833
219,-0.08703666386879039
220,-0.08879409521695847
221,-0.08029557308515711
222,-0.08391135780180548
223,-0.07367821502450156
224,-0.08868985756075298
225,-0.08525251226701358
226,-0.11165802804643965
227,-0.11555638646102318
228,-0.10501104450844623
229,-0.1185682485715499
230,-0.10939277441807926
231,-0.11515200707052875
232,-0.11915337823844407
233,-0.13951344468914206
234,-0.14737311634681294
235,-0.15093711641766272
236,-0.16393091191897846
237,-0.17104824140524333
238,-0.17904472028709273
239,-0.16516597851495818
240,-0.15961896490378047
241,-0.15683254760838194
242,-0.14333063007343527
243,-0.1227803946501762
244,-0.12762282060714603
245,-0.15720015017882571
246,-0.1524895797069592
247,-0.16020497201706807
248,-0.17256984084306137
249,-0.17151613201716465
250,-0.16934657417694188
251,-0.16148055331824307
252,-0.1555131107281459
253,-0.16958171392418597
254,-0.15689590952884314
255,-0.16255305485512173
256,-0.14359600861026878
257,-0.1391922835098407
258,-0.1528701191710149
259,-0.1642233248156385
260,-0.15050400924563834
261,-0.17012539009088
262,-0.1566516664163039
263,-0.17242299905384473
264,-0.1802339920017355
265,-0.18143332554307223
266,-0.19379402014662028
267,-0.20116128815165724
268,-0.19368649862927823
269,-0.1888933433724872
270,-0.18209886247045504
271,-0.1848542402616392
272,-0.17108709065521233
273,-0.17549818733680822
274,-0.16670020849467349
275,-0.15932451572790163
276,-0.16272275462406316
277,-0.18968102484738625
278,-0.2032480501656716
279,-0.21312371369900862
280,-0.2213421321589648
281,-0.2330157137838993
282,-0.25053627576116444
283,-0.27069784786383067
284,-0.2721099395394948
285,-0.28564338042580084
286,-0.2901491386366173
287,-0.28710335727406355
288,-0.28434389815513383
289,-0.2782262040344958
290,-0.26084729981174426
291,-0.2723179671399717
292,-0.2905363824627928
293,-0.28720074303344656
294,-0.2872067415537085
295,-0.2877146067906945
296,-0.2869701740710209
297,-0.27779016167992876
298,-0.27531038536768204
299,-0.2871491859181864
300,-0.2988716743691021
301,-0.30253964302908076
302,-0.278197045855302
303,-0.2942942927467085
304,-0.2939848643433638
305,-0.28876425203496325
306,-0.285447621642996
307,-0.2737341429516247
308,-0.2617794323607491
309,-0.2446778957627206
310,-0.25484857357707247
311,-0.25033730336230287
312,-0.24602106378634403
313,-0.23272478549692333
314,-0.22475665994801486
315,-0.2121567177084016
316,-0.21777783701599163
317,-0.22197415575750912
318,-0.2027891338816381
319,-0.2074216331148342
320,-0.17624406702426076
321,-0.1840417910588863
322,-0.19671373772565381
323,-0.19729403134270596
324,-0.17061687002596404
325,-0.18228717264726702
326,-0.18191928224413523
327,-0.18088977022760833
328,-0.18597845521270695
329,-0.19849225535005566
330,-0.19755573700581963
331,-0.19349276294070727
332,-0.19833173196118747
333,-0.22299559106816547
334,-0.2328467532122499
335,-0.21957623983729968
336,-0.2091933139319676
337,-0.212389815831876
338,-0.20192758354992257
339,-0.19557844180790318
340,-0.20712017411826855
341,-0.19493131376375883
342,-0.19815321249417917
343,-0.19719781672765924
344,-0.18567449749668752
345,-0.19174255049176714
346,-0.1821908147492053
347,-0.19658963403527074
348,-0.18929430371483724
349,-0.2053228579445301
350,-0.19383026830570027
351,-0.17277900042720418
352,-0.17798650034370844
353,-0.16849306852999113
354,-0.17743992302971778
355,-0.17755865831589512
356,-0.18492916753061606
357,-0.18492083625234657
358,-0.18550432863593957
359,-0.17513705951617398
360,-0.17763727401872276
361,-0.16716766912411196
362,-0.17285205730411557
363,-0.16206151419747294
364,-0.1498050588446057
365,-0.1463242488773635
366,-0.1325202893634444
367,-0.12338792972530077
368,-0.12370684928186115
369,-0.11855359680615474
370,-0.10184179927518922
371,-0.07494882129231029
372,-0.09787374301027019
373,-0.08524784607840874
374,-0.09741664093407532
375,-0.08482715896868387
376,-0.08893127314967242
377,-0.06655765625195231
378,-0.05970863589303632
379,-0.0706089504784897
380,-0.07413302593118531
381,-0.05422965342953656
382,-0.03116347248613094
383,-0.019590661212479543
384,-0.02587032595742511
385,-0.022963311622912763
386,-0.0155127968050216
387,-0.040358163798752456
388,-0.05826608979172254
389,-0.05916312118887701
390,-0.06584982749488533
391,-0.04807208526627915
392,-0.06098336362468293
393,-0.05698795306235016
394,-0.07249345428491838
395,-0.07067193159072016
396,-0.09280395784573592
397,-0.08587898272440742
398,-0.062432191854174035
399,-0.06061891004129072
400,-0.044909608387914246
401,-0.040276201366398534
402,-0.043408603202745866
403,-0.052863591285292166
404,-0.04983327200535437
405,-0.08160659354699618
406,-0.09121113918546131
407,-0.08893280583228635
408,-0.0734810296262991
409,-0.06849539711849417
410,-0.05899528785617825
411,-0.05962314708519123
412,-0.045852110669582724
413,-0.060389873699181695
414,-0.025358567348966243
415,-0.024036490681778933
416,-0.030787375526913907
417,-0.051614864510454495
418,-0.05176412288844845
419,-0.036768472822286125
420,-0.025264826588673572
421,-0.01980767347926149
422,-0.02110387226181676
423,-0.016716096498870625
424,-0.03373683706854769
425,-0.05112592597644516
426,-0.047756151080825426
427,-0.04619714373953099
428,-0.048745482179728294
429,-0.03853616796057591
430,-0.03281935865238039
431,-0.006918802609400032
432,-0.031608223095440535
433,-0.017100111072303137
434,-0.016926185772266678
435,-0.020397777326479183
436,0.0
437,0.0
438,0.0
439,-0.008782642490122616
440,-0.030460604952590953
441,-0.04260989652829772
442,-0.059282344027773215
443,-0.0589274548390204
444,-0.06165728314446173
445,-0.07591135694312379
446,-0.08435004962382098
447,-0.06500143106685163
448,-0.07956595206645423
449,-0.07697952029968014
450,-0.07907052065591158
451,-0.09091352768565308
452,-0.09850341628519355
453,-0.10220676217904368
454,-0.12051258771033313
455,-0.11201824571923902
456,-0.11364942069510653
457,-0.10993315417176619
458,-0.11883124654592159
459,-0.09498557974542843
460,-0.10475710053022158
461,-0.08175878471635811
462,-0.10163166567876591
463,-0.10210103559764638
464,-0.08877219709200468
465,-0.08419892458717959
466,-0.10525412657664457
467,-0.1016466280397913
468,-0.10938126258911762
469,-0.10858363112154457
470,-0.12305601372932884
471,-0.12605138591585452
472,-0.11896957715681444
473,-0.11273803826804418
474,-0.09742320598916043
475,-0.09733047802352046
476,-0.08651604647569033
477,-0.0949878370330185
478,-0.09957057066762731
479,-0.1142892586193528
480,-0.1133401650831446
481,-0.1094204476148023
482,-0.1107261461261636
483,-0.08834645880395997
484,-0.09113070745416885
485,-0.09350523093888208
