t,drawdown
0,-0.0030183079966563664
1,-0.008381554642956757
2,-0.0026425407142586232
3,0.0
4,-0.000785417766330565
5,0.0
6,-0.002182524672991515
7,-0.000807885127578456
8,-0.0007723127114442896
9,-0.0023659985698091246
10,-0.005177920897265431
11,-0.001085547023025324
12,-0.0016754763951689622
13,0.0
14,0.0
15,-0.007369338147686255
16,-0.009867328924516472
17,-0.007849965071875409
18,-0.005680229271703641
19,-0.006651663448487666
20,-0.0037297632464782238
21,-0.009830960605072714
22,-0.004185256829885686
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,-0.0011017881000471297
29,0.0
30,-0.011904229513514442
31,-0.017519381278146562
32,-0.02250944206554506
33,-0.023069347340108792
34,-0.020511601081649067
35,-0.023627976141667673
36,-0.017399110632116743
37,-0.019877355619429826
38,-0.02437115765603537
39,-0.024549108472650127
40,-0.028903692551915716
41,-0.022042970114343863
42,-0.022921114353643968
43,-0.020253344412422436
44,-0.021101477660593226
45,-0.019185765234021046
46,-0.014798977652370038
47,-0.01520130054370017
48,-0.01732660212583048
49,-0.01587601417945317
50,-0.024098528122690976
51,-0.02739629617888295
52,-0.026652722999126355
53,-0.02252146730344584
54,-0.019851103373672685
55,-0.023782868193346074
56,-0.025832288456930086
57,-0.02591464665177634
58,-0.032757745654822146
59,-0.028789919700930144
60,-0.028645086604890846
61,-0.026254397549417163
62,-0.029812076650436725
63,-0.03590352553190512
64,-0.04039200474064042
65,-0.040224068596453666
66,-0.04091350560731366
67,-0.0430802799209552
68,-0.0406397120898353
69,-0.04109077390871341
70,-0.03842677980952569
71,-0.03886070533717867
72,-0.04120047191073695
73,-0.04045934376184024
74,-0.03856371971196615
75,-0.035275063465209255
76,-0.03079159425307587
77,-0.027206651295196504
78,-0.025193384975574995
79,-0.02692020158274855
80,-0.02365501360135802
81,-0.023541368413455777
82,-0.026532894687299025
83,-0.023411376149930385
84,-0.02192413146039751
85,-0.01994498299181846
86,-0.01601469636880848
87,-0.017704364571345943
88,-0.01774161945855046
89,-0.01674522737429951
90,-0.024382404069411612
91,-0.028989919802060338
92,-0.027472651030330697
93,-0.02702678661360547
94,-0.026779899037831623
95,-0.028598468038838587
96,-0.026023232696769427
97,-0.02485061630798091
98,-0.025010533740034147
99,-0.02726896133801615
100,-0.02884982896421362
101,-0.0324947198439679
102,-0.025041885418882193
103,-0.028458747223826575
104,-0.026802094603788018
105,-0.034574495996285703
106,-0.031542459820712576
107,-0.031881122903944736
108,-0.032630614149080306
109,-0.03236592868801624
110,-0.03542923318124469
111,-0.03771008127284459
112,-0.030160277560001614
113,-0.027800341783001947
114,-0.02777350849888094
115,-0.03285184726206469
116,-0.03322183289831804
117,-0.040210504234480804
118,-0.040058458036055566
119,-0.037251906519085165
120,-0.03553837983194019
121,-0.03973551341051662
122,-0.040377133215166894
123,-0.03929420992148136
124,-0.03576484280378556
125,-0.037661663662099554
126,-0.0368374437448582
127,-0.03289199738219284
128,-0.03193519094661845
129,-0.029572049601107153
130,-0.02737708413188622
131,-0.027156748138919662
132,-0.03413736549015767
133,-0.038101696461962264
134,-0.03767639597453509
135,-0.03574208817881286
136,-0.037682550169273354
137,-0.041101087225005606
138,-0.03658765589670543
139,-0.03441733257328894
140,-0.025652711082040258
141,-0.023116771437652228
142,-0.022226253270303142
143,-0.02571769578944305
144,-0.024734206404964376
