t,drawdown
0,0.0
1,-0.027162949497234412
2,-0.03330544331849983
3,-0.02061876157763709
4,-0.0322250646382346
5,-0.027069742231297766
6,-0.017477281469197137
7,-0.005078484109303005
8,0.0
9,-0.01449772560800544
10,-0.02306902430929736
11,-0.05012199048082866
12,-0.05228196064965529
13,-0.053726326636364674
14,-0.062188744231015614
15,-0.05488289052434059
16,-0.034363672098113085
17,-0.0556799772985368
18,-0.05563884439286115
19,-0.07460925023844045
20,-0.0751209012865196
21,-0.07503224732410496
22,-0.06523206791387559
23,-0.050609616286517944
24,-0.03028903826193663
25,-0.03693815998482941
26,-0.03983799275087829
27,-0.054678419759497054
28,-0.06401289167701252
29,-0.06438254502244156
30,-0.05551127553286472
31,-0.03713837296913469
32,-0.032557993359299764
33,-0.034304603651596266
34,-0.009204182387749893
35,-0.03518232994052628
36,-0.0682214774533465
37,-0.060899133742623235
38,-0.05616121927622264
39,-0.04916361718430673
40,-0.03656596941495316
41,-0.04032376529794435
42,-0.0600427878274421
43,-0.03069857935362219
44,-0.05754242211056815
45,-0.014718470975874753
46,-0.019545838821832584
47,-0.012308800753604743
48,-0.05746387155297972
49,-0.0701651552859861
50,-0.06585351130167494
51,-0.03531040977761235
52,-0.021972917369370126
53,-0.025397360608732433
54,-0.014269972537205744
55,-0.014481265977289604
56,-0.00990093399009051
57,0.0
58,-0.017224051114567263
59,-0.015620030240605765
60,-0.021118454075631177
61,-0.0010563291420161436
62,0.0
63,-0.022279168423530393
64,-0.032717650426608125
65,-0.02568842756826717
66,-0.043532574538086566
67,-0.034468921221826654
68,-0.037213635183313776
69,-0.05115378843339757
70,-0.056542210251155245
71,-0.06201944583461172
72,-0.05931089629354591
73,-0.04172593703690841
74,-0.04740587522975104
75,-0.03691528719177839
76,-0.04912678123611358
77,-0.03012665505689749
78,0.0
79,0.0
80,-0.012267082287246933
81,-0.010947029012311704
82,-0.01964288526566904
83,-0.004171073582061702
84,0.0
85,0.0
86,0.0
87,-0.026577504456850587
88,-0.044999257061385745
89,-0.030448196044698617
90,-0.042430903829793865
91,-0.07053576648445303
92,-0.06492288362612231
93,-0.0782420412129301
94,-0.052698342008306254
95,-0.05958302974726293
96,-0.05992509286231762
97,-0.03856195144803454
98,-0.05564926592803299
99,-0.057154661943077056
100,-0.06200446142243088
101,-0.08221869243884217
102,-0.09791878587600744
103,-0.09040391583595042
104,-0.09630053196127963
105,-0.08145818651714398
106,-0.06683152441506301
107,-0.08825617671466246
108,-0.10403336081293635
109,-0.08808925365949749
110,-0.11903501625610002
111,-0.13143849463025048
112,-0.10164159748962354
113,-0.0712165675358244
114,-0.06533048379733108
115,-0.06814328439664197
116,-0.06849340303929785
117,-0.060070304687504406
118,-0.04732081315876646
119,-0.02936827968064948
120,-0.03561711301326609
121,-0.022346274840385427
122,-0.04112593447801871
123,-0.062420033312331036
124,-0.06485805858585658
125,-0.06429552763216773
126,-0.07709360749746941
127,-0.0949870423532434
128,-0.11015058253757082
129,-0.09794296850264095
130,-0.09111253059950863
131,-0.08929794153199722
132,-0.07195784158727914
133,-0.07862752528316252
134,-0.0840057852972923
135,-0.06998498965219946
136,-0.08044145297987226
137,-0.08395290530282262
138,-0.06417820324419199
139,-0.0669512342552564
140,-0.05108574476602401
141,-0.04608537445896921
142,-0.04574297423949136
143,-0.02527745308020035
144,-0.03964847664143911
145,-0.054777910140801356
146,-0.06577074116929416
147,-0.07765832757968094
148,-0.09102552160215971
149,-0.0789503923123821
150,-0.07440135001854509
151,-0.09537764017104344
152,-0.0732529132666273
153,-0.07778787352155991
154,-0.0712655072171583
155,-0.05398923566845648
156,-0.07386626250627992
157,-0.06420415807515856
158,-0.04416509546764025
