t,drawdown
0,0.0
1,-0.0036510449137848733
2,0.0
3,-0.005999566900911635
4,-0.019874775553905932
5,-0.023775173421622053
6,-0.031776523325737216
7,-0.05238482972949443
8,-0.07947083869561444
9,-0.08546161488192794
10,-0.11130250536560105
11,-0.1087046531990492
12,-0.11194656933924307
13,-0.12042515122367403
14,-0.10527389184961744
15,-0.12044780328462801
16,-0.1226088580324548
17,-0.1318382795794708
18,-0.12587466304260952
19,-0.1364703436528536
20,-0.12842274043729474
21,-0.1449853263686306
22,-0.15527876898168036
23,-0.15670212267198036
24,-0.1781331233789808
25,-0.173645558436478
26,-0.19784193101699188
27,-0.19632990707688291
28,-0.19383264439602288
29,-0.2009899060069832
30,-0.20020698715337992
31,-0.20103903436532555
32,-0.19619106122250984
33,-0.19179162849256837
34,-0.1980583452865099
35,-0.19855618478311488
36,-0.2116210010677808
37,-0.19336758728739323
38,-0.19385579298684286
39,-0.19106641711500882
40,-0.19311900502998403
41,-0.18033727850542292
42,-0.19409043764671885
43,-0.17762667849885017
44,-0.17711648978562466
45,-0.17331698491227177
46,-0.19129341155340018
47,-0.17410361338483127
48,-0.1639487427964772
49,-0.16717259060432166
50,-0.1600451520425793
51,-0.1695908063587831
52,-0.16287124834188338
53,-0.16056284839534107
54,-0.14962601414873977
55,-0.16220324490378824
56,-0.15712451118841497
57,-0.16898419104568052
58,-0.16472875159587275
59,-0.16646603508147506
60,-0.17731342624812862
61,-0.1642298683594472
62,-0.16764595320283238
63,-0.17905459729046824
64,-0.18995677667219302
65,-0.18781764441970727
66,-0.18680388952304539
67,-0.20959311837337602
68,-0.20332242293078806
69,-0.2243116185803794
70,-0.23385369644970933
71,-0.2349026686649357
72,-0.2454113884499185
73,-0.2492256695654529
74,-0.25950050306819017
75,-0.24967095566558817
76,-0.24439710957993932
77,-0.2544698375597866
78,-0.24646589919663142
79,-0.2341366850610458
80,-0.23257512169055317
81,-0.21326611220331737
82,-0.20207744133169014
83,-0.19172759528753736
84,-0.17764612644737776
85,-0.18414882255604959
86,-0.1798863727954031
87,-0.1964007028047592
88,-0.20941404820361342
89,-0.19470329851887558
90,-0.17320442580834894
91,-0.17949626145723419
92,-0.16051013170621298
93,-0.16581013322816185
94,-0.15942479223838435
95,-0.13930291316496823
96,-0.13585314785265057
97,-0.13894392299969682
98,-0.13230287245890304
99,-0.15522822990053498
100,-0.1562257993326167
101,-0.17357407206808084
102,-0.16958308528150157
103,-0.16428626107437105
104,-0.16604744014734785
105,-0.17584779356986335
106,-0.17684774145777615
107,-0.19563848291338215
108,-0.1943768163129055
109,-0.19493364998770157
110,-0.18592543963191333
111,-0.19029405683777123
112,-0.19500338394383532
113,-0.17924889400788435
114,-0.18094779401199856
115,-0.18374689006715395
116,-0.18382120420039283
117,-0.19388287754260114
118,-0.20788127499206266
119,-0.2219567419078512
120,-0.22003677301985258
121,-0.2121697189949916
122,-0.24087445838777277
123,-0.24342916095233202
124,-0.24222888404909815
125,-0.24608714462640668
126,-0.24047455542798768
127,-0.24484029129780926
128,-0.25218733983183184
129,-0.24382411897218614
130,-0.2503528897816013
131,-0.24212261662203594
132,-0.22982510235838616
133,-0.22929187159580566
134,-0.24672291673366475
135,-0.25892338729275666
136,-0.25416529903810425
137,-0.2483361341083481
138,-0.2526597717361829
139,-0.26983678332554506
140,-0.2588895206330163
141,-0.24702402814436997
142,-0.2429480304546291
143,-0.23394398488346158
144,-0.25398056788881984
145,-0.24731931576301291
146,-0.23101555132962226
147,-0.22905580889745025
148,-0.23584020279349827
149,-0.2269090262341027
150,-0.22381508470741007
151,-0.2396115144301586
152,-0.22997230654827017
153,-0.21844528313284517
154,-0.21548916377024618
155,-0.22718995500734784
156,-0.22990138828710482
157,-0.22484525332391714
158,-0.19639199535737784
159,-0.1867360867750345
160,-0.1875385767487251
161,-0.1881945537251245
162,-0.1837160396589913
163,-0.1817844674173913
164,-0.17350516858011877
165,-0.16424577581552835
166,-0.1779911897090296
167,-0.17701005724272734
168,-0.1801697061845131
169,-0.18891425279872032
170,-0.18055114934615113
171,-0.1955279022838602
172,-0.21381997552260035
173,-0.19448347208296057
174,-0.20032820926128614
175,-0.20756940764716791
176,-0.20503462707735431
177,-0.19738550922816256
178,-0.2037676335026637
179,-0.2122419723986716
180,-0.19641119240597638
181,-0.2042256358060064
182,-0.20325043908407958
183,-0.18592937733256754
184,-0.18160981224928907
185,-0.18645935202997233
186,-0.1853834964158516
187,-0.1581558959578342
188,-0.16993926723447828
189,-0.16516598596899912
190,-0.1889539499031947
191,-0.1846379842268967
192,-0.18396498082043433
193,-0.1802953825353233
194,-0.17952030311559197
195,-0.17172475209120242
196,-0.17228591725876308
197,-0.1711117217592223
198,-0.169105888577757
199,-0.16356434641168538
200,-0.16698655281641206
201,-0.17580284167232063
202,-0.17346282658666057
203,-0.16922577700913355
204,-0.18079987327358282
205,-0.16530699941737237
206,-0.1734826273855955
207,-0.16430611760549296
208,-0.1679343210936679
209,-0.18518358239934796
210,-0.16624875738817224
211,-0.17213063615506174
212,-0.1573665503928363
213,-0.1250595586474117
214,-0.12640551958451907
215,-0.12494000571567876
216,-0.15008509403472114
217,-0.13474031368757688
218,-0.13683347451774652
219,-0.13377941269952642
220,-0.13350251689394665
221,-0.12411208276898145
222,-0.13186327635617534
223,-0.13005257327036512
224,-0.1414989753635053
225,-0.15029489095348503
