t,drawdown
0,-0.013209267244078116
1,-0.020735181475707742
2,-0.035341101701357513
3,-0.019944982593258942
4,-0.04402583225514922
5,-0.05091953775499214
6,-0.04047922250873848
7,-0.044688414160212075
8,-0.055641082145275855
9,-0.058408471541370965
10,-0.04536147731179985
11,-0.060467864064084775
12,-0.08293006989566443
13,-0.09011799931135533
14,-0.08891572834613914
15,-0.07003623225001165
16,-0.06968267282464313
17,-0.0738484772436604
18,-0.07022052142962942
19,-0.0691196019955822
20,-0.07512210802612351
21,-0.08544931838749503
22,-0.07143752520721691
23,-0.09058451264513645
24,-0.08687414694345441
25,-0.10003621418983688
26,-0.0800844352762703
27,-0.10024264105908232
28,-0.08401279190273092
29,-0.0685463706020758
30,-0.07183524157055421
31,-0.0780907480048153
32,-0.07089106205707918
33,-0.07762306515419459
34,-0.05942992983115192
35,-0.06931122952562863
36,-0.08923010726469338
37,-0.0843101741055976
38,-0.09110179913233707
39,-0.10952849999686431
40,-0.09479709053869834
41,-0.07935125138643406
42,-0.05974529512618043
43,-0.06234188941717067
44,-0.07282633855881238
45,-0.08055721744797673
46,-0.0736461230304668
47,-0.06527992795970428
48,-0.06713935442332741
49,-0.05718475426156133
50,-0.053989608320043736
51,-0.05416649938637763
52,-0.03515925128844555
53,-0.05632673476243599
54,-0.07936303691054636
55,-0.07113020058038722
56,-0.08913902353731495
57,-0.0970030749185885
58,-0.10981613300098636
59,-0.10548936749382576
60,-0.12616787289902076
61,-0.11519918639244953
62,-0.1127895964448502
63,-0.13341726076880056
64,-0.12118927911462773
65,-0.14051386191909987
66,-0.13947626367516375
67,-0.13808350667995695
68,-0.13523440097746653
69,-0.13307567671599352
70,-0.11032808009352135
71,-0.11987830110151798
72,-0.12639150488446815
73,-0.11292464859056361
74,-0.10124121975234268
75,-0.09436420508910481
76,-0.09763142425095284
77,-0.0909052365024271
78,-0.07269790059934944
79,-0.11436591387226458
80,-0.12998034070026876
81,-0.1224047085646851
82,-0.13705980553021269
83,-0.1340301655818692
84,-0.137421728046361
85,-0.14407660444262926
86,-0.14221901045433682
87,-0.15026739591316374
88,-0.15796603413292876
89,-0.1409575417521517
90,-0.14252337298962592
91,-0.14574240226905433
92,-0.13880755944300438
93,-0.11336818143111849
94,-0.11386349378881544
95,-0.12047551353386654
96,-0.12916857509257518
97,-0.12730805086529162
98,-0.10934030767889447
99,-0.11118451862654222
100,-0.10664435052764465
101,-0.10377719061422497
102,-0.09651423491515243
103,-0.10235171379822916
104,-0.09913044715221997
105,-0.09412891052943184
106,-0.06903191882377269
107,-0.06329419030942429
108,-0.05091209350598125
109,-0.03146312145995733
110,-0.01557239860180415
111,-0.011915398604335437
112,-0.002717169807338826
113,-0.012831928687565997
114,-0.007494208246253353
115,-0.022684494532084987
116,-0.03389302457702059
117,-0.0145521491975521
118,-0.013758409506323788
119,-0.02734148975476136
120,-0.02206605103722792
121,-0.05544236668902236
122,-0.05814726665835668
123,-0.07457270381009584
124,-0.06658236587284372
125,-0.08018362043588745
126,-0.08295552727155242
127,-0.10011922712151033
128,-0.10842136976075667
129,-0.13215567603810463
130,-0.1332316696342457
131,-0.12276148479436322
132,-0.08538232085313824
133,-0.0910231045407276
134,-0.07810754478900805
135,-0.061816620984953774
136,-0.07773739703836924
137,-0.06692852094333313
138,-0.05724068519858805
139,-0.05741785965505297
140,-0.06567290062176767
141,-0.07919149080872212
142,-0.09700663240910745
143,-0.10732731491748237
144,-0.11000494608805145
145,-0.12291740999762613
146,-0.11066606965093262
147,-0.112894298972949
148,-0.12243746097133135
149,-0.11435550681692064
150,-0.11863706976447541
151,-0.14548202342581062
152,-0.1389635948648673
153,-0.13390873708397544
154,-0.11661327663984133
155,-0.1120572362173724
156,-0.10762015976643446
157,-0.1090395240172436
158,-0.12184727927493044
159,-0.11304748056940939
160,-0.12401216043631691
161,-0.12374139890619806
162,-0.14561984151606144
163,-0.13588263950259327
164,-0.12113362446197118
165,-0.13340973059687244
166,-0.15607771843806784
167,-0.173131506204119
168,-0.1626980331507386
169,-0.1432034428590171
170,-0.12040553324908143
171,-0.1054040247648057
172,-0.09798393047426379
173,-0.09317221363728967
174,-0.10054061226265809
175,-0.09638075161251047
176,-0.10115206992270676
177,-0.10265328173024912
178,-0.11304669987333127
179,-0.10137693796288283
180,-0.0974583901356838
181,-0.0982191621253603
182,-0.10549080007192535
183,-0.1151914221499789
184,-0.10492079122264342
185,-0.09731446373978103
186,-0.09044476897752807
187,-0.10199730082275882
188,-0.09489998994317406
189,-0.0793977781987002
190,-0.08352977297420483
191,-0.06953541654335926
192,-0.06878894474935404
193,-0.07792688424617666
194,-0.06513228258318304
195,-0.05974374574218644
196,-0.042209102150531974
197,-0.06113099755449891
198,-0.05872232524095877
199,-0.06998556559481839
200,-0.06504041129989935
201,-0.059778443277056614
202,-0.04566308066654312
203,-0.045668334163405766
204,-0.07077236617905391
205,-0.03996205361431282
206,-0.045064366751128904
207,-0.049874133052729364
208,-0.06409236715483457
209,-0.09175030096259651
210,-0.09786229887287423
211,-0.07904917317047244
212,-0.06773159902884696
213,-0.06343118851054796
214,-0.058622463435164196
215,-0.07711351463769112
216,-0.07531078564405813
217,-0.057580361624519516
218,-0.03999589660764291
219,-0.04265425772085796
220,-0.042918571325016086
221,-0.06256659530252828
222,-0.04032512018860668
223,-0.02864329761783302
224,-0.020663513201422234
225,-0.026384588145656918
226,-0.015273385891169666
227,0.0
228,0.0
229,-0.005163348788681077
230,-0.026709104785103688
