t,drawdown
0,-0.030633334268122647
1,-0.05912396206300252
2,-0.06746095792576245
3,-0.07398132211294317
4,-0.0805288317450149
5,-0.08136745562404912
6,-0.06899214905345064
7,-0.0449744508251142
8,-0.037497158371256556
9,-0.019135922444281195
10,-0.044743910144807386
11,-0.05712977404938202
12,-0.03136242709842596
13,-0.03716828674085737
14,-0.03739204622033254
15,-0.05962527111740912
16,-0.04702721534366705
17,-0.05053437580641007
18,-0.05240000349739726
19,-0.0696346413255321
20,-0.05690028931332802
21,-0.05945212681524836
22,-0.07148469170879479
23,-0.07885318466637814
24,-0.06841763208528195
25,-0.04943794024772108
26,-0.06855728111119874
27,-0.07280911400128243
28,-0.06479568807143299
29,-0.05604922685632108
30,-0.04738019231948809
31,-0.061752691179419616
32,-0.05334836837499635
33,-0.05569598238090123
34,-0.05488248241237703
35,-0.05948372951254377
36,-0.04950841800831951
37,-0.05138706780680935
38,-0.03158163774920897
39,-0.024032841288717743
40,-0.021733259893375045
41,-0.020980180409389093
42,-0.02096970946642851
43,-0.02671246661831772
44,-0.022479269064230478
45,-0.00852958927053904
46,-0.016015344997957315
47,-0.007850754888295786
48,-0.017997543667904847
49,0.0
50,0.0
51,-0.007683926103309924
52,0.0
53,0.0
54,-0.017128624684727534
55,-0.016942838401935667
56,-0.03631863518285794
57,-0.04282171531445689
58,-0.03215427220559952
59,-0.0209809158926898
60,-0.01073019657143559
61,-0.0129146667513923
62,-0.02800372292377451
63,-0.02974677625627009
64,-0.008737187064197571
65,-0.013814428544422275
66,0.0
67,0.0
68,0.0
69,-0.008163728977332085
70,0.0
71,-0.013012827140968852
72,0.0
73,-0.0017628214566540734
74,0.0
75,0.0
76,0.0
77,-0.0014519509019750299
78,0.0
79,0.0
80,-0.010774649080110277
81,-0.007962230891917166
82,0.0
83,0.0
84,-0.004875209458942487
85,-0.002131417045047046
86,0.0
87,-0.00527647970388978
88,0.0
89,-0.01128998762388933
90,0.0
91,-0.016970824531639672
92,-0.012176556865525656
93,-0.011472895249344917
94,-0.004067550939231834
95,-0.002995258710018822
96,-0.009484032850610724
97,-0.004057960992956966
98,0.0
99,0.0
100,0.0
101,-0.013183000715997095
102,-0.000943726339742601
103,0.0
104,0.0
105,-0.012647109864827644
106,-0.011992301086490076
107,-0.02013767590183002
108,-0.007299562698865447
109,-0.01656759264855434
110,-0.03302785104126371
111,-0.04843143309595754
112,-0.05899063361428036
113,-0.09281950229010272
114,-0.10530690015653799
115,-0.11459491813840084
116,-0.11368399731825896
117,-0.1127341809457314
118,-0.1219484344018168
119,-0.13344782617260031
120,-0.12611650328657786
121,-0.13880903816537582
122,-0.12792830565365676
123,-0.1468594245114907
124,-0.13260665988000842
125,-0.11932631097993351
126,-0.11432404598259838
127,-0.10993794326084205
128,-0.09506101385370491
129,-0.08962661364218638
130,-0.07731886504813879
131,-0.08128347440859363
132,-0.05455584972881167
133,-0.06389154553543142
134,-0.046821472274145126
135,-0.05933337325899235
136,-0.0610595184987317
137,-0.050719885514535545
138,-0.041428674380816655
139,-0.03404440473913262
140,-0.04951466341308264
141,-0.07131206337981155
142,-0.06930412209544556
143,-0.05476994309110528
144,-0.04763818660860075
145,-0.024515611308652763
146,-0.020699432688124797
147,-0.02636748460081284
148,-0.025830096138994785
149,-0.04653740192827904
150,-0.05738147687040873
151,-0.07146345743057769
152,-0.08580640959073116
153,-0.07667093864699248
154,-0.0954514883275277
155,-0.08996579702022389
156,-0.09434720259477147
157,-0.09042066732169052
158,-0.10093436214334517
159,-0.11285282627225002
160,-0.11762638469861963
161,-0.1332930603169067
162,-0.14944573648404003
163,-0.14060200612994578
164,-0.15134089201774004
165,-0.14625062242855558
166,-0.16261643686334903
167,-0.16107158864803683
168,-0.17728084222177987
169,-0.17067669966426846
170,-0.16380977764601456
171,-0.16610649336366246
172,-0.15858557690007447
173,-0.14812574605942774
174,-0.14040756694756162
175,-0.12761481775919004
176,-0.11227260239883774
177,-0.11301318542845429
178,-0.08955991471584845
179,-0.07701651509494656
180,-0.09410478912244591
181,-0.0849633192496888
182,-0.08472980848489353
183,-0.09170111615473353
184,-0.0928337941398012
185,-0.1303814684198955
186,-0.1372629121452852
187,-0.16152869277859616
188,-0.2023416795126084
189,-0.21364259213379388
190,-0.2171452875189075
191,-0.2048051484133604
192,-0.20219024079979675
193,-0.195633843678102
194,-0.1973125712154623
195,-0.18297816271684075
196,-0.20800968099977546
197,-0.21347440405812523
198,-0.2028349889913732
199,-0.19842241807763317
200,-0.2025412619410797
201,-0.20465830370488225
202,-0.1880175679053595
203,-0.19474621288992455
204,-0.21382201085745667
205,-0.19229739108205834
206,-0.17100859268182245
207,-0.17029520489301508
208,-0.1757847354532024
209,-0.1619601262043937
210,-0.15540321880060604
211,-0.14755535225867977
212,-0.14667062337187886
213,-0.16380991129196698
214,-0.1512901103657588
215,-0.14227580956985808
216,-0.12258122301557883
217,-0.12890708970367493
218,-0.14111378562947485
219,-0.13869198237637614
220,-0.13125806887163294
221,-0.12764655167340633
222,-0.11316214690433324
223,-0.10422376929177823
224,-0.09902591810444572
225,-0.09035427797837203
226,-0.1037155643485208
227,-0.09686996501597056
228,-0.09186324218880293
229,-0.09745725985972353
230,-0.0941629706197572
231,-0.10779197180215527
232,-0.13587276322005115
233,-0.14271535643348177
234,-0.13636353290021785
235,-0.14449626775313873
236,-0.14199341644057817
237,-0.14183328659219396
238,-0.11670321245803805
239,-0.09338741429195918
240,-0.08402654323372338
241,-0.07054010530434274
242,-0.04600689136042979
243,-0.030431775569451314
244,-0.0258997492914681
245,-0.012270145256644716
246,-0.0007471440910059579
247,-0.0009439565558271301
248,-0.037466123836481735
249,-0.030059347190592556
250,-0.0390439832202768
251,-0.035017011782510266
252,-0.04722332064439361
253,-0.05382098888430331
254,-0.07138571689638495
255,-0.04984846630153916
256,-0.05490263837214593
257,-0.053007274643171676
258,-0.06882687620142847
259,-0.07435021297690436
260,-0.06691397777015617
261,-0.06769609895860984
262,-0.08259848172939288
263,-0.08689345919202296
264,-0.07989585200523375
265,-0.05227709908395184
266,-0.05162033251201448
267,-0.04278594829676896
268,-0.04784352386604418
269,-0.03475173126367348
270,-0.024356486519774845
271,-0.0229287533724446
272,-0.016818832785110427
273,-0.043320495633164646
