t,drawdown
0,-0.009825678717778064
1,-0.024901014346722095
2,-0.03045007387961518
3,-0.04253112457706154
4,-0.04163813918678172
5,-0.04383457946851199
6,-0.0407725677654428
7,-0.02286975300960492
8,-0.03238217316812053
9,-0.05612374249809693
10,-0.0629296573186151
11,-0.056109735322914966
12,-0.05713917689097514
13,-0.07920174447422301
14,-0.056334101023319594
15,-0.026854551829533668
16,-0.018624745812801935
17,-0.007222450474288711
18,0.0
19,0.0
20,0.0
21,0.0
22,-0.005877280724986611
23,-0.024352690644999675
24,-0.042474874299665455
25,-0.057766302358159605
26,-0.06668514776513568
27,-0.07449862497283744
28,-0.08187503696639331
29,-0.07472775988000857
30,-0.0942982125271784
31,-0.09631471299877103
32,-0.08914608553209102
33,-0.09495355008746076
34,-0.08298348380837828
35,-0.09956349201169057
36,-0.10227082981201707
37,-0.09377259451488362
38,-0.0992348481258779
39,-0.1041135490648446
40,-0.10472785426570652
41,-0.15068444111146895
42,-0.16415386816276578
43,-0.1795703228474561
44,-0.16900819991138472
45,-0.16879005821623905
46,-0.15756589751391725
47,-0.14507905979055724
48,-0.13359573208568554
49,-0.13428178652873557
50,-0.16071084086133847
51,-0.14786096209873123
52,-0.14271460023110816
53,-0.1152835849470858
54,-0.1229705993563337
55,-0.10219001756268897
56,-0.1164227400020641
57,-0.11443031232034684
58,-0.10177059846546088
59,-0.1002228886468387
60,-0.11121861567102964
61,-0.11201556946349067
62,-0.12998604492437393
63,-0.14423110110775905
64,-0.12619786198355587
65,-0.11550062749662493
66,-0.11846486359926423
67,-0.12348374799072237
68,-0.11631644397995977
69,-0.10873500704513461
70,-0.10835280947783499
71,-0.11373169017257023
72,-0.08758622445044895
73,-0.06839400684318442
74,-0.07759534601360607
75,-0.06498016369909543
76,-0.04136887378234411
77,-0.030405424347474508
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,-0.010511652026675367
84,-0.024919465607976865
85,-0.01037502258856815
86,-0.023109728066972424
87,-0.03009269169390527
88,-0.009526967890820193
89,0.0
90,-0.020275807381216038
91,-0.02059614956536171
92,-0.022782680909269604
93,-0.02263340222287713
94,-0.01763160018191856
95,-0.037447151917591515
96,-0.031218380852435
97,-0.060954453496707806
98,-0.061617619390632816
99,-0.04945632058393423
100,-0.06720346150840073
101,-0.0692405072011798
102,-0.0839435386393107
103,-0.08191910682438175
104,-0.08529108368756988
105,-0.05993958819670653
106,-0.05437350161372989
107,-0.05264561439479021
108,-0.04522677071097825
109,-0.06683732994746061
110,-0.0495932227498499
111,-0.05522620697927927
112,-0.05117586582065503
113,-0.04108279271612514
114,-0.016517641379993453
115,-0.014584027988193915
116,-0.006741016686971801
117,-0.004790430090834352
118,0.0
119,0.0
120,0.0
121,0.0
122,-0.001867620701320738
123,-0.027687671451446794
124,-0.022366631905940237
125,-0.016781102404511916
126,-0.016239016465522726
127,-0.0029274591895863677
128,0.0
129,-0.008961666143800118
130,-0.03234499500993049
131,-0.0388645880858961
132,-0.05822162073880521
133,-0.04106681787869815
134,-0.03152415356092042
135,-0.02719519123005376
136,-0.022055399309064305
137,-0.028578092825757295
138,-0.027146897909789858
139,-0.00898475938582266
140,-0.0029305143132996037
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,-0.00907840751402833
148,-0.004944549387759789
149,0.0
150,0.0
151,-0.018523784932153564
152,-0.04008840572604777
153,-0.019005550264987847
154,-0.0160323023064618
155,-0.0006347048037347314
156,-0.005754493591317411
157,-0.005420214590489136
158,-0.022082752764273517
159,-0.001924577102346503
160,-0.018352282523423247
161,-0.048231231544682784
162,-0.020011356015428583
163,-0.007543888292592116
164,-0.003055724109243596
165,0.0
166,0.0
167,-0.0049765592229531475
168,-0.008385184433629789
169,-0.012294739437991198
170,-0.021162827756705638
171,0.0
172,-0.0025627682193827273
173,0.0
174,0.0
175,-0.005193350131880492
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,-0.020277726095846438
186,-0.03414821356607356
187,-0.04595275179156355
188,-0.0318040315737681
189,-0.024876945104454817
190,-0.030794988420900227
191,-0.03873780525125192
192,-0.04162228789346267
193,-0.027737073062985784
194,-0.03355671554678408
195,-0.035582865845566025
196,-0.02853844253246751
197,-0.028688232487337983
198,-0.03820833873477403
199,-0.03324773088128008
200,-0.021046837250531025
201,-0.02519802406370819
202,-0.02093183647681207
203,0.0
204,0.0
205,-0.005354153185165411
206,-0.021285482550142953
207,-0.0516750366611376
208,-0.06840960008121233
209,-0.047473127918989055
210,-0.041877554607395395
211,-0.058609392351814615
212,-0.06174427795588411
