t,drawdown
0,0.0
1,-0.012645372143989198
2,0.0
3,-0.02295725723838682
4,-0.022600752675329017
5,-0.017806393066789994
6,-0.010631675800606644
7,-0.0028048637270370325
8,-0.01600899980167836
9,-0.0038780608974352537
10,-0.014356088292110436
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,-0.007817242848509598
17,-0.01600245998275629
18,-0.012444600250456905
19,-0.013155718311674724
20,-0.025949092075148172
21,-0.029440020970519676
22,-0.028803081089574856
23,-0.03539338399872016
24,-0.030078983154294914
25,0.0
26,-0.001197669331836515
27,-0.007850933464566112
28,0.0
29,0.0
30,0.0
31,0.0
32,-0.0045299774526875725
33,0.0
34,0.0
35,0.0
36,-0.003063259245434824
37,-0.02330408879030932
38,-0.02608661759771247
39,-0.01849124600714991
40,-0.022683941615161074
41,0.0
42,0.0
43,-0.009505646386084865
44,0.0
45,-0.0036785606818162675
46,0.0
47,-0.019840012684190333
48,-0.017556588242411353
49,-0.035927622696778405
50,-0.030008004589720638
51,-0.040529188088040735
52,-0.05489447951345716
53,-0.03280743939913544
54,-0.0560516013440423
55,-0.025003257318342964
56,-0.04375554633704182
57,-0.05150082450108362
58,-0.057606184780091274
59,-0.07244180091275265
60,-0.09531041627174952
61,-0.10130736331644696
62,-0.11286406912932723
63,-0.13110753070249037
64,-0.12394035917153468
65,-0.14654810797698004
66,-0.1482678978405132
67,-0.15355057828623853
68,-0.1598719879796906
69,-0.17910431874318977
70,-0.1728233728603964
71,-0.15824281397061835
72,-0.17067967604825007
73,-0.16347639785317913
74,-0.17942457771328135
75,-0.17985614454245724
76,-0.15999519240201177
77,-0.17392890879653178
78,-0.1652772488066262
79,-0.1656993141162577
80,-0.16764410128497098
81,-0.1605180789868701
82,-0.1500639808949099
83,-0.16136676645095271
84,-0.14042973872055586
85,-0.1493597711154122
86,-0.1392452102361159
87,-0.137690261895691
88,-0.13393471645870958
89,-0.11381227845412156
90,-0.13877675537923762
91,-0.1629326904107038
92,-0.1603394550875169
93,-0.17062670669885782
94,-0.14614770664093024
95,-0.14048539561147855
96,-0.13964900172857797
97,-0.1577932222797136
98,-0.16929678806985804
99,-0.17925917344467068
100,-0.15370749089847202
101,-0.16864770657414996
102,-0.15913063487161316
103,-0.15265324221864585
104,-0.15594920370237852
105,-0.14844262917506224
106,-0.1484371630997665
107,-0.14788446223056484
108,-0.14383795994203952
109,-0.14434714239671143
110,-0.1478706424113183
111,-0.14119245232647948
112,-0.13833459315518937
113,-0.14195822190073903
114,-0.15579330676072733
115,-0.14315031201428552
116,-0.14991590146624434
117,-0.15349076256708727
118,-0.1479545553602174
119,-0.11321461723665982
120,-0.10193186706026258
121,-0.10092905958224752
122,-0.11013431015385688
123,-0.10949924196153482
124,-0.09548290628367351
125,-0.09059313672442582
126,-0.06820688902192851
127,-0.04987598983986119
128,-0.07206842577010497
129,-0.08396387851865961
130,-0.10493685423897237
131,-0.11886085009221792
132,-0.13333271660052737
133,-0.13947543520353833
134,-0.1275691192698294
135,-0.13598014337852649
136,-0.15671240605470083
137,-0.16085729890081502
138,-0.16901475381716424
139,-0.1602524987077003
140,-0.15939912982770577
141,-0.15663457871984643
142,-0.15278266257811857
143,-0.16531758831190901
144,-0.16285525448001803
145,-0.17874903221927596
146,-0.20028258542193766
147,-0.19288589934717726
148,-0.22085869520337853
149,-0.22850929078148674
150,-0.2374737257153523
151,-0.2207605937629965
