t,drawdown
0,0.0
1,-0.014248973023428757
2,-0.0313388402833199
3,-0.036989517570707786
4,-0.044438573588963526
5,-0.03784218776339654
6,-0.026074877015145104
7,-0.03285566618360658
8,-0.019339274650249094
9,-0.013801007845929969
10,-0.02308796848724959
11,-0.032500627703339835
12,-0.014867965751850454
13,0.0
14,-0.016316804189970058
15,-0.01718045697450732
16,-0.01397072094964702
17,0.0
18,0.0
19,0.0
20,-0.005421352278840774
21,-0.0344652327542625
22,-0.052980044417195504
23,-0.05576476096422156
24,-0.05362157173923743
25,-0.053357223345471994
26,-0.052239839306159164
27,-0.021918602730279013
28,-0.04888901149986824
29,-0.04060920189048289
30,-0.024287171225237714
31,-0.018761943786626767
32,-0.0413642017958854
33,-0.032677777215368464
34,-0.03267867918190248
35,-0.030734199994873035
36,-0.04716381307041717
37,-0.03332560482805014
38,-0.02848780988367916
39,-0.041141696713063
40,-0.02588894556486221
41,-0.028925180588328825
42,-0.03945771856084235
43,-0.04721690831850123
44,-0.04566342708770876
45,-0.03791463650222171
46,-0.023167319533450526
47,-0.044555409506531696
48,-0.03609109423694323
49,-0.03652986444703776
50,-0.01957385217108909
51,-0.003139016636175662
52,-0.03401851338145723
53,-0.013667313348460164
54,-0.015997577283845543
55,0.0
56,0.0
57,-0.007089481139429754
58,-0.02542657060091702
59,-0.04632980808353204
60,-0.04056181530998604
61,-0.033729135559158574
62,-0.0441227453928168
63,-0.0539241883386582
64,-0.04814774630105878
65,-0.03704326692791282
66,-0.0328148947070811
67,-0.02078199216489396
68,-0.035935210504017046
69,-0.044157998487341366
70,-0.04712489010136467
71,-0.047921189119103924
72,-0.06362451979856198
73,-0.0623182248381986
74,-0.05471446382739231
75,-0.028733953974223292
76,-0.026938631033155858
77,-0.014442792082322575
78,-0.02734925748813255
79,-0.031026943806562235
80,-0.024047598712120033
81,-0.04681241441420969
82,-0.031516774176207796
83,-0.046658211193462584
84,-0.061638225325391205
85,-0.03495149309190837
86,-0.03228500035858162
87,-0.0038829182349040536
88,-0.004900494749787931
89,0.0
90,0.0
91,-0.023620225525476712
92,-0.04450297653047486
93,-0.05165313939787286
94,-0.04443031418947152
95,-0.05333536004277828
96,-0.0735333912745485
97,-0.058976745622824844
98,-0.06901495497172594
99,-0.06501292356593713
100,-0.06040112093238825
101,-0.05521369813163557
102,-0.05537330159672982
103,-0.06376787532037576
104,-0.06730432593529345
105,-0.03661592434328054
106,-0.030997518080306263
107,-0.020620164332073032
108,-0.029983460752285196
109,-0.027906352529708855
110,-0.0438389320068967
111,-0.03938871125401189
112,-0.06223998326692981
113,-0.03755629241057157
114,-0.029362921695681554
115,-0.048072159174040285
116,-0.02837101711194545
117,-0.03920384204233285
118,-0.053266416449784026
119,-0.07369189557104094
120,-0.07433073220240416
121,-0.04657522538261494
122,-0.04231836402779654
123,-0.04634383271396858
124,-0.0556995356444393
125,-0.08867202915110772
126,-0.06880843924468827
127,-0.08268368632971868
128,-0.0850845578372349
129,-0.05656148343737999
130,-0.04501696474165706
131,-0.05621493686354784
132,-0.06789073921774103
133,-0.05054895629632794
134,-0.05280354612226956
135,-0.0377242474728704
136,-0.017307169717481585
137,-0.008171313057590113
138,-0.01617839266104082
139,0.0
140,0.0
141,-0.0067644734534435536
142,0.0
143,0.0
144,-0.007542794038447709
145,-0.016240865165054852
146,-0.02268714644117309
147,-0.032441075660321284
148,-0.058917360570163946
149,-0.06466199229595393
150,-0.07217212910665538
151,-0.07918038865860155
152,-0.04625844958122283
153,-0.051457919780602324
154,-0.06847138930530394
155,-0.07317147919153388
156,-0.03500146136475635
157,-0.03483462837680318
158,-0.01884609239335
159,-0.0021849498394049816
160,-0.0004051114075390716
161,0.0
162,0.0
163,0.0
164,-0.00233685459916233
165,-0.014979358678969934
166,0.0
167,-0.0046352584882655146
168,-0.032228877067332684
169,-0.044006371895745744
170,-0.05250965666034457
171,-0.02908199846268178
172,-0.03230137734757521
173,-0.039735628000283074
174,-0.022578937973183777
175,-0.025519908150717252
176,-0.026882864790981675
177,-0.010984553910212358
178,-0.02171901942807475
179,-0.04676825192293499
180,-0.02964468063193293
181,-0.030216172585455725
182,-0.002190570781043899
183,0.0
184,0.0
185,0.0
186,0.0
187,-0.001226139053538411
188,0.0
189,-0.02320211683472384
190,-0.036671149106976664
191,-0.02714885869561723
192,-0.043452260935748055
193,-0.032546641887633565
194,-0.02184344845551356
195,-0.03259811043614924
196,-0.03198056717793196
197,-0.0583364929116158
198,-0.03631873782226214
199,-0.027754861585610913
200,-0.032501763638210335
201,-0.028960659310911185
202,-0.013193194315894163
203,-0.0041648052188208995
204,0.0
205,0.0
206,-0.010990708774572089
207,-0.015193797314936086
208,-0.003716981724241508
209,0.0
210,0.0
211,-0.01938244044207671
212,-0.013791652730642978
213,-0.028027405079681267
214,-0.030120078865670807
215,-0.04151148962781259
216,-0.019208463623020533
217,-0.011870103181921055
218,-0.006514381112293299
219,-0.008340380642066991
220,-0.015409020923319083
221,-0.007574987997318927
222,-0.006693779284842938
223,-0.022398235807147948
224,-0.011976161214346748
225,0.0
226,0.0
227,-0.007358877958557275
228,0.0
229,0.0
230,-0.020010117507900937
231,-0.025064523230228453
232,-0.02379767493991869
233,-0.03717665664157199
234,-0.03782410734385877
235,-0.034025021578623305
236,-0.033097298920259366
237,-0.031710464930330806
238,-0.01251581863903184
239,-0.02467601483090298
240,-0.03962476328103237
241,-0.05098950319142759
242,-0.035455578666938936
243,-0.03460482217730487
244,-0.06549693037685622
245,-0.05536566051756653
246,-0.050562717028939996
247,-0.06375855289324894
248,-0.06747566295292173
249,-0.05521171007234493
250,-0.09124643768497998
251,-0.0633882948471628
252,-0.0598635128880457
253,-0.08094389236148158
254,-0.0877876743954562
255,-0.10375038314347207
256,-0.09861965624597435
257,-0.12936820074664146
258,-0.1191921733028799
259,-0.10027296789679008
260,-0.0876668162981058
261,-0.07282252466470318
262,-0.07273675624610998
263,-0.0832053861562203
264,-0.10006249030214465
265,-0.07833258853163427
266,-0.0629274856793931
267,-0.07058949505600909
268,-0.04585034736519866
269,-0.0269458724999605
270,-0.012291500617942375
271,0.0
272,-0.007519523958095076
273,-0.004874884372356725
274,0.0
275,-0.010660458011965579
276,-0.0011993649263671857
277,-0.0149284057724004
278,0.0
279,-0.0008641547343845035
280,-0.0034343328815484853
281,-0.01058245550998338
282,-0.003765332270343147
283,-0.012898908804516163
284,0.0
285,0.0
286,0.0
287,-0.011324427555054362
288,0.0
289,0.0
290,-0.003735459429599186
291,0.0
292,0.0
293,0.0
294,-0.012675105101563777
295,-0.0073580743339023424
296,-0.013764950882276361
297,0.0
298,-0.008223602635134997
299,-0.0015665233255471867
300,0.0
301,0.0
302,-0.0018723801094138182
303,0.0
304,-0.010868439209274383
305,0.0
306,-0.012518760072644741
307,-0.00307581383413269
308,-0.03540014802838665
309,-0.022714849977518714
310,-0.012006155749382352
311,-0.008493740206032774
312,-0.021164754796634933
313,-0.018003667266806245
314,0.0
315,-0.010959697036380223
316,-0.005803681902011193
317,-0.007827952437294616
318,0.0
319,0.0
320,0.0
321,0.0
322,-0.02087047323911828
323,0.0
324,0.0
325,0.0
326,0.0
327,-0.013703141227987214
328,-0.01630573922152101
329,0.0
330,0.0
331,-0.010014851505269373
332,-0.006276335320278714
333,-0.023939131905167388
334,-0.005907157212871494
335,-0.009589500813662943
336,-0.013289526166851084
337,-0.013826684441154202
338,-0.017773905219458652
339,-0.008086721618158488
