t,drawdown
0,-0.0002131414862928116
1,-0.00375127043646295
2,-0.004614104931493834
3,-0.004633873165663882
4,-0.0044218908299406
5,-0.006553158222348698
6,-0.005382468307196464
7,-0.011896940570362613
8,-0.02054820063232954
9,-0.021653683430741477
10,-0.024039217969025528
11,-0.024316140435972078
12,-0.023942596725427534
13,-0.04186880197744103
14,-0.04545380937096288
15,-0.050752404360858594
16,-0.052829235258097906
17,-0.05425744262071586
18,-0.05493016947689533
19,-0.05675962630394271
20,-0.060315613105216936
21,-0.06257535295506411
22,-0.060815002648533456
23,-0.06601034906607917
24,-0.0687031192652614
25,-0.07131354008063617
26,-0.07208387516905812
27,-0.0696506953076158
28,-0.07106592367779752
29,-0.06788603646959235
30,-0.07262835416229807
31,-0.0715403042414996
32,-0.07189206622643851
33,-0.0735108526210273
34,-0.07000229703057437
35,-0.07111641766636334
36,-0.07144520448223801
37,-0.07001366378682683
38,-0.06941009655231412
39,-0.06823648630362888
40,-0.06436704079863342
41,-0.06355739158883833
42,-0.061553741398725936
43,-0.06230337880469339
44,-0.060334565720361666
45,-0.06082619850450255
46,-0.06382319169740724
47,-0.06453068200428591
48,-0.06441499323045108
49,-0.06295971182221904
50,-0.05885768966999405
51,-0.05729371136246886
52,-0.0504884890501921
53,-0.04802678169823538
54,-0.045652008786829734
55,-0.04576578057346825
56,-0.04650430482629153
57,-0.046447617601699354
58,-0.046640097246232415
59,-0.049029500904275936
60,-0.04957109434011153
61,-0.0525702312180526
62,-0.05376003023128961
63,-0.04999655909562606
64,-0.04699149150448678
65,-0.047253521434692636
66,-0.04573216845510708
67,-0.04795015775056699
68,-0.0513495366921346
69,-0.050704257991171064
70,-0.04514738658507933
71,-0.043860860134988466
72,-0.04565173122287314
73,-0.04980421206205676
74,-0.04696108743871741
75,-0.052688058844767904
76,-0.04913625648095843
77,-0.04590907875397798
78,-0.049725294950393906
79,-0.04689845158271366
80,-0.04599421402846182
81,-0.04209304325798768
82,-0.04256890410675063
83,-0.04172090956481034
84,-0.048625204637309793
85,-0.045912207009735084
86,-0.046281389876461354
87,-0.04363454880676332
88,-0.04201180983614572
89,-0.0374437172698634
90,-0.03484975060701401
91,-0.030062519753211947
92,-0.029793467486832537
93,-0.03148114184993245
94,-0.03587858436003577
95,-0.034050542641955284
96,-0.03596914064966272
97,-0.03799242452110385
98,-0.0396738739117245
99,-0.03845288711343364
100,-0.034486134229331
101,-0.032537867153910716
102,-0.03295702212792262
103,-0.028934439292082836
104,-0.03296685039851888
105,-0.033667243509919675
106,-0.03385838484850312
107,-0.028934344784964372
108,-0.03164824569199687
109,-0.04246944521410423
110,-0.043097798024544054
111,-0.045880719805213355
112,-0.04685243780831694
113,-0.05178683370543502
114,-0.05532920813019071
115,-0.057387621039605485
116,-0.064408185324201
117,-0.06399450467464285
118,-0.06272904960507708
119,-0.06337462850827413
120,-0.05691877032327808
121,-0.05942437616688889
122,-0.06178189747753193
123,-0.060520217700358314
124,-0.06185423801113643
125,-0.061686215690523016
126,-0.058782335849173806
127,-0.05571326085208572
128,-0.059256545307827535
129,-0.05671173059622647
130,-0.05719959160268673
131,-0.05622961876163546
132,-0.05716738422125278
133,-0.060479377145661095
134,-0.05467376597893592
135,-0.053963363728666836
136,-0.04966964846476629
137,-0.04843492858413656
138,-0.04403950757614927
139,-0.0431758544386337
140,-0.04253406136401294
141,-0.041517895815852635
142,-0.04160568209917059
143,-0.04240725656819899
144,-0.03787691268448323
145,-0.034207396037536086
146,-0.03748431904800076
147,-0.03580589251068056
148,-0.03144942974270293
149,-0.0328199400027942
150,-0.02950953333708195
151,-0.029169218748199333
152,-0.032295846795126315
153,-0.036708231613554076
154,-0.0366866058768156
155,-0.035033321102379
156,-0.03784260852897747
157,-0.02999274745089353
158,-0.03100197527018289
159,-0.030737904426653917
160,-0.03453012260674748
161,-0.0325925583398291
162,-0.03588809599060705
163,-0.030532392906488237
164,-0.02802611770040153
165,-0.03106704201489696
166,-0.027797807998373725
167,-0.03530277550847116
168,-0.035503136486211506
169,-0.03564624672423411
170,-0.03780673281929159
171,-0.03487672133646136
172,-0.03985993317932035
173,-0.04181440279028603
174,-0.04029764061781804
175,-0.04519864777857763
176,-0.04136030894424558
177,-0.04093947698033551
178,-0.04191444995940352
179,-0.04064845525179317
180,-0.04011925374060765
181,-0.04229678434701478
182,-0.04157848325942348
183,-0.03714084570330489
184,-0.039162136631411215
185,-0.03743204854969506
186,-0.040095640556995105
187,-0.03450412167403227
188,-0.03603283775410371
189,-0.03451546783538295
190,-0.03866368528563857
191,-0.04021250588606862
192,-0.04319708490848451
193,-0.047584340004923176
194,-0.047747761686635304
195,-0.05163090949507276
196,-0.05627180580512681
197,-0.057782014078182176
198,-0.05941251425105076
199,-0.06399459134338437
200,-0.06192518487248
201,-0.05918207524085983
202,-0.060266294483341754
203,-0.06335657735746103
204,-0.06562014421182372
205,-0.07429762195912526
206,-0.07170707018717437
207,-0.07057242010822862
208,-0.06798911861007495
209,-0.07092765761198183
210,-0.07100915268245644
211,-0.07366503558641069
212,-0.07863737497440271
213,-0.08181832925348453
214,-0.08392912312014722
215,-0.08416042185074235
216,-0.081573090483821
217,-0.08082619873386254
218,-0.08231872733006496
219,-0.0847634061896847
220,-0.08675944922429313
221,-0.09016040345768883
222,-0.08977310594232202
223,-0.09015979892697723
224,-0.08786082794517003
225,-0.08485781585424035
226,-0.08219893390815991
227,-0.07637016708673672
228,-0.07501750430428145
229,-0.07705377252105317
230,-0.0771825796864768
231,-0.07689520515153847
232,-0.077916446594124
233,-0.07719787416851565
234,-0.08117636629727087
235,-0.07909022753149719
236,-0.07728369483329545
237,-0.07725665292945305
238,-0.0784055772693446
239,-0.07822708157047087
240,-0.07579114414010524
241,-0.07477275690890739
242,-0.07346257986645288
243,-0.07408055258921964
244,-0.07346717168033334
245,-0.07152944998027666
246,-0.07123219295196581
247,-0.07262325113178802
248,-0.08111353574387181
249,-0.08083268634080565
250,-0.07903108498233369
251,-0.07754940151623457
252,-0.07618748144005927
253,-0.0756539243432488
254,-0.07840734537563065
255,-0.07907601881004278
256,-0.0800173128738153
257,-0.0824563391716
258,-0.08190529528271517
259,-0.0874813835100392
260,-0.0907902841976439
261,-0.09129461316301668
262,-0.09316055131876011
263,-0.08974644655181796
264,-0.08947561536966442
265,-0.09051808235131531
266,-0.08928883891685158
267,-0.08896395566869209
268,-0.0901427223382052
269,-0.09931536462611823
270,-0.09949917656320717
271,-0.09803614268206795
272,-0.10159043952819258
273,-0.10744402713532719
274,-0.10342230363675142
275,-0.10530763654662967
276,-0.10472267526544132
277,-0.10212372990626906
278,-0.10490392844535379
279,-0.10279419269425272
280,-0.10326179419742654
281,-0.10414122418643645
282,-0.10501271950175961
283,-0.10457512321511131
284,-0.10364681712995949
285,-0.10220815807228123
286,-0.1054501878593389
287,-0.1051666770709685
288,-0.10904859008061074
289,-0.10963738017803115
290,-0.111693697368344
291,-0.11787171997700241
292,-0.11481793023435583
293,-0.11716683500304104
294,-0.11781988036980429
295,-0.11339253678356387
296,-0.11456268670811753
297,-0.11773570104184494
298,-0.11392331837751724
299,-0.10920142801617017
300,-0.10691234463789523
301,-0.11223683216502933
302,-0.10852488885292078
303,-0.1058499160723334
304,-0.10464581341610824
305,-0.10087657951534712
306,-0.10044121485640833
307,-0.09922932923814598
308,-0.10082623372720334
309,-0.10545891708157662
310,-0.10903092517277702
311,-0.11112477636317497
312,-0.10889080177236232
313,-0.10913938024534842
314,-0.10699290628159308
315,-0.1050283629833485
316,-0.10978707600964788
317,-0.10947987085126576
318,-0.10967675005808253
319,-0.1088814209414789
320,-0.10690937388008592
321,-0.10333817041840665
322,-0.1034878660737032
323,-0.09795388749710743
324,-0.09904576661280473
325,-0.09753330616408862
326,-0.09571717633810661
327,-0.09869799143152636
328,-0.09908564618649152
329,-0.09980032935758598
330,-0.09703429137804631
331,-0.09454176801060943
332,-0.09582454092222836
333,-0.09802739510003589
334,-0.1016505257800564
335,-0.09945907899086948
336,-0.10083890752431368
337,-0.10014516487086833
338,-0.10093015181436127
339,-0.10258462307058747
340,-0.1041615378073184
341,-0.10223463702490476
342,-0.1059576018547912
343,-0.10679630268571039
344,-0.1070296072153557
345,-0.10887962073396895
346,-0.10558566969265082
347,-0.10738307742554287
348,-0.11007356193889462
349,-0.11181050203271325
