t,position,trade,turnover,transaction_cost
0,-0.2263556487923025,-0.2263556487923025,0.2263556487923025,4.52711297584605e-05
1,-0.4916219183499463,-0.26526626955764376,0.26526626955764376,5.3053253911528754e-05
2,-0.5675753374885875,-0.07595341913864118,0.07595341913864118,1.5190683827728237e-05
3,-0.6664834989299397,-0.09890816144135228,0.09890816144135228,1.9781632288270457e-05
4,-0.7645071345588134,-0.09802363562887362,0.09802363562887362,1.9604727125774726e-05
5,-0.9734939414761463,-0.20898680691733296,0.20898680691733296,4.1797361383466595e-05
6,-0.7883403457380842,0.18515359573806212,0.18515359573806212,3.703071914761243e-05
7,-0.6233104664356564,0.16502987930242785,0.16502987930242785,3.300597586048557e-05
8,-0.9294488528208101,-0.3061383863851538,0.3061383863851538,6.122767727703077e-05
9,-1.0,-0.07055114717918987,0.07055114717918987,1.4110229435837974e-05
10,-1.0,0.0,0.0,0.0
11,-0.7481683756784556,0.2518316243215444,0.2518316243215444,5.036632486430888e-05
12,-0.6140387471739737,0.13412962850448196,0.13412962850448196,2.6825925700896394e-05
13,-0.7962816294849433,-0.18224288231096963,0.18224288231096963,3.6448576462193925e-05
14,-0.5686957329300255,0.2275858965549178,0.2275858965549178,4.551717931098356e-05
15,-0.4854146252717738,0.0832811076582517,0.0832811076582517,1.665622153165034e-05
16,-0.41099431420943966,0.07442031106233415,0.07442031106233415,1.4884062212466832e-05
17,-0.4858224525693468,-0.07482813835990715,0.07482813835990715,1.496562767198143e-05
18,-0.51880481890059,-0.03298236633124324,0.03298236633124324,6.596473266248649e-06
19,-0.5439498513597815,-0.02514503245919142,0.02514503245919142,5.029006491838284e-06
20,-0.6047592812595284,-0.060809429899746914,0.060809429899746914,1.2161885979949383e-05
21,-0.5015985852283142,0.10316069603121414,0.10316069603121414,2.0632139206242828e-05
22,-0.5906253749627891,-0.08902678973447486,0.08902678973447486,1.7805357946894974e-05
23,-0.62343013307454,-0.032804758111750876,0.032804758111750876,6.560951622350176e-06
24,-0.7862571527766331,-0.16282701970209312,0.16282701970209312,3.256540394041863e-05
25,-0.6660203665680331,0.12023678620860001,0.12023678620860001,2.4047357241720003e-05
26,-1.0,-0.3339796334319669,0.3339796334319669,6.679592668639338e-05
27,-1.0,0.0,0.0,0.0
28,-0.8505975663209427,0.14940243367905726,0.14940243367905726,2.988048673581145e-05
29,-0.7540417403680143,0.09655582595292844,0.09655582595292844,1.931116519058569e-05
30,-0.8367149277385798,-0.0826731873705655,0.0826731873705655,1.6534637474113103e-05
31,-0.9432992129589939,-0.10658428522041408,0.10658428522041408,2.1316857044082815e-05
32,-0.9793315482916692,-0.03603233533267536,0.03603233533267536,7.206467066535072e-06
33,-1.0,-0.02066845170833076,0.02066845170833076,4.133690341666152e-06
34,-1.0,0.0,0.0,0.0
35,-1.0,0.0,0.0,0.0
36,-0.7520757401576883,0.2479242598423117,0.2479242598423117,4.958485196846234e-05
37,-1.0,-0.2479242598423117,0.2479242598423117,4.958485196846234e-05
38,-1.0,0.0,0.0,0.0
39,-1.0,0.0,0.0,0.0
40,-1.0,0.0,0.0,0.0
41,-0.995594050583762,0.004405949416237953,0.004405949416237953,8.811898832475907e-07
42,-1.0,-0.004405949416237953,0.004405949416237953,8.811898832475907e-07
43,-0.9191996286517167,0.08080037134828333,0.08080037134828333,1.6160074269656666e-05
44,-0.781969682444221,0.13722994620749562,0.13722994620749562,2.7445989241499127e-05
45,-0.6248524121973941,0.15711727024682698,0.15711727024682698,3.1423454049365394e-05
46,-0.5852718873151096,0.039580524882284474,0.039580524882284474,7.916104976456894e-06
47,-0.5139634246294877,0.07130846268562185,0.07130846268562185,1.4261692537124372e-05
48,-0.7203075805544532,-0.20634415592496547,0.20634415592496547,4.12688311849931e-05
49,-0.6572045124940195,0.06310306806043375,0.06310306806043375,1.2620613612086751e-05
50,-0.6290539820317109,0.02815053046230853,0.02815053046230853,5.630106092461707e-06
51,-0.7832923015515494,-0.15423831951983846,0.15423831951983846,3.0847663903967695e-05
52,-0.9442336074975117,-0.16094130594596234,0.16094130594596234,3.218826118919247e-05
53,-0.945817428146343,-0.0015838206488312245,0.0015838206488312245,3.1676412976624494e-07
54,-0.9314239605943426,0.014393467552000327,0.014393467552000327,2.8786935104000656e-06
55,-1.0,-0.06857603940565737,0.06857603940565737,1.3715207881131476e-05
56,-1.0,0.0,0.0,0.0
57,-1.0,0.0,0.0,0.0
58,-0.7065557436231982,0.2934442563768018,0.2934442563768018,5.868885127536037e-05
59,-0.4636403607368596,0.24291538288633857,0.24291538288633857,4.858307657726772e-05
60,-0.7867374742556195,-0.32309711351875986,0.32309711351875986,6.461942270375198e-05
61,-0.9273438406654346,-0.14060636640981516,0.14060636640981516,2.8121273281963035e-05
62,-0.9563051930428935,-0.028961352377458893,0.028961352377458893,5.792270475491779e-06
63,-0.9558688048311084,0.00043638821178515474,0.00043638821178515474,8.727764235703096e-08
64,-0.9775711835119547,-0.021702378680846346,0.021702378680846346,4.34047573616927e-06
65,-1.0,-0.02242881648804529,0.02242881648804529,4.485763297609058e-06
66,-0.9853508596773866,0.014649140322613441,0.014649140322613441,2.9298280645226884e-06
67,-0.994821116271841,-0.00947025659445444,0.00947025659445444,1.894051318890888e-06
68,-0.9596407665134523,0.035180349758388685,0.035180349758388685,7.0360699516777375e-06
69,-1.0,-0.040359233486547685,0.040359233486547685,8.071846697309537e-06
70,-1.0,0.0,0.0,0.0
71,-1.0,0.0,0.0,0.0
72,-1.0,0.0,0.0,0.0
73,-1.0,0.0,0.0,0.0
74,-1.0,0.0,0.0,0.0
75,-0.8148104736156048,0.18518952638439523,0.18518952638439523,3.7037905276879045e-05
76,-0.7053178156506359,0.10949265796496888,0.10949265796496888,2.1898531592993775e-05
77,-0.7008877012697702,0.004430114380865713,0.004430114380865713,8.860228761731426e-07
78,-0.6016141830021502,0.09927351826761999,0.09927351826761999,1.9854703653523998e-05
79,-0.36995245722262027,0.23166172577952993,0.23166172577952993,4.633234515590599e-05
80,-0.5299988021906006,-0.16004634496798031,0.16004634496798031,3.2009268993596066e-05
81,-0.46709518882300327,0.06290361336759731,0.06290361336759731,1.2580722673519463e-05
82,-0.5424209409973116,-0.07532575217430837,0.07532575217430837,1.5065150434861675e-05
83,-0.543008349834091,-0.000587408836779324,0.000587408836779324,1.1748176735586481e-07
84,-0.43727021465330473,0.10573813518078623,0.10573813518078623,2.1147627036157246e-05
85,-0.3084265435469552,0.12884367110634953,0.12884367110634953,2.5768734221269908e-05
86,-0.6083574019182625,-0.2999308583713073,0.2999308583713073,5.998617167426146e-05
87,-0.6201063920427332,-0.011748990124470726,0.011748990124470726,2.3497980248941453e-06
88,-0.7973387769859139,-0.17723238494318072,0.17723238494318072,3.544647698863615e-05
89,-0.9933339150333081,-0.1959951380473942,0.1959951380473942,3.9199027609478846e-05
90,-0.8808220354631026,0.11251187957020559,0.11251187957020559,2.250237591404112e-05
91,-0.9924592529967964,-0.11163721753369382,0.11163721753369382,2.2327443506738765e-05
92,-1.0,-0.007540747003203618,0.007540747003203618,1.5081494006407237e-06
93,-1.0,0.0,0.0,0.0
94,-1.0,0.0,0.0,0.0
95,-0.9015048484319765,0.09849515156802346,0.09849515156802346,1.9699030313604693e-05
