t,drawdown
0,0.0
1,0.0
2,-0.015758004345798327
3,-0.02102169586111835
4,-0.024638624028523348
5,-0.021401034882200465
6,-0.04833382324379598
7,-0.02326804429958651
8,-0.05039720539606152
9,-0.050210596883024206
10,-0.03705291057632487
11,-0.03790311426449977
12,-0.03976935202184506
13,-0.03982292772862206
14,-0.03582220088043153
15,-0.04201509992593089
16,-0.01274863873595411
17,-0.037339181919382236
18,-0.0474972561283159
19,-0.04581509520210569
20,-0.044656634906616754
21,-0.04078398657934257
22,-0.03538315702560879
23,-0.05824672615076765
24,-0.06247047951307039
25,-0.0842507811742107
26,-0.07552365962888719
27,-0.07261838307640045
28,-0.07923309942518775
29,-0.05907136397595547
30,-0.051999629099931055
31,-0.0660605784077406
32,-0.09054290641940288
33,-0.10237588517234597
34,-0.0932575446066275
35,-0.08427407933444309
36,-0.07338800769111009
37,-0.07877159812954293
38,-0.0750733317600275
39,-0.06361516498400133
40,-0.09228472297832668
41,-0.08224758229032902
42,-0.06529030980235395
43,-0.06418773098940955
44,-0.07135827023028452
45,-0.06714860948093038
46,-0.030558702357684098
47,-0.03170661431401889
48,-0.001167890201434485
49,-0.013319921720481465
50,-0.013575251369039476
51,-0.014716800933132768
52,-0.0038722778987254625
53,0.0
54,-0.013075218464783989
55,-0.008292749085398676
56,-0.025309663010924188
57,-0.034002558676678785
58,-0.04146763872937642
59,-0.02572367874742587
60,-0.03632967982760593
61,-0.04514612712079047
62,-0.05030975104458091
63,-0.050321464224832635
64,-0.05664162834913278
65,-0.0591832684257515
66,-0.05785069123386688
67,-0.03596379801696992
68,-0.028921132030884866
69,-0.022115557684409537
70,-0.00871018083246311
71,-0.011844080638513499
72,-0.009198825970155866
73,-0.027558424809477344
74,0.0
75,-0.0064592713113301725
76,-0.008713422851101216
77,-0.006517760650143867
78,0.0
79,0.0
80,0.0
81,-0.0004952042200753182
82,-0.0008799987604276582
83,-0.016596189490477364
84,-0.019086781161360644
85,-0.0290673465226996
86,0.0
87,-0.002979164935616785
88,-0.0003661984984392186
89,0.0
90,-0.020844004469841027
91,-0.03144667550316915
92,-0.05491121381307862
93,-0.06054472004625189
94,-0.058213138428316435
95,-0.04701858065350095
96,-0.05929035888028744
97,-0.04999202576899353
98,-0.050235449514826835
99,-0.0320722591739272
100,-0.04933779356974766
101,-0.04930734896903366
102,-0.039606260764114554
103,-0.02466322638520657
104,-0.011704733896824804
105,-0.013718822769545613
106,0.0
107,0.0
108,-0.009578651691949935
109,0.0
110,-0.03361993298307164
111,-0.016572676386881646
112,-0.017542115256321766
113,-0.005089444338822857
114,0.0
115,-0.0038914179279746497
116,0.0
117,-0.024310600447161934
118,-0.0003166741869501388
119,-0.005081387485192601
120,-0.02091728241222135
121,-0.038454933605724384
122,-0.03434727351382694
123,-0.05426646584169903
124,-0.042190972130900506
125,-0.06122009902878833
126,-0.07961572735363953
127,-0.0924199354160068
128,-0.07517189033385996
129,-0.08137180614628214
130,-0.07560295624671742
131,-0.06629457924721183
132,-0.06541612431125665
133,-0.07394172157774936
134,-0.06756506913633697
135,-0.051321795718182295
136,-0.05740311566049994
137,-0.06101986922873137
138,-0.06746837468603883
139,-0.06862207048514424
140,-0.05539218352202924
141,-0.05560689555678211
142,-0.04910891946508822
143,-0.03214939735028599
144,-0.03971063074829062
145,-0.04810014619538594
146,-0.048446387845002103
147,-0.037222436886790944
148,-0.051475501850739236
149,-0.0664362873519414
150,-0.08444326036530991
151,-0.07835965734729733
152,-0.10097282433967814
153,-0.0869866087788046
154,-0.11492961611589247
155,-0.12419500087637725
156,-0.12164211237971323
157,-0.12953852268828348
158,-0.12303283670016618
159,-0.11721775825986591
160,-0.13450851933940133
161,-0.10994859341057639
162,-0.11980473321295626
163,-0.13767102529439423
164,-0.14229059704846303
165,-0.1375372965837578
166,-0.1442033636718678
167,-0.1457982161004624
168,-0.1528194734290691
169,-0.1552669804260065
170,-0.13525529701042793
171,-0.12648019183101733
172,-0.12866766455408174
173,-0.12817293788457385
174,-0.1291142481453076
175,-0.11839984738078912
176,-0.11843264836915424
177,-0.12551886438241056
178,-0.1252828385488517
179,-0.13047037505324355
180,-0.1388792248801557
181,-0.13980481886461615
182,-0.13775141086052967
183,-0.1352390697073368
184,-0.11639890023830857
185,-0.13169733248317927
186,-0.124701446219183
187,-0.12119511179245945
188,-0.1300717244616355
189,-0.09909751041938486
190,-0.10116357393298936
191,-0.08677921797632693
192,-0.10076928998580426
193,-0.13495749654938138
194,-0.122887273076551
195,-0.09973517569980439
196,-0.07705485457298633
197,-0.029695397785019284
198,-0.04494670285418567
199,-0.018615794454415524
200,-0.022863401032556685
201,-0.034667599747803646
202,-0.027225441442426113
203,-0.03734006105521748
204,-0.040627394406204
205,-0.03947685598609052
206,-0.040470693468922514
207,-0.03746128090461531
208,-0.03575580307481341
209,-0.05022589054951143
210,-0.05158971685497338
211,-0.061070026257014964
212,-0.06522804774013657
213,-0.08075948420282952
214,-0.07137325886408163
215,-0.07051782820153385
216,-0.06589177761213028
217,-0.0694663716543561
218,-0.06705645276869432
219,-0.07267828927898623
220,-0.07521520221314026
221,-0.09001173617798242
222,-0.07259515833175068
223,-0.07963715602117694
224,-0.0817615871890166
225,-0.0805629703398536
226,-0.06377448580285483
227,-0.05698981883360643
228,-0.05763819994128949
229,-0.056610565442862804
230,-0.06482126625698625
231,-0.0623546942958535
232,-0.04721303665570942
233,-0.04327405929033146
234,-0.03155569775554656
235,-0.0033690226175513427
236,-0.015275595581923263
237,-0.020230019623167617
238,-0.01344345236512845
239,-0.02121106958526875
240,-0.035027766641975266
241,-0.03751030903338404
242,-0.051841128547729154
243,-0.05965429206336881
244,-0.06895107611208695
245,-0.07680714210235651
246,-0.07754632144670026
247,-0.0826235026767489
248,-0.08593794008437505
249,-0.09233128847005734
250,-0.04832360698539684
251,-0.03871697114729944
252,-0.006290168272370056
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,-0.017626399389790826
259,-0.02025088109792239
260,-0.03474907443914976
261,-0.0381932809318033
262,-0.035153700959606016
263,-0.04279352223322874
264,-0.044861957693142385
265,-0.07454154534674551
266,-0.07103566161696695
267,-0.07250825105305259
268,-0.06803025088189751
269,-0.06386204169764953
270,-0.05172734206892704
271,-0.07125243379033075
272,-0.06932620051803706
273,-0.046563314163745706
274,-0.057243060922960276
275,-0.053495818200716916
276,-0.04333035101295146
277,-0.0196729923917901
278,-0.009314265073879113
279,-0.0023994413634879086
280,-0.0024672778023798747
281,-0.006085690775519237
282,-0.016920550556978498
283,0.0
284,-0.01819524446989451
285,-0.013145345429501964
286,0.0
287,-0.00751068703075064
288,-0.016620960844328847
289,-0.012990844628098519
290,0.0
291,0.0
292,0.0
293,0.0
294,-0.020499873283911008
295,-0.010235157724215349
296,-0.00998488351487048
297,-0.055387753844997945
