t,drawdown
0,0.0
1,0.0
2,-0.0019296327984283934
3,-0.004010977909949087
4,-8.20120211169062e-05
5,0.0
6,0.0
7,0.0
8,0.0
9,-0.0039794932872766475
10,-0.0008158414880777842
11,0.0
12,0.0
13,-0.01096543653072568
14,-0.008682075394249478
15,-0.006215455232560174
16,-0.006909758419551215
17,-0.005623559526509836
18,-0.01152388779133684
19,-0.009101602888732074
20,-0.007444499554780437
21,-0.006491033571257132
22,-0.012654748485900313
23,-0.00593219264471434
24,-0.006019350267334245
25,-0.002281495373541942
26,0.0
27,-0.0036688569084376565
28,-0.009583268655854238
29,-0.00923322987303088
30,-0.004025808534672826
31,-0.009700338928359198
32,-0.005067989526084449
33,-0.002968318381437407
34,-0.0058713332398318
35,-0.00722429219179721
36,-0.006507746122527136
37,-0.00028322296348737286
38,-0.0018011338806183108
39,-0.005606082433612936
40,-0.0021057859440025695
41,-0.004032424095258391
42,-0.011332731203140711
43,-0.008406998762245488
44,-0.008293724197645624
45,-0.0036511355865069817
46,0.0
47,-0.002856190512362633
48,-0.00028605721145191776
49,0.0
50,0.0
51,-0.0007018297908018001
52,-0.00125042158909916
53,-3.5106400779971736e-05
54,0.0
55,-0.0010323110355006104
56,-0.007439835028165587
57,-0.01217812620650316
58,-0.015522341673120055
59,-0.01661798599513542
60,-0.018516328788168224
61,-0.02332214383568343
62,-0.023109299768389713
63,-0.0190086386406213
64,-0.017910401654478325
65,-0.020235284262259623
66,-0.02052452656486059
67,-0.022875743350058597
68,-0.02414150876347243
69,-0.023346335169112886
70,-0.01996289292185849
71,-0.017866912307758165
72,-0.019562302242110974
73,-0.016658077872529597
74,-0.019791577981651542
75,-0.019031149209159937
76,-0.021988097978482002
77,-0.015191894055986088
78,-0.010705265507465755
79,-0.007926854372496406
80,-0.005530944627938683
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,-0.0010152087088692863
88,-0.00060532062169949
89,-0.002402090046652039
90,0.0
91,-0.002379739748950338
92,0.0
93,0.0
94,0.0
95,0.0
96,-0.0021939841376612534
97,0.0
98,-0.0035298527582763306
99,-0.008389807162684226
100,0.0
101,-0.0017012609315567584
102,0.0
103,-0.00202978352415506
104,0.0
105,-0.0005140482290051374
106,-0.009126802259754041
107,-0.017949258603410123
108,-0.014204804338055155
109,-0.010955480203172274
110,-0.008310809487624637
111,-0.009192677431946406
112,-0.003978875652168701
113,-0.0029996535465419694
114,0.0
115,-0.00048809080340883604
116,0.0
117,-0.0041136077906547275
118,-0.0020535962809479225
119,-0.005580977524726194
120,-0.009024546360412278
121,-0.001824044598196739
122,-0.003982690204883843
123,-0.013784804686853835
124,-0.01134154413654076
125,-0.015896609845364007
126,-0.006460840871127638
127,0.0
128,0.0
129,0.0
130,-0.0002611680847355302
131,-0.004383678460900375
132,-0.00672942846750324
133,-0.00034844261901278983
134,-0.00527698467843829
135,-0.0036294852945267797
136,0.0
137,-0.0032120584310115774
138,-0.0023482919043684714
139,-0.008430563803755287
140,-0.014656049422173023
141,-0.01741276939624503
142,-0.018900102300083432
143,-0.01983209540777664
144,-0.025697481225892882
145,-0.024746452330152824
146,-0.03244091537554461
147,-0.04279664755035417
148,-0.04330786191715785
149,-0.048183928281496646
150,-0.05497967311736429
151,-0.055644611870859007
152,-0.058817561217927916
153,-0.05523158894530855
154,-0.06001762398688959
155,-0.06052604503859138
156,-0.05914128900902549
157,-0.06733646217094702
158,-0.06717450031766226
159,-0.0676644839540772
160,-0.06250100584409857
161,-0.0631695120033936
162,-0.06267040287582237
163,-0.06537929801348819
164,-0.06330209920503715
165,-0.06049646481532123
166,-0.05508610708982464
167,-0.05406772501777124
168,-0.04555811786791386
169,-0.04974528420267921
170,-0.05501859025325695
171,-0.04502432274697199
172,-0.03527480830596563
173,-0.03863149189978132
174,-0.04139662594316418
175,-0.04634165746843266
176,-0.05085633973319037
177,-0.045052171991670664
178,-0.03938237817977608
179,-0.041373735301517445
180,-0.03842502043032969
181,-0.044777677687674045
182,-0.04466211869523695
183,-0.04156322586559846
184,-0.042596812856319666
185,-0.04209111395778553
186,-0.04060560171350791
187,-0.039929071272449046
188,-0.042666349730602904
189,-0.03897178022168468
190,-0.04484208631168285
191,-0.04775264932064616
192,-0.04052498305044583
193,-0.0413433471304262
194,-0.04394465646550105
195,-0.04234149558191158
196,-0.041198754219314404
197,-0.037097743585754905
198,-0.04063883911365396
199,-0.03785143907705346
200,-0.031222009842942766
201,-0.03348938353546149
202,-0.025705048548104847
203,-0.026409973059621006
204,-0.028451730728606628
205,-0.023010682041765373
206,-0.028898908893076558
207,-0.03354134758581062
208,-0.03436328392174548
209,-0.042105384787127
210,-0.044858362103058935
211,-0.04632237636437453
212,-0.05139628191982171
213,-0.048220185292135787
214,-0.04770367710483159
215,-0.0435117337805222
216,-0.04855487493818489
217,-0.0452007620460656
218,-0.04145209007538542
219,-0.04227307729390728
220,-0.041831464633894755
221,-0.04011823442465945
222,-0.03987858163772218
223,-0.03517468233989007
224,-0.038382819026022696
225,-0.04594455501419703
226,-0.04281503782573892
227,-0.04298942471979772
228,-0.044671619688936626
229,-0.044933622970581344
230,-0.04938716223633832
231,-0.04554453459207719
232,-0.0493012655664502
233,-0.05534372651447439
234,-0.06225230114021718
235,-0.06519599464210712
236,-0.06455682119398165
237,-0.05858624300225468
238,-0.05512184074237125
239,-0.056314327766399
240,-0.05284673835192122
241,-0.04979367030183102
242,-0.049143395621031094
243,-0.04534470880631036
244,-0.04566590259311465
245,-0.04963543620638022
246,-0.05703010165770939
247,-0.06249910894193067
248,-0.05807489039207536
249,-0.06157921392646826
250,-0.057068133209562166
251,-0.05702382516066273
252,-0.06076422447914698
253,-0.061474280243926316
254,-0.057629068781977155
255,-0.05401595411555438
256,-0.04916100523851752
257,-0.061504231075238947
258,-0.05985080341970883
259,-0.05568858981655256
260,-0.052054227726994085
261,-0.06166171555412425
262,-0.06498885869847415
263,-0.0645680215808796
264,-0.07034639034265622
265,-0.06964221051602693
266,-0.07779730078855596
267,-0.0791440467139668
268,-0.07993175532617025
269,-0.08076348701275737
270,-0.08180350865883046
271,-0.0784160771032858
272,-0.07992804394080721
273,-0.08401984999465684
274,-0.07978846087291014
275,-0.07364649825048442
276,-0.08006362482335239
277,-0.0873361577102667
278,-0.09237763908207752
279,-0.09370306383158189
280,-0.09266045018790403
281,-0.0984693440209059
282,-0.09161598452356767
283,-0.0913894870373616
284,-0.0971839310402356
285,-0.09194242427735866
286,-0.10043000695585169
287,-0.10284166588010757
288,-0.10723341559991506
289,-0.10888474532540804
290,-0.10799399396035503
291,-0.11241311239148655
292,-0.1126384379435893
293,-0.10675646820426388
294,-0.10134687595445335
295,-0.0976105171023629
296,-0.0899087885796429
297,-0.09074015581927908
298,-0.08423862155012296
299,-0.08224543930468386
