t,drawdown
0,-0.001366857584163772
1,-0.002756162985759758
2,-0.001253737048326542
3,-0.0007015809006072349
4,0.0
5,0.0
6,-0.0013090755331084392
7,-0.0026047942610086805
8,-0.003005681197068455
9,-0.0026900834662288986
10,-0.004602843507663934
11,-0.0028227646083726077
12,-0.003155911451346194
13,-0.005663813448275379
14,-0.0049447571774872134
15,-0.007224221884725268
16,-0.007662585538176669
17,-0.008957643529979409
18,-0.009998363921832842
19,-0.013374485404971548
20,-0.011590364723871094
21,-0.01142618054799105
22,-0.010028343329369083
23,-0.010273321547627723
24,-0.01061359873353429
25,-0.009483384260666305
26,-0.009164192721592745
27,-0.007563500160563508
28,-0.008597251895603453
29,-0.008382869256366554
30,-0.008200305482897852
31,-0.008627993312146698
32,-0.0067100006602945905
33,-0.00432748724176546
34,-0.004702615042102232
35,-0.004216612747425019
36,-0.001978058228525592
37,-0.0011506512862765605
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,-0.001198784703392075
46,-0.0008665083092156411
47,-0.0023419630951457826
48,-0.0030448201621651183
49,-0.002459562094365042
50,-0.002597222361543361
51,-0.0008814932381624452
52,0.0
53,0.0
54,-0.0018542115800478376
55,-0.00020958010339078292
56,0.0
57,0.0
58,0.0
59,-0.0008901541363944832
60,0.0
61,-0.0030570084326577707
62,-0.0019242437106624655
63,-0.00045278262569903305
64,-0.0009783675831449568
65,-0.00012672346209097185
66,-0.00028044735521115527
67,-0.0003551380819692973
68,0.0
69,-0.0010630946721363888
70,-0.0023157996946349124
71,-3.5868968277563695e-05
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,-0.0022662841046966475
80,-0.0033431855542880307
81,-0.0018582053678275479
82,-0.003237267525417975
83,-0.0037812558136316454
84,-0.002600813145371861
85,-0.0022551723628830844
86,-0.0027855647659841276
87,-0.005654949406367793
88,-0.003628384681927277
89,-0.0033860592141743417
90,-0.0018158315948743065
91,-0.0022395354033935
92,-0.003431147925269662
93,-0.004163893937043639
94,-0.0032873849537496946
95,-0.006246454483852748
96,-0.004160353729047661
97,-0.0021154748875646945
98,-0.0004099370754916398
99,-0.0017160152235219384
100,-0.0027150665288808717
101,-0.0032971999296660393
102,-0.0025788148116349108
103,0.0
104,-0.00027876262246617767
105,-0.00044430973822462416
106,-0.0014584070140268857
107,-0.0011572530511826384
108,-0.011135209426820447
109,-0.015567894505311708
110,-0.018548166458280613
111,-0.0233270461574695
112,-0.02621490806404403
113,-0.02814517602427591
114,-0.02908041829794239
115,-0.03133219612789684
116,-0.03508019888509062
117,-0.03823371587791358
118,-0.04087008276300386
119,-0.04280829653437068
120,-0.04091720067969262
121,-0.0394551648420195
122,-0.03928714071821737
123,-0.04049257108932203
124,-0.03788047612832657
125,-0.036115647456464894
126,-0.037047498590308314
127,-0.03789473856864811
128,-0.03850247714990662
129,-0.038959117490070305
130,-0.036965813649462165
131,-0.03912052474240413
132,-0.041214636885752665
133,-0.041124817992360785
134,-0.03884554800066187
135,-0.04268470278628522
136,-0.041601107834553064
137,-0.04309363963100432
138,-0.04276797182097458
139,-0.04453518996255745
140,-0.04407835702327989
141,-0.04557643855837512
142,-0.0446243428331512
143,-0.04539208682443452
144,-0.04558473718974043
145,-0.04617225432550931
146,-0.04909854298047511
147,-0.04633447954165659
148,-0.0464023611679395
