t,drawdown
0,-0.009437336619828707
1,0.0
2,-0.0035797918083573244
3,-0.005553114544674109
4,-0.010726420880768583
5,-0.011769203074305068
6,-0.0065722446265376044
7,-0.019752252669468784
8,-0.00984345356007077
9,-0.02396429359525787
10,-0.018055663012086165
11,-0.030756248977736433
12,-0.028683936999504556
13,-0.02350104179649415
14,-0.01961341904578895
15,-0.0017889844817919887
16,0.0
17,-0.02512045962719034
18,-0.03090741183276635
19,-0.06270594321053513
20,-0.028587202155108127
21,-0.030805793374647283
22,-0.055558091507981744
23,-0.07368231263826364
24,-0.09115986456123804
25,-0.11408445380416488
26,-0.12086854898428012
27,-0.1338503632201402
28,-0.1345804882236593
29,-0.12517813985440585
30,-0.125436151286344
31,-0.11777370549811284
32,-0.1195288785355555
33,-0.13236036257981032
34,-0.14078056780841663
35,-0.14088280684687005
36,-0.1413462919000802
37,-0.14493732359442402
38,-0.15855297280343428
39,-0.15148607700945282
40,-0.14280246540267516
41,-0.1319763706931142
42,-0.14152741199666918
43,-0.14593090401848618
44,-0.15249227611949046
45,-0.14458886999257659
46,-0.14251498074161684
47,-0.15133981098930005
48,-0.16550974729289458
49,-0.140566272277598
50,-0.1318855620842102
51,-0.12307018078990684
52,-0.13343420719422072
53,-0.1286542195334638
54,-0.12964166555275947
55,-0.13563007008462846
56,-0.14412172081619767
57,-0.13225467984073658
58,-0.09362733270286694
59,-0.09218887244703522
60,-0.09649288534180267
61,-0.10513869950345012
62,-0.12165769324587272
63,-0.12749145047210342
64,-0.1291026048403453
65,-0.11990221209898633
66,-0.1090522931008443
67,-0.08889796801721428
68,-0.09165343909311408
69,-0.10224386483492953
70,-0.10659458044912462
71,-0.1051136842205983
72,-0.07649263262467576
73,-0.06318956790860797
74,-0.03598001270678275
75,-0.040214831981230326
76,-0.031221216806684438
77,-0.028354805406406225
78,-0.027625572292718892
79,-0.045347511877499636
80,-0.04022296429453798
81,-0.05423030720652522
82,-0.02146700769592924
83,-0.012927676737042426
84,-0.02191377989064547
85,0.0
86,0.0
87,0.0
88,-0.010706391268936133
89,0.0
90,0.0
91,0.0
92,-0.0013157772788016109
93,-0.010295704008703832
94,0.0
95,0.0
96,0.0
97,-0.02688339655134042
98,-0.036522739481793964
99,-0.043612461825531135
100,-0.049438790910074526
101,-0.07679210366163336
102,-0.09452429673565588
103,-0.09492555576752959
104,-0.09543972198399853
105,-0.10677593859810242
106,-0.07934755294839135
107,-0.08133783362811997
108,-0.07675981036851309
109,-0.09097107822753825
110,-0.11188246442065075
111,-0.12262967060647667
112,-0.10848431008435622
113,-0.10312699435083061
114,-0.10964261641442863
115,-0.1018946570945769
116,-0.09021448351147288
117,-0.10244690047247429
118,-0.12074334024483702
119,-0.12719865932270447
120,-0.13196395423926432
121,-0.1356735609424079
122,-0.11818441949615421
123,-0.12838707904115687
124,-0.13992108143968562
125,-0.1365929472091434
126,-0.14367665859389533
127,-0.13614888499123856
128,-0.15123465139495407
129,-0.15929844795897818
130,-0.1610706782965895
131,-0.1548495321565717
132,-0.1553518424292507
133,-0.15620145017529063
134,-0.17088403527021911
135,-0.16397691685064175
136,-0.1534576752839647
137,-0.15519441600158645
138,-0.15254827592199438
139,-0.17644274542674576
140,-0.16408480811995374
141,-0.14945879962303577
142,-0.15978957634771984
143,-0.16975275459663497
144,-0.16866202611509273
145,-0.1664047219024295
146,-0.1449235901137167
147,-0.14487742329021136
148,-0.1682890752050492
149,-0.15042528925969545
150,-0.13302633336297165
151,-0.15692705752698566
152,-0.16028226491503628
153,-0.1641283988705633
154,-0.17558741192890281
155,-0.16886329637119346
156,-0.17216256237316085
157,-0.1615488290770738
158,-0.15564324224409365
159,-0.16521241122997787
160,-0.14889490197123767
161,-0.12705279150670568
162,-0.12539032208798273
163,-0.12239600538443529
164,-0.13925954604219926
165,-0.1378967597986338
166,-0.16286354573238648
167,-0.1668644875747629
168,-0.15495711789558386
169,-0.152053576019465
170,-0.16383311739210515
171,-0.1432485887245093
172,-0.14083833810964075
173,-0.12472336961285457
174,-0.11005718145956489
175,-0.11477802833548179
176,-0.12613808057830755
177,-0.13931360395736292
178,-0.1320514840180942
179,-0.13484415656197357
