t,drawdown
0,-0.007664658506906674
1,-0.005918495766992771
2,-0.009241190607936045
3,-0.008546955181021665
4,-0.03844924906586922
5,-0.03747512227434502
6,-0.03431101024197092
7,-0.05169833264846557
8,-0.05531995176543514
9,-0.03756608573512432
10,-0.06957734413281569
11,-0.09189723537667094
12,-0.08295012870217111
13,-0.09028532170278003
14,-0.08582321770057155
15,-0.08780156842968145
16,-0.09988692318346692
17,-0.10620750472112461
18,-0.10196887531676024
19,-0.11880976042155655
20,-0.1257995007540491
21,-0.13637219183876714
22,-0.15483515570268291
23,-0.15093391843916637
24,-0.14057654085408178
25,-0.1431551384184827
26,-0.12922114479456126
27,-0.12298042744724691
28,-0.12431524814171524
29,-0.12432489702192595
30,-0.10278126023255496
31,-0.10874982715187198
32,-0.0938861650199414
33,-0.1053513550414058
34,-0.10677186204292022
35,-0.10677116437389467
36,-0.10915931614037666
37,-0.10009417247903629
38,-0.1080357635439757
39,-0.1006282017515483
40,-0.09588364067528377
41,-0.07533821603623936
42,-0.09176120325128967
43,-0.07731788209256896
44,-0.10137659590699244
45,-0.10614172968677038
46,-0.11628104184286225
47,-0.08536638528263485
48,-0.09849166272196552
49,-0.09058609441487186
50,-0.07370249161564024
51,-0.04203831159389704
52,-0.047423247416946146
53,-0.03816419326683673
54,-0.04478338218773237
55,-0.06213840618927158
56,-0.06339599947303487
57,-0.08125413561730332
58,-0.08748906767435982
59,-0.0722697022349601
60,-0.06321196459746525
61,-0.07496345638688873
62,-0.05406389584917559
63,-0.06616509146137883
64,-0.0615422643362038
65,-0.08222013566595188
66,-0.0781095734177839
67,-0.07722671444215456
68,-0.06502459335536115
69,-0.05160201690640209
70,-0.06588513350492298
71,-0.07256495824704501
72,-0.08011373074144768
73,-0.09205181671266605
74,-0.07607068725868582
75,-0.0645261575852023
76,-0.06369029084179345
77,-0.06683868157900563
78,-0.05892583578788524
79,-0.0625449735544541
80,-0.03742823966537323
81,-0.04705953332262791
82,-0.0615584446197992
83,-0.06961364212169274
84,-0.0805862038433085
85,-0.08512460186980786
86,-0.10730609886645093
87,-0.09381375388321511
88,-0.07941438688610702
89,-0.06352741037856502
90,-0.07781031344414491
91,-0.07405337697846881
92,-0.060965822323016394
93,-0.07608391176758322
94,-0.06523017915442031
95,-0.06720811026255136
96,-0.04696768461702616
97,-0.05895938705394166
98,-0.06096139410580592
99,-0.06651748168393967
100,-0.0721929773719282
101,-0.04692770566476512
102,-0.03749561389186662
103,-0.03307403214695348
104,-0.029915074156253385
105,-0.019642094219941675
106,-0.00696188977355916
107,-0.01702808178012949
108,-0.0223383122143902
109,-0.017149208460548127
110,-0.0005207944273993848
111,-0.02335726297285423
112,-0.01172531760952289
113,0.0
114,-0.006092905494308076
115,-0.0075822107076561895
116,0.0
117,0.0
118,-0.005969572164986281
119,-0.0201170701300738
120,-0.012742669066836076
121,-0.02126210255370864
122,-0.011503546290307254
123,-0.009798744213754373
124,-0.004168342214539877
125,-0.00825822097239537
126,0.0
127,-0.00761725127329127
128,-0.03627752013360641
129,-0.03428070003054895
130,-0.015455588118461594
131,-0.014934561970806448
132,0.0
133,0.0
134,-0.017018260060107426
135,-0.035638039301572055
136,-0.054277391864905544
137,-0.06836557078724415
138,-0.06024338094594606
139,-0.03891360908504926
140,-0.04510039364624674
141,-0.05171598249506859
142,-0.05348139732437707
143,-0.05035338625994856
144,-0.053994383039390415
145,-0.037666443386492054
146,-0.03369636244230334
147,-0.02504945074949816
148,-0.017044231204657145
149,-0.032750338203383245
150,-0.0577307716574037
151,-0.04295079999211204
152,-0.07063963101046966
153,-0.06097225566605646
154,-0.07874954109975518
155,-0.05658765883434502
156,-0.06221353542070973
157,-0.07781679095747562
158,-0.05813803636647463
159,-0.059697714110821365
160,-0.04774789111525901
161,-0.04681155348399657
162,-0.06883095061624656
163,-0.08761536978868811
164,-0.09554528611022683
165,-0.09291546925641536
166,-0.0876325026573499
167,-0.0911147870443314
168,-0.09109405656533687
169,-0.09361652455825553
170,-0.08065439023305176
171,-0.08747135846700826
172,-0.09747576436933747
173,-0.11993392493682076
174,-0.10529676804676191
175,-0.09490963056787594
176,-0.09535919973917628
177,-0.09957045322643598
178,-0.10435736970758713
179,-0.10557230721258859
180,-0.08609883682808595
181,-0.12020105749208776
182,-0.11313616479235966
183,-0.09647284312273052
184,-0.1055521139993213
185,-0.101960219436947
186,-0.10425741357225138
187,-0.12643531693317855
188,-0.13110851963233927
189,-0.11971669401153662
190,-0.13113313387417014
191,-0.12703199732370174
192,-0.1218710250997086
193,-0.1150397272403404
194,-0.1344195472994344
195,-0.14797603738969645
196,-0.12569043837420302
197,-0.11532614570106547
198,-0.12970405134010066
199,-0.129853508903241
200,-0.14699037785785996
201,-0.13641214438723248
202,-0.13106935923285223
203,-0.11495482957952008
204,-0.1060297393421703
205,-0.08199674908366716
206,-0.08416192757454788
207,-0.06345878693110019
208,-0.04790523349615394
209,-0.039908014167350125
210,-0.04839319402012754
211,-0.03423791667635001
212,-0.03151501015063385
213,-0.027762082365775265
214,-0.03749902814879513
215,-0.04121769952058818
216,-0.04091676732972649
217,-0.043548920189089846
218,-0.04316657255169842
219,-0.06800916005071833
220,-0.06696984976822795
221,-0.059925632653938576
222,-0.018227955191931655
223,0.0
224,-0.0070384719917422345
225,-0.020211883391978658
226,-0.01975885220400342
227,-0.0036824212679955615
228,0.0
229,0.0
230,-0.004354201447754225
231,0.0
232,0.0
233,0.0
234,-0.026730759794875825
235,-0.00562731579803899
236,-0.016286503766908322
237,-0.013119918361569005
238,-0.01233478493425244
239,-0.0467342002642972
240,-0.02619294014929896
241,-0.04289024656311535
242,-0.05032968723939213
243,-0.03893086256528733
244,-0.042446567000291036
245,-0.03379350627833577
246,-0.05544518810710386
247,-0.03870583605329225
248,-0.04105308336581892
249,-0.03467742691132758
250,-0.016010242077910686
251,0.0
252,-0.0065070543634652145
253,0.0
254,0.0
255,0.0
256,-0.013595221337868502
257,-0.03404981814396424
258,-0.05508353467169891
259,-0.04559102292217243
260,-0.04305989767785423
261,-0.05665366039861508
262,-0.06001409831061566
263,-0.05995522687522792
264,-0.05249564414084451
265,-0.03945937640742525
266,-0.04108464374034004
267,-0.06130835915545152
268,-0.07960647293553802
269,-0.09232947524674262
270,-0.08050261861791541
271,-0.05933911930203917
272,-0.06675894696991291
273,-0.054697336832600474
274,-0.05174349098233999
275,-0.029454169735963487
276,-0.05172851623814345
277,-0.05864128083039444
278,-0.06344104702545905
279,-0.07483516478579211
280,-0.09165139340999917
281,-0.09770290892208067
282,-0.07476565267607371
283,-0.09079833900521805
284,-0.06995562639447606
285,-0.04878482528405659
286,-0.0449117253413136
287,-0.03525818611331244
288,-0.03758750349239226
289,-0.02595763241010629
290,-0.04401702537337093
291,-0.0693725237966557
292,-0.04250425621346898
293,-0.06523135168200245
294,-0.04035172449176916
295,-0.04644556591529847
296,-0.06928276324914384
297,-0.057133396100600975
298,-0.057118630156726025
299,-0.06708230343078303
300,-0.06255109465258246
301,-0.06927474198412298
302,-0.07840145681298571
303,-0.10583872223889079
304,-0.12371666716476337
305,-0.1346379076332157
306,-0.12482827398384655
307,-0.12302576137271026
308,-0.11199598341596062
309,-0.12093775447681976
310,-0.1278526687993512
311,-0.12778526898452092
312,-0.14616529330137018
313,-0.12667680667547543
314,-0.10788597168506397
315,-0.10000535777102948
316,-0.09806259248875837
317,-0.09354813608958457
318,-0.07553465828224704
319,-0.07370628167152593
320,-0.07217322234981594
321,-0.0988352494995286
322,-0.08972433611465458
323,-0.07693383408071786
324,-0.07798870090863574
325,-0.11190531724223973
326,-0.0834884114974358
327,-0.1077508121815296
328,-0.12318231367819388
329,-0.10169079886742205
330,-0.09012673495625001
331,-0.057143312664135526
332,-0.04746597709808431
333,-0.04890037898141519
334,-0.06672118249033798
335,-0.04527094698536016
336,-0.045962356322764464
337,-0.04581133635881263
338,-0.07396683998870246
339,-0.06574700448271242
340,-0.06664784061224815
341,-0.07290392095134368
342,-0.0855525140234139
343,-0.1035666254398131
344,-0.10823290438479716
345,-0.10852419461827545
346,-0.12229542185617304
347,-0.12883237584678364
348,-0.11174905910320221
349,-0.12070283696214723
350,-0.13689169573620186
351,-0.14819816584781131
352,-0.16110481535032994
353,-0.15853598369126498
354,-0.15991285293291602
355,-0.15429741774621442
356,-0.1660329948020548
357,-0.1422709051044696
358,-0.16597987546215587
359,-0.16775328878861284
360,-0.1753598125406447
361,-0.17099751990806988
362,-0.18231619967394197
363,-0.18035668866894639
364,-0.16409783653041055
365,-0.16163289171078365
366,-0.1608344559013557
367,-0.17274131057687703
368,-0.16297876938998723
369,-0.18083605535938518
370,-0.1723084014325661
371,-0.16543626583779347
372,-0.16619796191698033
373,-0.17521256676040053
374,-0.1501163969759789
375,-0.14579858344514351
376,-0.14121393657268932
377,-0.12604812981046198
378,-0.14248777556293424
379,-0.1360701567920961
380,-0.1283155655301338
381,-0.09553469203821308
382,-0.10206410222526707
383,-0.1446783452771575
384,-0.13628313567797556
385,-0.13001986197359872
386,-0.13431256934950264
387,-0.14044478016808037
388,-0.15290082233854452
389,-0.1684001064181032
390,-0.175234875551884
391,-0.19977247661565556
392,-0.18347110270503564
393,-0.1818355294181423
394,-0.20759929986448855
395,-0.21153573784194468
396,-0.21878205396911365
397,-0.21613731231923783
398,-0.20354116268085176
399,-0.19907105636498412
400,-0.20729959021604105
401,-0.22322446241686933
402,-0.2230906213854753
403,-0.23423446439597395
404,-0.2470411053532775
405,-0.2709144656203658
406,-0.2573357591214218
407,-0.26633243722902455
408,-0.2575227495821646
409,-0.2526193624820101
410,-0.2528820657518145
411,-0.23097506128998346
412,-0.24774051869244718
413,-0.23375230022502336
414,-0.23011522640176818
415,-0.229448236569054
416,-0.25301015432789076
417,-0.23138681874978395
418,-0.22596061880238139
419,-0.21909813926355703
420,-0.20689268663193217
421,-0.21301485621949845
422,-0.1983118735316831
423,-0.18322092142002133
