t,drawdown
0,-0.0013102097378226985
1,-0.0025488158086313106
2,-0.004570066502925574
3,-0.0016050616985341382
4,-0.0014154198514790828
5,-0.0023879345119687256
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,-0.0015892392389619259
12,-0.005444380176883867
13,-0.005327700767514321
14,-0.003130084339207806
15,-0.004628633400400317
16,-0.003552389625698704
17,-0.005505410030103186
18,-0.0073513330047197956
19,-0.009543916277072406
20,-0.005844306546122113
21,-0.005263290238579965
22,-0.006494833104419007
23,-0.014375710796674768
24,-0.0119450168559192
25,-0.011166707550418264
26,-0.016268274736806587
27,-0.015594554877644162
28,-0.016850981537050003
29,-0.011241776957530258
30,-0.016453733476276655
31,-0.01703104980818282
32,-0.016371612016443438
33,-0.017076744658232723
34,-0.014463515093630086
35,-0.016140066022539368
36,-0.019998148409770877
37,-0.022438125491673788
38,-0.023825176422271888
39,-0.024614772042340416
40,-0.026449904343309183
41,-0.02651645671104441
42,-0.027458050364271402
43,-0.02572009918137763
44,-0.027176594131424592
45,-0.026561129042319775
46,-0.02395332319175225
47,-0.025284410545925673
48,-0.031155405817550164
49,-0.03310467234919068
50,-0.03173873311733966
51,-0.028292674296083287
52,-0.028116360412527075
53,-0.02713371222136618
54,-0.0265033318068566
55,-0.02954616307399205
56,-0.02875931101873197
57,-0.027848684395166412
58,-0.026238007040263134
59,-0.023167659708799193
60,-0.023590739177847375
61,-0.02446007170451292
62,-0.026969695580716935
63,-0.026314739255586805
64,-0.02768461025425062
65,-0.02698763124684378
66,-0.024257211519594035
67,-0.02367320409909679
68,-0.02887774939345722
69,-0.02670474692504654
70,-0.026731957807678564
71,-0.019039807405437092
72,-0.020838974963773738
73,-0.01991777689890828
74,-0.018615138533897624
75,-0.019916421488445635
76,-0.021146031047648006
77,-0.019334877141336304
78,-0.014788355173054213
79,-0.01032689174880963
80,-0.005448332826049951
81,-0.0034782518418385866
82,0.0
83,-0.001954291133242081
84,0.0
85,-0.00015702383253202168
86,-0.0027540436930068024
87,-0.003922466428999627
88,-0.0035543780993306795
89,0.0
90,0.0
91,-0.004449822579116969
92,-0.005144110109067235
93,-0.005766894007854906
94,-0.0060481732920212306
95,-0.0022713553419024812
96,-0.0053200095750600696
97,-0.005953171510145183
98,-0.006505988968325105
99,-0.0013035676657328077
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,-0.019493969128575817
106,-0.023593925247173297
107,-0.028416571918025157
108,-0.030168014489652006
109,-0.03385130075969267
110,-0.03167841325405596
111,-0.03554276931200062
112,-0.034271621257944584
113,-0.037652223184095335
114,-0.039393750946686734
115,-0.04026176933623293
116,-0.041152736051486505
117,-0.03971385121543436
118,-0.03692192870161781
119,-0.038761664744440205
120,-0.03844830148062517
121,-0.04070632645052352
122,-0.045420690489933246
123,-0.04442791097325627
124,-0.04663008230827026
125,-0.04481659136887273
126,-0.04225808464485137
127,-0.039674963054125656
128,-0.039916756910202245
129,-0.036015793725331036
130,-0.03523296200673065
131,-0.039984295290832916
132,-0.0374299367919807
133,-0.038781144410045876
134,-0.039121050398081336
135,-0.040592618507587996
136,-0.03928297980342765
137,-0.041925798163363615
138,-0.04366222049439017
139,-0.04339193819188569
140,-0.04273530749450527
141,-0.041898194207301453
142,-0.04319071163351296
143,-0.0456992180271375
144,-0.04741528550440921
145,-0.04416124037846414
146,-0.044334917072794466
147,-0.04157606009835002
148,-0.041694419619446754
149,-0.042319070462606745
150,-0.03846578413656887
151,-0.036869874405057845
152,-0.033415680633952616
153,-0.029713206478308996
154,-0.02765371594852717
155,-0.027147954364021842
156,-0.02152347784221087
157,-0.023442984957824597
158,-0.02224561938861558
159,-0.01791539072311643
160,-0.01642687610930993
161,-0.02130843720337572
162,-0.01995400330499264
163,-0.014523134243898728
164,-0.017982333333559142
165,-0.01675685167756269
166,-0.01436277594155655
167,-0.01178061770342187
168,-0.014194217292285094
169,-0.010461907994510522
170,-0.014910970785480204
171,-0.010798405406248768
172,-0.010251044505910967
173,-0.01568345749535216
174,-0.019173991716732397
175,-0.016450448246775662
176,-0.01865120002977383
177,-0.020890215093522846
178,-0.018130306604544844
179,-0.01900830962628941
180,-0.016620231833171295
181,-0.01343748641317144
182,-0.008082141333336845
183,-0.007946128982282086
184,-0.0028809420482728276
185,-0.004760364328439515
186,0.0
187,-0.002471630332677166
188,-0.004442635114169979
189,-0.003064390594436084
190,-0.0023066573850331062
191,-0.0017268713375822031
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,-0.002746335042405068
198,-0.004930367819681036
199,-0.002509547331509876
200,-0.004724012362518848
201,-0.006461945373098632
202,-0.008417574916522175
203,-0.008617127215194365
204,-0.009708230441311305
205,-0.008959603483855272
206,-0.010906143843566807
207,-0.010088791456184909
208,-0.007360652450383309
209,-0.007406766534973186
210,-0.008612083822270522
211,-0.01065632899601554
212,-0.012761629994430534
213,-0.01089790010835845
214,-0.00861645289427293
215,-0.00791939595304092
216,-0.011731787477244016
217,-0.011714726917095297
218,-0.010661502349583518
219,-0.008688799017115834
220,-0.010285090528346585
221,-0.010308059642453515
222,-0.007611669640400942
223,-0.004412334312712596
224,-0.0046148370101875
225,-0.005655645100162254
226,-0.001467311972576657
227,-0.001486870181881983
228,-0.008057783789002126
229,-0.006154024891204979
230,-0.004113676297947122
231,-0.007763241757924422
232,-0.010105810728793796
233,-0.009715568168810362
234,-0.005803297028128762
235,-0.0064016470166423645
236,-0.008779310841595778
237,-0.011511028176493965
238,-0.008777933155617035
239,-0.013676790447285314
240,-0.01430335615091538
241,-0.014164839474907986
242,-0.015625953622572908
243,-0.017396230995549655
244,-0.012522134491761094
245,-0.013786523457194444
246,-0.016384199474958283
247,-0.018666459713832073
248,-0.022893121413726125
249,-0.02434658969768777
250,-0.0226998995118759
251,-0.01857082452458414
252,-0.01914498305569945
253,-0.01923353048083909
254,-0.019958095398533438
255,-0.023656173464762897
256,-0.023645716944997508
257,-0.021100883323582065
258,-0.020436960238148227
259,-0.021116072338483782
260,-0.022086596609023235
261,-0.02661170844188565
262,-0.027052446401298225
263,-0.026918893485173512
264,-0.027399998233711975
265,-0.028888566158116302
266,-0.026223780179471134
267,-0.027868707161798567
268,-0.04283491068805201
269,-0.043962608459851005
270,-0.047536475825823765
271,-0.053138086687606445
272,-0.05327694262640603
273,-0.05343099863274359
274,-0.05882407032876402
275,-0.059931621042119576
276,-0.05992664809791426
277,-0.06121707029542467
278,-0.06135466898392461
279,-0.06236542670306733
280,-0.060020247115562086
281,-0.06262501550825317
282,-0.06539285185509303
283,-0.06285554241731517
284,-0.06249336223012669
285,-0.06281171943098462
286,-0.06323998542287768
287,-0.06513184316439735
288,-0.0691678308280077
289,-0.07218627805330124
290,-0.07242717829912537
291,-0.07124833919949314
292,-0.07224085814981329
293,-0.0717792516387652
294,-0.068484960148532
295,-0.06892215041395988
296,-0.0685684149516752
297,-0.06738047418514581
298,-0.06904091406341861
299,-0.06880630442156033
300,-0.07101052484227
301,-0.07741581163056466
302,-0.07557837859775896
303,-0.07157596545711542
304,-0.06627815160644113
305,-0.06686902985665544
306,-0.06898377891908392
307,-0.07080446255133621
308,-0.0696164897453807
309,-0.07010149685834577
310,-0.07179470730152893
311,-0.06980536058222508
312,-0.07009343688823133
313,-0.0720733761296829
314,-0.0706236661237215
315,-0.0693197960167049
316,-0.0736107789357382
317,-0.0725950901403104
318,-0.07502115476287408
319,-0.07725828350062658
320,-0.0800406258648807
