t,drawdown
0,0.0
1,-0.012026073335888121
2,0.0
3,0.0
4,-0.003080573479463
5,0.0
6,0.0
7,0.0
8,0.0
9,-0.0037093062691900824
10,0.0
11,-0.006532319325434965
12,0.0
13,0.0
14,-0.013362113457510705
15,0.0
16,0.0
17,-0.005136765344858296
18,-0.001576669017946064
19,-0.004726953666057465
20,0.0
21,-0.017086623651970556
22,-0.013353518842778689
23,0.0
24,-0.007017096574968407
25,-0.0008766701000008092
26,0.0
27,-0.029905446871429264
28,-0.034309582802072525
29,-0.019578139159982744
30,-0.04214631452400408
31,-0.03898270691800687
32,-0.03905145530601073
33,-0.06196094817411979
34,-0.0650388718531576
35,-0.04642284806534591
36,-0.018174032187114664
37,-0.004640116160617214
38,-0.01255757090304166
39,-0.01063001860322943
40,-0.006380027464440663
41,0.0
42,-0.013747103133441074
43,-0.026191556834692653
44,-0.03642007819741511
45,-0.03771563360246599
46,-0.04681272666466474
47,-0.022889061273345224
48,-0.01575592438909834
49,-0.016423910553700183
50,-0.006360752373517631
51,-0.0022975433867927775
52,-0.023444627683102515
53,-0.009002225619337056
54,0.0
55,-0.004024574702476746
56,0.0
57,0.0
58,0.0
59,0.0
60,-0.014316675805042811
61,-0.02424023881521653
62,-0.03260147171590144
63,-0.019481063754193118
64,-0.008111693606629888
65,-0.02986851197399365
66,-0.017544696952403127
67,-0.031371730463528924
68,-0.05463192488132773
69,-0.057689029232893096
70,-0.056355544218246734
71,-0.04376051505535539
72,-0.028144478096969405
73,-0.022686688516188713
74,-0.013059458693284176
75,-0.030602252497436533
76,-0.042388223116798684
77,-0.00043663076653288613
78,-0.02479976224095426
79,-0.04129184688351151
80,-0.049588283058708105
81,-0.05322985766031829
82,-0.036019530614465944
83,-0.05730027086738865
84,-0.04254926398253911
85,-0.0352906551733565
86,-0.034773579025660695
87,-0.03848672220729765
88,-0.02830940088714251
89,-0.010957762211263544
90,0.0
91,0.0
92,-0.004506058994506956
93,-0.005943367495447882
94,-0.008094619836399364
95,-0.010445184580527567
96,0.0
97,0.0
98,-0.011049575450783888
99,-0.02121221472470891
100,0.0
101,-0.028592348654379873
102,-0.014848896216502427
103,0.0
104,0.0
105,0.0
106,-0.023296775625691324
107,-0.0036274126149818953
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,-0.007940630669315496
118,-0.023833857483675502
119,-0.025384014767991903
120,-0.006812036728598314
121,0.0
122,0.0
123,-0.006914944005028678
124,-0.027842713690175436
125,-0.02194611254835588
126,-0.02221529576556225
127,-0.028023551981063655
128,-0.02885139171833706
129,-0.0409844015862284
130,-0.056010467556382615
131,-0.043853502510928455
132,-0.04477223024842625
133,-0.016305058756232005
134,-0.003386493308966232
135,-0.008372371085850316
136,0.0
137,0.0
138,-0.015011127505949684
139,-0.021725668144267463
140,-0.01943052486310093
141,-0.03103630692296777
142,-0.04568836258195008
143,-0.05341892466954434
144,-0.033794630641054035
145,-0.031669004174473936
146,-0.024927766365290482
147,-0.009232519245174653
148,-0.009602718685958966
149,-0.0087602487476659
150,0.0
151,-0.0040978333496037855
152,-0.040018566215665574
153,-0.04554809926272119
154,-0.03286308235399571
155,-0.03196813889406225
156,-0.013755732577498847
157,-0.00625393649639383
158,0.0
159,-0.00011963397482339655
160,-0.010101641452296084
161,0.0
162,-0.03727085167684163
163,-0.04868387435598209
164,-0.06309002312898226
165,-0.055117390271234856
166,-0.053924135869469314
167,-0.028310173240717273
168,-0.04441703730093416
169,-0.047610744344721456
170,-0.06668915650445706
171,-0.09242170196461741
172,-0.106061021044488
173,-0.11949365536567746
174,-0.10043514837942047
175,-0.12622297929077142
176,-0.12402719629352643
177,-0.11996243178944044
178,-0.12355435762661426
179,-0.12336125850323021
180,-0.12134134729762314
181,-0.10020840560094046
182,-0.10299040136297255
183,-0.12259633093391908
184,-0.12350149858728032
185,-0.13167418499295203
186,-0.14795964324564248
187,-0.14646211481796112
188,-0.15511804779251315
189,-0.13720140060895314
190,-0.14943296531243033
191,-0.12563006133868382
192,-0.1011423842759469
193,-0.09857184339762426
194,-0.0911287867308006
195,-0.05928486052222015
196,-0.07783573445906167
197,-0.08771025632589546
198,-0.07666360650212156
199,-0.06984010091372994
200,-0.08839427987820692
201,-0.10302932285290733
202,-0.08776190335795131
203,-0.0809944956072457
204,-0.08930103759599994
205,-0.10041303826793557
206,-0.08464465968130708
207,-0.09147945921567158
208,-0.1007291438560487
209,-0.08713561424042382
210,-0.08337768084913788
211,-0.060251132884628245
212,-0.08127049044808299
213,-0.09241574044593603
214,-0.0992081572298521
215,-0.1070738656750988
216,-0.11295511527520719
217,-0.10814656752260954
218,-0.10616028422487944
219,-0.09473902639218224
220,-0.11116934374968979
221,-0.09617419913782943
222,-0.07178964338762983
223,-0.0812571567724113
224,-0.05302427600156323
225,-0.027000327103540167
226,-0.025539358491026287
227,-0.014514722279649783
228,-0.0008513392670953523
229,-0.003565772066868811
230,0.0
231,-0.0015440084707127877
232,-0.011772116256219323
233,-0.005358757170696782
234,-0.00045842551246133567
235,-0.0047197286487562495
236,0.0
237,0.0
238,-0.0021357896807131516
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,-0.01203798934584932
246,-0.013973972004420632
247,-0.017772501081991243
248,-0.010955693940335687
249,-0.003141030702732639
250,-0.002013263392666609
251,-0.023930666335771233
252,-0.04326968870256909
253,-0.06590138468876294
254,-0.08593659421328614
255,-0.06853195464148121
256,-0.08156716000196496
257,-0.08601940726006252
258,-0.08016886415852131
259,-0.05656737275554635
260,-0.03259897355646091
261,-0.02100826992087035
262,-0.0030528225676632603
263,0.0
264,0.0
265,0.0
266,0.0
267,-0.002725888788315145
268,0.0
269,0.0
270,0.0
271,0.0
272,-0.044767183512997244
273,-0.04374048521622009
274,-0.050288740666961096
275,-0.057669695249239594
276,-0.050870645680341164
277,-0.03829016367115312
278,-0.021186461062731254
279,-0.008455975623638978
280,-0.019426848222907078
281,-0.012074600765860088
282,-0.020386366362166397
283,-0.011328808583344063
284,-0.012381000283764432
285,-0.005340594594206993
286,-0.013942638096462456
