t,drawdown
0,-0.006793935817135277
1,-0.015349954791222364
2,-0.008504118257996462
3,-0.03144600463014202
4,-0.033888007193327296
5,-0.02550632044827217
6,-0.014537479230844697
7,-0.03351327319248987
8,-0.02485731848251871
9,-0.026133868055748466
10,-0.04656767182369026
11,-0.0241327334165089
12,-0.017844932756121312
13,0.0
14,0.0
15,-0.00042854213705811883
16,-0.006178542095987893
17,0.0
18,0.0
19,0.0
20,0.0
21,-0.0002940496244074886
22,-0.03193127409972296
23,-0.03553952031684482
24,-0.03632003438062925
25,-0.03516372713469784
26,-0.04146533248680151
27,-0.048131433295348636
28,-0.07946435953203712
29,-0.056565606666334145
30,-0.07322790185840478
31,-0.07236460944346712
32,-0.07053841414745188
33,-0.056250509368942714
34,-0.07236042845871538
35,-0.06212904216022519
36,-0.06102622232204369
37,-0.08840919854496365
38,-0.07364103504125985
39,-0.07548199826361968
40,-0.09923426159825544
41,-0.1154422446075094
42,-0.12355118786578623
43,-0.09773699756739695
44,-0.10257087051777025
45,-0.11994790050736825
46,-0.11673595043692608
47,-0.10483079770711512
48,-0.10416075450855222
49,-0.08699781785279437
50,-0.07441377007540106
51,-0.07028214846656855
52,-0.08459912262324909
53,-0.07261864305347199
54,-0.08256124231985928
55,-0.08545460375818748
56,-0.09944200509597845
57,-0.10200039658552817
58,-0.09384396700993602
59,-0.09414210929557187
60,-0.06810803385784947
61,-0.044662295612270975
62,-0.018551247866196108
63,-0.016769571702398567
64,-0.013812628810570216
65,-0.01370206173299493
66,0.0
67,0.0
68,-0.0028410781048343603
69,-0.022204273660709983
70,-0.032752856382395334
71,-0.04075495702312015
72,-0.019915471931518658
73,-0.02655851984778579
74,-0.03070211640667353
75,-0.05047612724398409
76,-0.04577652480693528
77,-0.060882799763641526
78,-0.06311386742178571
79,-0.07322055698849317
80,-0.07739221766849269
81,-0.08392026676999009
82,-0.1028450928507686
83,-0.08473974368361092
84,-0.06102414599243111
85,-0.05185086170405773
86,-0.0643002843913133
87,-0.055065096202928876
88,-0.0485242939499958
89,-0.024473479412721155
90,-0.022589172211284536
91,-0.03492923578292206
92,-0.006260010284470874
93,0.0
94,0.0
95,0.0
96,0.0
97,-0.003720305506334065
98,-0.026662797101185576
99,-0.036091701425793654
100,-0.04866543048934535
101,-0.0466135997199304
102,-0.03718900624033583
103,-0.036183396454162464
104,-0.06469075121751877
105,-0.06231832871086829
106,-0.06517536827377068
107,-0.05323950017742485
108,-0.04203995966754226
109,-0.03529104448480769
110,-0.038014933061830125
111,-0.05329303711811206
112,-0.06372589069646284
113,-0.0463570530077273
114,-0.05081511352465673
115,-0.02548538656573751
116,-0.001763407297230013
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,-0.030303505631905314
124,-0.06332998366167386
125,-0.07812667799307083
126,-0.0865127543548867
127,-0.08943861117944774
128,-0.103757370746562
129,-0.10172912563349046
130,-0.10025378690158482
131,-0.0697864898323508
132,-0.043543723598771455
133,-0.04238177813480759
134,-0.045798211280261514
135,-0.037556238409246046
136,-0.04235446044165536
137,-0.05217618874397967
138,-0.03154645068141204
139,-0.0311787913084155
140,-0.05141857199849387
141,-0.06642215224186898
142,-0.08829071994962479
143,-0.062209581746585085
144,-0.07065515978084691
145,-0.06267947163245491
146,-0.07425023197385372
147,-0.09244203832673958
148,-0.0898643355777421
149,-0.06422719697919588
150,-0.05514673582323515
151,-0.05984956010169551
152,-0.047767775984582594
153,-0.02557435073012937
154,-0.022096809880637558
155,-0.0370932582573712
156,-0.016005676251499512
157,0.0
158,-0.03899557838286849
159,-0.033335952592050355
160,-0.033368946492087326
161,-0.016768180144859035
162,-0.012049722190107137
163,0.0
164,-0.0446199004225436
165,-0.0463410794729463
166,-0.04471404425858405
167,-0.04591659339692766
168,-0.04770098656234034
169,-0.05433077781265616
170,-0.06844420254913208
171,-0.07661305573353827
172,-0.06732507549295086
173,-0.060129462731162264
174,-0.04767434587344488
175,-0.04976992248241641
176,-0.039561823489145054
177,-0.055126102415785194
178,-0.03309605629470813
179,-0.033350477103862075
180,-0.04912646256373121
181,-0.05222898356231076
182,-0.07032835407724936
183,-0.05782220466977728
184,-0.052800662404324794
