t,drawdown
0,0.0
1,-6.206581602863359e-05
2,-0.02908285616926709
3,-0.018310667509562673
4,-0.01837716999404737
5,0.0
6,0.0
7,0.0
8,0.0
9,-0.002445626817036639
10,-0.004700918697250311
11,0.0
12,0.0
13,0.0
14,0.0
15,-0.004317470986405447
16,0.0
17,-0.006144805098416639
18,-0.009615539992649413
19,-0.01347191390226088
20,-0.011331482397600623
21,-0.010909674744273734
22,-0.01104789094649905
23,-0.016756480486665115
24,0.0
25,-0.015627262162968947
26,-0.01349735848797684
27,-0.01673291836120938
28,-0.022901550249253333
29,-0.026920858815546955
30,-0.029964661042624186
31,-0.026218161058199296
32,-0.010036959257567535
33,-0.020121197876029506
34,0.0
35,-0.0045964903064941165
36,0.0
37,0.0
38,0.0
39,-0.01676537709589565
40,-0.03098067581711228
41,-0.057642278113606005
42,-0.0757869627138602
43,-0.05806432574703391
44,-0.0570186025263707
45,-0.02529448193712891
46,0.0
47,-0.01984139584935285
48,-0.013783218779811035
49,-0.010654898143387381
50,-0.004533963081396086
51,-0.015949134915857366
52,-0.005891412713813882
53,-0.03417065906957373
54,-0.05593826534429969
55,-0.0553801191599399
56,-0.030818482394366686
57,-0.034612105184390396
58,-0.00978719300806652
59,-0.019904311293051036
60,-0.020555100938519644
61,-0.023641744227460793
62,-0.016902964531151032
63,-0.019319732352022667
64,-0.022000602144932047
65,-0.042440040676106405
66,-0.04484091769900678
67,-0.05583093463857769
68,-0.03960355460490095
69,-0.05051305007564
70,-0.05493191861017088
71,-0.07226413671820786
72,-0.07110356816497365
73,-0.05131052308525452
74,-0.04320072985306034
75,-0.06585737381910639
76,-0.047957541047049856
77,-0.050517223299930025
78,-0.05521805279939673
79,-0.06227145803672429
80,-0.08712827918083133
81,-0.08567435116564748
82,-0.06505713514178357
83,-0.0715721450024075
84,-0.08964506790893734
85,-0.0975076282694598
86,-0.11342966216007033
87,-0.12230578926635638
88,-0.11781364495978308
89,-0.10061187462208754
90,-0.10722402167817668
91,-0.1334670284925017
92,-0.11574058691737821
93,-0.1278911822005666
94,-0.1323039611304193
95,-0.12949861680405017
96,-0.1229941266299448
97,-0.13655354918042772
98,-0.12433157626397229
99,-0.11852835895067837
100,-0.1353454932807968
101,-0.13285973846461396
102,-0.13103623073561332
103,-0.1145804394629022
104,-0.1417037520245954
